market,universe,capital_krw,slippage_ticks,rejects,starter_lt_1_share,add20_lt_1_share,add60_lt_1_share,partial_rounded_up_to_one,partial_whole_exit
KOSPI,KOSPI40_PIT,5000000,0,2284,282,0,0,70,70
KOSPI,KOSPI40_PIT,5000000,1,2530,94,0,0,36,36
KOSPI,KOSPI40_PIT,5000000,2,2638,99,0,0,17,17
KOSPI,KOSPI40_PIT,10000000,0,2208,189,0,0,37,37
KOSPI,KOSPI40_PIT,10000000,1,2538,62,0,0,14,14
KOSPI,KOSPI40_PIT,10000000,2,2661,38,0,0,3,3
KOSPI,KOSPI40_PIT,20000000,0,2278,34,0,0,12,12
KOSPI,KOSPI40_PIT,20000000,1,2619,7,0,0,6,6
KOSPI,KOSPI40_PIT,20000000,2,2621,5,0,0,5,5
KOSPI,KOSPI40_PIT,50000000,0,2256,7,0,0,8,8
KOSPI,KOSPI40_PIT,50000000,1,2566,2,0,0,1,1
KOSPI,KOSPI40_PIT,50000000,2,2654,0,0,0,0,0
KOSDAQ,KOSDAQ40_PIT,5000000,0,1821,168,0,0,36,36
KOSDAQ,KOSDAQ40_PIT,5000000,1,2057,73,0,0,16,16
KOSDAQ,KOSDAQ40_PIT,5000000,2,2158,42,0,0,9,9
KOSDAQ,KOSDAQ40_PIT,10000000,0,1986,22,0,0,10,10
KOSDAQ,KOSDAQ40_PIT,10000000,1,2003,22,0,0,8,8
KOSDAQ,KOSDAQ40_PIT,10000000,2,2107,9,0,0,7,7
KOSDAQ,KOSDAQ40_PIT,20000000,0,2045,4,0,0,4,4
KOSDAQ,KOSDAQ40_PIT,20000000,1,2008,6,0,0,4,4
KOSDAQ,KOSDAQ40_PIT,20000000,2,2158,0,0,0,5,5
KOSDAQ,KOSDAQ40_PIT,50000000,0,2050,0,0,0,0,0
KOSDAQ,KOSDAQ40_PIT,50000000,1,1987,0,0,0,1,1
KOSDAQ,KOSDAQ40_PIT,50000000,2,2180,0,0,0,0,0
