scenario,remove_top_n,original_pnl,removed_top_pnl,residual_pnl_attribution,top_share_of_positive_total
KOSPI40_PIT_V028|5M|0T,1,-92403.32200000033,28363.46000000005,-120766.78200000038,0.22784377157865596
KOSPI40_PIT_V028|5M|0T,3,-92403.32200000033,60399.037500000064,-152802.3595000004,0.4851856756446733
KOSPI40_PIT_V028|5M|0T,5,-92403.32200000033,81684.48250000006,-174087.80450000038,0.6561717284227911
KOSPI40_PIT_V028|5M|1T,1,-183009.82850000047,27762.349999999948,-210772.17850000042,0.25221917735539684
KOSPI40_PIT_V028|5M|1T,3,-183009.82850000047,55847.33999999991,-238857.16850000038,0.5073695185129196
KOSPI40_PIT_V028|5M|1T,5,-183009.82850000047,75433.29999999984,-258443.1285000003,0.6853067147126541
KOSPI40_PIT_V028|5M|2T,1,-261578.51199999967,14057.034999999989,-275635.5469999997,0.17846223183559798
KOSPI40_PIT_V028|5M|2T,3,-261578.51199999967,34235.40000000004,-295813.9119999997,0.4346383068537883
KOSPI40_PIT_V028|5M|2T,5,-261578.51199999967,48848.60750000012,-310427.1194999998,0.6201614719257054
KOSPI40_PIT_V028|10M|0T,1,112467.10250000088,138967.85000000015,-26500.74749999927,0.2329583059241907
KOSPI40_PIT_V028|10M|0T,3,112467.10250000088,244258.42000000033,-131791.31749999945,0.40946181243301577
KOSPI40_PIT_V028|10M|0T,5,112467.10250000088,318488.0900000003,-206020.98749999944,0.5338964796780779
KOSPI40_PIT_V028|10M|1T,1,-212552.12099999943,84835.4750000001,-297387.59599999955,0.21418394596737503
KOSPI40_PIT_V028|10M|1T,3,-212552.12099999943,159880.00000000006,-372432.12099999946,0.4036487009858069
KOSPI40_PIT_V028|10M|1T,5,-212552.12099999943,216561.17750000017,-429113.29849999957,0.5467515510497359
KOSPI40_PIT_V028|10M|2T,1,-452099.98599999957,74339.29999999981,-526439.2859999994,0.24653857567032467
KOSPI40_PIT_V028|10M|2T,3,-452099.98599999957,133925.2849999997,-586025.2709999993,0.4441493128149217
KOSPI40_PIT_V028|10M|2T,5,-452099.98599999957,173635.5874999998,-625735.5734999994,0.5758444110709959
KOSPI40_PIT_V028|20M|0T,1,177625.07550000137,291595.3750000002,-113970.2994999988,0.22819662710683772
KOSPI40_PIT_V028|20M|0T,3,177625.07550000137,539447.8000000005,-361822.72449999914,0.4221609086227928
KOSPI40_PIT_V028|20M|0T,5,177625.07550000137,729431.1500000008,-551806.0744999994,0.5708380255916675
KOSPI40_PIT_V028|20M|1T,1,-423737.3684999989,206693.75,-630431.1184999989,0.2125533582777605
KOSPI40_PIT_V028|20M|1T,3,-423737.3684999989,420586.23999999976,-844323.6084999987,0.43250953527823705
KOSPI40_PIT_V028|20M|1T,5,-423737.3684999989,575533.5399999996,-999270.9084999985,0.5918494716385363
KOSPI40_PIT_V028|20M|2T,1,-723396.7174999975,184200.0250000003,-907596.7424999978,0.23634652562170025
KOSPI40_PIT_V028|20M|2T,3,-723396.7174999975,388025.6000000004,-1111422.3174999978,0.497874538357286
KOSPI40_PIT_V028|20M|2T,5,-723396.7174999975,517401.7850000003,-1240798.5024999978,0.6638767515651304
KOSPI40_PIT_V028|50M|0T,1,204542.9420000011,765801.8499999996,-561258.9079999985,0.22241477372827914
KOSPI40_PIT_V028|50M|0T,3,204542.9420000011,1556105.65,-1351562.7079999987,0.4519457429386556
KOSPI40_PIT_V028|50M|0T,5,204542.9420000011,2109317.2749999994,-1904774.3329999982,0.6126171207868921
KOSPI40_PIT_V028|50M|1T,1,-1472229.4300000104,550093.2749999976,-2022322.705000008,0.21110511765912532
KOSPI40_PIT_V028|50M|1T,3,-1472229.4300000104,1217817.324999997,-2690046.7550000073,0.46735250432110215
KOSPI40_PIT_V028|50M|1T,5,-1472229.4300000104,1688612.1749999966,-3160841.605000007,0.6480258677658027
KOSPI40_PIT_V028|50M|2T,1,-2412524.0280000037,500145.8999999985,-2912669.928000002,0.22964408148199164
KOSPI40_PIT_V028|50M|2T,3,-2412524.0280000037,1145977.2499999988,-3558501.2780000027,0.5261802465550737
KOSPI40_PIT_V028|50M|2T,5,-2412524.0280000037,1524043.9674999993,-3936567.995500003,0.6997711608846713
