scenario,period,trades,pnl,pf,winrate
KOSPI40_PIT_V028|5M|0T,2023,4,5928.069999999949,18.4650364587144,0.75
KOSPI40_PIT_V028|5M|0T,2024,37,12946.906499999925,1.1166608320060663,0.5945945945945946
KOSPI40_PIT_V028|5M|0T,2025,26,-37744.44749999985,0.7048205419287179,0.5769230769230769
KOSPI40_PIT_V028|5M|0T,2026,18,-73533.85100000036,0.45356433290193837,0.5555555555555556
KOSPI40_PIT_V028|5M|1T,2023,4,2482.1525000000256,2.562613218757182,0.75
KOSPI40_PIT_V028|5M|1T,2024,37,-17667.78749999999,0.8663176277419076,0.5945945945945946
KOSPI40_PIT_V028|5M|1T,2025,26,-90790.7850000001,0.47809475593811507,0.5384615384615384
KOSPI40_PIT_V028|5M|1T,2026,18,-77033.40850000038,0.4317764575457173,0.5555555555555556
KOSPI40_PIT_V028|5M|2T,2023,4,84.09250000005704,1.0240257249609284,0.5
KOSPI40_PIT_V028|5M|2T,2024,37,-53350.70150000001,0.6736632997868308,0.5675675675675675
KOSPI40_PIT_V028|5M|2T,2025,26,-124690.1399999999,0.3916200575162115,0.46153846153846156
KOSPI40_PIT_V028|5M|2T,2026,15,-83621.7629999998,0.3198974625117958,0.5333333333333333
KOSPI40_PIT_V028|10M|0T,2023,5,13643.41750000004,23.26487999314721,0.8
KOSPI40_PIT_V028|10M|0T,2024,44,100425.63249999995,1.4221239903744654,0.6363636363636364
KOSPI40_PIT_V028|10M|0T,2025,34,92005.62500000058,1.299911524989792,0.5588235294117647
KOSPI40_PIT_V028|10M|0T,2026,23,-93607.57249999969,0.702819996593025,0.6086956521739131
KOSPI40_PIT_V028|10M|1T,2023,5,6584.575000000012,3.0726252587014664,0.8
KOSPI40_PIT_V028|10M|1T,2024,43,-8422.607499998878,0.9717236370671622,0.6046511627906976
KOSPI40_PIT_V028|10M|1T,2025,33,-67742.84000000037,0.8386743348950151,0.5454545454545454
KOSPI40_PIT_V028|10M|1T,2026,21,-142971.2485000002,0.5165437041072306,0.6190476190476191
KOSPI40_PIT_V028|10M|2T,2023,5,1587.7350000000442,1.226812643344024,0.6
KOSPI40_PIT_V028|10M|2T,2024,43,-98986.98249999995,0.7335356271169475,0.5581395348837209
KOSPI40_PIT_V028|10M|2T,2025,33,-185422.2224999998,0.6398652721483057,0.48484848484848486
KOSPI40_PIT_V028|10M|2T,2026,21,-169278.51599999986,0.45967430916358476,0.6190476190476191
KOSPI40_PIT_V028|20M|0T,2023,6,19094.667500000098,1.7793944638355448,0.6666666666666666
KOSPI40_PIT_V028|20M|0T,2024,44,189886.84049999982,1.3747498105231135,0.6363636363636364
KOSPI40_PIT_V028|20M|0T,2025,38,97822.93250000005,1.134378679146979,0.5263157894736842
KOSPI40_PIT_V028|20M|0T,2026,30,-129179.3649999986,0.8151323428990633,0.6666666666666666
KOSPI40_PIT_V028|20M|1T,2023,6,2992.0574999997625,1.0926062151906328,0.6666666666666666
KOSPI40_PIT_V028|20M|1T,2024,44,-2453.5500000006286,0.9961045539343443,0.6136363636363636
KOSPI40_PIT_V028|20M|1T,2025,37,-200484.25249999954,0.7908665211508374,0.5135135135135135
KOSPI40_PIT_V028|20M|1T,2026,30,-223791.62349999847,0.6901882669355617,0.6666666666666666
KOSPI40_PIT_V028|20M|2T,2023,6,-9102.397499999963,0.7865987174327145,0.5
KOSPI40_PIT_V028|20M|2T,2024,44,-199287.02800000028,0.746558948794115,0.5681818181818182
KOSPI40_PIT_V028|20M|2T,2025,37,-460852.78749999765,0.607438700312828,0.4594594594594595
KOSPI40_PIT_V028|20M|2T,2026,29,-54154.504499999515,0.8979128519049531,0.6896551724137931
KOSPI40_PIT_V028|50M|0T,2023,6,16460.33750000014,1.1711781256727964,0.6666666666666666
KOSPI40_PIT_V028|50M|0T,2024,46,625652.702000004,1.4854518414321418,0.6521739130434783
KOSPI40_PIT_V028|50M|0T,2025,43,106298.78249999834,1.049375958081068,0.5116279069767442
KOSPI40_PIT_V028|50M|0T,2026,32,-543868.8800000013,0.7567178250050132,0.59375
KOSPI40_PIT_V028|50M|1T,2023,6,-29366.605000000447,0.7546794949789711,0.6666666666666666
KOSPI40_PIT_V028|50M|1T,2024,45,40534.80049999745,1.024891140149071,0.6222222222222222
KOSPI40_PIT_V028|50M|1T,2025,41,-618394.9399999997,0.7708276563819167,0.5121951219512195
KOSPI40_PIT_V028|50M|1T,2026,32,-865002.6855000077,0.6329113767460277,0.59375
KOSPI40_PIT_V028|50M|2T,2023,6,-68562.61499999976,0.5417396832449869,0.5
KOSPI40_PIT_V028|50M|2T,2024,44,-626877.9419999989,0.694591795014142,0.5681818181818182
KOSPI40_PIT_V028|50M|2T,2025,41,-1349302.730000004,0.5895907232488996,0.43902439024390244
KOSPI40_PIT_V028|50M|2T,2026,34,-367780.7410000014,0.8033090720249169,0.6176470588235294
