variant,cost_bps_side,trades,pnl,pf,winrate
RAW,5.0,15,-11.930053333864606,0.8451927608858663,0.6
RAW,10.0,15,-18.768247939780053,0.7599676613684634,0.4666666666666667
RAW,20.0,16,-40.46004447348051,0.5496188899637205,0.4375
RAW,30.0,0,0.0,,
NOT_BEAR,5.0,10,-34.6243519880681,0.4609346729354158,0.6
NOT_BEAR,10.0,10,-39.25743253562629,0.40914343472242026,0.4
NOT_BEAR,20.0,10,-47.55173761175109,0.3255526652334673,0.4
NOT_BEAR,30.0,0,0.0,,
BULL,5.0,3,12.705693504848227,inf,1.0
BULL,10.0,3,11.597386758534299,inf,1.0
BULL,20.0,3,9.496100459997649,inf,1.0
BULL,30.0,3,7.499561783199937,inf,1.0
