market,side,signal_i,signal_time,break_i,retest_i,level,fight_low,fight_high,atr,volume_ratio,strength
SEMI,LONG,91,2023-09-29 09:30:00-04:00,85,89,156.63333129882812,156.6266632080078,158.44000244140625,1.4512399648275907,2.286739097832064,1.1291432660023064
SEMI,LONG,131,2023-10-06 14:30:00-04:00,127,128,158.10667419433594,158.3300018310547,160.3199920654297,1.142598663513845,1.2419488708013298,0.7844891173804367
SEMI,SHORT,165,2023-10-13 13:30:00-04:00,162,163,160.9883270263672,158.8433380126953,160.7899932861328,1.283138525914155,1.2256003428443418,0.4773749079083064
SEMI,SHORT,197,2023-10-20 10:30:00-04:00,194,195,155.18333435058594,154.0833282470703,155.74583435058594,1.5077187438400415,1.337716446747919,1.354559780529256
SEMI,SHORT,202,2023-10-20 15:30:00-04:00,197,199,154.0833282470703,152.51333618164062,154.33999633789062,1.3613746491766965,1.098666575169734,0.47885508920065367
SEMI,LONG,266,2023-11-03 09:30:00-04:00,263,264,154.4933319091797,154.47666931152344,155.46665954589844,1.3204182914377012,3.4863295030742867,2.0198886945391408
SEMI,LONG,315,2023-11-14 09:30:00-05:00,304,309,163.4766387939453,162.3633270263672,163.8766632080078,1.3471845788093593,4.616661087806511,4.595155473777655
SEMI,LONG,322,2023-11-15 09:30:00-05:00,316,317,168.8000030517578,168.40333557128906,169.86000061035156,1.1780648311693058,8.174395492334549,1.877137800885591
SEMI,LONG,430,2023-12-08 09:30:00-05:00,425,426,171.67999267578125,171.5466766357422,173.1233367919922,1.1500866942403534,5.335066956564709,2.3158320415585103
SEMI,LONG,451,2023-12-13 09:30:00-05:00,445,446,180.56333923339844,179.84666442871094,181.2100067138672,0.9881938471174357,5.071967570938572,1.6240207264815423
SEMI,LONG,455,2023-12-13 13:30:00-05:00,449,450,181.10667419433594,180.5366668701172,182.15333557128906,1.0824933775296313,1.2993950674732433,1.1844889263304748
SEMI,LONG,512,2023-12-26 14:30:00-05:00,509,510,192.7899932861328,192.6666717529297,193.2100067138672,1.061438172205157,1.1478353301273636,1.0750690762469601
SEMI,SHORT,535,2024-01-02 09:30:00-05:00,529,531,192.5466766357422,191.41551208496094,192.7866668701172,1.199869607697655,6.591637537485913,5.030640200197398
SEMI,SHORT,542,2024-01-03 09:30:00-05:00,539,540,185.57666015625,183.5433349609375,185.5933380126953,1.4811508066902555,6.029051658130078,2.49208757398959
SEMI,LONG,604,2024-01-16 15:30:00-05:00,599,601,188.31666564941406,186.76666259765625,188.1566619873047,1.262806726089411,1.7879542646453157,0.7807615679308568
SEMI,LONG,617,2024-01-18 14:30:00-05:00,612,615,189.7033233642578,189.80999755859375,192.32666015625,1.7088147246507903,1.076606418718466,0.5773458515309153
SEMI,LONG,724,2024-02-09 09:30:00-05:00,718,722,205.2899932861328,205.52667236328125,206.5066680908203,1.4272504421408785,1.853380721962917,1.9069831118312055
SEMI,LONG,731,2024-02-12 09:30:00-05:00,727,728,209.336669921875,209.1199951171875,210.14332580566406,1.2925030672473408,2.4175819328657755,1.8400322108766092
SEMI,LONG,794,2024-02-26 09:30:00-05:00,780,788,211.52333068847656,211.02667236328125,213.78001403808594,1.8519288598778634,3.0886716354908383,1.28437477114421
SEMI,LONG,829,2024-03-04 09:30:00-05:00,826,827,226.3733367919922,225.7033233642578,227.489990234375,1.7477165994062793,5.921624749641355,1.9459975214807257
SEMI,LONG,850,2024-03-07 09:30:00-05:00,845,846,231.3400115966797,228.1166534423828,232.27000427246094,2.3490612091337733,10.747038243817475,2.494211599590572
SEMI,LONG,857,2024-03-08 09:30:00-05:00,852,853,237.5800018310547,236.77999877929688,238.35000610351562,2.0330458546185084,5.241522710388151,1.668947336953578
SEMI,SHORT,890,2024-03-14 14:30:00-04:00,885,886,222.80999755859375,219.7498016357422,222.77999877929688,2.1810468077736425,1.5712872005132068,1.0050930546798615
SEMI,SHORT,1046,2024-04-17 09:30:00-04:00,1035,1040,217.63999938964844,215.16000366210938,217.99000549316406,1.8908249885372062,3.0221193135385453,1.4918529954957873
SEMI,SHORT,1053,2024-04-18 09:30:00-04:00,1048,1051,213.20799255371094,209.89999389648438,212.8300018310547,2.0825971712109537,3.7157934940363817,1.7826715826544883
SEMI,SHORT,1064,2024-04-19 13:30:00-04:00,1061,1062,203.24000549316406,200.47999572753906,202.97500610351562,2.006573201313593,1.1113341425793979,0.7641474137087284
SEMI,LONG,1088,2024-04-25 09:30:00-04:00,1081,1083,206.85000610351562,206.74000549316406,209.3699951171875,2.164707931886048,3.092019063404782,1.9701105967149806
SEMI,LONG,1184,2024-05-14 14:30:00-04:00,1179,1180,222.4199981689453,221.77000427246094,223.75,1.1102052067434076,1.0540614755883473,0.47745608881195767
SEMI,LONG,1193,2024-05-16 09:30:00-04:00,1190,1191,229.75,229.82000732421875,230.80999755859375,1.1499875378753832,2.2114308098126125,0.819754255625105
SEMI,SHORT,1263,2024-05-31 09:30:00-04:00,1257,1258,236.8000030517578,234.6999969482422,238.16000366210938,1.927071582058535,1.8267089565113532,2.1085874894708265
SEMI,LONG,1290,2024-06-05 15:30:00-04:00,1286,1287,240.25,240.0500030517578,242.36000061035156,1.8828863604216772,4.081880707634452,1.2496174121723773
SEMI,LONG,1347,2024-06-18 09:30:00-04:00,1343,1344,254.05999755859375,254.19000244140625,256.5,1.6838861708227342,2.2979335649833317,2.2625095430245366
SEMI,SHORT,1368,2024-06-24 09:30:00-04:00,1361,1362,250.82000732421875,248.8300018310547,252.69000244140625,2.2104834952874532,2.6696020429116176,2.29679963959134
SEMI,SHORT,1372,2024-06-24 13:30:00-04:00,1368,1369,246.97000122070312,244.22999572753906,247.1199951171875,2.0532946365850546,1.3081863216985927,0.6893082826267165
SEMI,LONG,1446,2024-07-10 14:30:00-04:00,1441,1442,262.0799865722656,261.9599914550781,264.7699890136719,1.5781752619530085,1.1549160374558702,0.461025438019975
