time,qqq_daily,soxx_daily,qqq_60m,soxx_60m,broad_state,qqq_event,soxx_event,position
2023-09-12 09:30:00-04:00,BULL,BULL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-12 10:30:00-04:00,BULL,BULL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-12 11:30:00-04:00,BULL,BULL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-12 12:30:00-04:00,BULL,BULL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-12 13:30:00-04:00,BULL,BULL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-12 14:30:00-04:00,BULL,BULL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-12 15:30:00-04:00,BULL,BULL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-13 09:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-13 10:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-13 11:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-13 12:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-13 13:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-13 14:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-13 15:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-14 09:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-14 10:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-14 11:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-14 12:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-14 13:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-14 14:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-14 15:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-15 09:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-15 10:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-15 11:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-15 12:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-15 13:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
2023-09-15 14:30:00-04:00,BULL,NEUTRAL,NEUTRAL,NEUTRAL,MIXED,,,CASH
