ticker,setup_id,kept,entry_time,entry_date_us,reason
NVDA,DAGG|NVDA|121,0,2023-10-09 12:30:00-04:00,2023-10-09,PRE_FREEZE
NVDA,DAGG|NVDA|1425,0,2024-07-09 15:30:00-04:00,2024-07-09,PRE_FREEZE
NVDA,DAGG|NVDA|3895,0,2025-12-08 09:30:00-05:00,2025-12-08,PRE_FREEZE
NVDA,DAGG|NVDA|4018,0,2026-01-05 10:30:00-05:00,2026-01-05,PRE_FREEZE
NVDA,DAGG|NVDA|4356,0,2026-03-17 14:30:00-04:00,2026-03-17,PRE_FREEZE
NVDA,DAGG|NVDA|4706,0,2026-05-28 14:30:00-04:00,2026-05-28,PRE_FREEZE
AAPL,DAGG|AAPL|367,0,2023-11-29 10:30:00-05:00,2023-11-29,PRE_FREEZE
AAPL,DAGG|AAPL|1293,0,2024-06-10 12:30:00-04:00,2024-06-10,PRE_FREEZE
AAPL,DAGG|AAPL|1655,0,2024-08-23 14:30:00-04:00,2024-08-23,PRE_FREEZE
AAPL,DAGG|AAPL|2635,0,2025-03-19 15:30:00-04:00,2025-03-19,PRE_FREEZE
AAPL,DAGG|AAPL|3115,0,2025-06-27 12:30:00-04:00,2025-06-27,PRE_FREEZE
AAPL,DAGG|AAPL|3190,0,2025-07-15 14:30:00-04:00,2025-07-15,PRE_FREEZE
AAPL,DAGG|AAPL|3578,0,2025-10-02 10:30:00-04:00,2025-10-02,PRE_FREEZE
MSFT,DAGG|MSFT|509,0,2023-12-28 12:30:00-05:00,2023-12-28,PRE_FREEZE
MSFT,DAGG|MSFT|573,0,2024-01-11 13:30:00-05:00,2024-01-11,PRE_FREEZE
MSFT,DAGG|MSFT|840,0,2024-03-07 14:30:00-05:00,2024-03-07,PRE_FREEZE
MSFT,DAGG|MSFT|1165,0,2024-05-14 10:30:00-04:00,2024-05-14,PRE_FREEZE
MSFT,DAGG|MSFT|1786,0,2024-09-20 12:30:00-04:00,2024-09-20,PRE_FREEZE
MSFT,DAGG|MSFT|3893,0,2025-12-05 14:30:00-05:00,2025-12-05,PRE_FREEZE
MSFT,DAGG|MSFT|4057,0,2026-01-12 14:30:00-05:00,2026-01-12,PRE_FREEZE
MSFT,DAGG|MSFT|4551,0,2026-04-27 13:30:00-04:00,2026-04-27,PRE_FREEZE
AMZN,DAGG|AMZN|121,0,2023-10-09 12:30:00-04:00,2023-10-09,PRE_FREEZE
AMZN,DAGG|AMZN|503,0,2023-12-27 13:30:00-05:00,2023-12-27,PRE_FREEZE
AMZN,DAGG|AMZN|700,0,2024-02-07 14:30:00-05:00,2024-02-07,PRE_FREEZE
AMZN,DAGG|AMZN|1640,0,2024-08-21 13:30:00-04:00,2024-08-21,PRE_FREEZE
AMZN,DAGG|AMZN|1934,0,2024-10-21 13:30:00-04:00,2024-10-21,PRE_FREEZE
AMZN,DAGG|AMZN|3167,0,2025-07-10 12:30:00-04:00,2025-07-10,PRE_FREEZE
AMZN,DAGG|AMZN|3232,0,2025-07-23 14:30:00-04:00,2025-07-23,PRE_FREEZE
AMZN,DAGG|AMZN|3665,0,2025-10-20 13:30:00-04:00,2025-10-20,PRE_FREEZE
AMZN,DAGG|AMZN|4813,0,2026-06-22 09:30:00-04:00,2026-06-22,PRE_FREEZE
GOOGL,DAGG|GOOGL|158,0,2023-10-16 14:30:00-04:00,2023-10-16,PRE_FREEZE
GOOGL,DAGG|GOOGL|421,0,2023-12-08 15:30:00-05:00,2023-12-08,PRE_FREEZE
GOOGL,DAGG|GOOGL|578,0,2024-01-12 11:30:00-05:00,2024-01-12,PRE_FREEZE
GOOGL,DAGG|GOOGL|911,0,2024-03-21 15:30:00-04:00,2024-03-21,PRE_FREEZE
GOOGL,DAGG|GOOGL|945,0,2024-03-28 14:30:00-04:00,2024-03-28,PRE_FREEZE
GOOGL,DAGG|GOOGL|1309,0,2024-06-12 14:30:00-04:00,2024-06-12,PRE_FREEZE
GOOGL,DAGG|GOOGL|2926,0,2025-05-19 12:30:00-04:00,2025-05-19,PRE_FREEZE
GOOGL,DAGG|GOOGL|3167,0,2025-07-10 12:30:00-04:00,2025-07-10,PRE_FREEZE
GOOGL,DAGG|GOOGL|3239,0,2025-07-24 14:30:00-04:00,2025-07-24,PRE_FREEZE
GOOGL,DAGG|GOOGL|3511,0,2025-09-18 13:30:00-04:00,2025-09-18,PRE_FREEZE
GOOGL,DAGG|GOOGL|3576,0,2025-10-01 15:30:00-04:00,2025-10-01,PRE_FREEZE
GOOGL,DAGG|GOOGL|3878,0,2025-12-03 13:30:00-05:00,2025-12-03,PRE_FREEZE
GOOGL,DAGG|GOOGL|4531,0,2026-04-22 14:30:00-04:00,2026-04-22,PRE_FREEZE
AVGO,DAGG|AVGO|107,0,2023-10-05 12:30:00-04:00,2023-10-05,PRE_FREEZE
AVGO,DAGG|AVGO|419,0,2023-12-08 13:30:00-05:00,2023-12-08,PRE_FREEZE
AVGO,DAGG|AVGO|1164,0,2024-05-14 09:30:00-04:00,2024-05-14,PRE_FREEZE
AVGO,DAGG|AVGO|1201,0,2024-05-21 11:30:00-04:00,2024-05-21,PRE_FREEZE
AVGO,DAGG|AVGO|1655,0,2024-08-23 14:30:00-04:00,2024-08-23,PRE_FREEZE
AVGO,DAGG|AVGO|1773,0,2024-09-18 13:30:00-04:00,2024-09-18,PRE_FREEZE
AVGO,DAGG|AVGO|3654,0,2025-10-17 09:30:00-04:00,2025-10-17,PRE_FREEZE
AVGO,DAGG|AVGO|4085,0,2026-01-16 14:30:00-05:00,2026-01-16,PRE_FREEZE
AVGO,DAGG|AVGO|4371,0,2026-03-19 15:30:00-04:00,2026-03-19,PRE_FREEZE
AVGO,DAGG|AVGO|4602,0,2026-05-06 15:30:00-04:00,2026-05-06,PRE_FREEZE
META,DAGG|META|250,0,2023-11-02 15:30:00-04:00,2023-11-02,PRE_FREEZE
META,DAGG|META|625,0,2024-01-24 09:30:00-05:00,2024-01-24,PRE_FREEZE
META,DAGG|META|2111,0,2024-11-25 15:30:00-05:00,2024-11-25,PRE_FREEZE
META,DAGG|META|2205,0,2024-12-16 15:30:00-05:00,2024-12-16,PRE_FREEZE
META,DAGG|META|2453,0,2025-02-10 15:30:00-05:00,2025-02-10,PRE_FREEZE
META,DAGG|META|4733,0,2026-06-03 13:30:00-04:00,2026-06-03,PRE_FREEZE
TSLA,DAGG|TSLA|277,0,2023-11-08 14:30:00-05:00,2023-11-08,PRE_FREEZE
TSLA,DAGG|TSLA|334,0,2023-11-20 15:30:00-05:00,2023-11-20,PRE_FREEZE
TSLA,DAGG|TSLA|651,0,2024-01-29 14:30:00-05:00,2024-01-29,PRE_FREEZE
TSLA,DAGG|TSLA|1162,0,2024-05-13 14:30:00-04:00,2024-05-13,PRE_FREEZE
TSLA,DAGG|TSLA|1635,0,2024-08-20 15:30:00-04:00,2024-08-20,PRE_FREEZE
TSLA,DAGG|TSLA|1773,0,2024-09-18 13:30:00-04:00,2024-09-18,PRE_FREEZE
TSLA,DAGG|TSLA|2635,0,2025-03-19 15:30:00-04:00,2025-03-19,PRE_FREEZE
TSLA,DAGG|TSLA|4475,0,2026-04-10 14:30:00-04:00,2026-04-10,PRE_FREEZE
MU,DAGG|MU|355,0,2023-11-27 12:30:00-05:00,2023-11-27,PRE_FREEZE
MU,DAGG|MU|4247,0,2026-02-24 10:30:00-05:00,2026-02-24,PRE_FREEZE
MU,DAGG|MU|4567,0,2026-04-29 15:30:00-04:00,2026-04-29,PRE_FREEZE
NFLX,DAGG|NFLX|573,0,2024-01-11 13:30:00-05:00,2024-01-11,PRE_FREEZE
NFLX,DAGG|NFLX|602,0,2024-01-18 14:30:00-05:00,2024-01-18,PRE_FREEZE
NFLX,DAGG|NFLX|704,0,2024-02-08 11:30:00-05:00,2024-02-08,PRE_FREEZE
NFLX,DAGG|NFLX|1161,0,2024-05-13 13:30:00-04:00,2024-05-13,PRE_FREEZE
NFLX,DAGG|NFLX|1453,0,2024-07-15 15:30:00-04:00,2024-07-15,PRE_FREEZE
NFLX,DAGG|NFLX|2424,0,2025-02-04 14:30:00-05:00,2025-02-04,PRE_FREEZE
NFLX,DAGG|NFLX|3336,0,2025-08-13 13:30:00-04:00,2025-08-13,PRE_FREEZE
NFLX,DAGG|NFLX|3707,0,2025-10-28 13:30:00-04:00,2025-10-28,PRE_FREEZE
NFLX,DAGG|NFLX|4446,0,2026-04-06 13:30:00-04:00,2026-04-06,PRE_FREEZE
NFLX,DAGG|NFLX|4634,0,2026-05-13 12:30:00-04:00,2026-05-13,PRE_FREEZE
