ticker,setup_id,intraday_interval,entry_time,entry_price,structural_stop,target1,target2,target1_first_touch_time,lower_tf_exit_time,lower_tf_exit_price,lower_tf_exit_reason,model_exit_bar_start,model_exit_bar_end,model_exit_price,model_exit_reason,exit_price_diff_bps,minutes_after_model_exit_bar_start,ambiguity,variant
INTU,DAGG|INTU|5075,1m,2026-08-10 10:30:00-04:00,328.8800048828125,315.05635648726076,342.70365327836424,356.527301673916,,,,TIMED_EXIT_POLICY_REQUIRED,2026-08-10 15:30:00-04:00,2026-08-10 16:00:00-04:00,334.3500061035156,eod_final,,,,NOT_BEAR
LLY,DAGG|LLY|4897,2m,2026-07-02 14:30:00-04:00,1211.030029296875,1170.2738180264596,1251.7862405672904,1292.5424518377058,,,,TIMED_EXIT_POLICY_REQUIRED,2026-07-09 11:30:00-04:00,2026-07-09 12:30:00-04:00,1204.239990234375,time,,,,NOT_BEAR
MA,DAGG|MA|5035,2m,2026-07-31 12:30:00-04:00,571.4400024414062,553.606006410297,589.2739984725155,607.1079945036247,,,,TIMED_EXIT_POLICY_REQUIRED,2026-08-06 09:30:00-04:00,2026-08-06 10:30:00-04:00,568.4600219726562,time,,,,NOT_BEAR
MSFT,DAGG|MSFT|4930,2m,2026-07-10 12:30:00-04:00,384.56500244140625,372.5553792477302,396.5746256350823,408.5842488287584,2026-07-15 10:20:00-04:00,,,TIMED_EXIT_POLICY_REQUIRED,2026-07-16 09:30:00-04:00,2026-07-16 10:30:00-04:00,395.9800109863281,time,,,,NOT_BEAR
NVDA,DAGG|NVDA|4993,1m,2026-07-23 12:30:00-04:00,209.63999938964844,201.64217620710897,217.6378225721879,225.63564575472736,,2026-07-27 09:47:00-04:00,201.64217620710897,STRUCTURAL_STOP,2026-07-27 09:30:00-04:00,2026-07-27 10:30:00-04:00,201.64217620710897,stop,0.0,17.0,,NOT_BEAR
QCOM,DAGG|QCOM|4930,2m,2026-07-10 12:30:00-04:00,189.08999633789062,179.01831204630705,199.1616806294742,209.23336492105778,,2026-07-14 12:14:00-04:00,179.01831204630705,STRUCTURAL_STOP,2026-07-14 11:30:00-04:00,2026-07-14 12:30:00-04:00,179.01831204630705,stop,0.0,44.0,,NOT_BEAR
QCOM,DAGG|QCOM|4977,2m,2026-07-21 10:30:00-04:00,172.61500549316406,164.08672559522861,181.1432853910995,189.67156528903496,,,,TIMED_EXIT_POLICY_REQUIRED,2026-07-24 14:30:00-04:00,2026-07-24 15:30:00-04:00,166.7449951171875,time,,,,NOT_BEAR
TMUS,DAGG|TMUS|4890,2m,2026-07-01 14:30:00-04:00,173.27999877929688,165.0985296851735,181.46146787342025,189.64293696754362,2026-07-06 09:30:00-04:00,2026-07-07 10:42:00-04:00,189.64293696754362,TARGET2,2026-07-07 10:30:00-04:00,2026-07-07 11:30:00-04:00,189.64293696754362,target2,0.0,12.0,,NOT_BEAR
V,DAGG|V|5044,1m,2026-08-03 14:30:00-04:00,366.1000061035156,359.454743232978,372.74526897405326,379.3905318445909,,,,TIMED_EXIT_POLICY_REQUIRED,2026-08-07 11:30:00-04:00,2026-08-07 12:30:00-04:00,364.25,time,,,,NOT_BEAR
WMT,DAGG|WMT|5053,1m,2026-08-05 09:30:00-04:00,112.59500122070312,108.37629779293596,116.81370464847029,121.03240807623746,,,,TIMED_EXIT_POLICY_REQUIRED,2026-08-10 13:30:00-04:00,2026-08-10 14:30:00-04:00,111.8949966430664,time,,,,NOT_BEAR
XOM,DAGG|XOM|4888,2m,2026-07-01 12:30:00-04:00,136.72000122070312,135.10527703062422,138.33472541078203,139.94944960086093,2026-07-02 09:44:00-04:00,2026-07-02 11:50:00-04:00,136.72000122070312,BE_STOP_AFTER_T1,2026-07-02 11:30:00-04:00,2026-07-02 12:30:00-04:00,136.72000122070312,stop,0.0,20.0,,NOT_BEAR
XOM,DAGG|XOM|5028,2m,2026-07-30 12:30:00-04:00,155.72999572753906,151.53494356759234,159.9250478874858,164.12010004743252,,2026-08-04 09:30:00-04:00,151.53494356759234,STRUCTURAL_STOP,2026-08-04 09:30:00-04:00,2026-08-04 10:30:00-04:00,151.53494356759234,stop,0.0,0.0,,NOT_BEAR
XOM,DAGG|XOM|5070,2m,2026-08-07 12:30:00-04:00,153.4499969482422,150.83411159816305,156.06588229832133,158.68176764840047,2026-08-10 09:34:00-04:00,2026-08-10 12:50:00-04:00,158.68176764840047,TARGET2,2026-08-10 12:30:00-04:00,2026-08-10 13:30:00-04:00,158.68176764840047,target2,0.0,20.0,,NOT_BEAR
