variant,cost_bps_side,slice,trades,pnl,wins,losses,pf
BULL,5.0,JUL,3,11.723559551350974,3,0,inf
BULL,5.0,AUG01_10,4,18.747220402289457,4,0,inf
BULL,10.0,JUL,3,10.916277084349076,3,0,inf
BULL,10.0,AUG01_10,4,16.723112489878446,3,1,64.06157525755972
BULL,20.0,JUL,3,9.301931591386847,3,0,inf
BULL,20.0,AUG01_10,4,12.678044784706714,3,1,12.835897473626337
BULL,30.0,JUL,3,7.687878673431584,3,0,inf
BULL,30.0,AUG01_10,4,8.63717248509974,2,2,4.205320799212354
NOT_BEAR,5.0,JUL,9,-27.723551615886095,5,4,0.531104352482578
NOT_BEAR,5.0,AUG01_10,4,18.618958556706588,4,0,inf
NOT_BEAR,10.0,JUL,9,-32.229872574076836,3,6,0.4844145200062556
NOT_BEAR,10.0,AUG01_10,4,16.59388942224132,3,1,64.04660412323504
NOT_BEAR,20.0,JUL,9,-41.23276354747733,3,6,0.4064960579135186
NOT_BEAR,20.0,AUG01_10,4,12.55483342791041,3,1,12.826009982049786
NOT_BEAR,30.0,JUL,9,-50.2226652571492,3,6,0.3428363967228627
NOT_BEAR,30.0,AUG01_10,4,8.530525919791899,2,2,4.194689093623988
