ticker,setup_id,event,model_time,model_price,intraday_interval
AMAT,DAGG|AMAT|4531,ENTRY,2026-04-20 18:30:00+00:00,393.0249938964844,NONE
AMAT,DAGG|AMAT|4531,EXIT,2026-04-23 13:30:00+00:00,412.42816691414896,NONE
AMAT,DAGG|AMAT|4585,ENTRY,2026-04-30 16:30:00+00:00,391.3599853515625,NONE
AMAT,DAGG|AMAT|4585,EXIT,2026-05-06 13:30:00+00:00,422.5089179621517,NONE
AMZN,DAGG|AMZN|4827,ENTRY,2026-06-22 13:30:00+00:00,240.49000549316406,NONE
AMZN,DAGG|AMZN|4827,EXIT,2026-06-22 14:30:00+00:00,235.44615527967272,NONE
AVGO,DAGG|AVGO|4099,ENTRY,2026-01-16 19:30:00+00:00,347.30999755859375,NONE
AVGO,DAGG|AVGO|4099,EXIT,2026-01-20 17:30:00+00:00,333.52083226812897,NONE
AVGO,DAGG|AVGO|4385,ENTRY,2026-03-19 19:30:00+00:00,320.7279968261719,NONE
AVGO,DAGG|AVGO|4385,EXIT,2026-03-25 16:30:00+00:00,319.9100036621094,NONE
AVGO,DAGG|AVGO|4616,ENTRY,2026-05-06 19:30:00+00:00,422.67999267578125,NONE
AVGO,DAGG|AVGO|4616,EXIT,2026-05-07 17:30:00+00:00,408.3496664874347,NONE
GOOGL,DAGG|GOOGL|4545,ENTRY,2026-04-22 18:30:00+00:00,338.0924987792969,NONE
GOOGL,DAGG|GOOGL|4545,EXIT,2026-04-27 17:30:00+00:00,352.52107719240496,NONE
ISRG,DAGG|ISRG|4480,ENTRY,2026-04-09 16:30:00+00:00,458.45001220703125,NONE
ISRG,DAGG|ISRG|4480,EXIT,2026-04-15 13:30:00+00:00,470.6300048828125,NONE
JNJ,DAGG|JNJ|4720,ENTRY,2026-05-28 19:30:00+00:00,231.51499938964844,NONE
JNJ,DAGG|JNJ|4720,EXIT,2026-05-29 13:30:00+00:00,228.7068710892434,NONE
JPM,DAGG|JPM|4060,ENTRY,2026-01-09 15:30:00+00:00,331.1199951171875,NONE
JPM,DAGG|JPM|4060,EXIT,2026-01-12 14:30:00+00:00,321.8840026855469,NONE
JPM,DAGG|JPM|4143,ENTRY,2026-01-28 14:30:00+00:00,300.2699890136719,NONE
JPM,DAGG|JPM|4143,EXIT,2026-02-02 18:30:00+00:00,308.6042048005595,NONE
JPM,DAGG|JPM|4270,ENTRY,2026-02-25 18:30:00+00:00,303.19000244140625,NONE
JPM,DAGG|JPM|4270,EXIT,2026-03-03 14:30:00+00:00,290.760240031689,NONE
JPM,DAGG|JPM|4728,ENTRY,2026-06-01 13:30:00+00:00,297.69000244140625,NONE
JPM,DAGG|JPM|4728,EXIT,2026-06-03 13:30:00+00:00,297.69000244140625,NONE
MA,DAGG|MA|4479,ENTRY,2026-04-09 16:30:00+00:00,504.3900146484375,NONE
MA,DAGG|MA|4479,EXIT,2026-04-15 13:30:00+00:00,515.0,NONE
MA,DAGG|MA|4626,ENTRY,2026-05-08 16:30:00+00:00,497.4700012207031,NONE
MA,DAGG|MA|4626,EXIT,2026-05-14 13:30:00+00:00,492.18499755859375,NONE
META,DAGG|META|4747,ENTRY,2026-06-03 17:30:00+00:00,617.8200073242188,NONE
META,DAGG|META|4747,EXIT,2026-06-05 13:30:00+00:00,617.8200073242188,NONE
MSFT,DAGG|MSFT|4071,ENTRY,2026-01-12 19:30:00+00:00,479.1499938964844,NONE
MSFT,DAGG|MSFT|4071,EXIT,2026-01-13 14:30:00+00:00,471.61106011282436,NONE
MSFT,DAGG|MSFT|4565,ENTRY,2026-04-27 17:30:00+00:00,425.0799865722656,NONE
MSFT,DAGG|MSFT|4565,EXIT,2026-04-30 13:30:00+00:00,410.532033938663,NONE
MU,DAGG|MU|4261,ENTRY,2026-02-24 15:30:00+00:00,424.010009765625,NONE
MU,DAGG|MU|4261,EXIT,2026-02-26 14:30:00+00:00,409.8030457363773,NONE
NFLX,DAGG|NFLX|4460,ENTRY,2026-04-06 17:30:00+00:00,98.95999908447266,NONE
NFLX,DAGG|NFLX|4460,EXIT,2026-04-10 14:30:00+00:00,101.91999816894531,NONE
NFLX,DAGG|NFLX|4648,ENTRY,2026-05-13 16:30:00+00:00,87.55000305175781,NONE
NFLX,DAGG|NFLX|4648,EXIT,2026-05-19 13:30:00+00:00,90.81999969482422,NONE
NVDA,DAGG|NVDA|4032,ENTRY,2026-01-05 15:30:00+00:00,190.07000732421875,NONE
NVDA,DAGG|NVDA|4032,EXIT,2026-01-08 14:30:00+00:00,186.07209131674685,NONE
NVDA,DAGG|NVDA|4370,ENTRY,2026-03-17 18:30:00+00:00,183.02999877929688,NONE
NVDA,DAGG|NVDA|4370,EXIT,2026-03-19 13:30:00+00:00,178.00999450683594,NONE
NVDA,DAGG|NVDA|4720,ENTRY,2026-05-28 18:30:00+00:00,214.36459350585938,NONE
NVDA,DAGG|NVDA|4720,EXIT,2026-06-02 13:30:00+00:00,226.5986956594565,NONE
ORCL,DAGG|ORCL|4473,ENTRY,2026-04-08 17:30:00+00:00,145.1300048828125,NONE
ORCL,DAGG|ORCL|4473,EXIT,2026-04-09 13:30:00+00:00,139.43586117238206,NONE
PLTR,DAGG|PLTR|4070,ENTRY,2026-01-12 18:30:00+00:00,178.84930419921875,NONE
PLTR,DAGG|PLTR|4070,EXIT,2026-01-16 14:30:00+00:00,173.83353696523048,NONE
PLTR,DAGG|PLTR|4657,ENTRY,2026-05-14 18:30:00+00:00,134.0,NONE
PLTR,DAGG|PLTR|4657,EXIT,2026-05-20 15:30:00+00:00,135.64999389648438,NONE
QCOM,DAGG|QCOM|4029,ENTRY,2026-01-02 19:30:00+00:00,173.3800048828125,NONE
QCOM,DAGG|QCOM|4029,EXIT,2026-01-05 15:30:00+00:00,178.63645848690328,NONE
QCOM,DAGG|QCOM|4251,ENTRY,2026-02-20 19:30:00+00:00,142.74000549316406,NONE
QCOM,DAGG|QCOM|4251,EXIT,2026-02-26 16:30:00+00:00,145.0800018310547,NONE
QCOM,DAGG|QCOM|4385,ENTRY,2026-03-19 19:30:00+00:00,131.82000732421875,NONE
QCOM,DAGG|QCOM|4385,EXIT,2026-03-23 15:30:00+00:00,128.60889442222134,NONE
QCOM,DAGG|QCOM|4566,ENTRY,2026-04-27 18:30:00+00:00,149.88999938964844,NONE
QCOM,DAGG|QCOM|4566,EXIT,2026-04-30 14:30:00+00:00,186.87766234088156,NONE
TMUS,DAGG|TMUS|4625,ENTRY,2026-05-08 14:30:00+00:00,194.30999755859375,NONE
TMUS,DAGG|TMUS|4625,EXIT,2026-05-11 13:30:00+00:00,191.26132326997208,NONE
TSLA,DAGG|TSLA|4489,ENTRY,2026-04-10 18:30:00+00:00,346.90509033203125,NONE
TSLA,DAGG|TSLA|4489,EXIT,2026-04-15 13:30:00+00:00,368.3469145141911,NONE
WMT,DAGG|WMT|4051,ENTRY,2026-01-07 20:30:00+00:00,113.7699966430664,NONE
WMT,DAGG|WMT|4051,EXIT,2026-01-08 14:30:00+00:00,110.5,NONE
