date,trades,pnl,wins,losses
2026-01-02,1,4.345355775748004,1,0
2026-01-05,1,-10.322537281651307,0,1
2026-01-07,1,-10.568787322572009,0,1
2026-01-09,1,-5.756734974712032,0,1
2026-01-12,2,-16.719359139891935,0,2
2026-01-16,1,-18.547644515767388,0,1
2026-01-28,1,8.957320968114232,1,0
2026-02-20,1,30.83139914710398,1,0
2026-02-24,1,-15.84624306082094,0,1
2026-02-25,1,-19.29464407445641,0,1
2026-03-17,1,-9.732165364500643,0,1
2026-03-19,2,11.63000393797904,1,1
2026-04-06,1,5.715538244064589,1,0
2026-04-08,1,-7.961036852759065,0,1
2026-04-09,2,69.61265405681252,2,0
2026-04-10,1,8.952776656322442,1,0
2026-04-20,1,7.238051880927372,1,0
2026-04-22,1,6.235029679509097,1,0
2026-04-27,2,7.9330195231175935,1,1
2026-04-30,1,11.842345938646702,1,0
2026-05-06,1,-11.431901163178397,0,1
2026-05-08,2,-4.994894028823921,0,2
2026-05-13,1,6.602276460912918,1,0
2026-05-14,1,8.080215815204326,1,0
2026-05-28,2,16.682635220691022,1,1
2026-06-01,1,9.636676005444087,1,0
2026-06-03,1,3.543348443224573,1,0
2026-06-22,1,-10.466126662764625,0,1
