ticker,setup_id,touch_date,activation_date,repeat_touch,touch_low,box_start_i,breakout_i,retest_i,setup_i,box_low,box_high,breakout_high,retest_low,stop,atr,breakout_volume_ok,had_failed_break,daily_ma60,daily_ma240,daily_env_lower
NVDA,DAGG|NVDA|4032,2026-01-05,2026-01-05,0,186.49000549316406,4012,4031,4031,4032,186.49000549316406,192.92990112304688,192.92990112304688,188.25999450683594,186.07209131674685,1.6716567056688612,1,0,,,
NVDA,DAGG|NVDA|4370,2026-03-17,2026-03-17,0,179.94000244140625,4350,4369,4369,4370,179.94000244140625,188.8699951171875,188.8699951171875,181.68040466308594,179.45917468276875,1.9233110345500442,1,0,,,
NVDA,DAGG|NVDA|4720,2026-05-28,2026-05-28,0,208.77999877929688,4700,4719,4719,4720,208.77999877929688,218.17999267578125,218.17999267578125,211.2220001220703,208.24754242906081,2.1298254009441884,1,0,,,
MSFT,DAGG|MSFT|4071,2026-01-12,2026-01-12,0,472.2001037597656,4051,4070,4070,4071,472.2001037597656,485.5,485.5,475.6802978515625,471.61106011282436,2.356174587764957,1,0,,,
MSFT,DAGG|MSFT|4565,2026-04-27,2026-04-27,0,411.41009521484375,4545,4564,4564,4565,411.41009521484375,433.6400146484375,433.6400146484375,417.0700988769531,410.532033938663,3.512245104723078,1,0,,,
AMZN,DAGG|AMZN|4827,2026-06-18,2026-06-18,0,236.02000427246094,4807,4826,4826,4827,236.02000427246094,249.50999450683594,249.50999450683594,241.53500366210938,235.44615527967272,2.2953959711528964,1,0,,,
GOOGL,DAGG|GOOGL|4545,2026-04-22,2026-04-22,0,331.4200134277344,4525,4544,4544,4545,331.4200134277344,342.32000732421875,342.32000732421875,335.1700134277344,330.87820957274283,2.1672154199661695,1,0,,,
AVGO,DAGG|AVGO|4099,2026-01-16,2026-01-16,0,334.42010498046875,4079,4098,4098,4099,334.42010498046875,357.4700012207031,357.4700012207031,344.0519104003906,333.52083226812897,3.597090849359062,1,0,,,
AVGO,DAGG|AVGO|4385,2026-03-19,2026-03-19,0,308.510009765625,4365,4384,4384,4385,308.510009765625,327.44000244140625,327.44000244140625,312.5299987792969,307.6123329024267,3.590707452793155,1,0,,,
AVGO,DAGG|AVGO|4616,2026-05-06,2026-05-06,0,409.5299987792969,4596,4615,4615,4616,409.5299987792969,437.67999267578125,437.67999267578125,419.8999938964844,408.3496664874347,4.721329167448681,1,0,,,
META,DAGG|META|4747,2026-06-03,2026-06-03,0,596.6799926757812,4727,4746,4746,4747,596.6799926757812,635.6799926757812,635.6799926757812,597.260009765625,595.03943226585,6.562241639724796,1,0,,,
TSLA,DAGG|TSLA|4489,2026-04-10,2026-04-10,0,337.25,4469,4488,4488,4489,337.25,364.5,364.5,342.739990234375,336.1841782409513,4.263287036194714,1,0,,,
MU,DAGG|MU|4261,2026-02-24,2026-02-24,0,411.70001220703125,4241,4260,4260,4261,411.70001220703125,431.69500732421875,431.69500732421875,415.55999755859375,409.8030457363773,7.587865882615576,1,0,,,
MU,DAGG|MU|4581,2026-04-29,2026-04-29,0,488.2384033203125,4561,4580,4580,4581,488.2384033203125,531.3599853515625,531.3599853515625,508.80010986328125,485.78387630362016,9.81810806676939,1,0,,,
NFLX,DAGG|NFLX|4460,2026-04-06,2026-04-06,0,94.26399993896484,4440,4459,4459,4460,94.26399993896484,102.68499755859375,102.68499755859375,97.79000091552734,94.0079233290681,1.024306439586928,1,0,,,
NFLX,DAGG|NFLX|4648,2026-05-13,2026-05-13,0,85.0999984741211,4628,4647,4647,4648,85.0999984741211,89.16100311279297,89.16100311279297,86.27999877929688,84.90904585311941,0.7638104840067478,1,0,,,
PLTR,DAGG|PLTR|4070,2026-01-12,2026-01-12,0,174.3699951171875,4050,4069,4069,4070,174.3699951171875,185.66000366210938,185.66000366210938,176.36000061035156,173.83353696523048,2.145832607828091,1,0,,,
PLTR,DAGG|PLTR|4495,2026-04-13,2026-04-13,0,122.68000030517578,4475,4494,4494,4495,122.68000030517578,144.0,144.0,127.57009887695312,122.01385415080931,2.6645846174659003,1,0,,,
PLTR,DAGG|PLTR|4657,2026-05-14,2026-05-14,0,128.75,4637,4656,4656,4657,128.75,137.41549682617188,137.41549682617188,129.4600067138672,128.3167174945223,1.7331300219107797,1,0,,,
TMUS,DAGG|TMUS|4625,2026-05-08,2026-05-08,0,191.64999389648438,4605,4624,4624,4625,191.64999389648438,196.0,196.0,193.42999267578125,191.26132326997208,1.5546825060492073,1,0,,,
AMAT,DAGG|AMAT|4531,2026-04-20,2026-04-20,0,384.3299865722656,4511,4530,4530,4531,384.3299865722656,400.5,400.5,391.19000244140625,383.3234073876521,4.02631673845419,1,0,,,
AMAT,DAGG|AMAT|4585,2026-04-30,2026-04-30,0,377.07000732421875,4565,4584,4584,4585,377.07000732421875,405.510009765625,405.510009765625,377.7699890136719,375.7855190462679,5.137953111803335,1,0,,,
QCOM,DAGG|QCOM|4029,2026-01-02,2026-01-02,0,171.00999450683594,4009,4028,4028,4029,171.00999450683594,174.67999267578125,174.67999267578125,172.1999969482422,170.7517780807671,1.032865704275271,1,0,,,
QCOM,DAGG|QCOM|4251,2026-02-20,2026-02-20,0,139.89999389648438,4231,4250,4250,4251,139.89999389648438,144.47000122070312,144.47000122070312,140.10000610351562,139.5752183155983,1.2991023235442747,1,0,,,
QCOM,DAGG|QCOM|4385,2026-03-19,2026-03-19,0,128.90049743652344,4365,4384,4384,4385,128.90049743652344,134.0500030517578,134.0500030517578,130.42999267578125,128.60889442222134,1.1664120572083665,1,0,,,
QCOM,DAGG|QCOM|4566,2026-04-27,2026-04-27,0,132.0500030517578,4546,4565,4565,4566,132.0500030517578,160.94000244140625,160.94000244140625,147.0500030517578,131.39616791403188,2.6153405509037717,1,0,,,
ISRG,DAGG|ISRG|4480,2026-04-09,2026-04-09,0,447.81500244140625,4460,4479,4479,4480,447.81500244140625,471.9798889160156,471.9798889160156,451.1400146484375,446.6663455627717,4.594627514538208,1,0,,,
JPM,DAGG|JPM|4060,2026-01-09,2026-01-09,0,324.7101135253906,4040,4059,4059,4060,324.7101135253906,335.8158874511719,335.8158874511719,328.1700134277344,324.22280671812183,1.9492272290752335,1,0,,,
JPM,DAGG|JPM|4143,2026-01-27,2026-01-27,0,296.510009765625,4123,4142,4142,4143,296.510009765625,302.3699951171875,302.3699951171875,298.3800048828125,296.10288112022806,1.628514581587641,1,0,,,
JPM,DAGG|JPM|4270,2026-02-25,2026-02-25,0,291.3800048828125,4250,4269,4269,4270,291.3800048828125,311.0,311.0,296.6650085449219,290.760240031689,2.479059404493952,1,0,,,
JPM,DAGG|JPM|4728,2026-05-29,2026-05-29,0,295.19500732421875,4708,4727,4727,4728,295.19500732421875,305.8999938964844,305.8999938964844,297.0600891113281,294.7520500883391,1.7718289435186427,1,0,,,
WMT,DAGG|WMT|4051,2026-01-07,2026-01-07,0,111.98999786376953,4031,4050,4050,4051,111.98999786376953,114.77999877929688,114.77999877929688,112.80000305175781,111.81543970223808,0.6982326461258033,1,0,,,
V,DAGG|V|4270,2026-02-25,2026-02-25,0,303.0799865722656,4250,4269,4269,4270,303.0799865722656,322.3500061035156,322.3500061035156,306.2699890136719,302.4561804530448,2.4952244768833602,1,0,,,
MA,DAGG|MA|4270,2026-02-25,2026-02-25,0,490.0,4250,4269,4269,4270,490.0,527.5,527.5,496.4649963378906,488.9205893485115,4.317642605953928,1,0,,,
MA,DAGG|MA|4479,2026-04-09,2026-04-09,0,495.6700134277344,4459,4478,4478,4479,495.6700134277344,511.82000732421875,511.82000732421875,497.760009765625,494.7147680022543,3.820981701920307,1,0,,,
MA,DAGG|MA|4626,2026-05-08,2026-05-08,0,489.7300109863281,4606,4625,4625,4626,489.7300109863281,503.5199890136719,503.5199890136719,491.7275085449219,488.60014933932416,4.5194465880157395,1,0,,,
JNJ,DAGG|JNJ|4720,2026-05-28,2026-05-28,0,229.02049255371094,4700,4719,4719,4720,229.02049255371094,235.11000061035156,235.11000061035156,230.10000610351562,228.7068710892434,1.2544858578701417,1,0,,,
ORCL,DAGG|ORCL|4473,2026-04-08,2026-04-08,0,139.94000244140625,4453,4472,4472,4473,139.94000244140625,151.4600067138672,151.4600067138672,142.47500610351562,139.43586117238206,2.016565076096762,1,0,,,
