market,ticker,entry_mode,signal_i,signal_date,entry_date,momentum63,momentum_rank,universe_count,asset_60m_regime,market_60m_regime,daily_strict_stack,intraday_strict_stack,signal_close,signal_atr14,signal_rsi14
KR,091160.KS,DAILY_5_20_CROSS,857,2025-03-19,2025-03-20,0.11166734242441345,2,8,False,True,False,False,33428.0859375,925.1378594721718,56.83293206391335
KR,091160.KS,DAILY_5_20_CROSS,974,2025-09-08,2025-09-09,0.18969886875178532,2,8,True,False,True,False,38145.04296875,753.1162913097376,60.151309881827096
KR,091160.KS,DAILY_5_20_CROSS,1045,2025-12-23,2025-12-24,0.49946129241999615,1,8,False,True,True,False,58241.625,1659.097704485971,56.92170722930889
KR,091160.KS,DAILY_5_20_CROSS,1116,2026-04-10,2026-04-13,0.49069394097434604,3,8,False,False,True,False,102905.6953125,5284.023001138188,57.132946498003754
KR,091160.KS,DAILY_5_20_CROSS,1158,2026-06-15,2026-06-16,0.6746611982012061,1,8,True,True,True,False,173050.0,10133.051828815282,63.21675877640841
KR,091180.KS,DAILY_5_20_CROSS,1027,2025-11-27,2025-11-28,0.11936935135087556,3,8,True,False,True,True,22052.720703125,505.7684314406996,62.41525350986131
KR,091180.KS,DAILY_5_20_CROSS,1052,2026-01-06,2026-01-07,0.27814906972926545,2,8,False,True,True,False,24335.21875,637.9108030632267,59.47576368816706
KR,091180.KS,DAILY_5_20_CROSS,1079,2026-02-12,2026-02-13,0.4651234844709413,2,8,True,True,True,True,32257.107421875,1177.350906889156,63.748567160205674
KR,091170.KS,DAILY_5_20_CROSS,1000,2025-10-21,2025-10-22,0.05239852814460044,3,8,False,True,True,False,11623.37890625,247.7728179180878,57.16180741385395
KR,091170.KS,DAILY_5_20_CROSS,1029,2025-12-01,2025-12-02,0.10851510202236514,4,8,True,False,True,False,12354.599609375,296.9912745838319,60.42069066772562
KR,091170.KS,DAILY_5_20_CROSS,1046,2025-12-24,2025-12-26,0.10851510202236514,4,8,True,True,True,True,12476.0556640625,236.38333351615165,57.02386650977383
KR,102970.KS,DAILY_5_20_CROSS,968,2025-08-29,2025-09-01,0.6187750565483956,1,8,False,False,True,False,12730.201171875,409.33825204159274,50.90660359281268
KR,102970.KS,DAILY_5_20_CROSS,999,2025-10-20,2025-10-21,0.0167333704330197,4,8,True,True,True,True,15443.7578125,532.358987822352,67.65683520753433
KR,102970.KS,DAILY_5_20_CROSS,1016,2025-11-12,2025-11-13,0.21568634526667396,2,8,True,True,True,True,15850.30078125,700.749703433687,58.955729484413794
KR,102970.KS,DAILY_5_20_CROSS,1045,2025-12-23,2025-12-24,0.18030181345088714,2,8,False,True,True,False,15076.3984375,451.4076576778042,55.78147647176306
KR,102970.KS,DAILY_5_20_CROSS,1116,2026-04-10,2026-04-13,0.6049383115890472,2,8,False,False,True,False,27071.880859375,1514.6081121944687,55.930149088506035
KR,140700.KS,DAILY_5_20_CROSS,961,2025-08-20,2025-08-21,0.35270544618132815,4,8,False,False,True,False,11308.4453125,239.81399472464093,50.7390816233129
KR,140700.KS,DAILY_5_20_CROSS,1014,2025-11-10,2025-11-11,0.056238991160660445,4,8,False,True,True,False,12805.7978515625,303.0620125857497,65.0772634972264
KR,140700.KS,DAILY_5_20_CROSS,1187,2026-07-27,2026-07-28,0.23371016432814873,2,8,False,False,True,False,19243.69921875,887.6287350186302,50.37441594761467
KR,117700.KS,DAILY_5_20_CROSS,1094,2026-03-11,2026-03-12,0.8571428103344407,3,8,True,False,True,False,6381.64892578125,355.56846136863845,57.84356719536277
KR,117700.KS,DAILY_5_20_CROSS,1160,2026-06-17,2026-06-18,0.17544501476166863,2,8,False,True,True,False,7861.1435546875,555.0497829720641,50.034410415840135
KR,117680.KS,DAILY_5_20_CROSS,975,2025-09-09,2025-09-10,0.17716103943893335,3,8,False,False,True,False,11262.9423828125,220.8752644896204,52.49436905288866
KR,117680.KS,DAILY_5_20_CROSS,1057,2026-01-13,2026-01-14,0.08740883275687317,3,8,True,True,True,True,13348.8203125,413.7450825081661,65.46322082812128
KR,091160.KS,MA20_RECLAIM_60M,1015,2025-11-11,2025-11-12,0.5968465418653115,1,8,True,True,True,False,59730.26171875,2051.5787796256263,66.93978444680066
KR,091160.KS,MA20_RECLAIM_60M,1047,2025-12-26,2025-12-29,0.49946129241999615,1,8,True,True,True,False,59470.5,1621.2157246089796,60.126731737862954
KR,091160.KS,MA20_RECLAIM_60M,1090,2026-03-05,2026-03-06,0.9935691546603513,2,8,True,True,True,True,100492.90625,6088.4160398758295,60.71994265437397
KR,091160.KS,MA20_RECLAIM_60M,1099,2026-03-18,2026-03-19,0.9935691546603513,2,8,True,True,True,True,105003.7734375,5648.301836127833,61.940972329122715
KR,091160.KS,MA20_RECLAIM_60M,1154,2026-06-09,2026-06-10,0.6746611982012061,1,8,True,True,True,False,158600.0,9294.795317242666,57.16993089109869
KR,091160.KS,MA20_RECLAIM_60M,1166,2026-06-25,2026-06-26,0.6746611982012061,1,8,True,True,True,True,182185.0,10970.06139867652,60.55233382896651
KR,091180.KS,MA20_RECLAIM_60M,1014,2025-11-10,2025-11-11,0.11936935135087556,3,8,True,True,True,True,21793.681640625,632.9422966818531,64.20397163230922
KR,091180.KS,MA20_RECLAIM_60M,1016,2025-11-12,2025-11-13,0.11936935135087556,3,8,True,True,True,False,22033.171875,611.3843660771579,66.04229254813563
KR,091180.KS,MA20_RECLAIM_60M,1043,2025-12-19,2025-12-22,0.16935684513479554,3,8,True,True,True,True,24237.46484375,641.1781783729808,60.66890601732956
KR,091180.KS,MA20_RECLAIM_60M,1044,2025-12-22,2025-12-23,0.16935684513479554,3,8,True,True,True,True,24310.77734375,622.2613766646913,61.20576178678611
KR,091180.KS,MA20_RECLAIM_60M,1053,2026-01-07,2026-01-08,0.27814906972926545,2,8,True,True,True,True,25703.736328125,720.8190427535601,70.46891432116331
KR,091180.KS,MA20_RECLAIM_60M,1055,2026-01-09,2026-01-12,0.27814906972926545,2,8,True,True,True,True,26456.421875,784.7325006808876,71.89939180320873
KR,091180.KS,MA20_RECLAIM_60M,1073,2026-02-04,2026-02-05,0.4651234844709413,2,8,True,True,True,True,31248.15625,1234.4913930828457,61.82395441009802
KR,091180.KS,MA20_RECLAIM_60M,1076,2026-02-09,2026-02-10,0.4651234844709413,2,8,True,True,True,True,30724.087890625,1243.2811699306258,57.55731472201898
KR,091180.KS,MA20_RECLAIM_60M,1081,2026-02-19,2026-02-20,0.4651234844709413,2,8,True,True,True,True,32741.994140625,1137.7355086167356,64.88088144844781
KR,091170.KS,MA20_RECLAIM_60M,992,2025-10-02,2025-10-10,0.05239852814460044,3,8,True,True,True,False,11584.779296875,206.83748559624712,56.34666208677616
KR,102970.KS,MA20_RECLAIM_60M,931,2025-07-08,2025-07-09,0.7350756694424607,1,8,True,True,True,True,13758.8056640625,581.4696610395995,66.08375512834351
KR,102970.KS,MA20_RECLAIM_60M,932,2025-07-09,2025-07-10,0.7350756694424607,1,8,True,True,True,True,14434.7451171875,598.0137334754163,71.12662622949583
KR,102970.KS,MA20_RECLAIM_60M,933,2025-07-10,2025-07-11,0.7350756694424607,1,8,True,True,True,False,14630.669921875,594.1335225479941,72.40727773598925
KR,102970.KS,MA20_RECLAIM_60M,934,2025-07-11,2025-07-14,0.7350756694424607,1,8,True,True,True,False,14787.4091796875,577.9352854186255,73.42285913280352
KR,102970.KS,MA20_RECLAIM_60M,989,2025-09-29,2025-09-30,0.1728339813026396,4,8,True,True,True,False,13861.666015625,428.4558879969572,53.263085212310564
KR,102970.KS,MA20_RECLAIM_60M,999,2025-10-20,2025-10-21,0.0167333704330197,4,8,True,True,True,True,15443.7578125,532.358987822352,67.65683520753433
KR,102970.KS,MA20_RECLAIM_60M,1014,2025-11-10,2025-11-11,0.21568634526667396,2,8,True,True,True,False,15522.126953125,678.8315807116383,57.26614595542465
KR,102970.KS,MA20_RECLAIM_60M,1016,2025-11-12,2025-11-13,0.21568634526667396,2,8,True,True,True,True,15850.30078125,700.749703433687,58.955729484413794
KR,102970.KS,MA20_RECLAIM_60M,1017,2025-11-13,2025-11-14,0.21568634526667396,2,8,True,True,True,True,16021.7353515625,679.7349799818834,60.27116558253872
KR,102970.KS,MA20_RECLAIM_60M,1050,2026-01-02,2026-01-05,0.07858401718423291,4,8,True,True,True,True,15267.4248046875,439.1793366448296,57.065506018206705
KR,102970.KS,MA20_RECLAIM_60M,1051,2026-01-05,2026-01-06,0.07858401718423291,4,8,True,True,True,True,15443.7578125,441.3964609608745,59.35620710233918
KR,102970.KS,MA20_RECLAIM_60M,1052,2026-01-06,2026-01-07,0.07858401718423291,4,8,True,True,True,True,16349.908203125,475.99269616808215,68.62127679796792
KR,102970.KS,MA20_RECLAIM_60M,1131,2026-05-04,2026-05-06,0.3908042048772582,3,8,True,True,True,True,29447.22265625,1300.9868002710518,61.06842150571962
KR,102970.KS,MA20_RECLAIM_60M,1132,2026-05-06,2026-05-07,0.3908042048772582,3,8,True,True,True,True,33263.8125,1524.2200948863658,71.8706942190607
KR,140700.KS,MA20_RECLAIM_60M,931,2025-07-08,2025-07-09,0.31469747313387453,4,8,True,True,False,True,11513.9638671875,285.99923002869633,72.09944956825268
KR,140700.KS,MA20_RECLAIM_60M,932,2025-07-09,2025-07-10,0.31469747313387453,4,8,True,True,False,True,11895.642578125,297.37726880183277,76.56013241868
KR,140700.KS,MA20_RECLAIM_60M,933,2025-07-10,2025-07-11,0.31469747313387453,4,8,True,True,False,False,12135.4150390625,299.20450860452814,78.84797706706513
KR,140700.KS,MA20_RECLAIM_60M,984,2025-09-22,2025-09-23,0.2268993422255734,1,8,True,True,True,False,12458.3740234375,224.96774367352896,62.1718753027857
KR,140700.KS,MA20_RECLAIM_60M,985,2025-09-23,2025-09-24,0.2268993422255734,1,8,True,True,True,True,12507.306640625,217.9861994030927,63.21152550808842
