entry_mode,cost_label,window,raw_trades,raw_wins,raw_sum_net_r,raw_mean_net_r,raw_median_net_r,raw_pf,raw_winrate,raw_avg_win_r,raw_avg_loss_r,raw_max_drawdown_r,raw_top3_ticker_r,raw_residual_ex_top3_r,raw_max_positive_month_share,dedup_trades,dedup_wins,dedup_sum_net_r,dedup_mean_net_r,dedup_median_net_r,dedup_pf,dedup_winrate,dedup_avg_win_r,dedup_avg_loss_r,dedup_max_drawdown_r,dedup_top3_ticker_r,dedup_residual_ex_top3_r,dedup_max_positive_month_share
DAILY_5_20_CROSS,BASE_5BP_SIDE,DEVELOPMENT_TO_2025,14,5,11.346580463029685,0.8104700330735489,-0.2429314843728314,3.3515881339670615,0.35714285714285715,3.2343303567227,0.5361190356204242,2.7811172156421993,13.836340172703986,-2.489759709674301,0.8529237508195346,13,5,11.531382746564187,0.8870294420433991,-0.2606094686961409,3.485067709327655,0.38461538461538464,3.2343303567227,0.5800336296311644,2.7811172156421993,13.836340172703986,-2.304957426139799,0.841635150480628
DAILY_5_20_CROSS,BASE_5BP_SIDE,VALIDATION_2026_H1,7,6,11.950946020671234,1.7072780029530334,1.101288145758635,112.64091818846536,0.8571428571428571,2.0096656835633806,0.1070480807090495,0.10704808070904903,10.629185496870695,1.3217605238005383,0.5179883472406667,6,5,8.377050675920259,1.3961751126533766,0.997689084549974,79.25502914609555,0.8333333333333334,1.6968197513258616,0.1070480807090495,0.10704808070904903,8.263626378587407,0.11342429733285186,0.7361890301820515
DAILY_5_20_CROSS,BASE_5BP_SIDE,STRESS_2026_07_PLUS,1,0,-0.4848993328660547,-0.4848993328660547,-0.4848993328660547,0.0,0.0,0.0,0.4848993328660547,0.4848993328660547,-0.4848993328660547,0.0,0.0,1,0,-0.4848993328660547,-0.4848993328660547,-0.4848993328660547,0.0,0.0,0.0,0.4848993328660547,0.4848993328660547,-0.4848993328660547,0.0,0.0
DAILY_5_20_CROSS,STRESS_10BP_SIDE,DEVELOPMENT_TO_2025,14,5,11.052797364375675,0.7894855260268339,-0.26097068103350546,3.2145870698916723,0.35714285714285715,3.208740805606959,0.5545451848510135,2.85024544083144,13.695677989978016,-2.6428806256023414,0.857676916005279,13,5,11.254214870661329,0.8657088362047176,-0.2759168920982033,3.3497735355210794,0.38461538461538464,3.208740805606959,0.5986861446716835,2.85024544083144,13.695677989978016,-2.441463119316687,0.849974578381398
DAILY_5_20_CROSS,STRESS_10BP_SIDE,VALIDATION_2026_H1,7,6,11.855557767543443,1.6936511096490634,1.0845676905978596,103.5071356165966,0.8571428571428571,1.9952022823811317,0.1156559267433471,0.11565592674334724,10.560177081482921,1.295380686060522,0.5182106911376612,6,5,8.292958474202779,1.382159745700463,0.9822928666785249,72.70370518586344,0.8333333333333334,1.6817228801892252,0.1156559267433471,0.11565592674334724,8.197801405483464,0.09515706871931506,0.7377685105378325
DAILY_5_20_CROSS,STRESS_10BP_SIDE,STRESS_2026_07_PLUS,1,0,-0.5034987156672919,-0.5034987156672919,-0.5034987156672919,0.0,0.0,0.0,0.5034987156672919,0.5034987156672919,-0.5034987156672919,0.0,0.0,1,0,-0.5034987156672919,-0.5034987156672919,-0.5034987156672919,0.0,0.0,0.0,0.5034987156672919,0.5034987156672919,-0.5034987156672919,0.0,0.0
MA20_RECLAIM_60M,BASE_5BP_SIDE,DEVELOPMENT_TO_2025,12,2,-4.289899610000953,-0.35749163416674606,-0.30150968713897425,0.15733243347575512,0.16666666666666666,0.4004784162941458,0.5090856442589244,5.015618583713641,-1.4578199215013865,-2.8320796884995665,1.0,10,1,-4.6653272039470215,-0.46653272039470217,-0.40687444848108306,0.03499098334365686,0.1,0.1691635867317017,0.5371656434087471,4.834490790678725,-1.8332475154474563,-2.832079688499565,0.0
MA20_RECLAIM_60M,BASE_5BP_SIDE,VALIDATION_2026_H1,13,8,16.021045773570393,1.2323881364284917,0.07597665177944,5.30820010351931,0.6153846153846154,2.4674723431568197,0.7437465943368331,1.6887204508321112,16.026031022680638,-0.004985249110244894,0.8502937572789064,11,6,12.051086716205356,1.0955533378368505,0.00292398094203,4.240643199704543,0.5454545454545454,2.628303281314921,0.7437465943368331,2.700524475234422,13.233336762853677,-1.1822500466483206,0.9623323761632034
MA20_RECLAIM_60M,BASE_5BP_SIDE,STRESS_2026_07_PLUS,0,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0
MA20_RECLAIM_60M,STRESS_10BP_SIDE,DEVELOPMENT_TO_2025,12,2,-4.526574203685759,-0.37721451697381325,-0.315572828103435,0.1440270941630646,0.16666666666666666,0.38082357784029314,0.5288221359366346,5.200922894705482,-1.5799371431617484,-2.9466370605240106,1.0,10,1,-4.864501891037084,-0.4864501891037084,-0.419545551139882,0.029984680309417356,0.1,0.1503693097484584,0.5572079111983936,5.014871200785542,-1.917864830513073,-2.9466370605240106,0.0
MA20_RECLAIM_60M,STRESS_10BP_SIDE,VALIDATION_2026_H1,13,7,15.83217117884018,1.2178593214492446,0.0630683711458654,5.178120094445243,0.5384615384615384,2.8030680192011888,0.6315508259280234,1.7231884267779236,15.919356901183129,-0.08718572234294797,0.855424386542419,11,5,11.896530666094183,1.0815027878267438,-0.0060914870861116,4.139502047364384,0.45454545454545453,3.137167124332464,0.6315508259280234,2.75288796266865,13.131352450180852,-1.2348217840866695,0.9654361041819427
MA20_RECLAIM_60M,STRESS_10BP_SIDE,STRESS_2026_07_PLUS,0,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0
