market,ticker,daily_rows,intraday_session_rows,daily_start,daily_end,intraday_start,intraday_end,usable
KR,069500.KS,1199.0,728.0,2021-08-11,2026-08-11,2023-08-09,2026-08-11,True
KR,091160.KS,1199.0,728.0,2021-08-11,2026-08-11,2023-08-09,2026-08-11,True
KR,091180.KS,1199.0,728.0,2021-08-11,2026-08-11,2023-08-09,2026-08-11,True
KR,091170.KS,1199.0,728.0,2021-08-11,2026-08-11,2023-08-09,2026-08-11,True
KR,102970.KS,1199.0,728.0,2021-08-11,2026-08-11,2023-08-09,2026-08-11,True
KR,140700.KS,1199.0,728.0,2021-08-11,2026-08-11,2023-08-09,2026-08-11,True
KR,117700.KS,1199.0,728.0,2021-08-11,2026-08-11,2023-08-09,2026-08-11,True
KR,117680.KS,1199.0,728.0,2021-08-11,2026-08-11,2023-08-09,2026-08-11,True
KR,140710.KS,1199.0,728.0,2021-08-11,2026-08-11,2023-08-09,2026-08-11,True
KR,471990.KS,,,,,,,False
KR,487240.KS,,,,,,,False
KR,445290.KS,894.0,728.0,2022-11-15,2026-08-11,2023-08-09,2026-08-11,True
