symbol,yf_ticker,name,market,theme,relation,rows,start,end,raw_setups,usable
257720,257720.KQ,실리콘투,KOSDAQ,COSMETICS,DIRECT,4361,2023-08-09 09:00:00+09:00,2026-08-11 13:00:00+09:00,82,True
018290,018290.KQ,브이티,KOSDAQ,COSMETICS,DIRECT,4361,2023-08-09 09:00:00+09:00,2026-08-11 13:00:00+09:00,72,True
241710,241710.KQ,코스메카코리아,KOSDAQ,COSMETICS,DIRECT,4366,2023-08-09 09:00:00+09:00,2026-08-11 13:00:00+09:00,82,True
950140,950140.KQ,잉글우드랩,KOSDAQ,COSMETICS,DIRECT,4361,2023-08-09 09:00:00+09:00,2026-08-11 13:00:00+09:00,71,True
237880,237880.KQ,클리오,KOSDAQ,COSMETICS,DIRECT,4361,2023-08-09 09:00:00+09:00,2026-08-11 13:00:00+09:00,92,True
352480,352480.KQ,씨앤씨인터내셔널,KOSDAQ,COSMETICS,DIRECT,4361,2023-08-09 09:00:00+09:00,2026-08-11 13:00:00+09:00,72,True
114840,114840.KQ,아이패밀리에스씨,KOSDAQ,COSMETICS,DIRECT,4361,2023-08-09 09:00:00+09:00,2026-08-11 13:00:00+09:00,78,True
010170,010170.KQ,대한광통신,KOSDAQ,OPTICAL_COMMS,DIRECT,4361,2023-08-09 09:00:00+09:00,2026-08-11 13:00:00+09:00,80,True
138080,138080.KQ,오이솔루션,KOSDAQ,OPTICAL_COMMS,DIRECT,4361,2023-08-09 09:00:00+09:00,2026-08-11 13:00:00+09:00,62,True
050890,050890.KQ,쏠리드,KOSDAQ,OPTICAL_COMMS,DIRECT,4361,2023-08-09 09:00:00+09:00,2026-08-11 13:00:00+09:00,71,True
218410,218410.KQ,RFHIC,KOSDAQ,OPTICAL_COMMS,RELATED_RF,4361,2023-08-09 09:00:00+09:00,2026-08-11 13:00:00+09:00,66,True
115440,115440.KQ,우리넷,KOSDAQ,OPTICAL_COMMS,DIRECT,4361,2023-08-09 09:00:00+09:00,2026-08-11 13:00:00+09:00,78,True
039560,039560.KQ,다산네트웍스,KOSDAQ,OPTICAL_COMMS,RELATED_NETWORK,4361,2023-08-09 09:00:00+09:00,2026-08-11 13:00:00+09:00,67,True
100590,100590.KQ,머큐리,KOSDAQ,OPTICAL_COMMS,RELATED_NETWORK,4360,2023-08-09 09:00:00+09:00,2026-08-11 13:00:00+09:00,63,True
024060,024060.KQ,흥구석유,KOSDAQ,OIL_RELATED,PETROLEUM_DISTRIBUTION,4361,2023-08-09 09:00:00+09:00,2026-08-11 13:00:00+09:00,52,True
000440,000440.KQ,중앙에너비스,KOSDAQ,OIL_RELATED,PETROLEUM_DISTRIBUTION,4360,2023-08-09 09:00:00+09:00,2026-08-11 12:00:00+09:00,59,True
124560,124560.KQ,태웅로직스,KOSDAQ,SHIPPING_RELATED,LOGISTICS,4361,2023-08-09 09:00:00+09:00,2026-08-11 13:00:00+09:00,72,True
039420,039420.KQ,케이엘넷,KOSDAQ,SHIPPING_RELATED,PORT_LOGISTICS_IT,4357,2023-08-09 09:00:00+09:00,2026-08-11 12:00:00+09:00,80,True
054300,054300.KQ,팬스타엔터프라이즈,KOSDAQ,SHIPPING_RELATED,SHIPPING_RELATED,4274,2023-08-09 09:00:00+09:00,2026-08-11 12:00:00+09:00,67,True
