ticker,setup_id,entry_mode,legacy_entry_i,chosen_entry_i,decision,legacy_entry_time,chosen_entry_time
257720.KQ,KRLEVEL_RR|257720|5T|734|738|739,PULLBACK,740,741.0,PULLBACK_HOLD,2024-02-13 13:00:00+09:00,2024-02-13 14:00:00+09:00
257720.KQ,KRLEVEL_RR|257720|2T|913|914|915,PULLBACK,916,917.0,PULLBACK_HOLD,2024-03-27 09:00:00+09:00,2024-03-27 10:00:00+09:00
257720.KQ,KRLEVEL_RR|257720|2T|1691|1693|1694,PULLBACK,1695,1696.0,PULLBACK_HOLD,2024-10-10 14:00:00+09:00,2024-10-11 09:00:00+09:00
257720.KQ,KRLEVEL_RR|257720|2T|4252|4256|4257,PULLBACK,4258,4259.0,PULLBACK_HOLD,2026-07-16 13:00:00+09:00,2026-07-16 14:00:00+09:00
018290.KQ,KRLEVEL_RR|018290|2T|1797|1799|1800,PULLBACK,1801,1802.0,PULLBACK_HOLD,2024-11-05 12:00:00+09:00,2024-11-05 13:00:00+09:00
018290.KQ,KRLEVEL_RR|018290|2T|4317|4318|4319,PULLBACK,4320,4321.0,PULLBACK_HOLD,2026-08-03 09:00:00+09:00,2026-08-03 10:00:00+09:00
241710.KQ,KRLEVEL_RR|241710|3T|949|950|951,PULLBACK,952,,NO_PULLBACK_HOLD,2024-04-04 09:00:00+09:00,
241710.KQ,KRLEVEL_RR|241710|2T|1396|1399|1400,PULLBACK,1401,,NO_PULLBACK_HOLD,2024-07-24 14:00:00+09:00,
241710.KQ,KRLEVEL_RR|241710|3T|3767|3768|3770,PULLBACK,3771,,NO_PULLBACK_HOLD,2026-03-17 13:00:00+09:00,
241710.KQ,KRLEVEL_RR|241710|2T|3836|3837|3838,PULLBACK,3839,,NO_PULLBACK_HOLD,2026-04-02 09:00:00+09:00,
241710.KQ,KRLEVEL_RR|241710|4T|3885|3888|3890,PULLBACK,3891,,NO_PULLBACK_HOLD,2026-04-14 13:00:00+09:00,
950140.KQ,KRLEVEL_RR|950140|2T|310|315|317,PULLBACK,318,319.0,PULLBACK_HOLD,2023-10-31 09:00:00+09:00,2023-10-31 10:00:00+09:00
950140.KQ,KRLEVEL_RR|950140|4T|1006|1009|1011,PULLBACK,1012,1013.0,PULLBACK_HOLD,2024-04-19 09:00:00+09:00,2024-04-19 10:00:00+09:00
950140.KQ,KRLEVEL_RR|950140|3T|1636|1639|1641,PULLBACK,1642,1643.0,PULLBACK_HOLD,2024-09-25 09:00:00+09:00,2024-09-25 10:00:00+09:00
950140.KQ,KRLEVEL_RR|950140|3T|2672|2674|2675,PULLBACK,2676,,NO_PULLBACK_HOLD,2025-06-16 13:00:00+09:00,
950140.KQ,KRLEVEL_RR|950140|2T|3648|3653|3654,PULLBACK,3655,,NO_PULLBACK_HOLD,2026-02-13 10:00:00+09:00,
950140.KQ,KRLEVEL_RR|950140|4T|3718|3722|3723,PULLBACK,3724,3725.0,PULLBACK_HOLD,2026-03-06 13:00:00+09:00,2026-03-06 14:00:00+09:00
950140.KQ,KRLEVEL_RR|950140|2T|3744|3748|3750,PULLBACK,3751,3752.0,PULLBACK_HOLD,2026-03-13 10:00:00+09:00,2026-03-13 11:00:00+09:00
950140.KQ,KRLEVEL_RR|950140|2T|4316|4318|4319,PULLBACK,4320,4321.0,PULLBACK_HOLD,2026-08-03 09:00:00+09:00,2026-08-03 10:00:00+09:00
237880.KQ,KRLEVEL_RR|237880|3T|1305|1309|1311,PULLBACK,1312,1313.0,PULLBACK_HOLD,2024-07-04 09:00:00+09:00,2024-07-04 10:00:00+09:00
237880.KQ,KRLEVEL_RR|237880|3T|1344|1347|1349,PULLBACK,1350,1353.0,PULLBACK_HOLD,2024-07-12 11:00:00+09:00,2024-07-12 14:00:00+09:00
237880.KQ,KRLEVEL_RR|237880|2T|1624|1626|1627,PULLBACK,1628,,NO_PULLBACK_HOLD,2024-09-20 13:00:00+09:00,
237880.KQ,KRLEVEL_RR|237880|2T|2097|2101|2103,PULLBACK,2104,2105.0,PULLBACK_HOLD,2025-01-20 11:00:00+09:00,2025-01-20 12:00:00+09:00
237880.KQ,KRLEVEL_RR|237880|2T|3164|3167|3168,PULLBACK,3169,3170.0,PULLBACK_HOLD,2025-10-16 14:00:00+09:00,2025-10-17 09:00:00+09:00
237880.KQ,KRLEVEL_RR|237880|7T|3612|3617|3618,PULLBACK,3619,3620.0,PULLBACK_HOLD,2026-02-05 10:00:00+09:00,2026-02-05 11:00:00+09:00
237880.KQ,KRLEVEL_RR|237880|4T|3812|3814|3815,PULLBACK,3816,,NO_PULLBACK_HOLD,2026-03-30 09:00:00+09:00,
237880.KQ,KRLEVEL_RR|237880|2T|3978|3981|3983,PULLBACK,3984,,NO_PULLBACK_HOLD,2026-05-12 09:00:00+09:00,
237880.KQ,KRLEVEL_RR|237880|2T|4290|4294|4295,PULLBACK,4296,,NO_PULLBACK_HOLD,2026-07-28 09:00:00+09:00,
352480.KQ,KRLEVEL_RR|352480|3T|295|297|299,PULLBACK,300,301.0,PULLBACK_HOLD,2023-10-26 09:00:00+09:00,2023-10-26 10:00:00+09:00
352480.KQ,KRLEVEL_RR|352480|2T|1435|1436|1437,PULLBACK,1438,,NO_PULLBACK_HOLD,2024-08-02 09:00:00+09:00,
352480.KQ,KRLEVEL_RR|352480|2T|2792|2794|2795,PULLBACK,2796,2799.0,PULLBACK_HOLD,2025-07-14 13:00:00+09:00,2025-07-15 10:00:00+09:00
114840.KQ,KRLEVEL_RR|114840|4T|806|807|808,PULLBACK,809,810.0,PULLBACK_HOLD,2024-02-29 10:00:00+09:00,2024-02-29 11:00:00+09:00
114840.KQ,KRLEVEL_RR|114840|2T|1078|1081|1082,PULLBACK,1083,,NO_PULLBACK_HOLD,2024-05-08 14:00:00+09:00,
114840.KQ,KRLEVEL_RR|114840|2T|1180|1184|1186,PULLBACK,1187,,NO_PULLBACK_HOLD,2024-06-04 10:00:00+09:00,
114840.KQ,KRLEVEL_RR|114840|2T|1798|1803|1804,PULLBACK,1805,1806.0,PULLBACK_HOLD,2024-11-06 10:00:00+09:00,2024-11-06 11:00:00+09:00
114840.KQ,KRLEVEL_RR|114840|2T|1938|1939|1940,PULLBACK,1941,,NO_PULLBACK_HOLD,2024-12-09 09:00:00+09:00,
114840.KQ,KRLEVEL_RR|114840|3T|2421|2423|2424,PULLBACK,2425,,NO_PULLBACK_HOLD,2025-04-10 14:00:00+09:00,
114840.KQ,KRLEVEL_RR|114840|2T|2467|2470|2471,PULLBACK,2472,2474.0,PULLBACK_HOLD,2025-04-22 13:00:00+09:00,2025-04-23 09:00:00+09:00
114840.KQ,KRLEVEL_RR|114840|5T|3799|3801|3802,PULLBACK,3803,3804.0,PULLBACK_HOLD,2026-03-25 14:00:00+09:00,2026-03-26 09:00:00+09:00
114840.KQ,KRLEVEL_RR|114840|2T|4205|4208|4210,PULLBACK,4211,4213.0,PULLBACK_HOLD,2026-07-06 14:00:00+09:00,2026-07-07 10:00:00+09:00
010170.KQ,KRLEVEL_RR|010170|3T|953|956|957,PULLBACK,958,960.0,PULLBACK_HOLD,2024-04-05 09:00:00+09:00,2024-04-05 11:00:00+09:00
010170.KQ,KRLEVEL_RR|010170|3T|1006|1009|1010,PULLBACK,1011,,NO_PULLBACK_HOLD,2024-04-18 14:00:00+09:00,
010170.KQ,KRLEVEL_RR|010170|2T|1246|1248|1249,PULLBACK,1250,,NO_PULLBACK_HOLD,2024-06-19 13:00:00+09:00,
010170.KQ,KRLEVEL_RR|010170|3T|1404|1407|1409,PULLBACK,1410,1412.0,PULLBACK_HOLD,2024-07-26 11:00:00+09:00,2024-07-26 13:00:00+09:00
010170.KQ,KRLEVEL_RR|010170|3T|2871|2874|2875,PULLBACK,2876,2877.0,PULLBACK_HOLD,2025-08-01 09:00:00+09:00,2025-08-01 10:00:00+09:00
010170.KQ,KRLEVEL_RR|010170|3T|4092|4094|4095,PULLBACK,4096,,NO_PULLBACK_HOLD,2026-06-09 13:00:00+09:00,
138080.KQ,KRLEVEL_RR|138080|3T|1613|1615|1617,PULLBACK,1618,,NO_PULLBACK_HOLD,2024-09-19 09:00:00+09:00,
138080.KQ,KRLEVEL_RR|138080|4T|2690|2692|2693,PULLBACK,2694,2695.0,PULLBACK_HOLD,2025-06-19 13:00:00+09:00,2025-06-19 14:00:00+09:00
138080.KQ,KRLEVEL_RR|138080|2T|3231|3234|3236,PULLBACK,3237,3239.0,PULLBACK_HOLD,2025-11-03 10:00:00+09:00,2025-11-03 12:00:00+09:00
138080.KQ,KRLEVEL_RR|138080|3T|3253|3256|3257,PULLBACK,3258,,NO_PULLBACK_HOLD,2025-11-06 13:00:00+09:00,
138080.KQ,KRLEVEL_RR|138080|3T|3691|3697|3698,PULLBACK,3699,,NO_PULLBACK_HOLD,2026-02-27 12:00:00+09:00,
138080.KQ,KRLEVEL_RR|138080|3T|3876|3878|3880,PULLBACK,3881,3882.0,PULLBACK_HOLD,2026-04-13 14:00:00+09:00,2026-04-14 09:00:00+09:00
138080.KQ,KRLEVEL_RR|138080|2T|3897|3901|3902,PULLBACK,3903,3904.0,PULLBACK_HOLD,2026-04-17 12:00:00+09:00,2026-04-17 13:00:00+09:00
050890.KQ,KRLEVEL_RR|050890|2T|2439|2442|2443,PULLBACK,2444,,NO_PULLBACK_HOLD,2025-04-16 09:00:00+09:00,
050890.KQ,KRLEVEL_RR|050890|5T|3546|3548|3550,PULLBACK,3551,3553.0,PULLBACK_HOLD,2026-01-19 14:00:00+09:00,2026-01-20 10:00:00+09:00
050890.KQ,KRLEVEL_RR|050890|2T|3767|3770|3771,PULLBACK,3772,,NO_PULLBACK_HOLD,2026-03-18 13:00:00+09:00,
050890.KQ,KRLEVEL_RR|050890|4T|3792|3795|3796,PULLBACK,3797,3798.0,PULLBACK_HOLD,2026-03-24 14:00:00+09:00,2026-03-25 09:00:00+09:00
050890.KQ,KRLEVEL_RR|050890|2T|4248|4251|4252,PULLBACK,4253,,NO_PULLBACK_HOLD,2026-07-15 14:00:00+09:00,
218410.KQ,KRLEVEL_RR|218410|2T|337|340|342,PULLBACK,343,345.0,PULLBACK_HOLD,2023-11-06 10:00:00+09:00,2023-11-06 12:00:00+09:00
218410.KQ,KRLEVEL_RR|218410|7T|1560|1562|1563,PULLBACK,1564,1565.0,PULLBACK_HOLD,2024-09-03 09:00:00+09:00,2024-09-03 10:00:00+09:00
218410.KQ,KRLEVEL_RR|218410|2T|3563|3565|3566,PULLBACK,3567,3568.0,PULLBACK_HOLD,2026-01-22 12:00:00+09:00,2026-01-22 13:00:00+09:00
218410.KQ,KRLEVEL_RR|218410|5T|3858|3861|3863,PULLBACK,3864,3866.0,PULLBACK_HOLD,2026-04-09 09:00:00+09:00,2026-04-09 11:00:00+09:00
218410.KQ,KRLEVEL_RR|218410|3T|3996|3999|4001,PULLBACK,4002,,NO_PULLBACK_HOLD,2026-05-15 09:00:00+09:00,
115440.KQ,KRLEVEL_RR|115440|5T|444|450|452,PULLBACK,453,,NO_PULLBACK_HOLD,2023-11-30 13:00:00+09:00,
115440.KQ,KRLEVEL_RR|115440|4T|1247|1249|1250,PULLBACK,1251,,NO_PULLBACK_HOLD,2024-06-19 14:00:00+09:00,
115440.KQ,KRLEVEL_RR|115440|3T|1433|1435|1437,PULLBACK,1438,,NO_PULLBACK_HOLD,2024-08-02 09:00:00+09:00,
115440.KQ,KRLEVEL_RR|115440|2T|2527|2530|2532,PULLBACK,2533,2536.0,PULLBACK_HOLD,2025-05-09 14:00:00+09:00,2025-05-12 11:00:00+09:00
115440.KQ,KRLEVEL_RR|115440|2T|2690|2693|2694,PULLBACK,2695,,NO_PULLBACK_HOLD,2025-06-19 14:00:00+09:00,
115440.KQ,KRLEVEL_RR|115440|3T|2966|2970|2972,PULLBACK,2973,2974.0,PULLBACK_HOLD,2025-08-26 10:00:00+09:00,2025-08-26 11:00:00+09:00
039560.KQ,KRLEVEL_RR|039560|3T|1540|1546|1547,PULLBACK,1548,1550.0,PULLBACK_HOLD,2024-08-29 11:00:00+09:00,2024-08-29 13:00:00+09:00
039560.KQ,KRLEVEL_RR|039560|4T|2055|2057|2059,PULLBACK,2060,,NO_PULLBACK_HOLD,2025-01-09 09:00:00+09:00,
039560.KQ,KRLEVEL_RR|039560|2T|2847|2849|2850,PULLBACK,2851,2853.0,PULLBACK_HOLD,2025-07-25 14:00:00+09:00,2025-07-28 10:00:00+09:00
039560.KQ,KRLEVEL_RR|039560|2T|3175|3179|3181,PULLBACK,3182,3183.0,PULLBACK_HOLD,2025-10-21 09:00:00+09:00,2025-10-21 10:00:00+09:00
039560.KQ,KRLEVEL_RR|039560|5T|3409|3412|3413,PULLBACK,3414,3415.0,PULLBACK_HOLD,2025-12-12 14:00:00+09:00,2025-12-15 09:00:00+09:00
100590.KQ,KRLEVEL_RR|100590|2T|1689|1692|1694,PULLBACK,1695,,NO_PULLBACK_HOLD,2024-10-10 14:00:00+09:00,
100590.KQ,KRLEVEL_RR|100590|3T|1881|1884|1885,PULLBACK,1886,1889.0,PULLBACK_HOLD,2024-11-25 14:00:00+09:00,2024-11-26 11:00:00+09:00
100590.KQ,KRLEVEL_RR|100590|4T|2007|2010|2012,PULLBACK,2013,,NO_PULLBACK_HOLD,2024-12-26 09:00:00+09:00,
100590.KQ,KRLEVEL_RR|100590|8T|2541|2547|2548,PULLBACK,2549,2550.0,PULLBACK_HOLD,2025-05-14 12:00:00+09:00,2025-05-14 13:00:00+09:00
100590.KQ,KRLEVEL_RR|100590|5T|2708|2711|2712,PULLBACK,2713,2714.0,PULLBACK_HOLD,2025-06-24 14:00:00+09:00,2025-06-25 09:00:00+09:00
100590.KQ,KRLEVEL_RR|100590|3T|2766|2767|2768,PULLBACK,2769,,NO_PULLBACK_HOLD,2025-07-08 10:00:00+09:00,
100590.KQ,KRLEVEL_RR|100590|8T|2991|2992|2993,PULLBACK,2994,2995.0,PULLBACK_HOLD,2025-08-29 13:00:00+09:00,2025-08-29 14:00:00+09:00
100590.KQ,KRLEVEL_RR|100590|3T|3071|3076|3077,PULLBACK,3078,3079.0,PULLBACK_HOLD,2025-09-18 14:00:00+09:00,2025-09-19 09:00:00+09:00
100590.KQ,KRLEVEL_RR|100590|4T|3402|3404|3406,PULLBACK,3407,3409.0,PULLBACK_HOLD,2025-12-11 14:00:00+09:00,2025-12-12 10:00:00+09:00
024060.KQ,KRLEVEL_RR|024060|4T|2577|2579|2581,PULLBACK,2582,2585.0,PULLBACK_HOLD,2025-05-22 09:00:00+09:00,2025-05-22 12:00:00+09:00
024060.KQ,KRLEVEL_RR|024060|4T|2766|2769|2771,PULLBACK,2772,2773.0,PULLBACK_HOLD,2025-07-08 13:00:00+09:00,2025-07-08 14:00:00+09:00
000440.KQ,KRLEVEL_RR|000440|3T|1073|1075|1077,PULLBACK,1078,,NO_PULLBACK_HOLD,2024-05-08 09:00:00+09:00,
000440.KQ,KRLEVEL_RR|000440|3T|1552|1555|1557,PULLBACK,1558,,NO_PULLBACK_HOLD,2024-09-02 09:00:00+09:00,
124560.KQ,KRLEVEL_RR|124560|4T|1877|1878|1880,PULLBACK,1881,1882.0,PULLBACK_HOLD,2024-11-25 09:00:00+09:00,2024-11-25 10:00:00+09:00
124560.KQ,KRLEVEL_RR|124560|3T|1967|1968|1970,PULLBACK,1971,,NO_PULLBACK_HOLD,2024-12-16 09:00:00+09:00,
124560.KQ,KRLEVEL_RR|124560|4T|2474|2476|2478,PULLBACK,2479,,NO_PULLBACK_HOLD,2025-04-23 14:00:00+09:00,
