ticker,setup_id,entry_time,decision
257720.KQ,KRLEVEL_RR|257720|5T|734|738|739,2024-02-13 14:00:00+09:00,OUTSIDE_REPLAY
257720.KQ,KRLEVEL_RR|257720|2T|913|914|915,2024-03-27 10:00:00+09:00,OUTSIDE_REPLAY
257720.KQ,KRLEVEL_RR|257720|2T|4252|4256|4257,2026-07-16 14:00:00+09:00,KEEP_REPLAY
018290.KQ,KRLEVEL_RR|018290|2T|1797|1799|1800,2024-11-05 13:00:00+09:00,OUTSIDE_REPLAY
950140.KQ,KRLEVEL_RR|950140|2T|310|315|317,2023-10-31 10:00:00+09:00,OUTSIDE_REPLAY
950140.KQ,KRLEVEL_RR|950140|4T|1006|1009|1011,2024-04-19 10:00:00+09:00,OUTSIDE_REPLAY
950140.KQ,KRLEVEL_RR|950140|3T|1636|1639|1641,2024-09-25 10:00:00+09:00,OUTSIDE_REPLAY
950140.KQ,KRLEVEL_RR|950140|4T|3718|3722|3723,2026-03-06 14:00:00+09:00,KEEP_REPLAY
950140.KQ,KRLEVEL_RR|950140|2T|3744|3748|3750,2026-03-13 11:00:00+09:00,KEEP_REPLAY
237880.KQ,KRLEVEL_RR|237880|3T|1305|1309|1311,2024-07-04 10:00:00+09:00,OUTSIDE_REPLAY
237880.KQ,KRLEVEL_RR|237880|2T|2097|2101|2103,2025-01-20 12:00:00+09:00,OUTSIDE_REPLAY
237880.KQ,KRLEVEL_RR|237880|2T|3164|3167|3168,2025-10-17 09:00:00+09:00,OUTSIDE_REPLAY
237880.KQ,KRLEVEL_RR|237880|7T|3612|3617|3618,2026-02-05 11:00:00+09:00,KEEP_REPLAY
352480.KQ,KRLEVEL_RR|352480|3T|295|297|299,2023-10-26 10:00:00+09:00,OUTSIDE_REPLAY
114840.KQ,KRLEVEL_RR|114840|4T|806|807|808,2024-02-29 11:00:00+09:00,OUTSIDE_REPLAY
114840.KQ,KRLEVEL_RR|114840|2T|1798|1803|1804,2024-11-06 11:00:00+09:00,OUTSIDE_REPLAY
114840.KQ,KRLEVEL_RR|114840|2T|4205|4208|4210,2026-07-07 10:00:00+09:00,KEEP_REPLAY
010170.KQ,KRLEVEL_RR|010170|3T|953|956|957,2024-04-05 11:00:00+09:00,OUTSIDE_REPLAY
010170.KQ,KRLEVEL_RR|010170|3T|1404|1407|1409,2024-07-26 13:00:00+09:00,OUTSIDE_REPLAY
010170.KQ,KRLEVEL_RR|010170|3T|2871|2874|2875,2025-08-01 10:00:00+09:00,OUTSIDE_REPLAY
138080.KQ,KRLEVEL_RR|138080|4T|2690|2692|2693,2025-06-19 14:00:00+09:00,OUTSIDE_REPLAY
138080.KQ,KRLEVEL_RR|138080|2T|3231|3234|3236,2025-11-03 12:00:00+09:00,OUTSIDE_REPLAY
138080.KQ,KRLEVEL_RR|138080|2T|3897|3901|3902,2026-04-17 13:00:00+09:00,KEEP_REPLAY
218410.KQ,KRLEVEL_RR|218410|7T|1560|1562|1563,2024-09-03 10:00:00+09:00,OUTSIDE_REPLAY
218410.KQ,KRLEVEL_RR|218410|2T|3563|3565|3566,2026-01-22 13:00:00+09:00,KEEP_REPLAY
218410.KQ,KRLEVEL_RR|218410|5T|3858|3861|3863,2026-04-09 11:00:00+09:00,KEEP_REPLAY
115440.KQ,KRLEVEL_RR|115440|2T|2527|2530|2532,2025-05-12 11:00:00+09:00,OUTSIDE_REPLAY
115440.KQ,KRLEVEL_RR|115440|3T|2966|2970|2972,2025-08-26 11:00:00+09:00,OUTSIDE_REPLAY
