strategy,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,active_stop,raw_first_entry,first_entry,R,target1,target2,level,touches,shares,cash_out,cash_in,buy_notional,sell_notional,commissions,taxes,partial_taken,added20,added60,entry_i,bars_held,last_mark,mfe_R,mae_R,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
KOSDAQ40_PIT|5M|2T,222800.KQ,222800,KOSDAQ,심텍,KRLEVEL_RR|222800|2T|240|242|243,2023-10-11 04:00:00+00:00,5000000,2,999995.9275000001,49088.13388402334,37941.37548152912,37941.37548152912,39800.0,39900.0,1958.6245184708823,41858.62451847088,43817.249036941765,39550.0,2,0,972645.875,942968.25,972500.0,945000.0,287.625,1890.0,False,True,True,244,7,38250.0,0.051056238220723894,-0.8679560497523062,2023-10-12 04:00:00+00:00,37941.37548152912,stop,LOSS,-29677.625,3,"[{""time"": ""2023-10-11 04:00:00+00:00"", ""raw_price"": 39800.0, ""price"": 39900.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}, {""time"": ""2023-10-12 00:00:00+00:00"", ""raw_price"": 39116.55019261165, ""price"": 39250.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 2}, {""time"": ""2023-10-12 03:00:00+00:00"", ""raw_price"": 38333.1003852233, ""price"": 38450.0, ""shares"": 15, ""fraction"": 0.6, ""reason"": ""support60"", ""slippage_ticks"": 2}]","[{""time"": ""2023-10-12 04:00:00+00:00"", ""raw_price"": 37941.37548152912, ""price"": 37800.0, ""shares"": 25, ""reason"": ""stop"", ""slippage_ticks"": 2, ""commission"": 141.75, ""stt"": 1890.0, ""rural_tax"": 0.0}]"
KOSDAQ40_PIT|5M|2T,101490.KQ,101490,KOSDAQ,에스앤에스텍,KRLEVEL_RR|101490|3T|240|242|243,2023-10-11 04:00:00+00:00,5000000,2,871783.5586509829,50000.0,42654.74573356139,42654.74573356139,45150.0,45250.0,2595.254266438613,47845.25426643861,50440.508532877226,44300.0,3,0,268840.31999999995,254751.10499999998,268800.0,255300.0,78.61499999999998,510.6,False,True,False,244,15,43700.0,0.0,-0.7899033349102829,2023-10-16 00:00:00+00:00,42654.74573356139,stop,LOSS,-14089.214999999967,2,"[{""time"": ""2023-10-11 04:00:00+00:00"", ""raw_price"": 45150.0, ""price"": 45250.0, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}, {""time"": ""2023-10-12 00:00:00+00:00"", ""raw_price"": 44211.89829342456, ""price"": 44350.0, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 2}]","[{""time"": ""2023-10-16 00:00:00+00:00"", ""raw_price"": 42654.74573356139, ""price"": 42550.0, ""shares"": 6, ""reason"": ""stop"", ""slippage_ticks"": 2, ""commission"": 38.294999999999995, ""stt"": 510.6, ""rural_tax"": 0.0}]"
KOSDAQ40_PIT|5M|2T,028300.KQ,028300,KOSDAQ,HLB,KRLEVEL_RR|028300|3T|258|262|264,2023-10-17 01:00:00+00:00,5000000,2,991246.6320000001,40570.47550105052,29970.976880547092,29970.976880547092,31150.0,31250.0,1279.0231194529078,32529.023119452908,33808.046238905816,30650.0,3,0,372655.89,357429.87,372600.0,358200.0,109.61999999999999,716.4,False,True,False,265,6,30550.0,0.19546167398986153,-0.6645696915655293,2023-10-18 00:00:00+00:00,29970.976880547092,stop,LOSS,-15226.020000000019,2,"[{""time"": ""2023-10-17 01:00:00+00:00"", ""raw_price"": 31150.0, ""price"": 31250.0, ""shares"": 6, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}, {""time"": ""2023-10-17 01:00:00+00:00"", ""raw_price"": 30738.39075221884, ""price"": 30850.0, ""shares"": 6, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 2}]","[{""time"": ""2023-10-18 00:00:00+00:00"", ""raw_price"": 29970.976880547092, ""price"": 29850.0, ""shares"": 12, ""reason"": ""stop"", ""slippage_ticks"": 2, ""commission"": 53.73, ""stt"": 716.4, ""rural_tax"": 0.0}]"
KOSDAQ40_PIT|5M|2T,101490.KQ,101490,KOSDAQ,에스앤에스텍,KRLEVEL_RR|101490|3T|266|267|268,2023-10-17 05:00:00+00:00,5000000,2,605670.6195891094,49489.7727,41965.820828614174,41965.820828614174,45600.0,45700.0,3734.1791713858256,49434.179171385826,53168.35834277165,44300.0,3,0,180127.015,176619.45,180100.0,177000.0,53.565,354.0,False,True,False,269,26,44350.0,0.6427115277142189,-0.7899995861487273,2023-10-24 00:00:00+00:00,44350.0,time,TIME,-3507.5650000000023,2,"[{""time"": ""2023-10-17 05:00:00+00:00"", ""raw_price"": 45600.0, ""price"": 45700.0, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}, {""time"": ""2023-10-20 00:00:00+00:00"", ""raw_price"": 44206.32833144567, ""price"": 44350.0, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 2}]","[{""time"": ""2023-10-24 00:00:00+00:00"", ""raw_price"": 44350.0, ""price"": 44250.0, ""shares"": 4, ""reason"": ""time"", ""slippage_ticks"": 2, ""commission"": 26.549999999999997, ""stt"": 354.0, ""rural_tax"": 0.0}]"
KOSDAQ40_PIT|5M|2T,068760.KQ,068760,KOSDAQ,셀트리온제약,KRLEVEL_RR|068760|3T|291|294|296,2023-10-24 03:00:00+00:00,5000000,2,516860.24344422156,49374.99575000001,53544.699973590745,53544.699973590745,58956.91796875,59200.0,5655.300026409255,64855.300026409255,70510.60005281851,58245.51953125,3,0,116417.45999999999,113954.47,116400.0,114200.0,34.59,228.4,False,True,False,297,26,57356.27734375,0.11425744933647125,-0.5618782078600985,2023-10-30 04:00:00+00:00,57356.27734375,time,TIME,-2462.9899999999907,2,"[{""time"": ""2023-10-24 03:00:00+00:00"", ""raw_price"": 58956.91796875, ""price"": 59200.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}, {""time"": ""2023-10-26 02:00:00+00:00"", ""raw_price"": 56937.8799894363, ""price"": 57200.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 2}]","[{""time"": ""2023-10-30 04:00:00+00:00"", ""raw_price"": 57356.27734375, ""price"": 57100.0, ""shares"": 2, ""reason"": ""time"", ""slippage_ticks"": 2, ""commission"": 17.13, ""stt"": 228.4, ""rural_tax"": 0.0}]"
KOSDAQ40_PIT|5M|2T,095340.KQ,095340,KOSDAQ,ISC,KRLEVEL_RR|095340|2T|294|296|298,2023-10-24 05:00:00+00:00,5000000,2,520492.10764178657,49375.14386406251,69786.10698216551,69786.10698216551,76900.0,77100.0,7313.893017834489,84413.89301783449,91727.78603566898,75350.0,2,0,437565.625,420294.42,437500.0,421200.0,128.805,842.4,False,True,True,299,26,70400.0,0.4511960992529079,-0.9844278529154353,2023-10-31 00:00:00+00:00,70400.0,time,TIME,-17271.205000000016,3,"[{""time"": ""2023-10-24 05:00:00+00:00"", ""raw_price"": 76900.0, ""price"": 77100.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}, {""time"": ""2023-10-26 00:00:00+00:00"", ""raw_price"": 74174.4427928662, ""price"": 74400.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 2}, {""time"": ""2023-10-26 00:00:00+00:00"", ""raw_price"": 71248.88558573241, ""price"": 71500.0, ""shares"": 4, ""fraction"": 0.6, ""reason"": ""support60"", ""slippage_ticks"": 2}]","[{""time"": ""2023-10-31 00:00:00+00:00"", ""raw_price"": 70400.0, ""price"": 70200.0, ""shares"": 6, ""reason"": ""time"", ""slippage_ticks"": 2, ""commission"": 63.17999999999999, ""stt"": 842.4, ""rural_tax"": 0.0}]"
KOSDAQ40_PIT|5M|2T,028300.KQ,028300,KOSDAQ,HLB,KRLEVEL_RR|028300|2T|332|334|336,2023-11-02 01:00:00+00:00,5000000,2,983570.6730000001,26239.76839746032,28615.664708126842,28615.664708126842,29300.0,29400.0,784.335291873158,30184.335291873158,30968.670583746316,28950.0,2,0,176426.46,170632.35,176400.0,171000.0,52.11,342.0,False,False,False,337,6,29700.0,0.2549929884225378,-0.3824894826338067,2023-11-03 00:00:00+00:00,28615.664708126842,stop,LOSS,-5794.109999999986,1,"[{""time"": ""2023-11-02 01:00:00+00:00"", ""raw_price"": 29300.0, ""price"": 29400.0, ""shares"": 6, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}]","[{""time"": ""2023-11-03 00:00:00+00:00"", ""raw_price"": 28615.664708126842, ""price"": 28500.0, ""shares"": 6, ""reason"": ""stop"", ""slippage_ticks"": 2, ""commission"": 25.65, ""stt"": 342.0, ""rural_tax"": 0.0}]"
KOSDAQ40_PIT|5M|2T,112040.KQ,112040,KOSDAQ,위메이드,KRLEVEL_RR|112040|4T|319|321|323,2023-10-31 00:00:00+00:00,5000000,2,579080.6792241503,49450.70960000001,36629.92229660733,40050.0,39950.0,40050.0,3420.0777033926715,43470.07770339267,46890.15540678534,38550.0,4,0,80112.015,87611.23,80100.0,87800.0,25.185,175.60000000000002,True,False,False,324,26,44550.0,1.72510700389856,-0.3362496702514143,2023-11-06 01:00:00+00:00,44550.0,time,TIME,7499.2149999999965,1,"[{""time"": ""2023-10-31 00:00:00+00:00"", ""raw_price"": 39950.0, ""price"": 40050.0, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}]","[{""time"": ""2023-11-06 00:00:00+00:00"", ""raw_price"": 43470.07770339267, ""price"": 43350.0, ""shares"": 1, ""reason"": ""target1_partial"", ""slippage_ticks"": 2, ""commission"": 6.5024999999999995, ""stt"": 86.7, ""rural_tax"": 0.0}, {""time"": ""2023-11-06 01:00:00+00:00"", ""raw_price"": 44550.0, ""price"": 44450.0, ""shares"": 1, ""reason"": ""time"", ""slippage_ticks"": 2, ""commission"": 6.6674999999999995, ""stt"": 88.9, ""rural_tax"": 0.0}]"
KOSDAQ40_PIT|5M|2T,096530.KQ,096530,KOSDAQ,씨젠,KRLEVEL_RR|096530|2T|339|342|344,2023-11-03 03:00:00+00:00,5000000,2,982471.851,45346.861152391204,19458.419875778425,20400.0,20300.0,20400.0,941.5801242215748,21341.580124221575,22283.16024844315,19955.0,2,0,183627.54,191387.63,183600.0,191800.0,56.309999999999995,383.6,True,False,False,345,26,21500.0,1.3806578607155062,-0.26551112706067426,2023-11-09 04:00:00+00:00,21500.0,time,TIME,7760.0899999999965,1,"[{""time"": ""2023-11-03 03:00:00+00:00"", ""raw_price"": 20300.0, ""price"": 20400.0, ""shares"": 9, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}]","[{""time"": ""2023-11-08 00:00:00+00:00"", ""raw_price"": 21341.580124221575, ""price"": 21200.0, ""shares"": 4, ""reason"": ""target1_partial"", ""slippage_ticks"": 2, ""commission"": 12.719999999999999, ""stt"": 169.6, ""rural_tax"": 0.0}, {""time"": ""2023-11-09 04:00:00+00:00"", ""raw_price"": 21500.0, ""price"": 21400.0, ""shares"": 5, ""reason"": ""time"", ""slippage_ticks"": 2, ""commission"": 16.049999999999997, ""stt"": 214.0, ""rural_tax"": 0.0}]"
KOSDAQ40_PIT|5M|2T,403870.KQ,403870,KOSDAQ,HPSP,KRLEVEL_RR|403870|2T|367|369|371,2023-11-10 00:00:00+00:00,5000000,2,983902.2719999999,18502.9177706558,36107.952229263545,36800.0,36700.0,36800.0,692.0477707364553,37492.047770736455,38184.09554147291,36350.0,2,0,367305.0875,376189.44999999995,367250.0,377000.0,111.63749999999999,754.0,True,True,False,372,2,37800.0,2.1674804304387076,-0.5057454337690317,2023-11-10 01:00:00+00:00,38184.09554147291,target2,WIN,8884.36249999993,2,"[{""time"": ""2023-11-10 00:00:00+00:00"", ""raw_price"": 36700.0, ""price"": 36800.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}, {""time"": ""2023-11-10 00:00:00+00:00"", ""raw_price"": 36523.180891705415, ""price"": 36650.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 2}]","[{""time"": ""2023-11-10 00:00:00+00:00"", ""raw_price"": 37492.047770736455, ""price"": 37350.0, ""shares"": 5, ""reason"": ""target1_partial"", ""slippage_ticks"": 2, ""commission"": 28.0125, ""stt"": 373.5, ""rural_tax"": 0.0}, {""time"": ""2023-11-10 01:00:00+00:00"", ""raw_price"": 38184.09554147291, ""price"": 38050.0, ""shares"": 5, ""reason"": ""target2"", ""slippage_ticks"": 2, ""commission"": 28.537499999999998, ""stt"": 380.5, ""rural_tax"": 0.0}]"
