market,symbol,name,yf_ticker,bars,setups,status
KOSPI,005930,삼성전자,005930.KS,4367,66,OK
KOSPI,373220,LG에너지솔루션,373220.KS,4367,71,OK
KOSPI,000660,SK하이닉스,000660.KS,4367,64,OK
KOSPI,207940,삼성바이오로직스,207940.KS,4266,63,OK
KOSPI,005490,POSCO홀딩스,005490.KS,4367,64,OK
KOSPI,051910,LG화학,051910.KS,4367,54,OK
KOSPI,006400,삼성SDI,006400.KS,4367,70,OK
KOSPI,005380,현대차,005380.KS,4367,61,OK
KOSPI,035420,NAVER,035420.KS,4367,56,OK
KOSPI,003670,포스코퓨처엠,003670.KS,4367,61,OK
KOSPI,000270,기아,000270.KS,4367,86,OK
KOSPI,035720,카카오,035720.KS,4367,51,OK
KOSPI,068270,셀트리온,068270.KS,4367,82,OK
KOSPI,012330,현대모비스,012330.KS,4367,71,OK
KOSPI,105560,KB금융,105560.KS,4367,71,OK
KOSPI,028260,삼성물산,028260.KS,4367,68,OK
KOSPI,055550,신한지주,055550.KS,4367,84,OK
KOSPI,096770,SK이노베이션,096770.KS,4367,73,OK
KOSPI,066570,LG전자,066570.KS,4367,62,OK
KOSPI,047050,포스코인터내셔널,047050.KS,4367,68,OK
KOSPI,032830,삼성생명,032830.KS,4367,79,OK
KOSPI,323410,카카오뱅크,323410.KS,4367,63,OK
KOSPI,003550,LG,003550.KS,4367,72,OK
KOSPI,015760,한국전력,015760.KS,4367,62,OK
KOSPI,329180,HD현대중공업,329180.KS,4367,71,OK
KOSPI,000810,삼성화재,000810.KS,4367,78,OK
KOSPI,033780,KT&G,033780.KS,4367,88,OK
KOSPI,086790,하나금융지주,086790.KS,4367,81,OK
KOSPI,352820,하이브,352820.KS,4367,61,OK
KOSPI,009150,삼성전기,009150.KS,4367,77,OK
KOSPI,034730,SK,034730.KS,4367,72,OK
KOSPI,034020,두산에너빌리티,034020.KS,4367,71,OK
KOSPI,018260,삼성에스디에스,018260.KS,4367,79,OK
KOSPI,017670,SK텔레콤,017670.KS,4367,66,OK
KOSPI,042660,한화오션,042660.KS,4367,70,OK
KOSPI,010130,고려아연,010130.KS,4367,68,OK
KOSPI,003490,대한항공,003490.KS,4367,69,OK
KOSPI,010950,S-Oil,010950.KS,4367,65,OK
KOSPI,009540,HD한국조선해양,009540.KS,4367,86,OK
KOSPI,011200,HMM,011200.KS,4367,82,OK
KOSDAQ,086520,에코프로,086520.KQ,4301,63,OK
KOSDAQ,028300,HLB,028300.KQ,4367,64,OK
KOSDAQ,068760,셀트리온제약,068760.KQ,4367,60,OK
KOSDAQ,041510,에스엠,041510.KQ,4367,64,OK
KOSDAQ,048260,오스템임플란트,048260.KQ,0,0,FAIL
KOSDAQ,403870,HPSP,403870.KQ,4367,67,OK
KOSDAQ,277810,레인보우로보틱스,277810.KQ,4367,66,OK
KOSDAQ,393890,더블유씨피,393890.KQ,4367,53,OK
KOSDAQ,214370,케어젠,214370.KQ,4307,71,OK
KOSDAQ,328130,루닛,328130.KQ,4367,58,OK
KOSDAQ,357780,솔브레인,357780.KQ,4362,71,OK
KOSDAQ,383310,에코프로에이치엔,383310.KQ,4367,60,OK
KOSDAQ,005290,동진쎄미켐,005290.KQ,4367,68,OK
KOSDAQ,121600,나노신소재,121600.KQ,4367,58,OK
KOSDAQ,372170,윤성에프앤씨,372170.KQ,4367,48,OK
KOSDAQ,095340,ISC,095340.KQ,4367,73,OK
KOSDAQ,365340,성일하이텍,365340.KQ,4367,62,OK
KOSDAQ,253450,스튜디오드래곤,253450.KQ,4367,57,OK
KOSDAQ,122870,와이지엔터테인먼트,122870.KQ,4367,74,OK
KOSDAQ,086900,메디톡스,086900.KQ,4367,66,OK
KOSDAQ,000250,삼천당제약,000250.KQ,4367,65,OK
KOSDAQ,112040,위메이드,112040.KQ,4367,58,OK
KOSDAQ,440110,파두,440110.KQ,0,0,FAIL
KOSDAQ,078600,대주전자재료,078600.KQ,4367,63,OK
KOSDAQ,140860,파크시스템스,140860.KQ,4367,82,OK
KOSDAQ,034230,파라다이스,034230.KQ,0,0,FAIL
KOSDAQ,039200,오스코텍,039200.KQ,4367,59,OK
KOSDAQ,009520,포스코엠텍,009520.KQ,4367,58,OK
KOSDAQ,140410,메지온,140410.KQ,4367,68,OK
KOSDAQ,225570,넥슨게임즈,225570.KQ,4367,75,OK
KOSDAQ,281740,레이크머티리얼즈,281740.KQ,4367,54,OK
KOSDAQ,222800,심텍,222800.KQ,4367,68,OK
KOSDAQ,336570,원텍,336570.KQ,4367,71,OK
KOSDAQ,096530,씨젠,096530.KQ,4367,70,OK
KOSDAQ,101490,에스앤에스텍,101490.KQ,4367,66,OK
KOSDAQ,420770,기가비스,420770.KQ,4367,63,OK
KOSDAQ,064550,바이오니아,064550.KQ,4367,61,OK
KOSDAQ,348370,엔켐,348370.KQ,4361,65,OK
KOSDAQ,067160,아프리카TV,067160.KQ,4367,58,OK
KOSDAQ,085370,루트로닉,085370.KQ,0,0,FAIL
