scenario,quarter,trades,pnl,pf,winrate
KOSPI40_PIT|5M|0T,2023Q4,55,15598.181999999768,1.1040842182707453,0.5818181818181818
KOSPI40_PIT|5M|0T,2024Q1,56,48573.01400000026,1.2315777664535645,0.5178571428571429
KOSPI40_PIT|5M|0T,2024Q2,44,-18146.880500000087,0.8925925471385286,0.5
KOSPI40_PIT|5M|0T,2024Q3,49,-7763.044499999509,0.9587493085215159,0.5714285714285714
KOSPI40_PIT|5M|0T,2024Q4,46,89192.43099999972,1.531739184275479,0.4782608695652174
KOSPI40_PIT|5M|0T,2025Q1,41,-33303.23099999988,0.7537742031725141,0.5121951219512195
KOSPI40_PIT|5M|0T,2025Q2,41,15033.5324999999,1.1340773233003196,0.5853658536585366
KOSPI40_PIT|5M|0T,2025Q3,54,102811.65250000026,1.5557234849032047,0.5370370370370371
KOSPI40_PIT|5M|0T,2025Q4,43,12462.567499999983,1.078535071272751,0.5116279069767442
KOSPI40_PIT|5M|0T,2026Q1,45,129233.7875000001,1.8353569984808507,0.6222222222222222
KOSPI40_PIT|5M|0T,2026Q2,32,91204.41850000032,1.7190238417109778,0.625
KOSPI40_PIT|5M|0T,2026Q3,15,-48941.45999999999,0.47995451278483126,0.5333333333333333
KOSPI40_PIT|5M|1T,2023Q4,57,-32303.38349999937,0.824060250906507,0.5087719298245614
KOSPI40_PIT|5M|1T,2024Q1,53,-23295.868999999846,0.9045909647577869,0.49056603773584906
KOSPI40_PIT|5M|1T,2024Q2,41,-54410.39649999996,0.6990090241675654,0.4878048780487805
KOSPI40_PIT|5M|1T,2024Q3,52,-43934.5755000003,0.8235369568704181,0.5769230769230769
KOSPI40_PIT|5M|1T,2024Q4,48,90244.68149999974,1.5156345672097717,0.5208333333333334
KOSPI40_PIT|5M|1T,2025Q1,24,15369.06749999983,1.2203887523504633,0.5833333333333334
KOSPI40_PIT|5M|2T,2023Q4,50,-34133.51799999982,0.8018263302112828,0.54
KOSPI40_PIT|5M|2T,2024Q1,51,-189251.67299999978,0.334286396968414,0.45098039215686275
KOSPI40_PIT|5M|2T,2024Q2,49,-133207.32549999966,0.44566947412285973,0.4489795918367347
KOSPI40_PIT|5M|2T,2024Q3,17,-71225.86850000004,0.22218873922230614,0.35294117647058826
KOSPI40_PIT|10M|0T,2023Q4,54,-9033.151999999915,0.9707616943579402,0.5740740740740741
KOSPI40_PIT|10M|0T,2024Q1,52,-274586.91199999995,0.4958306859625279,0.4423076923076923
KOSPI40_PIT|10M|0T,2024Q2,52,-202352.32699999944,0.5504611577892036,0.4423076923076923
KOSPI40_PIT|10M|0T,2024Q3,72,-110196.55199999997,0.7732551057901734,0.5416666666666666
KOSPI40_PIT|10M|0T,2024Q4,64,353139.88650000107,2.066357672567012,0.59375
KOSPI40_PIT|10M|0T,2025Q1,37,-211470.09950000065,0.382525224465603,0.3783783783783784
KOSPI40_PIT|10M|0T,2025Q2,46,107830.75749999966,1.4732026628664132,0.6739130434782609
KOSPI40_PIT|10M|0T,2025Q3,61,-71864.63249999948,0.8528903486614322,0.45901639344262296
KOSPI40_PIT|10M|0T,2025Q4,58,-138787.88800000126,0.6327599513803692,0.4827586206896552
KOSPI40_PIT|10M|0T,2026Q1,52,342400.54250000033,2.3321498947159727,0.7115384615384616
KOSPI40_PIT|10M|0T,2026Q2,33,136066.80599999984,1.5207271511707388,0.6060606060606061
KOSPI40_PIT|10M|0T,2026Q3,16,-64193.76000000011,0.63206609239707,0.5625
KOSPI40_PIT|10M|1T,2023Q4,53,-139997.31999999966,0.6377101767278163,0.5094339622641509
KOSPI40_PIT|10M|1T,2024Q1,51,-292200.58750000095,0.4769345629823992,0.4117647058823529
KOSPI40_PIT|10M|1T,2024Q2,60,-133451.68199999942,0.6543822658179734,0.5166666666666667
KOSPI40_PIT|10M|1T,2024Q3,72,-135446.56749999963,0.7229229607208658,0.5694444444444444
KOSPI40_PIT|10M|1T,2024Q4,31,-65254.77250000007,0.7543069852318854,0.41935483870967744
KOSPI40_PIT|10M|2T,2023Q4,46,-115900.1915000003,0.730794864489193,0.43478260869565216
KOSPI40_PIT|10M|2T,2024Q1,55,-454701.9875,0.33101880263702776,0.32727272727272727
KOSPI40_PIT|10M|2T,2024Q2,43,-231944.92549999987,0.3488878355990119,0.46511627906976744
KOSPI40_PIT|20M|0T,2023Q4,51,-57108.566000000224,0.9146010284845467,0.5490196078431373
KOSPI40_PIT|20M|0T,2024Q1,47,-410597.2725000029,0.5834321113988115,0.46808510638297873
KOSPI40_PIT|20M|0T,2024Q2,49,-3186.348500000895,0.9961362328007843,0.46938775510204084
KOSPI40_PIT|20M|0T,2024Q3,48,-116001.73200000037,0.8460366430941688,0.5625
KOSPI40_PIT|20M|0T,2024Q4,51,342471.2065000012,1.4498265686423002,0.49019607843137253
KOSPI40_PIT|20M|0T,2025Q1,36,-400244.04749999964,0.43596854661592205,0.4166666666666667
KOSPI40_PIT|20M|0T,2025Q2,43,234790.25500000076,1.368114852399064,0.627906976744186
KOSPI40_PIT|20M|0T,2025Q3,59,329318.1750000014,1.3799320853212778,0.5084745762711864
KOSPI40_PIT|20M|0T,2025Q4,48,185098.38349999965,1.3392641837208388,0.6458333333333334
KOSPI40_PIT|20M|0T,2026Q1,46,784534.7424999999,2.491126874172127,0.717391304347826
KOSPI40_PIT|20M|0T,2026Q2,34,468999.65000000066,2.0132733835125878,0.6176470588235294
KOSPI40_PIT|20M|0T,2026Q3,15,35230.34250000017,1.1173381228004629,0.6
KOSPI40_PIT|20M|1T,2023Q4,49,-408468.30849999964,0.5156206905629358,0.46938775510204084
KOSPI40_PIT|20M|1T,2024Q1,56,-679187.5239999997,0.4286169167594824,0.35714285714285715
KOSPI40_PIT|20M|1T,2024Q2,64,-268065.27550000115,0.6611682704673785,0.515625
KOSPI40_PIT|20M|1T,2024Q3,17,-225232.9295,0.3793225560121489,0.29411764705882354
KOSPI40_PIT|20M|2T,2023Q4,49,-360083.0059999996,0.5927230716758628,0.46938775510204084
KOSPI40_PIT|20M|2T,2024Q1,53,-550921.4379999985,0.5362312671486931,0.4339622641509434
KOSPI40_PIT|20M|2T,2024Q2,64,-494317.32049999695,0.48538941906990885,0.515625
KOSPI40_PIT|20M|2T,2024Q3,18,-140843.66499999995,0.5794581364738385,0.3888888888888889
KOSPI40_PIT|50M|0T,2023Q4,51,-192351.51850000012,0.8922836163320039,0.5490196078431373
KOSPI40_PIT|50M|0T,2024Q1,54,259844.48900000437,1.0999259089527833,0.5185185185185185
KOSPI40_PIT|50M|0T,2024Q2,49,-524478.7505000026,0.788921328425053,0.42857142857142855
KOSPI40_PIT|50M|0T,2024Q3,48,-586187.570499997,0.7368998541562383,0.5416666666666666
KOSPI40_PIT|50M|0T,2024Q4,54,-350853.4199999933,0.8574629534196241,0.46296296296296297
KOSPI40_PIT|50M|0T,2025Q1,40,-726788.2619999989,0.5817153595428548,0.475
KOSPI40_PIT|50M|0T,2025Q2,45,1638505.9900000065,2.2014839757747775,0.6444444444444445
KOSPI40_PIT|50M|0T,2025Q3,59,1064635.627499997,1.4432413153078494,0.5084745762711864
KOSPI40_PIT|50M|0T,2025Q4,47,882698.8645000001,1.560481419870989,0.6595744680851063
KOSPI40_PIT|50M|0T,2026Q1,51,974513.8175000075,1.469249377657813,0.6470588235294118
KOSPI40_PIT|50M|0T,2026Q2,35,1924862.6074999985,2.292246022468156,0.6571428571428571
KOSPI40_PIT|50M|0T,2026Q3,16,-5085.6300000016345,0.9939434806317073,0.625
KOSPI40_PIT|50M|1T,2023Q4,49,-1092916.9309999943,0.5111286334494757,0.46938775510204084
KOSPI40_PIT|50M|1T,2024Q1,60,-1476984.3414999947,0.5100266698993272,0.45
KOSPI40_PIT|50M|1T,2024Q2,64,-708579.0884999972,0.6819587186971237,0.53125
KOSPI40_PIT|50M|1T,2024Q3,66,-742080.7875000031,0.6546639140662317,0.5606060606060606
KOSPI40_PIT|50M|2T,2023Q4,49,-867962.9245000011,0.6180182127348387,0.46938775510204084
KOSPI40_PIT|50M|2T,2024Q1,57,-1684339.9045000006,0.49303245336571977,0.43859649122807015
KOSPI40_PIT|50M|2T,2024Q2,45,-1624267.4104999995,0.29593096953728415,0.4
KOSDAQ40_PIT|5M|0T,2023Q4,38,-53435.482000000105,0.7007629780833551,0.4473684210526316
KOSDAQ40_PIT|5M|0T,2024Q1,39,-74260.13850000006,0.6789248194592673,0.4358974358974359
KOSDAQ40_PIT|5M|0T,2024Q2,55,-176350.70700000023,0.4260141924427908,0.4
KOSDAQ40_PIT|5M|0T,2024Q3,59,-435.5364999995945,0.9972403945177766,0.5423728813559322
KOSDAQ40_PIT|5M|0T,2024Q4,65,-41676.35500000036,0.8171329050082389,0.49230769230769234
KOSDAQ40_PIT|5M|0T,2025Q1,63,-826.1120000001538,0.9952981314578547,0.47619047619047616
KOSDAQ40_PIT|5M|0T,2025Q2,65,3979.137499999855,1.0206499659139427,0.49230769230769234
KOSDAQ40_PIT|5M|0T,2025Q3,67,-29191.692999999832,0.8549408451867724,0.4925373134328358
KOSDAQ40_PIT|5M|0T,2025Q4,33,-35870.408500000005,0.6602208701170798,0.45454545454545453
KOSDAQ40_PIT|5M|1T,2023Q4,38,-92341.27299999961,0.6335245580642542,0.4473684210526316
KOSDAQ40_PIT|5M|1T,2024Q1,38,21068.18800000011,1.097008403653247,0.5
KOSDAQ40_PIT|5M|1T,2024Q2,45,-160266.09500000006,0.489552649119407,0.4444444444444444
KOSDAQ40_PIT|5M|1T,2024Q3,50,-62376.785500000085,0.6660103692793674,0.5
KOSDAQ40_PIT|5M|1T,2024Q4,65,-95119.56400000016,0.6249531928635705,0.49230769230769234
KOSDAQ40_PIT|5M|1T,2025Q1,12,-22922.059500000076,0.4379098810917148,0.5
KOSDAQ40_PIT|5M|2T,2023Q4,36,-128111.3020000004,0.5336806620589868,0.4444444444444444
KOSDAQ40_PIT|5M|2T,2024Q1,36,-43506.184999999445,0.8339795808841786,0.4166666666666667
KOSDAQ40_PIT|5M|2T,2024Q2,64,-209664.0274999999,0.42618318236301084,0.4375
KOSDAQ40_PIT|5M|2T,2024Q3,11,-21861.15999999996,0.554293671448683,0.45454545454545453
KOSDAQ40_PIT|10M|0T,2023Q4,35,-133995.7115000001,0.6109362618521313,0.5142857142857142
KOSDAQ40_PIT|10M|0T,2024Q1,39,-44459.557499999995,0.8856439075878036,0.46153846153846156
KOSDAQ40_PIT|10M|0T,2024Q2,48,46962.43250000017,1.077082466540743,0.4583333333333333
KOSDAQ40_PIT|10M|0T,2024Q3,33,-238370.3959999999,0.5204163280728813,0.42424242424242425
KOSDAQ40_PIT|10M|0T,2024Q4,59,-152159.37450000056,0.6683540122918183,0.5084745762711864
KOSDAQ40_PIT|10M|0T,2025Q1,66,-37514.93049999984,0.9163790326117667,0.5
KOSDAQ40_PIT|10M|0T,2025Q2,39,-170144.3725000003,0.3603473508840747,0.46153846153846156
KOSDAQ40_PIT|10M|1T,2023Q4,33,45635.37849999979,1.127816262231354,0.5757575757575758
KOSDAQ40_PIT|10M|1T,2024Q1,37,195502.77450000017,1.4645044781100747,0.5405405405405406
KOSDAQ40_PIT|10M|1T,2024Q2,44,-84623.63800000073,0.8781525125998096,0.38636363636363635
KOSDAQ40_PIT|10M|1T,2024Q3,31,-206239.13499999922,0.5542085652534607,0.41935483870967744
KOSDAQ40_PIT|10M|1T,2024Q4,59,-226842.62600000057,0.5578317302653119,0.5084745762711864
KOSDAQ40_PIT|10M|1T,2025Q1,66,-28562.45349999964,0.9385747681709058,0.5151515151515151
KOSDAQ40_PIT|10M|1T,2025Q2,32,-171736.04900000012,0.31195846995714627,0.4375
KOSDAQ40_PIT|10M|2T,2023Q4,34,-281490.7470000007,0.41813595586596947,0.47058823529411764
KOSDAQ40_PIT|10M|2T,2024Q1,35,193134.6985000003,1.4300076773528265,0.4857142857142857
KOSDAQ40_PIT|10M|2T,2024Q2,45,-313795.81149999896,0.6328490947428744,0.35555555555555557
KOSDAQ40_PIT|10M|2T,2024Q3,52,-254454.28500000085,0.5344715079415558,0.46153846153846156
KOSDAQ40_PIT|10M|2T,2024Q4,32,-131462.66800000018,0.4582464572170984,0.625
KOSDAQ40_PIT|20M|0T,2023Q4,34,-295936.93349999905,0.5952611516915953,0.5294117647058824
KOSDAQ40_PIT|20M|0T,2024Q1,37,136478.39249999903,1.1753732051585695,0.5135135135135135
KOSDAQ40_PIT|20M|0T,2024Q2,49,-665100.5299999991,0.6142571702918818,0.3469387755102041
KOSDAQ40_PIT|20M|0T,2024Q3,55,-497796.2030000017,0.5301530297685779,0.45454545454545453
KOSDAQ40_PIT|20M|0T,2024Q4,63,-77632.41750000037,0.9077148796761496,0.5396825396825397
KOSDAQ40_PIT|20M|0T,2025Q1,22,-198033.8100000003,0.4121685222094991,0.5
KOSDAQ40_PIT|20M|1T,2023Q4,33,69140.95499999862,1.0920882085315509,0.5757575757575758
KOSDAQ40_PIT|20M|1T,2024Q1,37,-296955.2529999992,0.6978854714866684,0.4864864864864865
KOSDAQ40_PIT|20M|1T,2024Q2,44,-69348.18699999986,0.9442247188767389,0.4318181818181818
KOSDAQ40_PIT|20M|1T,2024Q3,34,-379899.17499999935,0.6055636037955734,0.47058823529411764
KOSDAQ40_PIT|20M|1T,2024Q4,60,-354496.8814999996,0.68761060075443,0.5333333333333333
KOSDAQ40_PIT|20M|1T,2025Q1,65,-241482.22449999978,0.7444258863165485,0.47692307692307695
KOSDAQ40_PIT|20M|1T,2025Q2,24,-155476.09149999957,0.45685618627098423,0.5
KOSDAQ40_PIT|20M|2T,2023Q4,34,-591355.9105000012,0.41935445654918657,0.47058823529411764
KOSDAQ40_PIT|20M|2T,2024Q1,37,-264640.9039999993,0.772976208388531,0.43243243243243246
KOSDAQ40_PIT|20M|2T,2024Q2,61,-442936.357000001,0.6334276862593051,0.4426229508196721
KOSDAQ40_PIT|20M|2T,2024Q3,15,-313789.1620000013,0.1752467211576948,0.3333333333333333
KOSDAQ40_PIT|50M|0T,2023Q4,34,-726835.1529999966,0.609192900081612,0.5294117647058824
KOSDAQ40_PIT|50M|0T,2024Q1,37,302958.5214999997,1.1473567819977846,0.5135135135135135
KOSDAQ40_PIT|50M|0T,2024Q2,49,-1693727.1090000002,0.6170413695620032,0.3469387755102041
KOSDAQ40_PIT|50M|0T,2024Q3,51,-1188842.1009999993,0.4682365300229445,0.49019607843137253
KOSDAQ40_PIT|50M|0T,2024Q4,63,-193894.0084999979,0.9116927165250992,0.5396825396825397
KOSDAQ40_PIT|50M|0T,2025Q1,21,-535537.6959999991,0.3466047375580568,0.47619047619047616
KOSDAQ40_PIT|50M|1T,2023Q4,33,170106.15200000477,1.0891584796815803,0.5757575757575758
KOSDAQ40_PIT|50M|1T,2024Q1,37,-874904.7920000075,0.6676321810914414,0.4864864864864865
KOSDAQ40_PIT|50M|1T,2024Q2,44,-563237.3824999989,0.8462988161241056,0.38636363636363635
KOSDAQ40_PIT|50M|1T,2024Q3,48,-1584957.4974999975,0.3721236531391868,0.4583333333333333
KOSDAQ40_PIT|50M|1T,2024Q4,62,-235732.10200000106,0.9002221779127552,0.5483870967741935
KOSDAQ40_PIT|50M|1T,2025Q1,67,202820.16649999883,1.1073684355269267,0.5522388059701493
KOSDAQ40_PIT|50M|1T,2025Q2,27,-678044.0510000004,0.3611007721668314,0.48148148148148145
KOSDAQ40_PIT|50M|2T,2023Q4,34,-1463281.4454999943,0.43254361389339047,0.47058823529411764
KOSDAQ40_PIT|50M|2T,2024Q1,37,-842461.2214999981,0.7314916404504265,0.43243243243243246
KOSDAQ40_PIT|50M|2T,2024Q2,54,-1822128.0594999979,0.5466068961097609,0.37037037037037035
