strategy,ticker,symbol,market,name,setup_id,entry_time,planned_seed,reserved_risk,structural_stop,active_stop,first_entry,R,target1,target2,level,touches,shares,cash_out,cash_in,buy_notional,sell_notional,fees,partial_taken,added20,added60,entry_i,bars_held,last_mark,mfe_R,mae_R,exit_time,exit_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
KOSDAQ40_NORA_LEVEL_RR_A_RAW,222800.KQ,222800,KOSDAQ,심텍,KRLEVEL_RR|222800|2T|240|242|243,2023-10-11 04:00:00+00:00,1000000.0,46699.10850429353,37941.37548152912,37941.37548152912,39800.0,1858.6245184708823,41658.62451847088,43517.249036941765,39550.0,2,0.0,1000500.0,978638.6743983824,1000000.0,979128.2385176412,989.5641192588206,False,True,True,244,7,38250.0,0.10760645736264307,-0.8608516589011446,2023-10-12 04:00:00+00:00,37941.37548152912,stop,LOSS,-21861.325601617573,3,"[{""time"": ""2023-10-11 04:00:00+00:00"", ""price"": 39800.0, ""fraction"": 0.2, ""shares"": 5.025125628140704, ""reason"": ""starter20""}, {""time"": ""2023-10-12 00:00:00+00:00"", ""price"": 39056.55019261165, ""fraction"": 0.2, ""shares"": 5.120779971955488, ""reason"": ""adverse20""}, {""time"": ""2023-10-12 03:00:00+00:00"", ""price"": 38313.1003852233, ""fraction"": 0.6, ""shares"": 15.660439744297218, ""reason"": ""support60""}]","[{""time"": ""2023-10-12 04:00:00+00:00"", ""price"": 37941.37548152912, ""shares"": 25.80634534439341, ""reason"": ""stop""}]"
KOSDAQ40_NORA_LEVEL_RR_A_RAW,240810.KQ,240810,KOSDAQ,원익IPS,KRLEVEL_RR|240810|3T|250|251|252,2023-10-13 01:00:00+00:00,995809.2957227443,21433.92218682383,32632.170483845737,32632.170483845737,33350.0,717.8295161542628,34067.82951615426,34785.659032308526,32750.0,3,0.0,398522.88014824234,391246.8049864138,398323.7182890978,391442.5262495386,394.88312226931816,False,True,False,253,6,33000.0,0.41792653164672805,-0.5572353755289707,2023-10-16 00:00:00+00:00,32632.170483845737,stop,LOSS,-7276.075161828543,2,"[{""time"": ""2023-10-13 01:00:00+00:00"", ""price"": 33350.0, ""fraction"": 0.2, ""shares"": 5.971869839416758, ""reason"": ""starter20""}, {""time"": ""2023-10-13 03:00:00+00:00"", ""price"": 33062.86819353829, ""fraction"": 0.2, ""shares"": 6.023732060350181, ""reason"": ""adverse20""}]","[{""time"": ""2023-10-16 00:00:00+00:00"", ""price"": 32632.170483845737, ""shares"": 11.995601899766939, ""reason"": ""stop""}]"
KOSDAQ40_NORA_LEVEL_RR_A_RAW,058470.KQ,058470,KOSDAQ,리노공업,KRLEVEL_RR|058470|2T|249|250|252,2023-10-13 01:00:00+00:00,995829.2123069905,26201.650259141345,30788.03386468779,30788.03386468779,31620.0,831.9661353122101,32451.96613531221,33283.93227062442,31300.0,2,0.0,996327.126913144,983707.3375979313,995829.2123069905,984199.4373165895,990.01432481179,False,True,True,253,9,30860.0,0.4327099201759019,-0.9856170404006653,2023-10-16 03:00:00+00:00,30788.03386468779,stop,LOSS,-12619.78931521275,3,"[{""time"": ""2023-10-13 01:00:00+00:00"", ""price"": 31620.0, ""fraction"": 0.2, ""shares"": 6.298729995616639, ""reason"": ""starter20""}, {""time"": ""2023-10-13 03:00:00+00:00"", ""price"": 31287.213545875115, ""fraction"": 0.2, ""shares"": 6.365726438673411, ""reason"": ""adverse20""}, {""time"": ""2023-10-16 01:00:00+00:00"", ""price"": 30954.427091750233, ""fraction"": 0.6, ""shares"": 19.302490258119988, ""reason"": ""support60""}]","[{""time"": ""2023-10-16 03:00:00+00:00"", ""price"": 30788.03386468779, ""shares"": 31.966946692410037, ""reason"": ""stop""}]"
KOSDAQ40_NORA_LEVEL_RR_A_RAW,263750.KQ,263750,KOSDAQ,펄어비스,KRLEVEL_RR|263750|3T|241|242|243,2023-10-11 04:00:00+00:00,954908.4497534239,49999.0,44349.55231508924,44349.55231508924,46800.0,2450.4476849107596,49250.44768491076,51700.89536982152,46700.0,3,0.0,382154.36159132025,400284.2120406609,381963.37990136957,400484.4542677948,391.2239170845822,False,True,False,244,26,48550.0,0.7345596525418384,-0.46930200023506347,2023-10-17 05:00:00+00:00,48550.0,time,TIME,18129.85044934065,2,"[{""time"": ""2023-10-11 04:00:00+00:00"", ""price"": 46800.0, ""fraction"": 0.2, ""shares"": 4.080805340826598, ""reason"": ""starter20""}, {""time"": ""2023-10-12 00:00:00+00:00"", ""price"": 45819.820926035696, ""fraction"": 0.2, ""shares"": 4.168102059127982, ""reason"": ""adverse20""}]","[{""time"": ""2023-10-17 05:00:00+00:00"", ""price"": 48550.0, ""shares"": 8.248907399954579, ""reason"": ""time""}]"
KOSDAQ40_NORA_LEVEL_RR_A_RAW,028300.KQ,028300,KOSDAQ,HLB,KRLEVEL_RR|028300|3T|258|262|264,2023-10-17 01:00:00+00:00,993747.2881135717,37613.195106887026,29970.976880547092,29970.976880547092,31150.0,1179.0231194529078,32329.023119452908,33508.046238905816,30650.0,3,0.0,397697.6647030514,385200.6102602053,397498.9152454287,385393.3069136621,391.4461110795454,False,True,False,265,6,30550.0,0.2968559260843057,-0.6361198416092266,2023-10-18 00:00:00+00:00,29970.976880547092,stop,LOSS,-12497.0544428461,2,"[{""time"": ""2023-10-17 01:00:00+00:00"", ""price"": 31150.0, ""fraction"": 0.2, ""shares"": 6.380399923682643, ""reason"": ""starter20""}, {""time"": ""2023-10-17 03:00:00+00:00"", ""price"": 30678.39075221884, ""fraction"": 0.2, ""shares"": 6.478483804054801, ""reason"": ""adverse20""}]","[{""time"": ""2023-10-18 00:00:00+00:00"", ""price"": 29970.976880547092, ""shares"": 12.858883727737444, ""reason"": ""stop""}]"
KOSDAQ40_NORA_LEVEL_RR_A_RAW,067310.KQ,067310,KOSDAQ,하나마이크론,KRLEVEL_RR|067310|2T|267|268|269,2023-10-18 00:00:00+00:00,994302.778710002,43810.95510519242,24758.794562862797,24758.794562862797,25900.0,1141.2054371372033,27041.205437137203,28182.410874274407,25925.0,2,0.0,397919.9720397428,383415.48072223837,397721.1114840008,383607.2843644206,390.6641979242107,False,True,False,270,11,25100.0,0.8324530965985791,-0.7886397757249697,2023-10-19 04:00:00+00:00,24758.794562862797,stop,LOSS,-14504.491317504435,2,"[{""time"": ""2023-10-18 00:00:00+00:00"", ""price"": 25900.0, ""fraction"": 0.2, ""shares"": 7.678013735212371, ""reason"": ""starter20""}, {""time"": ""2023-10-19 00:00:00+00:00"", ""price"": 25443.517825145118, ""fraction"": 0.2, ""shares"": 7.8157649861400875, ""reason"": ""adverse20""}]","[{""time"": ""2023-10-19 04:00:00+00:00"", ""price"": 24758.794562862797, ""shares"": 15.49377872135246, ""reason"": ""stop""}]"
KOSDAQ40_NORA_LEVEL_RR_A_RAW,058470.KQ,058470,KOSDAQ,리노공업,KRLEVEL_RR|058470|2T|265|270|272,2023-10-18 03:00:00+00:00,993523.0365035143,33436.887393390105,30439.871634382518,30439.871634382518,31500.0,1060.128365617482,32560.128365617482,33620.256731234964,31300.0,2,0.0,397607.9192087064,384431.6181129675,397409.2146014057,384623.9300780065,391.01657233970616,False,True,False,273,9,30280.0,0.13205947934282058,-0.7357599563385718,2023-10-20 00:00:00+00:00,30280.0,gap_stop,LOSS,-13176.30109573889,2,"[{""time"": ""2023-10-18 03:00:00+00:00"", ""price"": 31500.0, ""fraction"": 0.2, ""shares"": 6.308082771450884, ""reason"": ""starter20""}, {""time"": ""2023-10-19 00:00:00+00:00"", ""price"": 31075.948653753007, ""fraction"": 0.2, ""shares"": 6.3941606261054735, ""reason"": ""adverse20""}]","[{""time"": ""2023-10-20 00:00:00+00:00"", ""price"": 30280.0, ""shares"": 12.702243397556359, ""reason"": ""gap_stop""}]"
KOSDAQ40_NORA_LEVEL_RR_A_RAW,357780.KQ,357780,KOSDAQ,솔브레인,KRLEVEL_RR|357780|2T|283|284|285,2023-10-20 04:00:00+00:00,987238.9627029184,37935.15429513537,241355.1986015525,241355.1986015525,251000.0,9644.801398447511,260644.8013984475,270289.602796895,244250.0,2,0.0,987732.58218427,969846.8928679256,987238.9627029184,970332.0588973743,978.7855108001463,False,True,True,286,19,241500.0,0.7257795895234053,-0.9849865857817643,2023-10-25 04:00:00+00:00,241355.1986015525,stop,LOSS,-17885.689316344447,3,"[{""time"": ""2023-10-20 04:00:00+00:00"", ""price"": 251000.0, ""fraction"": 0.2, ""shares"": 0.7866445917951542, ""reason"": ""starter20""}, {""time"": ""2023-10-24 01:00:00+00:00"", ""price"": 247142.079440621, ""fraction"": 0.2, ""shares"": 0.798924217953839, ""reason"": ""adverse20""}, {""time"": ""2023-10-25 01:00:00+00:00"", ""price"": 243284.15888124198, ""fraction"": 0.6, ""shares"": 2.434779890090997, ""reason"": ""support60""}]","[{""time"": ""2023-10-25 04:00:00+00:00"", ""price"": 241355.1986015525, ""shares"": 4.020348699839991, ""reason"": ""stop""}]"
KOSDAQ40_NORA_LEVEL_RR_A_RAW,084370.KQ,084370,KOSDAQ,유진테크,KRLEVEL_RR|084370|3T|279|285|286,2023-10-20 05:00:00+00:00,820922.4867559851,49384.560233937074,39144.44440013875,39144.44440013875,41650.0,2505.555599861247,44155.55559986125,46661.111199722494,39800.0,3,0.0,821332.9479993631,798348.1690446642,820922.4867559851,798747.5428160722,809.8350147860288,False,True,True,287,26,40750.0,0.4988913437280029,-0.8381374574630449,2023-10-27 00:00:00+00:00,39144.44440013875,stop,LOSS,-22984.77895469882,3,"[{""time"": ""2023-10-20 05:00:00+00:00"", ""price"": 41650.0, ""fraction"": 0.2, ""shares"": 3.942004738324058, ""reason"": ""starter20""}, {""time"": ""2023-10-23 00:00:00+00:00"", ""price"": 40647.7777600555, ""fraction"": 0.2, ""shares"": 4.039199838189945, ""reason"": ""adverse20""}, {""time"": ""2023-10-26 00:00:00+00:00"", ""price"": 39645.555520111004, ""fraction"": 0.6, ""shares"": 12.423927110914951, ""reason"": ""support60""}]","[{""time"": ""2023-10-27 00:00:00+00:00"", ""price"": 39144.44440013875, ""shares"": 20.405131687428955, ""reason"": ""stop""}]"
KOSDAQ40_NORA_LEVEL_RR_A_RAW,141080.KQ,141080,KOSDAQ,리가켐바이오,KRLEVEL_RR|141080|6T|298|302|304,2023-10-25 05:00:00+00:00,986433.9242661903,42959.014511757094,33810.514054075844,35350.0,35350.0,1539.485945924156,36889.485945924156,38428.97189184831,35175.0,6,0.0,986927.1412283233,1060679.4149883932,986433.9242661903,1061210.0199983926,1023.8219721322914,True,True,True,305,26,37300.0,1.4290484468692801,-0.8444377186045747,2023-11-01 00:00:00+00:00,37300.0,time,TIME,73752.27376006986,3,"[{""time"": ""2023-10-25 05:00:00+00:00"", ""price"": 35350.0, ""fraction"": 0.2, ""shares"": 5.580955724278304, ""reason"": ""starter20""}, {""time"": ""2023-10-26 00:00:00+00:00"", ""price"": 34734.20562163034, ""fraction"": 0.2, ""shares"": 5.679899146171344, ""reason"": ""adverse20""}, {""time"": ""2023-10-26 00:00:00+00:00"", ""price"": 34118.41124326068, ""fraction"": 0.6, ""shares"": 17.347242529548403, ""reason"": ""support60""}]","[{""time"": ""2023-10-30 03:00:00+00:00"", ""price"": 36889.485945924156, ""shares"": 14.304048699999026, ""reason"": ""target1_partial""}, {""time"": ""2023-11-01 00:00:00+00:00"", ""price"": 37300.0, ""shares"": 14.304048699999026, ""reason"": ""time""}]"
