strategy,ticker,symbol,market,name,setup_id,entry_time,planned_seed,reserved_risk,structural_stop,active_stop,first_entry,R,target1,target2,level,touches,shares,cash_out,cash_in,buy_notional,sell_notional,fees,partial_taken,added20,added60,entry_i,bars_held,last_mark,mfe_R,mae_R,exit_time,exit_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
KOSPI40_NORA_LEVEL_RR_A_RAW,010140.KS,010140,KOSPI,삼성중공업,KRLEVEL_RR|010140|2T|240|241|242,2023-10-11 03:00:00+00:00,530268.6032268167,50000.0,7010.181191861995,7010.181191861995,7740.0,729.8188081380049,8469.818808138005,9199.63761627601,7545.0,2,0.0,106106.74750568604,107096.3081910876,106053.72064536336,107149.88313265394,106.60180188900864,False,False,False,243,26,7820.0,0.49327311928075973,-0.21923249745811543,2023-10-17 04:00:00+00:00,7820.0,time,TIME,989.5606854015641,1,"[{""time"": ""2023-10-11 03:00:00+00:00"", ""price"": 7740.0, ""fraction"": 0.2, ""shares"": 13.702031091132216, ""reason"": ""starter20""}]","[{""time"": ""2023-10-17 04:00:00+00:00"", ""price"": 7820.0, ""shares"": 13.702031091132216, ""reason"": ""time""}]"
KOSPI40_NORA_LEVEL_RR_A_RAW,000660.KS,000660,KOSPI,SK하이닉스,KRLEVEL_RR|000660|4T|240|241|243,2023-10-11 04:00:00+00:00,1000016.7986901178,38798.61677333773,118612.33111673608,123400.0,123400.0,4787.668883263919,128187.66888326392,132975.33776652784,122800.0,4,0.0,400206.7228357852,421387.68272486795,400006.71947604715,421598.48196585086,410.80260072094904,True,True,False,244,26,129900.0,1.5456373822901395,-0.6474967412296531,2023-10-17 05:00:00+00:00,129900.0,time,TIME,21180.959889082762,2,"[{""time"": ""2023-10-11 04:00:00+00:00"", ""price"": 123400.0, ""fraction"": 0.2, ""shares"": 1.6207727693518927, ""reason"": ""starter20""}, {""time"": ""2023-10-11 04:00:00+00:00"", ""price"": 121484.93244669444, ""fraction"": 0.2, ""shares"": 1.6463223521631516, ""reason"": ""adverse20""}]","[{""time"": ""2023-10-17 02:00:00+00:00"", ""price"": 128187.66888326392, ""shares"": 1.6335475607575223, ""reason"": ""target1_partial""}, {""time"": ""2023-10-17 05:00:00+00:00"", ""price"": 129900.0, ""shares"": 1.6335475607575223, ""reason"": ""time""}]"
KOSPI40_NORA_LEVEL_RR_A_RAW,402340.KS,402340,KOSPI,SK스퀘어,KRLEVEL_RR|402340|4T|266|268|269,2023-10-18 00:00:00+00:00,1004167.8194985308,13716.06543056807,44188.07067966357,44188.07067966357,44800.0,611.9293203364286,45411.92932033643,46023.85864067286,44500.0,4,0.0,200933.98068165602,197991.30563818576,200833.56389970618,198090.35081359255,199.46195735664935,False,False,False,270,1,44800.0,0.0,0.0,2023-10-18 00:00:00+00:00,44188.07067966357,stop,LOSS,-2942.6750434702553,1,"[{""time"": ""2023-10-18 00:00:00+00:00"", ""price"": 44800.0, ""fraction"": 0.2, ""shares"": 4.482892051332727, ""reason"": ""starter20""}]","[{""time"": ""2023-10-18 00:00:00+00:00"", ""price"": 44188.07067966357, ""shares"": 4.482892051332727, ""reason"": ""stop""}]"
KOSPI40_NORA_LEVEL_RR_A_RAW,005380.KS,005380,KOSPI,현대차,KRLEVEL_RR|005380|2T|265|268|269,2023-10-18 00:00:00+00:00,1004187.903256596,21681.55030886321,186289.04908591326,186289.04908591326,190400.0,4110.950914086745,194510.95091408674,198621.9018281735,188800.0,2,0.0,200937.99944164488,196403.01995425182,200837.5806513192,196501.2705895466,198.6694256204329,False,False,False,270,13,187800.0,0.632457077288551,-0.2919032664408697,2023-10-20 00:00:00+00:00,186289.04908591326,stop,LOSS,-4534.979487393051,1,"[{""time"": ""2023-10-18 00:00:00+00:00"", ""price"": 190400.0, ""fraction"": 0.2, ""shares"": 1.05481922610987, ""reason"": ""starter20""}]","[{""time"": ""2023-10-20 00:00:00+00:00"", ""price"": 186289.04908591326, ""shares"": 1.05481922610987, ""reason"": ""stop""}]"
KOSPI40_NORA_LEVEL_RR_A_RAW,316140.KS,316140,KOSPI,우리금융지주,KRLEVEL_RR|316140|3T|281|284|286,2023-10-20 05:00:00+00:00,1001557.9874002202,11726.273409474143,12432.712951874011,12432.712951874011,12580.0,147.2870481259888,12727.287048125989,12874.574096251978,12530.0,3,0.0,200411.75327878408,197867.35962675014,200311.59748004406,197966.3427981492,199.13897013909664,False,False,False,287,2,12550.0,0.13578926493857132,-0.3394731623464283,2023-10-23 00:00:00+00:00,12432.712951874011,stop,LOSS,-2544.393652033934,1,"[{""time"": ""2023-10-20 05:00:00+00:00"", ""price"": 12580.0, ""fraction"": 0.2, ""shares"": 15.923020467412087, ""reason"": ""starter20""}]","[{""time"": ""2023-10-23 00:00:00+00:00"", ""price"": 12432.712951874011, ""shares"": 15.923020467412087, ""reason"": ""stop""}]"
KOSPI40_NORA_LEVEL_RR_A_RAW,000810.KS,000810,KOSPI,삼성화재,KRLEVEL_RR|000810|5T|266|268|270,2023-10-18 01:00:00+00:00,1003849.0304471641,33149.23573232697,255282.15700976868,255282.15700976868,264000.0,8717.842990231322,272717.84299023135,281435.68598046264,257000.0,5,0.0,1004350.9549623877,988607.6299928138,1003849.0304471641,989102.1810833554,996.4756057652598,False,True,True,271,20,257000.0,0.286768183689629,-0.8603045510688869,2023-10-23 02:00:00+00:00,255282.15700976868,stop,LOSS,-15743.324969573878,3,"[{""time"": ""2023-10-18 01:00:00+00:00"", ""price"": 264000.0, ""fraction"": 0.2, ""shares"": 0.7604916897327001, ""reason"": ""starter20""}, {""time"": ""2023-10-19 00:00:00+00:00"", ""price"": 260512.86280390748, ""fraction"": 0.2, ""shares"": 0.7706713746436226, ""reason"": ""adverse20""}, {""time"": ""2023-10-23 00:00:00+00:00"", ""price"": 257025.72560781494, ""fraction"": 0.6, ""shares"": 2.3433818418135224, ""reason"": ""support60""}]","[{""time"": ""2023-10-23 02:00:00+00:00"", ""price"": 255282.15700976868, ""shares"": 3.874544906189845, ""reason"": ""stop""}]"
KOSPI40_NORA_LEVEL_RR_A_RAW,066570.KS,066570,KOSPI,LG전자,KRLEVEL_RR|066570|2T|264|266|268,2023-10-17 05:00:00+00:00,1004324.6400928507,32568.90306123056,103143.10476141838,103143.10476141838,106600.0,3456.895238581623,110056.89523858162,113513.79047716325,106000.0,2,0.0,401930.7209651589,396205.40250558045,401729.8560371403,396403.6043077343,399.0667301724373,False,True,False,269,26,104500.0,0.26034922607873806,-0.7521199864496877,2023-10-24 00:00:00+00:00,104500.0,time,TIME,-5725.3184595784405,2,"[{""time"": ""2023-10-17 05:00:00+00:00"", ""price"": 106600.0, ""fraction"": 0.2, ""shares"": 1.884286379161071, ""reason"": ""starter20""}, {""time"": ""2023-10-19 00:00:00+00:00"", ""price"": 105217.24190456735, ""fraction"": 0.2, ""shares"": 1.909049547228731, ""reason"": ""adverse20""}]","[{""time"": ""2023-10-24 00:00:00+00:00"", ""price"": 104500.0, ""shares"": 3.793335926389802, ""reason"": ""time""}]"
KOSPI40_NORA_LEVEL_RR_A_RAW,402340.KS,402340,KOSPI,SK스퀘어,KRLEVEL_RR|402340|2T|294|297|298,2023-10-24 05:00:00+00:00,998134.6886081151,7587.126136605171,42375.42427917738,42700.0,42700.0,324.5757208226205,43024.57572082262,43349.15144164524,42600.0,2,0.0,399453.50238096766,404219.7031470777,399253.87544324604,404421.91410412977,401.8378947736879,True,True,False,299,2,42570.169711670955,3.3890396891428183,-0.4621417757922025,2023-10-25 00:00:00+00:00,43349.15144164524,target2,WIN,4766.200766110036,2,"[{""time"": ""2023-10-24 05:00:00+00:00"", ""price"": 42700.0, ""fraction"": 0.2, ""shares"": 4.6751039279068625, ""reason"": ""starter20""}, {""time"": ""2023-10-25 00:00:00+00:00"", ""price"": 42570.169711670955, ""fraction"": 0.2, ""shares"": 4.68936203622636, ""reason"": ""adverse20""}]","[{""time"": ""2023-10-25 00:00:00+00:00"", ""price"": 43024.57572082262, ""shares"": 4.682232982066611, ""reason"": ""target1_partial""}, {""time"": ""2023-10-25 00:00:00+00:00"", ""price"": 43349.15144164524, ""shares"": 4.682232982066611, ""reason"": ""target2""}]"
KOSPI40_NORA_LEVEL_RR_A_RAW,000660.KS,000660,KOSPI,SK하이닉스,KRLEVEL_RR|000660|2T|294|297|298,2023-10-24 05:00:00+00:00,998154.6517011491,20361.879699031677,123135.77984252624,125700.0,125700.0,2564.2201574737555,128264.22015747376,130828.44031494751,124350.0,2,0.0,199730.74580539993,198709.0372826,199630.93034022982,198808.44150335167,199.21968592179076,True,False,False,299,7,122100.0,1.2869409790659814,-0.03899821148684792,2023-10-26 00:00:00+00:00,122100.0,gap_stop,BE_STOP,-1021.7085227999196,1,"[{""time"": ""2023-10-24 05:00:00+00:00"", ""price"": 125700.0, ""fraction"": 0.2, ""shares"": 1.5881537815451856, ""reason"": ""starter20""}]","[{""time"": ""2023-10-25 00:00:00+00:00"", ""price"": 128264.22015747376, ""shares"": 0.7940768907725928, ""reason"": ""target1_partial""}, {""time"": ""2023-10-26 00:00:00+00:00"", ""price"": 122100.0, ""shares"": 0.7940768907725928, ""reason"": ""gap_stop""}]"
KOSPI40_NORA_LEVEL_RR_A_RAW,009150.KS,009150,KOSPI,삼성전기,KRLEVEL_RR|009150|5T|294|298|300,2023-10-25 01:00:00+00:00,999670.0346479247,28487.651227937535,138827.77094503387,138827.77094503387,142900.0,4072.2290549661266,146972.22905496613,151044.45810993225,141200.0,5,0.0,200033.97393304974,194139.35844565547,199934.00692958495,194236.47668399746,197.0852418067912,False,False,False,301,6,139100.0,0.24556575440678843,-0.09822630176271538,2023-10-26 00:00:00+00:00,138827.77094503387,stop,LOSS,-5894.615487394272,1,"[{""time"": ""2023-10-25 01:00:00+00:00"", ""price"": 142900.0, ""fraction"": 0.2, ""shares"": 1.3991183130131908, ""reason"": ""starter20""}]","[{""time"": ""2023-10-26 00:00:00+00:00"", ""price"": 138827.77094503387, ""shares"": 1.3991183130131908, ""reason"": ""stop""}]"
KOSPI40_NORA_LEVEL_RR_A_RAW,033780.KS,033780,KOSPI,KT&G,KRLEVEL_RR|033780|2T|312|316|317,2023-10-30 00:00:00+00:00,997196.9660134478,8754.648034706644,85344.106007661,86100.0,86100.0,755.8939923389989,86855.893992339,87611.787984678,86300.0,2,0.0,399078.2257985819,400903.0443492988,398878.7864053792,401103.5961473725,399.99119127637584,True,True,False,318,1,86000.0,1.0583494618399092,-0.6614684136499432,2023-10-30 01:00:00+00:00,86000.0,gap_stop,BE_STOP,1824.818550716911,2,"[{""time"": ""2023-10-30 00:00:00+00:00"", ""price"": 86100.0, ""fraction"": 0.2, ""shares"": 2.3163692590323994, ""reason"": ""starter20""}, {""time"": ""2023-10-30 00:00:00+00:00"", ""price"": 85797.6424030644, ""fraction"": 0.2, ""shares"": 2.324532325326066, ""reason"": ""adverse20""}]","[{""time"": ""2023-10-30 00:00:00+00:00"", ""price"": 86855.893992339, ""shares"": 2.3204507921792326, ""reason"": ""target1_partial""}, {""time"": ""2023-10-30 01:00:00+00:00"", ""price"": 86000.0, ""shares"": 2.3204507921792326, ""reason"": ""gap_stop""}]"
