market,symbol,name,yf_ticker,bars,setups,first_bar,last_bar,status
KOSPI,005930,삼성전자,005930.KS,4366,66,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,000660,SK하이닉스,000660.KS,4366,64,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,402340,SK스퀘어,402340.KS,4366,86,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,009150,삼성전기,009150.KS,4366,77,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,373220,LG에너지솔루션,373220.KS,4366,71,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,005380,현대차,005380.KS,4366,61,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,207940,삼성바이오로직스,207940.KS,4265,63,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,105560,KB금융,105560.KS,4366,71,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,012450,한화에어로스페이스,012450.KS,4258,77,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,329180,HD현대중공업,329180.KS,4366,71,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,032830,삼성생명,032830.KS,4366,79,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,028260,삼성물산,028260.KS,4366,68,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,000270,기아,000270.KS,4366,86,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,034020,두산에너빌리티,034020.KS,4366,70,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,055550,신한지주,055550.KS,4366,84,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,068270,셀트리온,068270.KS,4366,82,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,012330,현대모비스,012330.KS,4366,71,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,006400,삼성SDI,006400.KS,4366,70,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,034730,SK,034730.KS,4366,72,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,086790,하나금융지주,086790.KS,4366,81,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,035420,NAVER,035420.KS,4366,56,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,010120,LS ELECTRIC,010120.KS,4348,71,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,066570,LG전자,066570.KS,4366,62,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,009540,HD한국조선해양,009540.KS,4366,86,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,042660,한화오션,042660.KS,4366,70,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,000810,삼성화재,000810.KS,4366,78,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,298040,효성중공업,298040.KS,4366,85,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,267260,HD현대일렉트릭,267260.KS,4366,84,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,005490,POSCO홀딩스,005490.KS,4366,64,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,010130,고려아연,010130.KS,4366,68,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,316140,우리금융지주,316140.KS,4366,81,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,015760,한국전력,015760.KS,4366,62,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,096770,SK이노베이션,096770.KS,4366,73,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,006800,미래에셋증권,006800.KS,4366,58,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,011200,HMM,011200.KS,4366,82,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,010140,삼성중공업,010140.KS,4366,66,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,000150,두산,000150.KS,4366,68,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,051910,LG화학,051910.KS,4366,54,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,042700,한미반도체,042700.KS,4366,61,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSPI,033780,KT&G,033780.KS,4366,88,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,196170,알테오젠,196170.KQ,4366,79,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,086520,에코프로,086520.KQ,4300,63,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,247540,에코프로비엠,247540.KQ,4366,61,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,277810,레인보우로보틱스,277810.KQ,4366,66,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,036930,주성엔지니어링,036930.KQ,4366,68,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,028300,HLB,028300.KQ,4366,64,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,058470,리노공업,058470.KQ,4300,67,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,298380,에이비엘바이오,298380.KQ,4366,77,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,240810,원익IPS,240810.KQ,4366,71,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,141080,리가켐바이오,141080.KQ,4366,90,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,000250,삼천당제약,000250.KQ,4366,65,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,039030,이오테크닉스,039030.KQ,4366,73,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,222800,심텍,222800.KQ,4366,68,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,087010,펩트론,087010.KQ,4366,74,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,214450,파마리서치,214450.KQ,4366,81,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,319660,피에스케이,319660.KQ,4366,76,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,214370,케어젠,214370.KQ,4306,71,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,108490,로보티즈,108490.KQ,4366,69,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,145020,휴젤,145020.KQ,4366,83,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,310210,보로노이,310210.KQ,4366,84,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,080220,제주반도체,080220.KQ,4366,60,2023-08-08 09:00:00+09:00,2026-08-10 13:00:00+09:00,OK
KOSDAQ,440110,파두,440110.KQ,0,0,,,FAIL
