strategy,quarter,trades,pnl,pf,winrate
KOSPI40,2023Q4,56,17782.967100130525,1.1054770774739293,0.5714285714285714
KOSPI40,2024Q1,43,-82629.27525336824,0.6102974580929005,0.46511627906976744
KOSPI40,2024Q2,42,5799.003559892808,1.0287662967218394,0.5476190476190477
KOSPI40,2024Q3,51,105196.27334331688,1.7177704277618633,0.6666666666666666
KOSPI40,2024Q4,53,19316.069997994127,1.0717209988348553,0.5094339622641509
KOSPI40,2025Q1,45,-22734.682048737974,0.8852285219703859,0.4888888888888889
KOSPI40,2025Q2,39,49814.28176443963,1.292107293443337,0.6153846153846154
KOSPI40,2025Q3,53,-32471.62702936976,0.8631866400596131,0.4339622641509434
KOSPI40,2025Q4,45,49777.48495446012,1.275937597525833,0.5555555555555556
KOSPI40,2026Q1,44,61678.731562576446,1.2929699783631439,0.6136363636363636
KOSPI40,2026Q2,35,326239.94978007465,3.507052376702784,0.7142857142857143
KOSPI40,2026Q3,14,22816.016955241677,1.3039703204138025,0.7142857142857143
KOSDAQ40,2023Q4,42,70152.31150916521,1.2570842914171012,0.5476190476190477
KOSDAQ40,2024Q1,48,342189.4096173402,2.7109711565868486,0.6875
KOSDAQ40,2024Q2,38,19171.348546978435,1.0723254735310412,0.4473684210526316
KOSDAQ40,2024Q3,46,-249581.09826300794,0.43112051199654633,0.41304347826086957
KOSDAQ40,2024Q4,50,39625.87293527652,1.121714455357878,0.54
KOSDAQ40,2025Q1,35,152586.47874766018,1.8503958384181955,0.5714285714285714
KOSDAQ40,2025Q2,41,131623.42645163363,1.7403468952211203,0.7073170731707317
KOSDAQ40,2025Q3,44,104854.99204672183,1.4050341061526155,0.5681818181818182
KOSDAQ40,2025Q4,39,235426.44014126837,2.2829723904857135,0.6410256410256411
KOSDAQ40,2026Q1,40,21272.595215168403,1.07956838181888,0.575
KOSDAQ40,2026Q2,44,-111620.52627507213,0.7244124207624347,0.5
KOSDAQ40,2026Q3,19,-118384.28213280663,0.25502362386322125,0.42105263157894735
KR80,2023Q4,52,51590.66425322942,1.2358009777225671,0.5769230769230769
KR80,2024Q1,57,34658.847362318964,1.1077638060468442,0.45614035087719296
KR80,2024Q2,51,23091.082758534438,1.0908296773042678,0.5098039215686274
KR80,2024Q3,54,-24775.039588004955,0.9030325917605639,0.5370370370370371
KR80,2024Q4,51,98589.42791987477,1.4015549766728599,0.5294117647058824
KR80,2025Q1,52,-23332.441545236477,0.8995721914210798,0.5384615384615384
KR80,2025Q2,41,87109.2849573713,1.4060654106207513,0.5365853658536586
KR80,2025Q3,66,1878.7873131090455,1.007546925197096,0.5151515151515151
KR80,2025Q4,51,238540.77885549265,2.9402393741061004,0.6862745098039216
KR80,2026Q1,39,110395.42311822131,1.4134029213632022,0.6666666666666666
KR80,2026Q2,39,227287.92018258842,2.001407253299833,0.6153846153846154
KR80,2026Q3,16,-13864.205002785951,0.8732207543786293,0.625
