strategy,ticker,symbol,market,name,setup_id,entry_time,planned_seed,reserved_risk,structural_stop,active_stop,first_entry,R,target1,target2,level,touches,shares,cash_out,cash_in,buy_notional,sell_notional,fees,partial_taken,added20,added60,entry_i,bars_held,last_mark,mfe_R,mae_R,exit_time,exit_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
KOSPI40_PIT_NORA_LEVEL_RR_A_RAW,005930.KS,005930,KOSPI,삼성전자,KRLEVEL_RR|005930|2T|240|241|243,2023-10-11 04:00:00+00:00,985540.9490571534,49999.0,65879.16141554584,65879.16141554584,69400.0,3520.8385844541626,72920.83858445416,76441.67716890833,68750.0,2,0.0,394413.4878126728,397526.3706805535,394216.3796228614,397725.2332972021,395.9708064600318,False,True,False,244,26,69300.0,0.08520697351040567,-0.7384604370901824,2023-10-17 05:00:00+00:00,69300.0,time,TIME,3112.8828678806894,2,"[{""time"": ""2023-10-11 04:00:00+00:00"", ""price"": 69400.0, ""fraction"": 0.2, ""shares"": 2.840175645697849, ""reason"": ""starter20""}, {""time"": ""2023-10-13 00:00:00+00:00"", ""price"": 67991.66456621833, ""fraction"": 0.2, ""shares"": 2.8990052099616332, ""reason"": ""adverse20""}]","[{""time"": ""2023-10-17 05:00:00+00:00"", ""price"": 69300.0, ""shares"": 5.739180855659482, ""reason"": ""time""}]"
KOSPI40_PIT_NORA_LEVEL_RR_A_RAW,000660.KS,000660,KOSPI,SK하이닉스,KRLEVEL_RR|000660|4T|240|241|243,2023-10-11 04:00:00+00:00,1000000.0,38797.965018346185,118612.33111673608,123400.0,123400.0,4787.668883263919,128187.66888326392,132975.33776652784,122800.0,4,0.0,400200.0,421380.6040826782,400000.0,421591.3997825695,410.79569989128476,True,True,False,244,26,129900.0,1.5456373822901395,-0.6474967412296531,2023-10-17 05:00:00+00:00,129900.0,time,TIME,21180.604082678212,2,"[{""time"": ""2023-10-11 04:00:00+00:00"", ""price"": 123400.0, ""fraction"": 0.2, ""shares"": 1.6207455429497568, ""reason"": ""starter20""}, {""time"": ""2023-10-11 04:00:00+00:00"", ""price"": 121484.93244669444, ""fraction"": 0.2, ""shares"": 1.6462946965687013, ""reason"": ""adverse20""}]","[{""time"": ""2023-10-17 02:00:00+00:00"", ""price"": 128187.66888326392, ""shares"": 1.633520119759229, ""reason"": ""target1_partial""}, {""time"": ""2023-10-17 05:00:00+00:00"", ""price"": 129900.0, ""shares"": 1.633520119759229, ""reason"": ""time""}]"
KOSPI40_PIT_NORA_LEVEL_RR_A_RAW,005380.KS,005380,KOSPI,현대차,KRLEVEL_RR|005380|2T|265|268|269,2023-10-18 00:00:00+00:00,1004858.6973901117,21696.033511365,186289.04908591326,186289.04908591326,190400.0,4110.950914086745,194510.95091408674,198621.9018281735,188800.0,2,0.0,201072.22534776136,196534.2165093615,200971.73947802235,196632.53277574937,198.80213612688587,False,False,False,270,13,187800.0,0.632457077288551,-0.2919032664408697,2023-10-20 00:00:00+00:00,186289.04908591326,stop,LOSS,-4538.008838399866,1,"[{""time"": ""2023-10-18 00:00:00+00:00"", ""price"": 190400.0, ""fraction"": 0.2, ""shares"": 1.055523841796336, ""reason"": ""starter20""}]","[{""time"": ""2023-10-20 00:00:00+00:00"", ""price"": 186289.04908591326, ""shares"": 1.055523841796336, ""reason"": ""stop""}]"
KOSPI40_PIT_NORA_LEVEL_RR_A_RAW,028260.KS,028260,KOSPI,삼성물산,KRLEVEL_RR|028260|4T|266|271|272,2023-10-18 03:00:00+00:00,1005359.0710186892,16333.92760422663,106638.84042692916,106638.84042692916,108400.0,1761.159573070836,110161.15957307084,111922.31914614167,107700.0,4,0.0,1005861.7505541986,997634.4433068753,1005359.0710186893,998133.5100619063,1001.7462905402979,False,True,True,273,10,106900.0,0.056780771901114885,-0.9084923504178382,2023-10-20 00:00:00+00:00,106638.84042692916,stop,LOSS,-8227.307247323333,3,"[{""time"": ""2023-10-18 03:00:00+00:00"", ""price"": 108400.0, ""fraction"": 0.2, ""shares"": 1.8549060350898325, ""reason"": ""starter20""}, {""time"": ""2023-10-18 05:00:00+00:00"", ""price"": 107695.53617077167, ""fraction"": 0.2, ""shares"": 1.8670394461373072, ""reason"": ""adverse20""}, {""time"": ""2023-10-19 00:00:00+00:00"", ""price"": 106991.07234154333, ""fraction"": 0.6, ""shares"": 5.637997913373491, ""reason"": ""support60""}]","[{""time"": ""2023-10-20 00:00:00+00:00"", ""price"": 106638.84042692916, ""shares"": 9.35994339460063, ""reason"": ""stop""}]"
KOSPI40_PIT_NORA_LEVEL_RR_A_RAW,000810.KS,000810,KOSPI,삼성화재,KRLEVEL_RR|000810|5T|266|268|270,2023-10-18 01:00:00+00:00,1005070.8154613592,33189.58167899958,255282.15700976868,255282.15700976868,264000.0,8717.842990231322,272717.84299023135,281435.68598046264,257000.0,5,0.0,1005573.3508690898,989810.8646930617,1005070.8154613592,990306.0177019127,997.6884165816359,False,True,True,271,20,257000.0,0.286768183689629,-0.8603045510688869,2023-10-23 02:00:00+00:00,255282.15700976868,stop,LOSS,-15762.48617602815,3,"[{""time"": ""2023-10-18 01:00:00+00:00"", ""price"": 264000.0, ""fraction"": 0.2, ""shares"": 0.7614172844404237, ""reason"": ""starter20""}, {""time"": ""2023-10-19 00:00:00+00:00"", ""price"": 260512.86280390748, ""fraction"": 0.2, ""shares"": 0.7716093590494941, ""reason"": ""adverse20""}, {""time"": ""2023-10-23 00:00:00+00:00"", ""price"": 257025.72560781494, ""fraction"": 0.6, ""shares"": 2.3462339726917976, ""reason"": ""support60""}]","[{""time"": ""2023-10-23 02:00:00+00:00"", ""price"": 255282.15700976868, ""shares"": 3.8792606161817154, ""reason"": ""stop""}]"
KOSPI40_PIT_NORA_LEVEL_RR_A_RAW,017670.KS,017670,KOSPI,SK텔레콤,KRLEVEL_RR|017670|2T|280|285|287,2023-10-23 00:00:00+00:00,1002037.0595579625,10515.680100257583,49475.28487095595,49475.28487095595,50000.0,524.7151290440524,50524.71512904405,51049.430258088105,49875.0,2,0.0,1002538.0780877414,996895.4601303282,1002037.0595579625,997394.1572089327,999.7156083834476,False,True,True,288,6,49550.0,0.0,-0.9528980056491234,2023-10-23 05:00:00+00:00,49475.28487095595,stop,LOSS,-5642.617957413197,3,"[{""time"": ""2023-10-23 00:00:00+00:00"", ""price"": 50000.0, ""fraction"": 0.2, ""shares"": 4.00814823823185, ""reason"": ""starter20""}, {""time"": ""2023-10-23 00:00:00+00:00"", ""price"": 49790.11394838238, ""fraction"": 0.2, ""shares"": 4.025044251141014, ""reason"": ""adverse20""}, {""time"": ""2023-10-23 00:00:00+00:00"", ""price"": 49580.22789676476, ""fraction"": 0.6, ""shares"": 12.126249943558827, ""reason"": ""support60""}]","[{""time"": ""2023-10-23 05:00:00+00:00"", ""price"": 49475.28487095595, ""shares"": 20.15944243293169, ""reason"": ""stop""}]"
KOSPI40_PIT_NORA_LEVEL_RR_A_RAW,000660.KS,000660,KOSPI,SK하이닉스,KRLEVEL_RR|000660|2T|294|297|298,2023-10-24 05:00:00+00:00,998024.6133462789,20359.22697850023,123135.77984252624,125700.0,125700.0,2564.2201574737555,128264.22015747376,130828.44031494751,124350.0,2,0.0,199704.7251305904,198683.14971471456,199604.9226692558,198782.54098520716,199.1937318272315,True,False,False,299,7,122100.0,1.2869409790659814,-0.03899821148684792,2023-10-26 00:00:00+00:00,122100.0,gap_stop,BE_STOP,-1021.57541587585,1,"[{""time"": ""2023-10-24 05:00:00+00:00"", ""price"": 125700.0, ""fraction"": 0.2, ""shares"": 1.587946878832584, ""reason"": ""starter20""}]","[{""time"": ""2023-10-25 00:00:00+00:00"", ""price"": 128264.22015747376, ""shares"": 0.793973439416292, ""reason"": ""target1_partial""}, {""time"": ""2023-10-26 00:00:00+00:00"", ""price"": 122100.0, ""shares"": 0.793973439416292, ""reason"": ""gap_stop""}]"
KOSPI40_PIT_NORA_LEVEL_RR_A_RAW,009150.KS,009150,KOSPI,삼성전기,KRLEVEL_RR|009150|5T|294|298|300,2023-10-25 01:00:00+00:00,998793.1815855617,28462.66349863389,138827.77094503387,138827.77094503387,142900.0,4072.2290549661266,146972.22905496613,151044.45810993225,141200.0,5,0.0,199858.51563527092,193969.0705655769,199758.63631711237,194066.10361738558,196.912369967249,False,False,False,301,6,139100.0,0.24556575440678843,-0.09822630176271538,2023-10-26 00:00:00+00:00,138827.77094503387,stop,LOSS,-5889.4450696940185,1,"[{""time"": ""2023-10-25 01:00:00+00:00"", ""price"": 142900.0, ""fraction"": 0.2, ""shares"": 1.3978910868937184, ""reason"": ""starter20""}]","[{""time"": ""2023-10-26 00:00:00+00:00"", ""price"": 138827.77094503387, ""shares"": 1.3978910868937184, ""reason"": ""stop""}]"
KOSPI40_PIT_NORA_LEVEL_RR_A_RAW,033780.KS,033780,KOSPI,KT&G,KRLEVEL_RR|033780|2T|312|316|317,2023-10-30 00:00:00+00:00,995335.7313276455,8738.307777827074,85344.106007661,86100.0,86100.0,755.8939923389989,86855.893992339,87611.787984678,86300.0,2,0.0,398333.3596773237,400154.7722654299,398134.2925310582,400354.9497403001,399.2446211356791,True,True,False,318,1,86000.0,1.0583494618399092,-0.6614684136499432,2023-10-30 01:00:00+00:00,86000.0,gap_stop,BE_STOP,1821.4125881061773,2,"[{""time"": ""2023-10-30 00:00:00+00:00"", ""price"": 86100.0, ""fraction"": 0.2, ""shares"": 2.3120458335136944, ""reason"": ""starter20""}, {""time"": ""2023-10-30 00:00:00+00:00"", ""price"": 85797.6424030644, ""fraction"": 0.2, ""shares"": 2.3201936637179568, ""reason"": ""adverse20""}]","[{""time"": ""2023-10-30 00:00:00+00:00"", ""price"": 86855.893992339, ""shares"": 2.316119748615826, ""reason"": ""target1_partial""}, {""time"": ""2023-10-30 01:00:00+00:00"", ""price"": 86000.0, ""shares"": 2.316119748615826, ""reason"": ""gap_stop""}]"
KOSPI40_PIT_NORA_LEVEL_RR_A_RAW,068270.KS,068270,KOSPI,셀트리온,KRLEVEL_RR|068270|8T|294|296|298,2023-10-24 05:00:00+00:00,639599.6504360449,49900.2326427006,120293.50176365745,120293.50176365745,130472.7109375,10179.209173842552,140651.92011134257,150831.1292851851,126678.890625,8,0.0,127983.89005225258,127941.43962620162,127919.93008720898,128005.44234737531,127.96268621729214,False,False,False,299,26,130559.9296875,0.1542229028492781,-0.18849312404646318,2023-10-31 00:00:00+00:00,130559.9296875,time,TIME,-42.450426050956594,1,"[{""time"": ""2023-10-24 05:00:00+00:00"", ""price"": 130472.7109375, ""fraction"": 0.2, ""shares"": 0.9804343695172099, ""reason"": ""starter20""}]","[{""time"": ""2023-10-31 00:00:00+00:00"", ""price"": 130559.9296875, ""shares"": 0.9804343695172099, ""reason"": ""time""}]"
