market,symbol,name,yf_ticker,marcap_snapshot,universe_source,frozen_at_utc
KOSPI,005930,삼성전자,005930.KS,1343182510188000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.917291+00:00
KOSPI,000660,SK하이닉스,000660.KS,1039490635395000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.917411+00:00
KOSPI,402340,SK스퀘어,402340.KS,124304799612000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.917491+00:00
KOSPI,009150,삼성전기,009150.KS,94562219136000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.917567+00:00
KOSPI,373220,LG에너지솔루션,373220.KS,85059000000000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.917640+00:00
KOSPI,005380,현대차,005380.KS,82517379698000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.917712+00:00
KOSPI,207940,삼성바이오로직스,207940.KS,72491629266000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.917796+00:00
KOSPI,105560,KB금융,105560.KS,60616133740600,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.917871+00:00
KOSPI,012450,한화에어로스페이스,012450.KS,59555728155000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.917941+00:00
KOSPI,329180,HD현대중공업,329180.KS,56679061500000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.918045+00:00
KOSPI,032830,삼성생명,032830.KS,55900000000000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.918117+00:00
KOSPI,028260,삼성물산,028260.KS,54245055844500,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.918187+00:00
KOSPI,000270,기아,000270.KS,52393424331600,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.918257+00:00
KOSPI,034020,두산에너빌리티,034020.KS,50604330534000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.918326+00:00
KOSPI,055550,신한지주,055550.KS,49644362774250,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.918396+00:00
KOSPI,068270,셀트리온,068270.KS,46487485829400,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.918465+00:00
KOSPI,012330,현대모비스,012330.KS,45048727459500,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.918533+00:00
KOSPI,006400,삼성SDI,006400.KS,38560176105000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.918601+00:00
KOSPI,034730,SK,034730.KS,37121383936000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.918669+00:00
KOSPI,086790,하나금융지주,086790.KS,35695244014800,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.918737+00:00
KOSPI,035420,NAVER,035420.KS,32565930215000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.918806+00:00
KOSPI,010120,LS ELECTRIC,010120.KS,31050000000000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.918874+00:00
KOSPI,066570,LG전자,066570.KS,30703754263000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.918943+00:00
KOSPI,009540,HD한국조선해양,009540.KS,28981591002000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.919059+00:00
KOSPI,042660,한화오션,042660.KS,28680293678400,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.919132+00:00
KOSPI,000810,삼성화재,000810.KS,28083260517000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.919201+00:00
KOSPI,298040,효성중공업,298040.KS,27348899284000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.919271+00:00
KOSPI,267260,HD현대일렉트릭,267260.KS,27287681195000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.919341+00:00
KOSPI,005490,POSCO홀딩스,005490.KS,26387428491000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.919411+00:00
KOSPI,010130,고려아연,010130.KS,25652878901000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.919478+00:00
KOSPI,316140,우리금융지주,316140.KS,24318195378800,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.919557+00:00
KOSPI,015760,한국전력,015760.KS,22821822937350,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.919625+00:00
KOSPI,096770,SK이노베이션,096770.KS,20421576790400,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.919700+00:00
KOSPI,006800,미래에셋증권,006800.KS,20256321056000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.919768+00:00
KOSPI,011200,HMM,011200.KS,20114549710250,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.919837+00:00
KOSPI,010140,삼성중공업,010140.KS,19888000000000,FinanceDataReader current listing sorted by market cap,2026-08-10 05:00:23.919905+00:00
