time,ticker,setup_id,reason
2023-11-22 01:00:00+00:00,000810.KS,KRLEVEL_RR|000810|3T|412|418|419,STARTER_LT_1_OR_CASH
2023-12-11 00:00:00+00:00,051910.KS,KRLEVEL_RR|051910|3T|491|494|496,STARTER_LT_1_OR_CASH
2024-01-22 04:00:00+00:00,068270.KS,KRLEVEL_RR|068270|3T|658|660|661,STARTER_LT_1_OR_CASH
2024-01-31 00:00:00+00:00,000810.KS,KRLEVEL_RR|000810|2T|694|698|699,STARTER_LT_1_OR_CASH
2024-03-08 01:00:00+00:00,034730.KS,KRLEVEL_RR|034730|3T|839|842|844,SAME_TICKER_OPEN
2024-06-04 05:00:00+00:00,352820.KS,KRLEVEL_RR|352820|3T|1188|1194|1196,STARTER_LT_1_OR_CASH
2024-06-28 00:00:00+00:00,096770.KS,KRLEVEL_RR|096770|3T|1288|1292|1293,TOTAL_RISK_CAP
2024-07-02 00:00:00+00:00,051910.KS,KRLEVEL_RR|051910|2T|1301|1304|1305,STARTER_LT_1_OR_CASH
2024-08-07 00:00:00+00:00,207940.KS,KRLEVEL_RR|207940|3T|1456|1459|1461,STARTER_LT_1_OR_CASH
2024-08-07 02:00:00+00:00,055550.KS,KRLEVEL_RR|055550|4T|1459|1461|1463,TOTAL_RISK_CAP
2024-08-08 01:00:00+00:00,329180.KS,KRLEVEL_RR|329180|2T|1465|1466|1468,TOTAL_RISK_CAP
2024-08-22 05:00:00+00:00,373220.KS,KRLEVEL_RR|373220|3T|1522|1525|1526,STARTER_LT_1_OR_CASH
2024-08-27 05:00:00+00:00,006400.KS,KRLEVEL_RR|006400|3T|1540|1543|1544,STARTER_LT_1_OR_CASH
2024-09-19 00:00:00+00:00,000810.KS,KRLEVEL_RR|000810|4T|1618|1621|1623,STARTER_LT_1_OR_CASH
2024-11-20 00:00:00+00:00,373220.KS,KRLEVEL_RR|373220|4T|1865|1866|1868,STARTER_LT_1_OR_CASH
2024-11-27 00:00:00+00:00,005380.KS,KRLEVEL_RR|005380|3T|1894|1896|1898,STARTER_LT_1_OR_CASH
2025-01-23 03:00:00+00:00,000660.KS,KRLEVEL_RR|000660|2T|2121|2127|2128,STARTER_LT_1_OR_CASH
2025-03-13 00:00:00+00:00,207940.KS,KRLEVEL_RR|207940|2T|2303|2304|2305,TOTAL_RISK_CAP
2025-03-19 05:00:00+00:00,207940.KS,KRLEVEL_RR|207940|3T|2327|2333|2334,STARTER_LT_1_OR_CASH
2025-03-20 04:00:00+00:00,373220.KS,KRLEVEL_RR|373220|2T|2336|2338|2339,STARTER_LT_1_OR_CASH
2025-05-19 01:00:00+00:00,009540.KS,KRLEVEL_RR|009540|2T|2562|2568|2570,STARTER_LT_1_OR_CASH
2025-05-20 05:00:00+00:00,207940.KS,KRLEVEL_RR|207940|2T|2572|2578|2580,STARTER_LT_1_OR_CASH
2025-05-30 00:00:00+00:00,006400.KS,KRLEVEL_RR|006400|5T|2616|2622|2623,STARTER_LT_1_OR_CASH
2025-06-23 04:00:00+00:00,009540.KS,KRLEVEL_RR|009540|2T|2704|2710|2711,STARTER_LT_1_OR_CASH
2025-07-28 05:00:00+00:00,005380.KS,KRLEVEL_RR|005380|3T|2858|2860|2862,STARTER_LT_1_OR_CASH
2025-07-30 00:00:00+00:00,207940.KS,KRLEVEL_RR|207940|3T|2864|2868|2869,STARTER_LT_1_OR_CASH
2025-08-05 05:00:00+00:00,000810.KS,KRLEVEL_RR|000810|2T|2895|2897|2898,STARTER_LT_1_OR_CASH
2025-08-18 00:00:00+00:00,006400.KS,KRLEVEL_RR|006400|2T|2936|2939|2941,TOTAL_RISK_CAP
2025-09-17 05:00:00+00:00,042660.KS,KRLEVEL_RR|042660|2T|3074|3077|3078,TOTAL_RISK_CAP
2025-11-06 05:00:00+00:00,005490.KS,KRLEVEL_RR|005490|2T|3260|3263|3264,STARTER_LT_1_OR_CASH
2025-11-26 01:00:00+00:00,009540.KS,KRLEVEL_RR|009540|2T|3339|3341|3343,STARTER_LT_1_OR_CASH
2025-12-04 04:00:00+00:00,207940.KS,KRLEVEL_RR|207940|3T|3278|3280|3281,STARTER_LT_1_OR_CASH
2025-12-15 00:00:00+00:00,005490.KS,KRLEVEL_RR|005490|2T|3415|3418|3420,STARTER_LT_1_OR_CASH
2025-12-15 00:00:00+00:00,329180.KS,KRLEVEL_RR|329180|2T|3416|3419|3420,STARTER_LT_1_OR_CASH
2025-12-15 00:00:00+00:00,373220.KS,KRLEVEL_RR|373220|2T|3416|3419|3420,STARTER_LT_1_OR_CASH
2026-01-12 04:00:00+00:00,068270.KS,KRLEVEL_RR|068270|3T|3521|3524|3525,STARTER_LT_1_OR_CASH
2026-01-21 00:00:00+00:00,005490.KS,KRLEVEL_RR|005490|2T|3561|3562|3563,STARTER_LT_1_OR_CASH
2026-01-21 01:00:00+00:00,012330.KS,KRLEVEL_RR|012330|2T|3557|3562|3564,STARTER_LT_1_OR_CASH
2026-01-30 00:00:00+00:00,000810.KS,KRLEVEL_RR|000810|5T|3603|3604|3605,STARTER_LT_1_OR_CASH
2026-02-05 00:00:00+00:00,006400.KS,KRLEVEL_RR|006400|2T|3619|3622|3623,STARTER_LT_1_OR_CASH
2026-02-10 01:00:00+00:00,005930.KS,KRLEVEL_RR|005930|2T|3636|3640|3642,STARTER_LT_1_OR_CASH
2026-02-10 02:00:00+00:00,207940.KS,KRLEVEL_RR|207940|3T|3535|3540|3542,STARTER_LT_1_OR_CASH
2026-02-11 00:00:00+00:00,034730.KS,KRLEVEL_RR|034730|2T|3640|3646|3647,STARTER_LT_1_OR_CASH
2026-02-13 00:00:00+00:00,005490.KS,KRLEVEL_RR|005490|2T|3655|3658|3659,STARTER_LT_1_OR_CASH
2026-02-24 01:00:00+00:00,012330.KS,KRLEVEL_RR|012330|5T|3678|3682|3684,STARTER_LT_1_OR_CASH
2026-03-06 00:00:00+00:00,000660.KS,KRLEVEL_RR|000660|3T|3725|3728|3730,STARTER_LT_1_OR_CASH
2026-03-06 00:00:00+00:00,373220.KS,KRLEVEL_RR|373220|3T|3720|3723|3725,STARTER_LT_1_OR_CASH
2026-03-06 01:00:00+00:00,006400.KS,KRLEVEL_RR|006400|5T|3720|3724|3726,STARTER_LT_1_OR_CASH
2026-03-09 00:00:00+00:00,012330.KS,KRLEVEL_RR|012330|2T|3727|3730|3731,STARTER_LT_1_OR_CASH
2026-03-13 00:00:00+00:00,373220.KS,KRLEVEL_RR|373220|2T|3750|3753|3755,STARTER_LT_1_OR_CASH
2026-03-19 00:00:00+00:00,010130.KS,KRLEVEL_RR|010130|4T|3775|3777|3779,STARTER_LT_1_OR_CASH
2026-04-15 04:00:00+00:00,006400.KS,KRLEVEL_RR|006400|4T|3894|3896|3897,STARTER_LT_1_OR_CASH
2026-04-17 00:00:00+00:00,373220.KS,KRLEVEL_RR|373220|3T|3902|3904|3905,STARTER_LT_1_OR_CASH
2026-04-21 05:00:00+00:00,005930.KS,KRLEVEL_RR|005930|2T|3912|3914|3916,STARTER_LT_1_OR_CASH
2026-05-11 00:00:00+00:00,051910.KS,KRLEVEL_RR|051910|2T|3984|3986|3988,STARTER_LT_1_OR_CASH
2026-05-11 05:00:00+00:00,009540.KS,KRLEVEL_RR|009540|2T|3984|3987|3988,STARTER_LT_1_OR_CASH
2026-05-13 01:00:00+00:00,329180.KS,KRLEVEL_RR|329180|3T|3990|3995|3996,STARTER_LT_1_OR_CASH
