strategy,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,active_stop,raw_first_entry,first_entry,R,target1,target2,level,touches,shares,cash_out,cash_in,buy_notional,sell_notional,commissions,taxes,partial_taken,added20,added60,entry_i,bars_held,last_mark,mfe_R,mae_R,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
KOSPI40_PIT_V028|5M|2T,009150.KS,009150,KOSPI,삼성전기,KRLEVEL_RR|009150|3T|393|398|400,2023-11-17 00:00:00+00:00,5000000,2,1000000.0,21541.78534687832,133853.08376454705,133853.08376454705,136600.0,136800.0,2946.9162354529544,139746.91623545295,142693.8324709059,137200.0,3,0,136820.52,139200.075,136800.0,139500.0,41.44499999999999,279.0,False,False,False,401,5,139500.0,1.0180133265779394,-0.06786755510519596,2023-11-17 04:00:00+00:00,139746.91623545295,target1_whole_share_exit,WIN,2379.555000000022,1,"[{""time"": ""2023-11-17 00:00:00+00:00"", ""raw_price"": 136600.0, ""price"": 136800.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}]","[{""time"": ""2023-11-17 04:00:00+00:00"", ""raw_price"": 139746.91623545295, ""price"": 139500.0, ""shares"": 1, ""reason"": ""target1_whole_share_exit"", ""slippage_ticks"": 2, ""commission"": 20.924999999999997, ""stt"": 69.75, ""rural_tax"": 209.25}]"
KOSPI40_PIT_V028|5M|2T,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|2T|462|464|465,2023-12-01 05:00:00+00:00,5000000,2,1000475.9110000002,18012.792084195917,35990.14520227086,35990.14520227086,36550.0,36650.0,659.8547977291382,37309.85479772914,37969.70959545828,36500.0,2,0,365804.8625,363217.4,365750.0,364000.0,109.46249999999999,728.0,False,True,False,466,26,36500.0,0.5304197244674281,-0.6819682171724075,2023-12-08 00:00:00+00:00,36500.0,time,TIME,-2587.462499999965,2,"[{""time"": ""2023-12-01 05:00:00+00:00"", ""raw_price"": 36550.0, ""price"": 36650.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}, {""time"": ""2023-12-04 00:00:00+00:00"", ""raw_price"": 36386.05808090835, ""price"": 36500.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 2}]","[{""time"": ""2023-12-08 00:00:00+00:00"", ""raw_price"": 36500.0, ""price"": 36400.0, ""shares"": 10, ""reason"": ""time"", ""slippage_ticks"": 2, ""commission"": 54.599999999999994, ""stt"": 182.0, ""rural_tax"": 546.0}]"
KOSPI40_PIT_V028|5M|2T,003550.KS,003550,KOSPI,LG,KRLEVEL_RR|003550|2T|516|518|519,2023-12-14 05:00:00+00:00,5000000,2,999958.4185000003,28798.13235928181,82746.29709434182,82746.29709434182,85000.0,85200.0,2453.7029056581814,87653.70290565818,90107.40581131636,84900.0,2,0,170425.56,171630.2,170400.0,172000.0,51.36,344.0,False,False,False,520,26,86200.0,0.8558493349612332,-0.2445283814174952,2023-12-21 00:00:00+00:00,86200.0,time,TIME,1204.640000000014,1,"[{""time"": ""2023-12-14 05:00:00+00:00"", ""raw_price"": 85000.0, ""price"": 85200.0, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}]","[{""time"": ""2023-12-21 00:00:00+00:00"", ""raw_price"": 86200.0, ""price"": 86000.0, ""shares"": 2, ""reason"": ""time"", ""slippage_ticks"": 2, ""commission"": 25.799999999999997, ""stt"": 86.0, ""rural_tax"": 258.0}]"
KOSPI40_PIT_V028|5M|2T,010130.KS,010130,KOSPI,고려아연,KRLEVEL_RR|010130|2T|539|542|544,2023-12-21 00:00:00+00:00,5000000,2,1000233.3065000004,26593.557729383192,48475.94973460996,48475.94973460996,49700.0,49800.0,1324.0502653900403,51124.05026539004,52448.10053078008,49700.0,2,0,396859.52,395946.88,396800.0,396800.0,119.03999999999999,793.6,False,True,False,545,26,49700.0,0.45315500150083143,-0.4909179182925674,2023-12-28 01:00:00+00:00,49700.0,time,TIME,-912.640000000014,2,"[{""time"": ""2023-12-21 00:00:00+00:00"", ""raw_price"": 49700.0, ""price"": 49800.0, ""shares"": 4, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}, {""time"": ""2023-12-27 00:00:00+00:00"", ""raw_price"": 49270.37989384399, ""price"": 49400.0, ""shares"": 4, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 2}]","[{""time"": ""2023-12-28 01:00:00+00:00"", ""raw_price"": 49700.0, ""price"": 49600.0, ""shares"": 8, ""reason"": ""time"", ""slippage_ticks"": 2, ""commission"": 59.519999999999996, ""stt"": 198.4, ""rural_tax"": 595.2}]"
KOSPI40_PIT_V028|5M|2T,042660.KS,042660,KOSPI,한화오션,KRLEVEL_RR|042660|2T|569|574|576,2024-01-02 03:00:00+00:00,5000000,2,987908.320278881,50000.840925000026,24019.495271539578,24019.495271539578,25200.0,25300.0,1280.5047284604225,26580.504728460422,27861.009456920845,25125.0,2,0,937140.5499999999,915910.485,937000.0,917700.0,278.205,1651.86,False,True,True,577,26,24250.0,0.1561884119244637,-0.8980833685656663,2024-01-08 04:00:00+00:00,24250.0,time,TIME,-21230.064999999944,3,"[{""time"": ""2024-01-02 03:00:00+00:00"", ""raw_price"": 25200.0, ""price"": 25300.0, ""shares"": 7, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}, {""time"": ""2024-01-03 01:00:00+00:00"", ""raw_price"": 24787.798108615832, ""price"": 24900.0, ""shares"": 7, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 2}, {""time"": ""2024-01-08 02:00:00+00:00"", ""raw_price"": 24275.59621723166, ""price"": 24400.0, ""shares"": 24, ""fraction"": 0.6, ""reason"": ""support60"", ""slippage_ticks"": 2}]","[{""time"": ""2024-01-08 04:00:00+00:00"", ""raw_price"": 24250.0, ""price"": 24150.0, ""shares"": 38, ""reason"": ""time"", ""slippage_ticks"": 2, ""commission"": 137.655, ""stt"": 275.31, ""rural_tax"": 1376.55}]"
KOSPI40_PIT_V028|5M|2T,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|2T|616|619|621,2024-01-12 00:00:00+00:00,5000000,2,995770.8055000006,19460.958578054106,36571.023260621776,36571.023260621776,37200.0,37300.0,728.976739378224,38028.976739378224,38757.95347875645,37350.0,2,0,961994.2775,945851.985,961850.0,947700.0,286.4325,1705.86,False,True,True,622,6,36600.0,0.0,-0.9602501179901302,2024-01-12 05:00:00+00:00,36571.023260621776,stop,LOSS,-16142.292499999981,3,"[{""time"": ""2024-01-12 00:00:00+00:00"", ""raw_price"": 37200.0, ""price"": 37300.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}, {""time"": ""2024-01-12 00:00:00+00:00"", ""raw_price"": 37008.40930424871, ""price"": 37150.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 2}, {""time"": ""2024-01-12 04:00:00+00:00"", ""raw_price"": 36716.81860849742, ""price"": 36850.0, ""shares"": 16, ""fraction"": 0.6, ""reason"": ""support60"", ""slippage_ticks"": 2}]","[{""time"": ""2024-01-12 05:00:00+00:00"", ""raw_price"": 36571.023260621776, ""price"": 36450.0, ""shares"": 26, ""reason"": ""stop"", ""slippage_ticks"": 2, ""commission"": 142.155, ""stt"": 284.31, ""rural_tax"": 1421.55}]"
KOSPI40_PIT_V028|5M|2T,323410.KS,323410,KOSPI,카카오뱅크,KRLEVEL_RR|323410|2T|630|632|633,2024-01-16 00:00:00+00:00,5000000,2,482513.0375589842,49627.11735000003,27811.60814714372,27811.60814714372,30900.0,31000.0,3188.391852856279,34188.39185285628,37376.78370571256,30750.0,2,0,468120.2075,448723.27999999997,468050.0,449600.0,137.64749999999998,809.28,False,True,True,634,26,28200.0,0.07840943382666117,-0.9095494323892696,2024-01-22 01:00:00+00:00,28200.0,time,TIME,-19396.92750000005,3,"[{""time"": ""2024-01-16 00:00:00+00:00"", ""raw_price"": 30900.0, ""price"": 31000.0, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}, {""time"": ""2024-01-17 00:00:00+00:00"", ""raw_price"": 29724.64325885749, ""price"": 29850.0, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 2}, {""time"": ""2024-01-18 00:00:00+00:00"", ""raw_price"": 28449.286517714976, ""price"": 28550.0, ""shares"": 10, ""fraction"": 0.6, ""reason"": ""support60"", ""slippage_ticks"": 2}]","[{""time"": ""2024-01-22 01:00:00+00:00"", ""raw_price"": 28200.0, ""price"": 28100.0, ""shares"": 16, ""reason"": ""time"", ""slippage_ticks"": 2, ""commission"": 67.44, ""stt"": 134.88, ""rural_tax"": 674.4}]"
KOSPI40_PIT_V028|5M|2T,009540.KS,009540,KOSPI,HD한국조선해양,KRLEVEL_RR|009540|6T|667|668|669,2024-01-24 00:00:00+00:00,5000000,2,589949.5642806577,49433.148075000034,104264.45223195592,104264.45223195592,113600.0,113800.0,9535.547768044082,123335.54776804408,132871.09553608816,113300.0,6,0,224033.6,224162.03,224000.0,224600.0,67.28999999999999,404.28000000000003,False,True,False,670,26,112500.0,0.47191835324663617,-0.4299700551802685,2024-01-30 01:00:00+00:00,112500.0,time,TIME,128.42999999999302,2,"[{""time"": ""2024-01-24 00:00:00+00:00"", ""raw_price"": 113600.0, ""price"": 113800.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}, {""time"": ""2024-01-24 00:00:00+00:00"", ""raw_price"": 109985.78089278236, ""price"": 110200.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 2}]","[{""time"": ""2024-01-30 01:00:00+00:00"", ""raw_price"": 112500.0, ""price"": 112300.0, ""shares"": 2, ""reason"": ""time"", ""slippage_ticks"": 2, ""commission"": 33.69, ""stt"": 67.38, ""rural_tax"": 336.90000000000003}]"
KOSPI40_PIT_V028|5M|2T,015760.KS,015760,KOSPI,한국전력,KRLEVEL_RR|015760|2T|698|703|704,2024-01-31 05:00:00+00:00,5000000,2,988688.6475000005,23363.38971828368,19097.783806818083,19560.0,19540.0,19560.0,462.21619318191733,20022.216193181917,20484.432386363835,19495.0,2,0,195629.34,201256.7825,195600.0,201650.0,59.58749999999999,362.97,True,False,False,705,4,20250.0,2.0336803726606747,-0.08653959032598615,2024-02-01 02:00:00+00:00,20484.432386363835,target2,WIN,5627.442500000005,1,"[{""time"": ""2024-01-31 05:00:00+00:00"", ""raw_price"": 19540.0, ""price"": 19560.0, ""shares"": 10, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}]","[{""time"": ""2024-02-01 00:00:00+00:00"", ""raw_price"": 20022.216193181917, ""price"": 19980.0, ""shares"": 5, ""reason"": ""target1_partial"", ""slippage_ticks"": 2, ""commission"": 14.985, ""stt"": 29.97, ""rural_tax"": 149.85}, {""time"": ""2024-02-01 02:00:00+00:00"", ""raw_price"": 20484.432386363835, ""price"": 20350.0, ""shares"": 5, ""reason"": ""target2"", ""slippage_ticks"": 2, ""commission"": 15.2625, ""stt"": 30.525, ""rural_tax"": 152.625}]"
KOSPI40_PIT_V028|5M|2T,009540.KS,009540,KOSPI,HD한국조선해양,KRLEVEL_RR|009540|3T|703|704|705,2024-02-01 00:00:00+00:00,5000000,2,989002.7795000006,22410.052278164036,110146.30354524794,110146.30354524794,112500.0,112700.0,2553.696454752062,115253.69645475206,117807.39290950412,112400.0,3,0,112716.905,114775.75,112700.0,115000.0,34.155,207.0,False,False,False,706,7,115000.0,2.349535313343472,-0.2741124532234051,2024-02-02 00:00:00+00:00,115253.69645475206,target1_whole_share_exit,WIN,2058.845000000001,1,"[{""time"": ""2024-02-01 00:00:00+00:00"", ""raw_price"": 112500.0, ""price"": 112700.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 2}]","[{""time"": ""2024-02-02 00:00:00+00:00"", ""raw_price"": 115253.69645475206, ""price"": 115000.0, ""shares"": 1, ""reason"": ""target1_whole_share_exit"", ""slippage_ticks"": 2, ""commission"": 17.25, ""stt"": 34.5, ""rural_tax"": 172.5}]"
