scenario,period,trades,pnl,pf,winrate
KOSPI40_PIT_V028|5M|0T,2023Q4,4,5928.069999999949,18.4650364587144,0.75
KOSPI40_PIT_V028|5M|0T,2024Q1,11,-23461.519999999946,0.5147653982719661,0.5454545454545454
KOSPI40_PIT_V028|5M|0T,2024Q2,8,21359.922500000044,2.397577360211506,0.625
KOSPI40_PIT_V028|5M|0T,2024Q3,7,3417.5760000000446,1.2094113848019465,0.5714285714285714
KOSPI40_PIT_V028|5M|0T,2024Q4,11,11630.927999999782,1.3748924667437112,0.6363636363636364
KOSPI40_PIT_V028|5M|0T,2025Q1,6,-48330.119999999995,0.11938418632567203,0.3333333333333333
KOSPI40_PIT_V028|5M|0T,2025Q2,7,32736.269999999888,5.541472012452297,0.8571428571428571
KOSPI40_PIT_V028|5M|0T,2025Q3,10,-10941.889999999781,0.7896132869908812,0.6
KOSPI40_PIT_V028|5M|0T,2025Q4,3,-11208.70749999996,0.18603762849661773,0.3333333333333333
KOSPI40_PIT_V028|5M|0T,2026Q1,5,-27083.4200000001,0.44163820147326455,0.8
KOSPI40_PIT_V028|5M|0T,2026Q2,7,-25361.320000000094,0.4539077798157084,0.42857142857142855
KOSPI40_PIT_V028|5M|0T,2026Q3,6,-21089.111000000164,0.4677612100990499,0.5
KOSPI40_PIT_V028|5M|1T,2023Q4,4,2482.1525000000256,2.562613218757182,0.75
KOSPI40_PIT_V028|5M|1T,2024Q1,11,-34954.00499999992,0.40344688830157244,0.5454545454545454
KOSPI40_PIT_V028|5M|1T,2024Q2,8,11664.10999999987,1.566794531145213,0.625
KOSPI40_PIT_V028|5M|1T,2024Q3,7,-412.95749999997497,0.9789492773200755,0.5714285714285714
KOSPI40_PIT_V028|5M|1T,2024Q4,11,6035.065000000031,1.1808377838126316,0.6363636363636364
KOSPI40_PIT_V028|5M|1T,2025Q1,6,-72404.24250000008,0.032963139522921375,0.16666666666666666
KOSPI40_PIT_V028|5M|1T,2025Q2,7,25046.86499999996,2.7744271974036927,0.8571428571428571
KOSPI40_PIT_V028|5M|1T,2025Q3,10,-28615.7325,0.5778981303165414,0.6
KOSPI40_PIT_V028|5M|1T,2025Q4,3,-14817.674999999988,0.1374604352666397,0.3333333333333333
KOSPI40_PIT_V028|5M|1T,2026Q1,5,-29382.500000000116,0.40884974019667697,0.8
KOSPI40_PIT_V028|5M|1T,2026Q2,7,-23584.08750000011,0.4611058953034569,0.42857142857142855
KOSPI40_PIT_V028|5M|1T,2026Q3,6,-24066.821000000156,0.42835561101156605,0.5
KOSPI40_PIT_V028|5M|2T,2023Q4,4,84.09250000005704,1.0240257249609284,0.5
KOSPI40_PIT_V028|5M|2T,2024Q1,11,-44944.82249999989,0.3280252048731342,0.5454545454545454
KOSPI40_PIT_V028|5M|2T,2024Q2,8,3270.305000000022,1.1263904307791905,0.625
KOSPI40_PIT_V028|5M|2T,2024Q3,7,-3510.7974999999424,0.8447549941276792,0.5714285714285714
KOSPI40_PIT_V028|5M|2T,2024Q4,11,-8165.386500000197,0.8302758096442766,0.5454545454545454
KOSPI40_PIT_V028|5M|2T,2025Q1,6,-80745.40749999996,0.029656874666688315,0.16666666666666666
KOSPI40_PIT_V028|5M|2T,2025Q2,7,12640.704999999987,1.5122741372927537,0.7142857142857143
KOSPI40_PIT_V028|5M|2T,2025Q3,10,-37119.765,0.5092494893822309,0.5
KOSPI40_PIT_V028|5M|2T,2025Q4,3,-19465.672499999928,0.09152271563951718,0.3333333333333333
KOSPI40_PIT_V028|5M|2T,2026Q1,5,-33125.20749999983,0.35052127571135566,0.8
KOSPI40_PIT_V028|5M|2T,2026Q2,7,-28781.07249999998,0.4023925417298686,0.42857142857142855
KOSPI40_PIT_V028|5M|2T,2026Q3,3,-21715.483,0.0872542802576883,0.3333333333333333
KOSPI40_PIT_V028|10M|0T,2023Q4,5,13643.41750000004,23.26487999314721,0.8
KOSPI40_PIT_V028|10M|0T,2024Q1,12,-29984.01750000019,0.6943930758219704,0.5833333333333334
KOSPI40_PIT_V028|10M|0T,2024Q2,9,44866.857500000275,2.298303334069311,0.5555555555555556
KOSPI40_PIT_V028|10M|0T,2024Q3,10,48752.79200000022,2.3527760843995265,0.7
KOSPI40_PIT_V028|10M|0T,2024Q4,13,36790.000499999645,1.5316829450789302,0.6923076923076923
KOSPI40_PIT_V028|10M|0T,2025Q1,7,-105531.18,0.16572584261597592,0.2857142857142857
KOSPI40_PIT_V028|10M|0T,2025Q2,10,76925.94,3.4014969798637273,0.7
KOSPI40_PIT_V028|10M|0T,2025Q3,12,5998.072500000533,1.0505015563582456,0.5833333333333334
KOSPI40_PIT_V028|10M|0T,2025Q4,5,114612.79250000004,4.887981719027126,0.6
KOSPI40_PIT_V028|10M|0T,2026Q1,9,-26005.024999999878,0.8257944190560966,0.6666666666666666
KOSPI40_PIT_V028|10M|0T,2026Q2,9,-42135.25249999986,0.6043061162887452,0.5555555555555556
KOSPI40_PIT_V028|10M|0T,2026Q3,5,-25467.294999999955,0.5699824116451745,0.6
KOSPI40_PIT_V028|10M|1T,2023Q4,5,6584.575000000012,3.0726252587014664,0.8
KOSPI40_PIT_V028|10M|1T,2024Q1,12,-52660.779999999446,0.5555616696100663,0.5833333333333334
KOSPI40_PIT_V028|10M|1T,2024Q2,9,23128.687500000175,1.4833795161478984,0.5555555555555556
KOSPI40_PIT_V028|10M|1T,2024Q3,10,40149.07300000009,1.9250822311102365,0.7
KOSPI40_PIT_V028|10M|1T,2024Q4,12,-19039.587999999698,0.7839616978495348,0.5833333333333334
KOSPI40_PIT_V028|10M|1T,2025Q1,7,-154096.8800000006,0.07777067223231218,0.14285714285714285
KOSPI40_PIT_V028|10M|1T,2025Q2,10,59624.80500000005,2.2895228976761053,0.8
KOSPI40_PIT_V028|10M|1T,2025Q3,11,-25881.260000000068,0.8213315097332304,0.6363636363636364
KOSPI40_PIT_V028|10M|1T,2025Q4,5,52610.49500000023,1.852299892041954,0.4
KOSPI40_PIT_V028|10M|1T,2026Q1,7,-67821.00500000024,0.466860636275342,0.7142857142857143
KOSPI40_PIT_V028|10M|1T,2026Q2,9,-45710.3275000001,0.5761974451453244,0.5555555555555556
KOSPI40_PIT_V028|10M|1T,2026Q3,5,-29439.915999999852,0.5146660939358554,0.6
KOSPI40_PIT_V028|10M|2T,2023Q4,5,1587.7350000000442,1.226812643344024,0.6
KOSPI40_PIT_V028|10M|2T,2024Q1,12,-73543.59999999966,0.45860988439119044,0.5
KOSPI40_PIT_V028|10M|2T,2024Q2,9,-3126.022500000021,0.948936907887402,0.5555555555555556
KOSPI40_PIT_V028|10M|2T,2024Q3,10,32119.90449999977,1.6450455504527166,0.7
KOSPI40_PIT_V028|10M|2T,2024Q4,12,-54437.26450000005,0.5631992638334155,0.5
KOSPI40_PIT_V028|10M|2T,2025Q1,7,-173943.15749999997,0.07050426352473185,0.14285714285714285
KOSPI40_PIT_V028|10M|2T,2025Q2,10,7271.77999999997,1.0797896482856526,0.7
KOSPI40_PIT_V028|10M|2T,2025Q3,11,-52631.182499999704,0.6749915457554688,0.5454545454545454
KOSPI40_PIT_V028|10M|2T,2025Q4,5,33880.33749999991,1.4538123761023676,0.4
KOSPI40_PIT_V028|10M|2T,2026Q1,7,-80361.0074999998,0.4025531499666844,0.7142857142857143
KOSPI40_PIT_V028|10M|2T,2026Q2,9,-54601.32249999992,0.5241577452943905,0.5555555555555556
KOSPI40_PIT_V028|10M|2T,2026Q3,5,-34316.18600000013,0.4641086546139331,0.6
KOSPI40_PIT_V028|20M|0T,2023Q4,6,19094.667500000098,1.7793944638355448,0.6666666666666666
KOSPI40_PIT_V028|20M|0T,2024Q1,12,-46281.739999999874,0.7728455646812968,0.5833333333333334
KOSPI40_PIT_V028|20M|0T,2024Q2,9,90226.8724999997,2.191310021023256,0.5555555555555556
KOSPI40_PIT_V028|20M|0T,2024Q3,10,90078.96399999992,2.1395266204221977,0.7
KOSPI40_PIT_V028|20M|0T,2024Q4,13,55862.744000000064,1.37701720321731,0.6923076923076923
KOSPI40_PIT_V028|20M|0T,2025Q1,8,-252653.97250000067,0.13414398035618896,0.25
KOSPI40_PIT_V028|20M|0T,2025Q2,10,167195.49250000017,3.5154376358882633,0.7
KOSPI40_PIT_V028|20M|0T,2025Q3,13,11642.085000000545,1.045147874983339,0.6153846153846154
KOSPI40_PIT_V028|20M|0T,2025Q4,7,171639.3275,2.53476115979451,0.42857142857142855
KOSPI40_PIT_V028|20M|0T,2026Q1,12,-47860.71249999927,0.8547294526581098,0.75
KOSPI40_PIT_V028|20M|0T,2026Q2,13,-39756.70749999944,0.842508240603918,0.6153846153846154
KOSPI40_PIT_V028|20M|0T,2026Q3,5,-41561.94499999989,0.6443770110080111,0.6
KOSPI40_PIT_V028|20M|1T,2023Q4,6,2992.0574999997625,1.0926062151906328,0.6666666666666666
KOSPI40_PIT_V028|20M|1T,2024Q1,12,-88589.62000000011,0.6333207526091756,0.5833333333333334
KOSPI40_PIT_V028|20M|1T,2024Q2,9,45653.01999999932,1.4380616521632834,0.5555555555555556
KOSPI40_PIT_V028|20M|1T,2024Q3,10,72577.99099999963,1.79171845895557,0.7
KOSPI40_PIT_V028|20M|1T,2024Q4,13,-32094.940999999468,0.8331548519308085,0.6153846153846154
KOSPI40_PIT_V028|20M|1T,2025Q1,8,-354826.89250000013,0.06135711720334621,0.125
KOSPI40_PIT_V028|20M|1T,2025Q2,10,131718.48500000022,2.3553945751591296,0.8
KOSPI40_PIT_V028|20M|1T,2025Q3,12,-38050.7649999999,0.8707993584001366,0.6666666666666666
KOSPI40_PIT_V028|20M|1T,2025Q4,7,60674.920000000275,1.3211479640316999,0.2857142857142857
KOSPI40_PIT_V028|20M|1T,2026Q1,12,-106786.7149999995,0.6834924732378572,0.75
KOSPI40_PIT_V028|20M|1T,2026Q2,13,-63159.59749999887,0.7581732094085691,0.6153846153846154
KOSPI40_PIT_V028|20M|1T,2026Q3,5,-53845.3110000001,0.5649896744519315,0.6
KOSPI40_PIT_V028|20M|2T,2023Q4,6,-9102.397499999963,0.7865987174327145,0.5
KOSPI40_PIT_V028|20M|2T,2024Q1,12,-129689.09750000032,0.529705007053748,0.5
