ticker,setup_id,entry_mode,legacy_entry_i,chosen_entry_i,decision,legacy_entry_time,chosen_entry_time
005930.KS,KRLEVEL_RR|005930|2T|712|715|717,NEXT_OPEN,718,718.0,NEXT_OPEN,2024-02-05 09:00:00+09:00,2024-02-05 09:00:00+09:00
005930.KS,KRLEVEL_RR|005930|3T|2386|2391|2393,NEXT_OPEN,2394,2394.0,NEXT_OPEN,2025-04-02 13:00:00+09:00,2025-04-02 13:00:00+09:00
005930.KS,KRLEVEL_RR|005930|2T|3636|3640|3642,NEXT_OPEN,3643,3643.0,NEXT_OPEN,2026-02-10 10:00:00+09:00,2026-02-10 10:00:00+09:00
005930.KS,KRLEVEL_RR|005930|2T|3912|3914|3916,NEXT_OPEN,3917,3917.0,NEXT_OPEN,2026-04-21 14:00:00+09:00,2026-04-21 14:00:00+09:00
373220.KS,KRLEVEL_RR|373220|3T|1522|1525|1526,NEXT_OPEN,1527,1527.0,NEXT_OPEN,2024-08-22 14:00:00+09:00,2024-08-22 14:00:00+09:00
373220.KS,KRLEVEL_RR|373220|4T|1865|1866|1868,NEXT_OPEN,1869,1869.0,NEXT_OPEN,2024-11-20 09:00:00+09:00,2024-11-20 09:00:00+09:00
373220.KS,KRLEVEL_RR|373220|2T|2336|2338|2339,NEXT_OPEN,2340,2340.0,NEXT_OPEN,2025-03-20 13:00:00+09:00,2025-03-20 13:00:00+09:00
373220.KS,KRLEVEL_RR|373220|2T|3416|3419|3420,NEXT_OPEN,3421,3421.0,NEXT_OPEN,2025-12-15 09:00:00+09:00,2025-12-15 09:00:00+09:00
373220.KS,KRLEVEL_RR|373220|3T|3720|3723|3725,NEXT_OPEN,3726,3726.0,NEXT_OPEN,2026-03-06 09:00:00+09:00,2026-03-06 09:00:00+09:00
373220.KS,KRLEVEL_RR|373220|2T|3750|3753|3755,NEXT_OPEN,3756,3756.0,NEXT_OPEN,2026-03-13 09:00:00+09:00,2026-03-13 09:00:00+09:00
373220.KS,KRLEVEL_RR|373220|3T|3902|3904|3905,NEXT_OPEN,3906,3906.0,NEXT_OPEN,2026-04-17 09:00:00+09:00,2026-04-17 09:00:00+09:00
000660.KS,KRLEVEL_RR|000660|3T|2019|2021|2022,NEXT_OPEN,2023,2023.0,NEXT_OPEN,2024-12-26 13:00:00+09:00,2024-12-26 13:00:00+09:00
000660.KS,KRLEVEL_RR|000660|2T|2121|2127|2128,NEXT_OPEN,2129,2129.0,NEXT_OPEN,2025-01-23 12:00:00+09:00,2025-01-23 12:00:00+09:00
000660.KS,KRLEVEL_RR|000660|2T|3578|3579|3581,NEXT_OPEN,3582,3582.0,NEXT_OPEN,2026-01-26 09:00:00+09:00,2026-01-26 09:00:00+09:00
000660.KS,KRLEVEL_RR|000660|3T|3720|3723|3725,NEXT_OPEN,3726,3726.0,NEXT_OPEN,2026-03-06 09:00:00+09:00,2026-03-06 09:00:00+09:00
207940.KS,KRLEVEL_RR|207940|3T|1456|1459|1461,NEXT_OPEN,1462,1462.0,NEXT_OPEN,2024-08-07 09:00:00+09:00,2024-08-07 09:00:00+09:00
207940.KS,KRLEVEL_RR|207940|2T|2303|2304|2305,NEXT_OPEN,2306,2306.0,NEXT_OPEN,2025-03-13 09:00:00+09:00,2025-03-13 09:00:00+09:00
207940.KS,KRLEVEL_RR|207940|3T|2327|2333|2334,NEXT_OPEN,2335,2335.0,NEXT_OPEN,2025-03-19 14:00:00+09:00,2025-03-19 14:00:00+09:00
207940.KS,KRLEVEL_RR|207940|2T|2572|2578|2580,NEXT_OPEN,2581,2581.0,NEXT_OPEN,2025-05-20 14:00:00+09:00,2025-05-20 14:00:00+09:00
207940.KS,KRLEVEL_RR|207940|3T|2864|2868|2869,NEXT_OPEN,2870,2870.0,NEXT_OPEN,2025-07-30 09:00:00+09:00,2025-07-30 09:00:00+09:00
207940.KS,KRLEVEL_RR|207940|3T|3278|3280|3281,NEXT_OPEN,3282,3282.0,NEXT_OPEN,2025-12-04 13:00:00+09:00,2025-12-04 13:00:00+09:00
207940.KS,KRLEVEL_RR|207940|3T|3535|3540|3542,NEXT_OPEN,3543,3543.0,NEXT_OPEN,2026-02-10 11:00:00+09:00,2026-02-10 11:00:00+09:00
005490.KS,KRLEVEL_RR|005490|2T|3260|3263|3264,NEXT_OPEN,3265,3265.0,NEXT_OPEN,2025-11-06 14:00:00+09:00,2025-11-06 14:00:00+09:00
005490.KS,KRLEVEL_RR|005490|2T|3415|3418|3420,NEXT_OPEN,3421,3421.0,NEXT_OPEN,2025-12-15 09:00:00+09:00,2025-12-15 09:00:00+09:00
005490.KS,KRLEVEL_RR|005490|2T|3561|3562|3563,NEXT_OPEN,3564,3564.0,NEXT_OPEN,2026-01-21 09:00:00+09:00,2026-01-21 09:00:00+09:00
005490.KS,KRLEVEL_RR|005490|2T|3655|3658|3659,NEXT_OPEN,3660,3660.0,NEXT_OPEN,2026-02-13 09:00:00+09:00,2026-02-13 09:00:00+09:00
051910.KS,KRLEVEL_RR|051910|3T|491|494|496,NEXT_OPEN,497,497.0,NEXT_OPEN,2023-12-11 09:00:00+09:00,2023-12-11 09:00:00+09:00
051910.KS,KRLEVEL_RR|051910|2T|1301|1304|1305,NEXT_OPEN,1306,1306.0,NEXT_OPEN,2024-07-02 09:00:00+09:00,2024-07-02 09:00:00+09:00
051910.KS,KRLEVEL_RR|051910|2T|3978|3980|3982,NEXT_OPEN,3983,3983.0,NEXT_OPEN,2026-05-11 09:00:00+09:00,2026-05-11 09:00:00+09:00
006400.KS,KRLEVEL_RR|006400|3T|1540|1543|1544,NEXT_OPEN,1545,1545.0,NEXT_OPEN,2024-08-27 14:00:00+09:00,2024-08-27 14:00:00+09:00
006400.KS,KRLEVEL_RR|006400|5T|2616|2622|2623,NEXT_OPEN,2624,2624.0,NEXT_OPEN,2025-05-30 09:00:00+09:00,2025-05-30 09:00:00+09:00
006400.KS,KRLEVEL_RR|006400|2T|2936|2939|2941,NEXT_OPEN,2942,2942.0,NEXT_OPEN,2025-08-18 09:00:00+09:00,2025-08-18 09:00:00+09:00
006400.KS,KRLEVEL_RR|006400|2T|3619|3622|3623,NEXT_OPEN,3624,3624.0,NEXT_OPEN,2026-02-05 09:00:00+09:00,2026-02-05 09:00:00+09:00
006400.KS,KRLEVEL_RR|006400|5T|3720|3724|3726,NEXT_OPEN,3727,3727.0,NEXT_OPEN,2026-03-06 10:00:00+09:00,2026-03-06 10:00:00+09:00
006400.KS,KRLEVEL_RR|006400|4T|3894|3896|3897,NEXT_OPEN,3898,3898.0,NEXT_OPEN,2026-04-15 13:00:00+09:00,2026-04-15 13:00:00+09:00
005380.KS,KRLEVEL_RR|005380|3T|1894|1896|1898,NEXT_OPEN,1899,1899.0,NEXT_OPEN,2024-11-27 09:00:00+09:00,2024-11-27 09:00:00+09:00
005380.KS,KRLEVEL_RR|005380|3T|2858|2860|2862,NEXT_OPEN,2863,2863.0,NEXT_OPEN,2025-07-28 14:00:00+09:00,2025-07-28 14:00:00+09:00
005380.KS,KRLEVEL_RR|005380|2T|3618|3621|3623,NEXT_OPEN,3624,3624.0,NEXT_OPEN,2026-02-05 09:00:00+09:00,2026-02-05 09:00:00+09:00
