variant,capital_krw,slippage_ticks,rejects,starter_lt_1_share,add20_lt_1_share,add60_lt_1_share,partial_rounded_up_to_one,partial_whole_exit
NEXT_OPEN|LEGACY_R,5000000,0,70,59,0,0,14,14
NEXT_OPEN|LEGACY_R,5000000,1,70,57,0,0,14,14
NEXT_OPEN|LEGACY_R,5000000,2,73,65,0,0,12,12
NEXT_OPEN|LEGACY_R,10000000,0,48,31,0,0,11,11
NEXT_OPEN|LEGACY_R,10000000,1,52,33,0,0,8,8
NEXT_OPEN|LEGACY_R,10000000,2,52,33,0,0,8,8
NEXT_OPEN|LEGACY_R,20000000,0,35,12,0,0,5,5
NEXT_OPEN|LEGACY_R,20000000,1,36,11,0,0,6,6
NEXT_OPEN|LEGACY_R,20000000,2,36,11,0,0,6,6
NEXT_OPEN|LEGACY_R,50000000,0,27,2,0,0,3,3
NEXT_OPEN|LEGACY_R,50000000,1,29,2,0,0,3,3
NEXT_OPEN|LEGACY_R,50000000,2,31,2,0,0,2,2
NEXT_OPEN|TRAIL_AVG,5000000,0,71,59,0,0,0,0
NEXT_OPEN|TRAIL_AVG,5000000,1,71,58,0,0,0,0
NEXT_OPEN|TRAIL_AVG,5000000,2,71,58,0,0,0,0
NEXT_OPEN|TRAIL_AVG,10000000,0,48,31,0,0,0,0
NEXT_OPEN|TRAIL_AVG,10000000,1,51,33,0,0,0,0
NEXT_OPEN|TRAIL_AVG,10000000,2,52,34,0,0,0,0
NEXT_OPEN|TRAIL_AVG,20000000,0,34,12,0,0,0,0
NEXT_OPEN|TRAIL_AVG,20000000,1,38,12,0,0,0,0
NEXT_OPEN|TRAIL_AVG,20000000,2,38,12,0,0,0,0
NEXT_OPEN|TRAIL_AVG,50000000,0,26,2,0,0,0,0
NEXT_OPEN|TRAIL_AVG,50000000,1,30,2,0,0,0,0
NEXT_OPEN|TRAIL_AVG,50000000,2,30,2,0,0,0,0
NEXT_OPEN|TRAIL_P70,5000000,0,72,59,0,0,0,0
NEXT_OPEN|TRAIL_P70,5000000,1,72,58,0,0,0,0
NEXT_OPEN|TRAIL_P70,5000000,2,72,58,0,0,0,0
NEXT_OPEN|TRAIL_P70,10000000,0,51,31,0,0,0,0
NEXT_OPEN|TRAIL_P70,10000000,1,54,34,0,0,0,0
NEXT_OPEN|TRAIL_P70,10000000,2,54,34,0,0,0,0
NEXT_OPEN|TRAIL_P70,20000000,0,38,12,0,0,0,0
NEXT_OPEN|TRAIL_P70,20000000,1,40,12,0,0,0,0
NEXT_OPEN|TRAIL_P70,20000000,2,40,12,0,0,0,0
NEXT_OPEN|TRAIL_P70,50000000,0,30,2,0,0,0,0
NEXT_OPEN|TRAIL_P70,50000000,1,32,2,0,0,0,0
NEXT_OPEN|TRAIL_P70,50000000,2,32,2,0,0,0,0
PULLBACK|LEGACY_R,5000000,0,53,44,0,0,8,8
PULLBACK|LEGACY_R,5000000,1,54,43,0,0,8,8
PULLBACK|LEGACY_R,5000000,2,54,43,0,0,8,8
PULLBACK|LEGACY_R,10000000,0,36,26,0,0,7,7
PULLBACK|LEGACY_R,10000000,1,37,25,0,0,6,6
PULLBACK|LEGACY_R,10000000,2,38,25,0,0,5,5
PULLBACK|LEGACY_R,20000000,0,22,9,0,0,3,3
PULLBACK|LEGACY_R,20000000,1,24,9,0,0,3,3
PULLBACK|LEGACY_R,20000000,2,25,9,0,0,2,2
PULLBACK|LEGACY_R,50000000,0,16,2,0,0,1,1
PULLBACK|LEGACY_R,50000000,1,18,2,0,0,1,1
PULLBACK|LEGACY_R,50000000,2,19,2,0,0,1,1
PULLBACK|TRAIL_AVG,5000000,0,52,45,0,0,0,0
PULLBACK|TRAIL_AVG,5000000,1,54,45,0,0,0,0
PULLBACK|TRAIL_AVG,5000000,2,54,45,0,0,0,0
PULLBACK|TRAIL_AVG,10000000,0,35,26,0,0,0,0
PULLBACK|TRAIL_AVG,10000000,1,37,26,0,0,0,0
PULLBACK|TRAIL_AVG,10000000,2,38,26,0,0,0,0
PULLBACK|TRAIL_AVG,20000000,0,21,9,0,0,0,0
PULLBACK|TRAIL_AVG,20000000,1,23,9,0,0,0,0
PULLBACK|TRAIL_AVG,20000000,2,24,9,0,0,0,0
PULLBACK|TRAIL_AVG,50000000,0,14,2,0,0,0,0
PULLBACK|TRAIL_AVG,50000000,1,16,2,0,0,0,0
PULLBACK|TRAIL_AVG,50000000,2,17,2,0,0,0,0
PULLBACK|TRAIL_P70,5000000,0,52,45,0,0,0,0
PULLBACK|TRAIL_P70,5000000,1,54,45,0,0,0,0
PULLBACK|TRAIL_P70,5000000,2,54,45,0,0,0,0
PULLBACK|TRAIL_P70,10000000,0,35,26,0,0,0,0
PULLBACK|TRAIL_P70,10000000,1,37,26,0,0,0,0
PULLBACK|TRAIL_P70,10000000,2,38,26,0,0,0,0
PULLBACK|TRAIL_P70,20000000,0,21,9,0,0,0,0
PULLBACK|TRAIL_P70,20000000,1,23,9,0,0,0,0
PULLBACK|TRAIL_P70,20000000,2,24,9,0,0,0,0
PULLBACK|TRAIL_P70,50000000,0,15,2,0,0,0,0
PULLBACK|TRAIL_P70,50000000,1,17,2,0,0,0,0
PULLBACK|TRAIL_P70,50000000,2,18,2,0,0,0,0
