variant,entry_mode,exit_mode,capital_krw,slippage_ticks,ending_equity,return_pct,trades,wins,losses,pf,max_dd_pct,commissions,taxes,pnl,resolved_tickers,setups_before,setups_after_v028_filter,entry_candidates
NEXT_OPEN|LEGACY_R,NEXT_OPEN,LEGACY_R,5000000,0,4909951.392999993,-0.018009721400001455,87,51,36,0.7612869257228437,0.026695693382001506,9075.455999999998,53133.151000000005,-90048.6070000004,40,2803,157,157
NEXT_OPEN|LEGACY_R,NEXT_OPEN,LEGACY_R,5000000,1,4819783.416500002,-0.036043316699999606,87,50,37,0.5962059577180696,0.040121036952771805,9361.549500000001,54365.03400000001,-180216.58350000042,40,2803,157,157
NEXT_OPEN|LEGACY_R,NEXT_OPEN,LEGACY_R,5000000,2,4752360.188000004,-0.04952796239999924,84,44,40,0.5028517917616264,0.0512522443506912,9287.604,53412.207999999984,-247639.81199999969,40,2803,157,157
NEXT_OPEN|LEGACY_R,NEXT_OPEN,LEGACY_R,10000000,0,10134502.682500012,0.013450268250001285,109,67,42,1.1553261725269341,0.017630669334260163,22725.295499999997,132682.022,134502.68250000084,40,2803,157,157
NEXT_OPEN|LEGACY_R,NEXT_OPEN,LEGACY_R,10000000,1,9805460.118999982,-0.019453988100001762,105,63,42,0.8104568972073337,0.02800230589665409,23360.375999999997,134719.50499999998,-194539.88099999927,40,2803,157,157
NEXT_OPEN|LEGACY_R,NEXT_OPEN,LEGACY_R,10000000,2,9591485.538999993,-0.04085144610000069,105,58,47,0.6633680277173334,0.04496614671313448,24243.545999999995,139130.915,-408514.46099999954,40,2803,157,157
NEXT_OPEN|LEGACY_R,NEXT_OPEN,LEGACY_R,20000000,0,20496647.846500024,0.024832392325001118,122,75,47,1.2770262257832299,0.01823737308539597,50531.7045,295390.449,496647.846500001,40,2803,157,157
NEXT_OPEN|LEGACY_R,NEXT_OPEN,LEGACY_R,20000000,1,19932131.788999975,-0.003393410550001308,121,73,48,0.9688247339920121,0.027021717890781005,52795.296,306112.915,-67868.21099999984,40,2803,157,157
NEXT_OPEN|LEGACY_R,NEXT_OPEN,LEGACY_R,20000000,2,19395494.4375,-0.030225278124999977,121,68,53,0.7672579510575519,0.03803629860681923,54488.65949999999,314206.903,-604505.5624999977,40,2803,157,157
NEXT_OPEN|LEGACY_R,NEXT_OPEN,LEGACY_R,50000000,0,50904641.94049997,0.018092838809999456,130,77,53,1.1680639292257566,0.021075057027194477,140813.5395,821054.52,904641.940500003,40,2803,157,157
