strategy,entry_mode,exit_mode,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,active_stop,raw_first_entry,first_entry,R,target1,target2,level,touches,shares,cash_out,cash_in,buy_notional,sell_notional,commissions,taxes,partial_taken,added20,added60,entry_i,bars_held,last_mark,mfe_R,mae_R,peak_price,trail_pct,trail_samples,trail_armed,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
V029|NEXT_OPEN|LEGACY_R|5M|1T,NEXT_OPEN,LEGACY_R,009150.KS,009150,KOSPI,삼성전기,KRLEVEL_RR|009150|3T|393|398|400,2023-11-17 00:00:00+00:00,5000000,1,1000000.0,20826.014889926515,133853.08376454705,133853.08376454705,136600.0,136700.0,2846.9162354529544,139546.91623545295,142393.8324709059,137200.0,3,0,136720.505,139100.29,136700.0,139400.0,41.41499999999999,278.8,False,False,False,401,1,136700.0,1.0186460577539964,-0.03512572612944815,139600.0,0.03,39,False,2023-11-17 00:00:00+00:00,139546.91623545295,target1_whole_share_exit,WIN,2379.7850000000035,1,"[{""time"": ""2023-11-17 00:00:00+00:00"", ""raw_price"": 136600.0, ""price"": 136700.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}]","[{""time"": ""2023-11-17 00:00:00+00:00"", ""raw_price"": 139546.91623545295, ""price"": 139400.0, ""shares"": 1, ""reason"": ""target1_whole_share_exit"", ""slippage_ticks"": 1, ""commission"": 20.909999999999997, ""stt"": 69.7, ""rural_tax"": 209.1}]"
V029|NEXT_OPEN|LEGACY_R|5M|1T,NEXT_OPEN,LEGACY_R,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|2T|462|464|465,2023-12-01 05:00:00+00:00,5000000,1,1000475.957,16670.630119920792,35990.14520227086,35990.14520227086,36550.0,36600.0,609.8547977291382,37209.85479772914,37819.70959545828,36500.0,2,0,365304.7875,363716.325,365250.0,364500.0,109.46249999999999,729.0,False,True,False,466,26,36500.0,0.6558938315963804,-0.6558938315963804,37000.0,0.03,44,False,2023-12-08 00:00:00+00:00,36500.0,time,TIME,-1588.462499999965,2,"[{""time"": ""2023-12-01 05:00:00+00:00"", ""raw_price"": 36550.0, ""price"": 36600.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2023-12-04 00:00:00+00:00"", ""raw_price"": 36356.05808090835, ""price"": 36450.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-08 00:00:00+00:00"", ""raw_price"": 36500.0, ""price"": 36450.0, ""shares"": 10, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 54.675, ""stt"": 182.25, ""rural_tax"": 546.75}]"
V029|NEXT_OPEN|LEGACY_R|5M|1T,NEXT_OPEN,LEGACY_R,003550.KS,003550,KOSPI,LG,KRLEVEL_RR|003550|2T|516|518|519,2023-12-14 05:00:00+00:00,5000000,1,1000158.2645,27662.460790501693,82746.29709434182,82746.29709434182,85000.0,85100.0,2353.7029056581814,87453.70290565818,89807.40581131636,84900.0,2,0,170225.53,171829.77000000002,170200.0,172200.0,51.36,344.40000000000003,False,False,False,520,26,86200.0,0.9346974058243768,-0.21243122859644928,87300.0,0.03,46,False,2023-12-21 00:00:00+00:00,86200.0,time,TIME,1604.2400000000198,1,"[{""time"": ""2023-12-14 05:00:00+00:00"", ""raw_price"": 85000.0, ""price"": 85100.0, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-21 00:00:00+00:00"", ""raw_price"": 86200.0, ""price"": 86100.0, ""shares"": 2, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 25.83, ""stt"": 86.10000000000001, ""rural_tax"": 258.3}]"
V029|NEXT_OPEN|LEGACY_R|5M|1T,NEXT_OPEN,LEGACY_R,010130.KS,010130,KOSPI,고려아연,KRLEVEL_RR|010130|2T|539|542|544,2023-12-21 00:00:00+00:00,5000000,1,1000473.1584999999,25621.167700553502,48475.94973460996,48475.94973460996,49700.0,49750.0,1274.0502653900403,51024.05026539004,52298.10053078008,49700.0,2,0,396259.43,396346.01999999996,396200.0,397200.0,119.00999999999999,794.4000000000001,False,True,False,545,26,49700.0,0.5101839524369218,-0.4709390330186971,50400.0,0.03,50,False,2023-12-28 01:00:00+00:00,49700.0,time,TIME,86.5899999999674,2,"[{""time"": ""2023-12-21 00:00:00+00:00"", ""raw_price"": 49700.0, ""price"": 49750.0, ""shares"": 4, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2023-12-27 00:00:00+00:00"", ""raw_price"": 49240.37989384399, ""price"": 49300.0, ""shares"": 4, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-28 01:00:00+00:00"", ""raw_price"": 49700.0, ""price"": 49650.0, ""shares"": 8, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 59.58, ""stt"": 198.6, ""rural_tax"": 595.8000000000001}]"
V029|NEXT_OPEN|LEGACY_R|5M|1T,NEXT_OPEN,LEGACY_R,042660.KS,042660,KOSPI,한화오션,KRLEVEL_RR|042660|2T|569|574|576,2024-01-02 03:00:00+00:00,5000000,1,1000496.4305,48757.053011406904,24019.495271539578,24019.495271539578,25200.0,25250.0,1230.5047284604225,26480.504728460422,27711.009456920845,25125.0,2,0,960093.9925,941959.5900000001,959950.0,943800.0,285.5625,1698.8400000000001,False,True,True,577,26,24250.0,0.20316866259652158,-0.893942115424695,25500.0,0.03,53,False,2024-01-08 04:00:00+00:00,24250.0,time,TIME,-18134.402499999967,3,"[{""time"": ""2024-01-02 03:00:00+00:00"", ""raw_price"": 25200.0, ""price"": 25250.0, ""shares"": 7, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2024-01-03 01:00:00+00:00"", ""raw_price"": 24757.798108615832, ""price"": 24850.0, ""shares"": 8, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}, {""time"": ""2024-01-08 02:00:00+00:00"", ""raw_price"": 24265.59621723166, ""price"": 24350.0, ""shares"": 24, ""fraction"": 0.6, ""reason"": ""support60"", ""slippage_ticks"": 1}]","[{""time"": ""2024-01-08 04:00:00+00:00"", ""raw_price"": 24250.0, ""price"": 24200.0, ""shares"": 39, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 141.57, ""stt"": 283.14, ""rural_tax"": 1415.7}]"
V029|NEXT_OPEN|LEGACY_R|5M|1T,NEXT_OPEN,LEGACY_R,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|2T|616|619|621,2024-01-12 00:00:00+00:00,5000000,1,996869.5499999998,18170.502997166102,36571.023260621776,36571.023260621776,37200.0,37250.0,678.976739378224,37928.976739378224,38607.95347875645,37350.0,2,0,960444.0449999999,947149.4500000001,960300.0,949000.0,286.395,1708.2,False,True,True,622,6,36600.0,0.0,-0.957322927726862,37250.0,0.03,45,False,2024-01-12 05:00:00+00:00,36571.023260621776,stop,LOSS,-13294.594999999856,3,"[{""time"": ""2024-01-12 00:00:00+00:00"", ""raw_price"": 37200.0, ""price"": 37250.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2024-01-12 00:00:00+00:00"", ""raw_price"": 36978.40930424871, ""price"": 37050.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}, {""time"": ""2024-01-12 04:00:00+00:00"", ""raw_price"": 36706.81860849742, ""price"": 36800.0, ""shares"": 16, ""fraction"": 0.6, ""reason"": ""support60"", ""slippage_ticks"": 1}]","[{""time"": ""2024-01-12 05:00:00+00:00"", ""raw_price"": 36571.023260621776, ""price"": 36500.0, ""shares"": 26, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 142.35, ""stt"": 284.7, ""rural_tax"": 1423.5}]"
V029|NEXT_OPEN|LEGACY_R|5M|1T,NEXT_OPEN,LEGACY_R,323410.KS,323410,KOSPI,카카오뱅크,KRLEVEL_RR|323410|2T|630|632|633,2024-01-16 00:00:00+00:00,5000000,1,490232.26658973756,49710.53154999999,27811.60814714372,27811.60814714372,30900.0,30950.0,3138.391852856279,34088.39185285628,37226.78370571256,30750.0,2,0,467170.065,449521.72000000003,467100.0,450400.0,137.625,810.72,False,True,True,634,26,28200.0,0.09559035775821534,-0.9081083987030456,31250.0,0.03,50,False,2024-01-22 01:00:00+00:00,28200.0,time,TIME,-17648.344999999972,3,"[{""time"": ""2024-01-16 00:00:00+00:00"", ""raw_price"": 30900.0, ""price"": 30950.0, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2024-01-17 00:00:00+00:00"", ""raw_price"": 29694.64325885749, ""price"": 29750.0, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}, {""time"": ""2024-01-18 00:00:00+00:00"", ""raw_price"": 28439.286517714976, ""price"": 28500.0, ""shares"": 10, ""fraction"": 0.6, ""reason"": ""support60"", ""slippage_ticks"": 1}]","[{""time"": ""2024-01-22 01:00:00+00:00"", ""raw_price"": 28200.0, ""price"": 28150.0, ""shares"": 16, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 67.55999999999999, ""stt"": 135.11999999999998, ""rural_tax"": 675.6}]"
V029|NEXT_OPEN|LEGACY_R|5M|1T,NEXT_OPEN,LEGACY_R,009540.KS,009540,KOSPI,HD한국조선해양,KRLEVEL_RR|009540|6T|667|668|669,2024-01-24 00:00:00+00:00,5000000,1,596893.9384785155,49534.048099999985,104264.45223195592,104264.45223195592,113600.0,113700.0,9435.547768044082,123135.54776804408,132571.09553608816,113300.0,6,0,223833.57,224361.63999999998,223800.0,224800.0,67.28999999999999,404.64,False,True,False,670,26,112500.0,0.48751806605008,-0.4239287530870261,118300.0,0.03,49,False,2024-01-30 01:00:00+00:00,112500.0,time,TIME,528.0699999999779,2,"[{""time"": ""2024-01-24 00:00:00+00:00"", ""raw_price"": 113600.0, ""price"": 113700.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2024-01-24 00:00:00+00:00"", ""raw_price"": 109925.78089278236, ""price"": 110100.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}]","[{""time"": ""2024-01-30 01:00:00+00:00"", ""raw_price"": 112500.0, ""price"": 112400.0, ""shares"": 2, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 33.72, ""stt"": 67.44, ""rural_tax"": 337.2}]"
V029|NEXT_OPEN|LEGACY_R|5M|1T,NEXT_OPEN,LEGACY_R,015760.KS,015760,KOSPI,한국전력,KRLEVEL_RR|015760|2T|698|703|704,2024-01-31 05:00:00+00:00,5000000,1,990786.5759999999,22918.144943962474,19097.783806818083,19550.0,19540.0,19550.0,452.21619318191733,20002.216193181917,20454.432386363835,19495.0,2,0,195529.325,201556.1975,195500.0,201950.0,59.61749999999999,363.51,True,False,False,705,4,20250.0,2.1007651082008785,-0.06633995078529091,20500.0,0.03,48,False,2024-02-01 02:00:00+00:00,20454.432386363835,target2,WIN,6026.872499999998,1,"[{""time"": ""2024-01-31 05:00:00+00:00"", ""raw_price"": 19540.0, ""price"": 19550.0, ""shares"": 10, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}]","[{""time"": ""2024-02-01 00:00:00+00:00"", ""raw_price"": 20002.216193181917, ""price"": 19990.0, ""shares"": 5, ""reason"": ""target1_partial"", ""slippage_ticks"": 1, ""commission"": 14.992499999999998, ""stt"": 29.984999999999996, ""rural_tax"": 149.925}, {""time"": ""2024-02-01 02:00:00+00:00"", ""raw_price"": 20454.432386363835, ""price"": 20400.0, ""shares"": 5, ""reason"": ""target2"", ""slippage_ticks"": 1, ""commission"": 15.299999999999999, ""stt"": 30.599999999999998, ""rural_tax"": 153.0}]"
V029|NEXT_OPEN|LEGACY_R|5M|1T,NEXT_OPEN,LEGACY_R,009540.KS,009540,KOSPI,HD한국조선해양,KRLEVEL_RR|009540|3T|703|704|705,2024-02-01 00:00:00+00:00,5000000,1,991120.7109999998,21597.77419904123,110146.30354524794,110146.30354524794,112500.0,112600.0,2453.696454752062,115053.69645475206,117507.39290950412,112400.0,3,0,112616.89,114675.94499999999,112600.0,114900.0,34.125,206.82,False,False,False,706,7,115000.0,2.486045080346495,-0.24452902429637657,118700.0,0.03,50,False,2024-02-02 00:00:00+00:00,115053.69645475206,target1_whole_share_exit,WIN,2059.054999999993,1,"[{""time"": ""2024-02-01 00:00:00+00:00"", ""raw_price"": 112500.0, ""price"": 112600.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}]","[{""time"": ""2024-02-02 00:00:00+00:00"", ""raw_price"": 115053.69645475206, ""price"": 114900.0, ""shares"": 1, ""reason"": ""target1_whole_share_exit"", ""slippage_ticks"": 1, ""commission"": 17.235, ""stt"": 34.47, ""rural_tax"": 172.35}]"
