strategy,entry_mode,exit_mode,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,active_stop,raw_first_entry,first_entry,R,target1,target2,level,touches,shares,cash_out,cash_in,buy_notional,sell_notional,commissions,taxes,partial_taken,added20,added60,entry_i,bars_held,last_mark,mfe_R,mae_R,peak_price,trail_pct,trail_samples,trail_armed,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
V029|NEXT_OPEN|TRAIL_AVG|5M|1T,NEXT_OPEN,TRAIL_AVG,009150.KS,009150,KOSPI,삼성전기,KRLEVEL_RR|009150|3T|393|398|400,2023-11-17 00:00:00+00:00,5000000,1,1000000.0,20826.014889926515,133853.08376454705,133853.08376454705,136600.0,136700.0,2846.9162354529544,139546.91623545295,142393.8324709059,137200.0,3,0,136720.505,138601.36500000002,136700.0,138900.0,41.339999999999996,277.8,False,False,False,401,26,139000.0,1.194274688401237,-0.0702514522588963,140100.0,0.04392472628673653,39,False,2023-11-23 01:00:00+00:00,139000.0,time,TIME,1880.8600000000151,1,"[{""time"": ""2023-11-17 00:00:00+00:00"", ""raw_price"": 136600.0, ""price"": 136700.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}]","[{""time"": ""2023-11-23 01:00:00+00:00"", ""raw_price"": 139000.0, ""price"": 138900.0, ""shares"": 1, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 20.834999999999997, ""stt"": 69.45, ""rural_tax"": 208.35}]"
V029|NEXT_OPEN|TRAIL_AVG|5M|1T,NEXT_OPEN,TRAIL_AVG,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|2T|462|464|465,2023-12-01 05:00:00+00:00,5000000,1,1000376.1720000001,16668.96743246201,35990.14520227086,35990.14520227086,36550.0,36600.0,609.8547977291382,37209.85479772914,37819.70959545828,36500.0,2,0,365304.7875,363716.325,365250.0,364500.0,109.46249999999999,729.0,False,True,False,466,26,36500.0,0.6558938315963804,-0.6558938315963804,37000.0,0.02500610083804664,44,False,2023-12-08 00:00:00+00:00,36500.0,time,TIME,-1588.462499999965,2,"[{""time"": ""2023-12-01 05:00:00+00:00"", ""raw_price"": 36550.0, ""price"": 36600.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2023-12-04 00:00:00+00:00"", ""raw_price"": 36356.05808090835, ""price"": 36450.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-08 00:00:00+00:00"", ""raw_price"": 36500.0, ""price"": 36450.0, ""shares"": 10, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 54.675, ""stt"": 182.25, ""rural_tax"": 546.75}]"
V029|NEXT_OPEN|TRAIL_AVG|5M|1T,NEXT_OPEN,TRAIL_AVG,003550.KS,003550,KOSPI,LG,KRLEVEL_RR|003550|2T|516|518|519,2023-12-14 05:00:00+00:00,5000000,1,1000058.4795,27659.700928639868,82746.29709434182,82746.29709434182,85000.0,85100.0,2353.7029056581814,87453.70290565818,89807.40581131636,84900.0,2,0,170225.53,171829.77000000002,170200.0,172200.0,51.36,344.40000000000003,False,False,False,520,26,86200.0,0.9346974058243768,-0.21243122859644928,87300.0,0.02645767843798206,46,False,2023-12-21 00:00:00+00:00,86200.0,time,TIME,1604.2400000000198,1,"[{""time"": ""2023-12-14 05:00:00+00:00"", ""raw_price"": 85000.0, ""price"": 85100.0, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-21 00:00:00+00:00"", ""raw_price"": 86200.0, ""price"": 86100.0, ""shares"": 2, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 25.83, ""stt"": 86.10000000000001, ""rural_tax"": 258.3}]"
V029|NEXT_OPEN|TRAIL_AVG|5M|1T,NEXT_OPEN,TRAIL_AVG,010130.KS,010130,KOSPI,고려아연,KRLEVEL_RR|010130|2T|539|542|544,2023-12-21 00:00:00+00:00,5000000,1,1000373.3735,25618.612301443314,48475.94973460996,48475.94973460996,49700.0,49750.0,1274.0502653900403,51024.05026539004,52298.10053078008,49700.0,2,0,396259.43,396346.01999999996,396200.0,397200.0,119.00999999999999,794.4000000000001,False,True,False,545,26,49700.0,0.5101839524369218,-0.4709390330186971,50400.0,0.03901932180287834,50,False,2023-12-28 01:00:00+00:00,49700.0,time,TIME,86.5899999999674,2,"[{""time"": ""2023-12-21 00:00:00+00:00"", ""raw_price"": 49700.0, ""price"": 49750.0, ""shares"": 4, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2023-12-27 00:00:00+00:00"", ""raw_price"": 49240.37989384399, ""price"": 49300.0, ""shares"": 4, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-28 01:00:00+00:00"", ""raw_price"": 49700.0, ""price"": 49650.0, ""shares"": 8, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 59.58, ""stt"": 198.6, ""rural_tax"": 595.8000000000001}]"
V029|NEXT_OPEN|TRAIL_AVG|5M|1T,NEXT_OPEN,TRAIL_AVG,042660.KS,042660,KOSPI,한화오션,KRLEVEL_RR|042660|2T|569|574|576,2024-01-02 03:00:00+00:00,5000000,1,1000396.6454999999,48752.19020291861,24019.495271539578,24019.495271539578,25200.0,25250.0,1230.5047284604225,26480.504728460422,27711.009456920845,25125.0,2,0,960093.9925,941959.5900000001,959950.0,943800.0,285.5625,1698.8400000000001,False,True,True,577,26,24250.0,0.20316866259652158,-0.893942115424695,25500.0,0.06,53,False,2024-01-08 04:00:00+00:00,24250.0,time,TIME,-18134.402499999967,3,"[{""time"": ""2024-01-02 03:00:00+00:00"", ""raw_price"": 25200.0, ""price"": 25250.0, ""shares"": 7, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2024-01-03 01:00:00+00:00"", ""raw_price"": 24757.798108615832, ""price"": 24850.0, ""shares"": 8, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}, {""time"": ""2024-01-08 02:00:00+00:00"", ""raw_price"": 24265.59621723166, ""price"": 24350.0, ""shares"": 24, ""fraction"": 0.6, ""reason"": ""support60"", ""slippage_ticks"": 1}]","[{""time"": ""2024-01-08 04:00:00+00:00"", ""raw_price"": 24250.0, ""price"": 24200.0, ""shares"": 39, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 141.57, ""stt"": 283.14, ""rural_tax"": 1415.7}]"
V029|NEXT_OPEN|TRAIL_AVG|5M|1T,NEXT_OPEN,TRAIL_AVG,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|2T|616|619|621,2024-01-12 00:00:00+00:00,5000000,1,996769.7649999997,18168.684159744924,36571.023260621776,36571.023260621776,37200.0,37250.0,678.976739378224,37928.976739378224,38607.95347875645,37350.0,2,0,960444.0449999999,947149.4500000001,960300.0,949000.0,286.395,1708.2,False,True,True,622,6,36600.0,0.0,-0.957322927726862,37250.0,0.027092471059492265,45,False,2024-01-12 05:00:00+00:00,36571.023260621776,stop,LOSS,-13294.594999999856,3,"[{""time"": ""2024-01-12 00:00:00+00:00"", ""raw_price"": 37200.0, ""price"": 37250.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2024-01-12 00:00:00+00:00"", ""raw_price"": 36978.40930424871, ""price"": 37050.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}, {""time"": ""2024-01-12 04:00:00+00:00"", ""raw_price"": 36706.81860849742, ""price"": 36800.0, ""shares"": 16, ""fraction"": 0.6, ""reason"": ""support60"", ""slippage_ticks"": 1}]","[{""time"": ""2024-01-12 05:00:00+00:00"", ""raw_price"": 36571.023260621776, ""price"": 36500.0, ""shares"": 26, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 142.35, ""stt"": 284.7, ""rural_tax"": 1423.5}]"
V029|NEXT_OPEN|TRAIL_AVG|5M|1T,NEXT_OPEN,TRAIL_AVG,323410.KS,323410,KOSPI,카카오뱅크,KRLEVEL_RR|323410|2T|630|632|633,2024-01-16 00:00:00+00:00,5000000,1,490183.0639105502,49705.54229999999,27811.60814714372,27811.60814714372,30900.0,30950.0,3138.391852856279,34088.39185285628,37226.78370571256,30750.0,2,0,467170.065,449521.72000000003,467100.0,450400.0,137.625,810.72,False,True,True,634,26,28200.0,0.09559035775821534,-0.9081083987030456,31250.0,0.04783455985447063,50,False,2024-01-22 01:00:00+00:00,28200.0,time,TIME,-17648.344999999972,3,"[{""time"": ""2024-01-16 00:00:00+00:00"", ""raw_price"": 30900.0, ""price"": 30950.0, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2024-01-17 00:00:00+00:00"", ""raw_price"": 29694.64325885749, ""price"": 29750.0, ""shares"": 3, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}, {""time"": ""2024-01-18 00:00:00+00:00"", ""raw_price"": 28439.286517714976, ""price"": 28500.0, ""shares"": 10, ""fraction"": 0.6, ""reason"": ""support60"", ""slippage_ticks"": 1}]","[{""time"": ""2024-01-22 01:00:00+00:00"", ""raw_price"": 28200.0, ""price"": 28150.0, ""shares"": 16, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 67.55999999999999, ""stt"": 135.11999999999998, ""rural_tax"": 675.6}]"
V029|NEXT_OPEN|TRAIL_AVG|5M|1T,NEXT_OPEN,TRAIL_AVG,009540.KS,009540,KOSPI,HD한국조선해양,KRLEVEL_RR|009540|6T|667|668|669,2024-01-24 00:00:00+00:00,5000000,1,596833.817143862,49529.05884999998,104264.45223195592,104264.45223195592,113600.0,113700.0,9435.547768044082,123135.54776804408,132571.09553608816,113300.0,6,0,223833.57,224361.63999999998,223800.0,224800.0,67.28999999999999,404.64,False,True,False,670,26,112500.0,0.48751806605008,-0.4239287530870261,118300.0,0.048632911057231804,49,False,2024-01-30 01:00:00+00:00,112500.0,time,TIME,528.0699999999779,2,"[{""time"": ""2024-01-24 00:00:00+00:00"", ""raw_price"": 113600.0, ""price"": 113700.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2024-01-24 00:00:00+00:00"", ""raw_price"": 109925.78089278236, ""price"": 110100.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}]","[{""time"": ""2024-01-30 01:00:00+00:00"", ""raw_price"": 112500.0, ""price"": 112400.0, ""shares"": 2, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 33.72, ""stt"": 67.44, ""rural_tax"": 337.2}]"
V029|NEXT_OPEN|TRAIL_AVG|5M|1T,NEXT_OPEN,TRAIL_AVG,015760.KS,015760,KOSPI,한국전력,KRLEVEL_RR|015760|2T|698|703|704,2024-01-31 05:00:00+00:00,5000000,1,990686.7909999997,22915.836790876197,19097.783806818083,20140.37416031047,19540.0,19550.0,452.21619318191733,20002.216193181917,20454.432386363835,19495.0,2,0,195529.325,207095.375,195500.0,207500.0,60.44999999999999,373.5,False,False,False,705,26,20800.0,2.7641646160537876,-0.06633995078529091,20800.0,0.0317127807543042,48,True,2024-02-07 00:00:00+00:00,20800.0,time,TIME,11566.049999999988,1,"[{""time"": ""2024-01-31 05:00:00+00:00"", ""raw_price"": 19540.0, ""price"": 19550.0, ""shares"": 10, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}]","[{""time"": ""2024-02-07 00:00:00+00:00"", ""raw_price"": 20800.0, ""price"": 20750.0, ""shares"": 10, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 31.124999999999996, ""stt"": 62.24999999999999, ""rural_tax"": 311.25}]"
V029|NEXT_OPEN|TRAIL_AVG|5M|1T,NEXT_OPEN,TRAIL_AVG,009540.KS,009540,KOSPI,HD한국조선해양,KRLEVEL_RR|009540|3T|703|704|705,2024-02-01 00:00:00+00:00,5000000,1,991020.9259999996,21595.59975764924,110146.30354524794,118400.74888856892,112500.0,112600.0,2453.696454752062,115053.69645475206,117507.39290950412,112400.0,3,0,112616.89,120963.66,112600.0,121200.0,35.06999999999999,218.16000000000003,False,False,False,706,26,121300.0,4.5645417868656954,-0.24452902429637657,123800.0,0.0436126907223835,50,True,2024-02-07 01:00:00+00:00,121300.0,time,TIME,8346.770000000004,1,"[{""time"": ""2024-02-01 00:00:00+00:00"", ""raw_price"": 112500.0, ""price"": 112600.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}]","[{""time"": ""2024-02-07 01:00:00+00:00"", ""raw_price"": 121300.0, ""price"": 121200.0, ""shares"": 1, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 18.18, ""stt"": 36.36, ""rural_tax"": 181.8}]"
