strategy,entry_mode,exit_mode,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,active_stop,raw_first_entry,first_entry,R,target1,target2,level,touches,shares,cash_out,cash_in,buy_notional,sell_notional,commissions,taxes,partial_taken,added20,added60,entry_i,bars_held,last_mark,mfe_R,mae_R,peak_price,trail_pct,trail_samples,trail_armed,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
V029|PULLBACK|TRAIL_AVG|5M|1T,PULLBACK,TRAIL_AVG,009150.KS,009150,KOSPI,삼성전기,KRLEVEL_RR|009150|3T|393|398|400,2023-11-17 01:00:00+00:00,5000000,1,1000000.0,37028.174355776646,133853.08376454705,133853.08376454705,138900.0,139000.0,5146.916235452954,144146.91623545295,149293.8324709059,137200.0,3,0,276141.41500000004,276204.88,276100.0,276800.0,82.93499999999999,553.6,False,True,False,402,26,138500.0,0.21372020636803593,-0.4857277417455362,140100.0,0.04392472628673653,39,False,2023-11-23 02:00:00+00:00,138500.0,time,TIME,63.464999999967404,2,"[{""time"": ""2023-11-17 01:00:00+00:00"", ""raw_price"": 138900.0, ""price"": 139000.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2023-11-22 00:00:00+00:00"", ""raw_price"": 136941.23350581882, ""price"": 137100.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}]","[{""time"": ""2023-11-23 02:00:00+00:00"", ""raw_price"": 138500.0, ""price"": 138400.0, ""shares"": 2, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 41.519999999999996, ""stt"": 138.4, ""rural_tax"": 415.2}]"
V029|PULLBACK|TRAIL_AVG|5M|1T,PULLBACK,TRAIL_AVG,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|2T|462|464|465,2023-12-04 01:00:00+00:00,5000000,1,1000012.693,18004.452203713117,35990.14520227086,35990.14520227086,36600.0,36650.0,659.8547977291382,37309.85479772914,37969.70959545828,36500.0,2,0,365554.82499999995,365712.025,365500.0,366500.0,109.79999999999998,733.0,False,True,False,468,26,36700.0,0.5304197244674281,-0.6819682171724075,37000.0,0.02500610083804664,44,False,2023-12-08 02:00:00+00:00,36700.0,time,TIME,157.20000000006985,2,"[{""time"": ""2023-12-04 01:00:00+00:00"", ""raw_price"": 36600.0, ""price"": 36650.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2023-12-05 00:00:00+00:00"", ""raw_price"": 36386.05808090835, ""price"": 36450.0, ""shares"": 5, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-08 02:00:00+00:00"", ""raw_price"": 36700.0, ""price"": 36650.0, ""shares"": 10, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 54.974999999999994, ""stt"": 183.25, ""rural_tax"": 549.75}]"
V029|PULLBACK|TRAIL_AVG|5M|1T,PULLBACK,TRAIL_AVG,003550.KS,003550,KOSPI,LG,KRLEVEL_RR|003550|2T|516|518|519,2023-12-15 00:00:00+00:00,5000000,1,1000044.133,28800.60087944269,82746.29709434182,82746.29709434182,85100.0,85200.0,2453.7029056581814,87653.70290565818,90107.40581131636,84900.0,2,0,170425.56,172428.47999999998,170400.0,172800.0,51.48,345.6,False,False,False,521,26,86500.0,0.8558493349612332,-0.2445283814174952,87300.0,0.02645767843798206,46,False,2023-12-21 01:00:00+00:00,86500.0,time,TIME,2002.9199999999837,1,"[{""time"": ""2023-12-15 00:00:00+00:00"", ""raw_price"": 85100.0, ""price"": 85200.0, ""shares"": 2, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-21 01:00:00+00:00"", ""raw_price"": 86500.0, ""price"": 86400.0, ""shares"": 2, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 25.919999999999998, ""stt"": 86.4, ""rural_tax"": 259.2}]"
V029|PULLBACK|TRAIL_AVG|5M|1T,PULLBACK,TRAIL_AVG,010130.KS,010130,KOSPI,고려아연,KRLEVEL_RR|010130|2T|539|542|544,2023-12-21 01:00:00+00:00,5000000,1,1000439.0210000002,29523.47155979184,48475.94973460996,48475.94973460996,49900.0,49950.0,1474.0502653900403,51424.05026539004,52898.10053078008,49700.0,2,0,397659.64,396346.01999999996,397600.0,397200.0,119.22,794.4000000000001,False,True,False,546,26,49700.0,0.3052813126972492,-0.5427223336839985,50400.0,0.03901932180287834,50,False,2023-12-28 02:00:00+00:00,49700.0,time,TIME,-1313.6200000000536,2,"[{""time"": ""2023-12-21 01:00:00+00:00"", ""raw_price"": 49900.0, ""price"": 49950.0, ""shares"": 4, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2023-12-27 00:00:00+00:00"", ""raw_price"": 49360.37989384399, ""price"": 49450.0, ""shares"": 4, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-28 02:00:00+00:00"", ""raw_price"": 49700.0, ""price"": 49650.0, ""shares"": 8, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 59.58, ""stt"": 198.6, ""rural_tax"": 595.8000000000001}]"
V029|PULLBACK|TRAIL_AVG|5M|1T,PULLBACK,TRAIL_AVG,042660.KS,042660,KOSPI,한화오션,KRLEVEL_RR|042660|2T|569|574|576,2024-01-03 00:00:00+00:00,5000000,1,952819.3692287281,50009.09965,24019.495271539578,24019.495271539578,25300.0,25350.0,1330.5047284604225,26680.504728460422,28011.009456920845,25125.0,2,0,911936.7699999999,884422.0075000001,911800.0,886150.0,269.6925,1595.0700000000002,False,True,True,580,26,24150.0,0.0,-0.9770728146936233,25350.0,0.06,53,False,2024-01-09 01:00:00+00:00,24019.495271539578,stop,LOSS,-27514.762499999837,3,"[{""time"": ""2024-01-03 00:00:00+00:00"", ""raw_price"": 25300.0, ""price"": 25350.0, ""shares"": 7, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2024-01-03 01:00:00+00:00"", ""raw_price"": 24817.798108615832, ""price"": 24900.0, ""shares"": 7, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}, {""time"": ""2024-01-08 02:00:00+00:00"", ""raw_price"": 24285.59621723166, ""price"": 24350.0, ""shares"": 23, ""fraction"": 0.6, ""reason"": ""support60"", ""slippage_ticks"": 1}]","[{""time"": ""2024-01-09 01:00:00+00:00"", ""raw_price"": 24019.495271539578, ""price"": 23950.0, ""shares"": 37, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 132.92249999999999, ""stt"": 265.84499999999997, ""rural_tax"": 1329.2250000000001}]"
V029|PULLBACK|TRAIL_AVG|5M|1T,PULLBACK,TRAIL_AVG,015760.KS,015760,KOSPI,한국전력,KRLEVEL_RR|015760|2T|698|703|704,2024-02-01 00:00:00+00:00,5000000,1,994679.0405000001,31872.893888634175,19097.783806818083,20237.202882235044,19720.0,19730.0,632.2161931819173,20362.216193181917,20994.432386363835,19495.0,2,0,197329.595,206097.32499999998,197300.0,206500.0,60.56999999999999,371.7,False,False,False,706,26,20700.0,1.8506327623647847,-0.11072161826114096,20900.0,0.0317127807543042,48,True,2024-02-07 01:00:00+00:00,20700.0,time,TIME,8767.729999999981,1,"[{""time"": ""2024-02-01 00:00:00+00:00"", ""raw_price"": 19720.0, ""price"": 19730.0, ""shares"": 10, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}]","[{""time"": ""2024-02-07 01:00:00+00:00"", ""raw_price"": 20700.0, ""price"": 20650.0, ""shares"": 10, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 30.974999999999998, ""stt"": 61.949999999999996, ""rural_tax"": 309.75}]"
V029|PULLBACK|TRAIL_AVG|5M|1T,PULLBACK,TRAIL_AVG,009540.KS,009540,KOSPI,HD한국조선해양,KRLEVEL_RR|009540|3T|703|704|705,2024-02-01 01:00:00+00:00,5000000,1,995513.1215000002,29415.408160649422,110146.30354524794,118400.74888856892,113400.0,113500.0,3353.696454752062,116853.69645475206,120207.39290950412,112400.0,3,0,113517.025,121362.87999999999,113500.0,121600.0,35.265,218.88,False,False,False,707,26,121700.0,3.0712380022960297,-0.2683606021423715,123800.0,0.0436126907223835,50,True,2024-02-07 02:00:00+00:00,121700.0,time,TIME,7845.854999999996,1,"[{""time"": ""2024-02-01 01:00:00+00:00"", ""raw_price"": 113400.0, ""price"": 113500.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}]","[{""time"": ""2024-02-07 02:00:00+00:00"", ""raw_price"": 121700.0, ""price"": 121600.0, ""shares"": 1, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 18.24, ""stt"": 36.48, ""rural_tax"": 182.4}]"
V029|PULLBACK|TRAIL_AVG|5M|1T,PULLBACK,TRAIL_AVG,018260.KS,018260,KOSPI,삼성에스디에스,KRLEVEL_RR|018260|2T|822|825|826,2024-03-05 04:00:00+00:00,5000000,1,998001.7575000002,17106.285044958753,156372.94072360094,156372.94072360094,159000.0,159100.0,2727.059276399057,161827.05927639906,164554.1185527981,159000.0,2,0,159123.865,155895.41,159100.0,156200.0,47.295,281.16,False,False,False,830,3,157700.0,0.07333907323939427,-0.2200172197181828,159300.0,0.0418102028685709,50,False,2024-03-06 00:00:00+00:00,156372.94072360094,stop,LOSS,-3228.454999999987,1,"[{""time"": ""2024-03-05 04:00:00+00:00"", ""raw_price"": 159000.0, ""price"": 159100.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}]","[{""time"": ""2024-03-06 00:00:00+00:00"", ""raw_price"": 156372.94072360094, ""price"": 156200.0, ""shares"": 1, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 23.43, ""stt"": 46.86, ""rural_tax"": 234.3}]"
V029|PULLBACK|TRAIL_AVG|5M|1T,PULLBACK,TRAIL_AVG,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|2T|836|841|842,2024-03-08 00:00:00+00:00,5000000,1,997356.0665000002,39779.15309159955,44021.29084535444,48187.87719749132,45800.0,45850.0,1828.709154645563,47678.70915464556,49507.418309291126,45425.0,2,0,364254.63,395227.8,364200.0,396000.0,114.02999999999999,712.8,False,True,False,844,26,49550.0,2.0779684896018957,-0.46480874109516085,49650.0,0.029448596223739815,42,True,2024-03-14 01:00:00+00:00,49550.0,time,TIME,30973.169999999984,2,"[{""time"": ""2024-03-08 00:00:00+00:00"", ""raw_price"": 45800.0, ""price"": 45850.0, ""shares"": 4, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2024-03-11 00:00:00+00:00"", ""raw_price"": 45118.51633814177, ""price"": 45200.0, ""shares"": 4, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}]","[{""time"": ""2024-03-14 01:00:00+00:00"", ""raw_price"": 49550.0, ""price"": 49500.0, ""shares"": 8, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 59.39999999999999, ""stt"": 118.79999999999998, ""rural_tax"": 594.0}]"
V029|PULLBACK|TRAIL_AVG|5M|1T,PULLBACK,TRAIL_AVG,068270.KS,068270,KOSPI,셀트리온,KRLEVEL_RR|068270|4T|895|899|900,2024-03-21 04:00:00+00:00,5000000,1,1003550.7005000002,27132.385150636354,157133.62349341734,157133.62349341734,161346.609375,161500.0,4366.376506582659,165866.37650658266,170232.75301316532,160823.3125,4,0,796119.3999999999,802432.2000000001,796000.0,804000.0,240.0,1447.2,False,True,True,902,26,160910.53125,1.442951321422132,-0.9739125207340837,167800.46875,0.046467890153856634,52,False,2024-03-27 05:00:00+00:00,160910.53125,time,TIME,6312.800000000163,3,"[{""time"": ""2024-03-21 04:00:00+00:00"", ""raw_price"": 161346.609375, ""price"": 161500.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""starter20"", ""slippage_ticks"": 1}, {""time"": ""2024-03-27 01:00:00+00:00"", ""raw_price"": 159753.44939736693, ""price"": 159900.0, ""shares"": 1, ""fraction"": 0.2, ""reason"": ""adverse20"", ""slippage_ticks"": 1}, {""time"": ""2024-03-27 02:00:00+00:00"", ""raw_price"": 158006.89879473386, ""price"": 158200.0, ""shares"": 3, ""fraction"": 0.6, ""reason"": ""support60"", ""slippage_ticks"": 1}]","[{""time"": ""2024-03-27 05:00:00+00:00"", ""raw_price"": 160910.53125, ""price"": 160800.0, ""shares"": 5, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 120.6, ""stt"": 241.2, ""rural_tax"": 1206.0}]"
