variant,capital_krw,slippage_ticks,rejects,starter_lt_1_share,starter_one_share,add20_lt_1_share,add60_lt_1_share,adds_blocked_regime,same_bar_trail_exits
OFF|STAGED_FULL|H26,5000000,0,7,7,7,0,0,0,2
OFF|STAGED_FULL|H26,5000000,1,7,7,7,0,0,0,2
OFF|STAGED_FULL|H26,5000000,2,7,7,7,0,0,0,2
OFF|STAGED_FULL|H26,10000000,0,6,4,2,0,0,0,3
OFF|STAGED_FULL|H26,10000000,1,6,4,2,0,0,0,3
OFF|STAGED_FULL|H26,10000000,2,6,4,2,0,0,0,3
OFF|STAGED_FULL|H26,20000000,0,4,2,2,0,0,0,4
OFF|STAGED_FULL|H26,20000000,1,4,2,2,0,0,0,4
OFF|STAGED_FULL|H26,20000000,2,4,2,2,0,0,0,4
OFF|STAGED_FULL|H26,50000000,0,3,1,1,0,0,0,4
OFF|STAGED_FULL|H26,50000000,1,3,1,1,0,0,0,4
OFF|STAGED_FULL|H26,50000000,2,3,1,1,0,0,0,4
OFF|STAGED_FULL|H52,5000000,0,7,7,7,0,0,0,2
OFF|STAGED_FULL|H52,5000000,1,7,7,7,0,0,0,2
OFF|STAGED_FULL|H52,5000000,2,7,7,7,0,0,0,2
OFF|STAGED_FULL|H52,10000000,0,6,4,2,0,0,0,3
OFF|STAGED_FULL|H52,10000000,1,6,4,2,0,0,0,3
OFF|STAGED_FULL|H52,10000000,2,6,4,2,0,0,0,3
OFF|STAGED_FULL|H52,20000000,0,4,2,2,0,0,0,4
OFF|STAGED_FULL|H52,20000000,1,4,2,2,0,0,0,4
OFF|STAGED_FULL|H52,20000000,2,4,2,2,0,0,0,4
OFF|STAGED_FULL|H52,50000000,0,3,1,1,0,0,0,4
OFF|STAGED_FULL|H52,50000000,1,3,1,1,0,0,0,4
OFF|STAGED_FULL|H52,50000000,2,3,1,1,0,0,0,4
OFF|STAGED_CONDITIONAL|H26,5000000,0,7,7,7,0,0,79,2
OFF|STAGED_CONDITIONAL|H26,5000000,1,7,7,7,0,0,79,2
OFF|STAGED_CONDITIONAL|H26,5000000,2,7,7,7,0,0,79,2
OFF|STAGED_CONDITIONAL|H26,10000000,0,6,4,2,0,0,99,3
OFF|STAGED_CONDITIONAL|H26,10000000,1,6,4,2,0,0,99,3
OFF|STAGED_CONDITIONAL|H26,10000000,2,6,4,2,0,0,99,3
OFF|STAGED_CONDITIONAL|H26,20000000,0,4,2,2,0,0,99,4
OFF|STAGED_CONDITIONAL|H26,20000000,1,4,2,2,0,0,99,4
OFF|STAGED_CONDITIONAL|H26,20000000,2,4,2,2,0,0,99,4
OFF|STAGED_CONDITIONAL|H26,50000000,0,3,1,1,0,0,120,4
OFF|STAGED_CONDITIONAL|H26,50000000,1,3,1,1,0,0,120,4
OFF|STAGED_CONDITIONAL|H26,50000000,2,3,1,1,0,0,120,4
OFF|STAGED_CONDITIONAL|H52,5000000,0,7,7,7,0,0,87,2
OFF|STAGED_CONDITIONAL|H52,5000000,1,7,7,7,0,0,87,2
OFF|STAGED_CONDITIONAL|H52,5000000,2,7,7,7,0,0,87,2
OFF|STAGED_CONDITIONAL|H52,10000000,0,6,4,2,0,0,133,3
OFF|STAGED_CONDITIONAL|H52,10000000,1,6,4,2,0,0,133,3
OFF|STAGED_CONDITIONAL|H52,10000000,2,6,4,2,0,0,133,3
OFF|STAGED_CONDITIONAL|H52,20000000,0,4,2,2,0,0,133,4
OFF|STAGED_CONDITIONAL|H52,20000000,1,4,2,2,0,0,133,4
OFF|STAGED_CONDITIONAL|H52,20000000,2,4,2,2,0,0,133,4
OFF|STAGED_CONDITIONAL|H52,50000000,0,3,1,1,0,0,173,4
OFF|STAGED_CONDITIONAL|H52,50000000,1,3,1,1,0,0,173,4
OFF|STAGED_CONDITIONAL|H52,50000000,2,3,1,1,0,0,173,4
OFF|DIRECT|H26,5000000,0,4,2,1,0,0,0,4
OFF|DIRECT|H26,5000000,1,4,2,1,0,0,0,4
OFF|DIRECT|H26,5000000,2,4,2,1,0,0,0,4
OFF|DIRECT|H26,10000000,0,3,1,1,0,0,0,4
OFF|DIRECT|H26,10000000,1,3,1,1,0,0,0,4
OFF|DIRECT|H26,10000000,2,3,1,1,0,0,0,4
OFF|DIRECT|H26,20000000,0,2,0,1,0,0,0,4
OFF|DIRECT|H26,20000000,1,2,0,1,0,0,0,4
OFF|DIRECT|H26,20000000,2,2,0,1,0,0,0,4
OFF|DIRECT|H26,50000000,0,2,0,0,0,0,0,4
OFF|DIRECT|H26,50000000,1,2,0,0,0,0,0,4
OFF|DIRECT|H26,50000000,2,2,0,0,0,0,0,4
OFF|DIRECT|H52,5000000,0,4,2,1,0,0,0,4
OFF|DIRECT|H52,5000000,1,4,2,1,0,0,0,4
OFF|DIRECT|H52,5000000,2,4,2,1,0,0,0,4
OFF|DIRECT|H52,10000000,0,3,1,1,0,0,0,4
OFF|DIRECT|H52,10000000,1,3,1,1,0,0,0,4
OFF|DIRECT|H52,10000000,2,3,1,1,0,0,0,4
OFF|DIRECT|H52,20000000,0,2,0,1,0,0,0,4
OFF|DIRECT|H52,20000000,1,2,0,1,0,0,0,4
OFF|DIRECT|H52,20000000,2,0,0,1,0,0,0,4
OFF|DIRECT|H52,50000000,0,2,0,0,0,0,0,4
OFF|DIRECT|H52,50000000,1,0,0,0,0,0,0,4
OFF|DIRECT|H52,50000000,2,0,0,0,0,0,0,4
BALANCED|STAGED_FULL|H26,5000000,0,14,3,1,0,0,0,2
BALANCED|STAGED_FULL|H26,5000000,1,14,3,1,0,0,0,2
BALANCED|STAGED_FULL|H26,5000000,2,14,3,1,0,0,0,2
BALANCED|STAGED_FULL|H26,10000000,0,14,3,0,0,0,0,2
BALANCED|STAGED_FULL|H26,10000000,1,14,3,0,0,0,0,2
BALANCED|STAGED_FULL|H26,10000000,2,14,3,0,0,0,0,2
BALANCED|STAGED_FULL|H26,20000000,0,12,1,2,0,0,0,3
BALANCED|STAGED_FULL|H26,20000000,1,12,1,2,0,0,0,3
