variant,capital_krw,slippage_ticks,trades,pnl,pf,winrate
OFF|STAGED_FULL|H26,5000000,0,1,-16662.390000000014,0.0,0.0
OFF|STAGED_FULL|H26,5000000,1,1,-17961.205000000075,0.0,0.0
OFF|STAGED_FULL|H26,5000000,2,1,-19660.079999999958,0.0,0.0
OFF|STAGED_FULL|H26,10000000,0,2,-57055.40499999956,0.0,0.0
OFF|STAGED_FULL|H26,10000000,1,2,-58350.629999999655,0.0,0.0
OFF|STAGED_FULL|H26,10000000,2,2,-64846.31500000018,0.0,0.0
OFF|STAGED_FULL|H26,20000000,0,2,-119688.29499999993,0.0,0.0
OFF|STAGED_FULL|H26,20000000,1,2,-130078.58500000043,0.0,0.0
OFF|STAGED_FULL|H26,20000000,2,2,-143870.1650000005,0.0,0.0
OFF|STAGED_FULL|H26,50000000,0,2,-325965.08999999985,0.0,0.0
OFF|STAGED_FULL|H26,50000000,1,2,-343485.7650000006,0.0,0.0
OFF|STAGED_FULL|H26,50000000,2,2,-378862.87499999907,0.0,0.0
OFF|STAGED_FULL|H52,5000000,0,1,-16662.390000000014,0.0,0.0
OFF|STAGED_FULL|H52,5000000,1,1,-17961.205000000075,0.0,0.0
OFF|STAGED_FULL|H52,5000000,2,1,-19660.079999999958,0.0,0.0
OFF|STAGED_FULL|H52,10000000,0,2,-29506.784999999916,0.34801022571004453,0.5
OFF|STAGED_FULL|H52,10000000,1,2,-34402.22999999975,0.29145813406885357,0.5
OFF|STAGED_FULL|H52,10000000,2,2,-43892.24499999988,0.1679311986902954,0.5
OFF|STAGED_FULL|H52,20000000,0,2,-65804.39500000002,0.2854332094887916,0.5
OFF|STAGED_FULL|H52,20000000,1,2,-76194.68500000006,0.22945233549619246,0.5
OFF|STAGED_FULL|H52,20000000,2,2,-92979.81500000041,0.13569844869739675,0.5
OFF|STAGED_FULL|H52,50000000,0,2,-173120.3400000017,0.2506042186414978,0.5
OFF|STAGED_FULL|H52,50000000,1,2,-199795.36500000022,0.1946912842112244,0.5
OFF|STAGED_FULL|H52,50000000,2,2,-238166.02499999944,0.11784872169823864,0.5
OFF|STAGED_CONDITIONAL|H26,5000000,0,1,-6377.6050000000105,0.0,0.0
OFF|STAGED_CONDITIONAL|H26,5000000,1,1,-6577.404999999999,0.0,0.0
OFF|STAGED_CONDITIONAL|H26,5000000,2,1,-6777.205000000002,0.0,0.0
OFF|STAGED_CONDITIONAL|H26,10000000,0,2,-26733.63500000001,0.0,0.0
OFF|STAGED_CONDITIONAL|H26,10000000,1,2,-27532.83500000002,0.0,0.0
OFF|STAGED_CONDITIONAL|H26,10000000,2,2,-28332.034999999945,0.0,0.0
OFF|STAGED_CONDITIONAL|H26,20000000,0,2,-61068.08999999997,0.0,0.0
OFF|STAGED_CONDITIONAL|H26,20000000,1,2,-62866.29000000004,0.0,0.0
OFF|STAGED_CONDITIONAL|H26,20000000,2,2,-64664.489999999874,0.0,0.0
OFF|STAGED_CONDITIONAL|H26,50000000,0,2,-164071.45499999984,0.0,0.0
OFF|STAGED_CONDITIONAL|H26,50000000,1,2,-168866.65500000026,0.0,0.0
OFF|STAGED_CONDITIONAL|H26,50000000,2,2,-173661.85500000045,0.0,0.0
OFF|STAGED_CONDITIONAL|H52,5000000,0,1,-6377.6050000000105,0.0,0.0
OFF|STAGED_CONDITIONAL|H52,5000000,1,1,-6577.404999999999,0.0,0.0
OFF|STAGED_CONDITIONAL|H52,5000000,2,1,-6777.205000000002,0.0,0.0
OFF|STAGED_CONDITIONAL|H52,10000000,0,2,-23740.084999999992,0.0,0.0
OFF|STAGED_CONDITIONAL|H52,10000000,1,2,-24539.285000000033,0.0,0.0
OFF|STAGED_CONDITIONAL|H52,10000000,2,2,-25338.484999999928,0.0,0.0
OFF|STAGED_CONDITIONAL|H52,20000000,0,2,-52087.44000000006,0.0,0.0
OFF|STAGED_CONDITIONAL|H52,20000000,1,2,-53885.640000000014,0.0,0.0
OFF|STAGED_CONDITIONAL|H52,20000000,2,2,-55683.83999999985,0.0,0.0
OFF|STAGED_CONDITIONAL|H52,50000000,0,2,-137129.5049999999,0.0,0.0
OFF|STAGED_CONDITIONAL|H52,50000000,1,2,-141924.70500000007,0.0,0.0
OFF|STAGED_CONDITIONAL|H52,50000000,2,2,-146719.90500000026,0.0,0.0
OFF|DIRECT|H26,5000000,0,2,-75046.5149999999,0.0,0.0
OFF|DIRECT|H26,5000000,1,2,-77244.31499999994,0.0,0.0
OFF|DIRECT|H26,5000000,2,2,-79442.1150000001,0.0,0.0
OFF|DIRECT|H26,10000000,0,2,-164071.45499999984,0.0,0.0
OFF|DIRECT|H26,10000000,1,2,-168866.65500000026,0.0,0.0
OFF|DIRECT|H26,10000000,2,2,-173661.85500000045,0.0,0.0
OFF|DIRECT|H26,20000000,0,2,-342121.33499999996,0.0,0.0
OFF|DIRECT|H26,20000000,1,2,-345533.9299999997,0.0,0.0
OFF|DIRECT|H26,20000000,2,2,-347323.7100000009,0.0,0.0
OFF|DIRECT|H26,50000000,0,2,-855914.9449999984,0.0,0.0
OFF|DIRECT|H26,50000000,1,2,-873089.3250000011,0.0,0.0
OFF|DIRECT|H26,50000000,2,2,-891087.3200000012,0.0,0.0
OFF|DIRECT|H52,5000000,0,2,-63072.31499999983,0.0,0.0
OFF|DIRECT|H52,5000000,1,2,-65270.11499999999,0.0,0.0
OFF|DIRECT|H52,5000000,2,2,-67467.91500000004,0.0,0.0
OFF|DIRECT|H52,10000000,0,2,-137129.5049999999,0.0,0.0
OFF|DIRECT|H52,10000000,1,2,-141924.70500000007,0.0,0.0
OFF|DIRECT|H52,10000000,2,2,-146719.90500000026,0.0,0.0
OFF|DIRECT|H52,20000000,0,2,-278866.2799999998,0.0,0.0
OFF|DIRECT|H52,20000000,1,2,-283849.41000000015,0.0,0.0
OFF|DIRECT|H52,20000000,2,2,-293439.8100000005,0.0,0.0
