variant,capital_krw,slippage_ticks,trades,pnl,pf,winrate
OFF|STAGED_FULL|H26,5000000,0,3,-893.1899999999878,0.9463948449172065,0.6666666666666666
OFF|STAGED_FULL|H26,5000000,1,3,-2891.4200000001,0.8390185959126858,0.6666666666666666
OFF|STAGED_FULL|H26,5000000,2,3,-5189.694999999963,0.7360287954067342,0.6666666666666666
OFF|STAGED_FULL|H26,10000000,0,4,-30006.604999999545,0.4740795372498052,0.5
OFF|STAGED_FULL|H26,10000000,1,4,-33300.05999999965,0.4293110459989919,0.5
OFF|STAGED_FULL|H26,10000000,2,4,-41593.94500000021,0.35857658218512345,0.5
OFF|STAGED_FULL|H26,20000000,0,6,-63798.44499999983,0.5791262163623032,0.5
OFF|STAGED_FULL|H26,20000000,1,6,-92183.67000000051,0.43952456697426806,0.5
OFF|STAGED_FULL|H26,20000000,2,6,-112568.65000000055,0.375533246749038,0.5
OFF|STAGED_FULL|H26,50000000,0,7,-202797.46499999915,0.5528709779188936,0.5714285714285714
OFF|STAGED_FULL|H26,50000000,1,7,-247794.2050000016,0.48490779358450314,0.5714285714285714
OFF|STAGED_FULL|H26,50000000,2,7,-308046.98999999894,0.41261367492773643,0.5714285714285714
OFF|STAGED_FULL|H52,5000000,0,3,-32153.280000000042,0.14379603707211294,0.3333333333333333
OFF|STAGED_FULL|H52,5000000,1,3,-34750.910000000105,0.13016441965026007,0.3333333333333333
OFF|STAGED_FULL|H52,5000000,2,3,-37648.584999999934,0.11724577364064843,0.3333333333333333
OFF|STAGED_FULL|H52,10000000,0,4,-62925.06999999998,0.2943737230337241,0.5
OFF|STAGED_FULL|H52,10000000,1,4,-71217.34499999962,0.24932499183760876,0.5
OFF|STAGED_FULL|H52,10000000,2,4,-83904.15999999983,0.17144831997257243,0.5
OFF|STAGED_FULL|H52,20000000,0,6,-130848.71500000008,0.3822840828576435,0.5
OFF|STAGED_FULL|H52,20000000,1,6,-162031.1399999999,0.2827761109953599,0.5
OFF|STAGED_FULL|H52,20000000,2,6,-188206.8700000003,0.21906538692393301,0.5
OFF|STAGED_FULL|H52,50000000,0,7,-373185.59500000125,0.37260373330991126,0.5714285714285714
OFF|STAGED_FULL|H52,50000000,1,7,-434529.48500000127,0.3152507422603759,0.5714285714285714
OFF|STAGED_FULL|H52,50000000,2,7,-502431.14499999955,0.25401104930605584,0.5714285714285714
OFF|STAGED_CONDITIONAL|H26,5000000,0,3,3554.4900000000052,1.5573393146800405,0.6666666666666666
OFF|STAGED_CONDITIONAL|H26,5000000,1,3,2955.089999999982,1.4492790089708605,0.6666666666666666
OFF|STAGED_CONDITIONAL|H26,5000000,2,3,2355.6900000000023,1.3475901938926154,0.6666666666666666
OFF|STAGED_CONDITIONAL|H26,10000000,0,4,-11359.045000000013,0.5751028619938886,0.5
OFF|STAGED_CONDITIONAL|H26,10000000,1,4,-13556.845000000001,0.5076117297764654,0.5
OFF|STAGED_CONDITIONAL|H26,10000000,2,4,-15754.64499999996,0.44392822471100324,0.5
OFF|STAGED_CONDITIONAL|H26,20000000,0,6,-28526.659999999916,0.6931478551879847,0.5
OFF|STAGED_CONDITIONAL|H26,20000000,1,6,-47120.53500000009,0.5155286869408546,0.5
OFF|STAGED_CONDITIONAL|H26,20000000,2,6,-54712.93499999988,0.4585984885011294,0.5
OFF|STAGED_CONDITIONAL|H26,50000000,0,7,-124199.58499999915,0.5776625844660672,0.42857142857142855
OFF|STAGED_CONDITIONAL|H26,50000000,1,7,-152173.88500000094,0.5088997505286023,0.42857142857142855
OFF|STAGED_CONDITIONAL|H26,50000000,2,7,-178147.88500000024,0.44956518995957895,0.42857142857142855
OFF|STAGED_CONDITIONAL|H52,5000000,0,3,-15454.87000000001,0.258932859135881,0.3333333333333333
OFF|STAGED_CONDITIONAL|H52,5000000,1,3,-16354.084999999977,0.24126114046849184,0.3333333333333333
OFF|STAGED_CONDITIONAL|H52,5000000,2,3,-17153.28499999999,0.22571466617314528,0.3333333333333333
OFF|STAGED_CONDITIONAL|H52,10000000,0,4,-42193.244999999995,0.1992878023943419,0.25
OFF|STAGED_CONDITIONAL|H52,10000000,1,4,-44990.67499999999,0.17437812052265395,0.25
OFF|STAGED_CONDITIONAL|H52,10000000,2,4,-47588.074999999924,0.15159879464749335,0.25
OFF|STAGED_CONDITIONAL|H52,20000000,0,6,-87201.51000000001,0.3854459344146852,0.3333333333333333
OFF|STAGED_CONDITIONAL|H52,20000000,1,6,-106994.64500000002,0.2779837557784015,0.3333333333333333
OFF|STAGED_CONDITIONAL|H52,20000000,2,6,-115386.24499999982,0.2487057593080031,0.3333333333333333
OFF|STAGED_CONDITIONAL|H52,50000000,0,7,-281314.5599999999,0.3371305875402886,0.2857142857142857
OFF|STAGED_CONDITIONAL|H52,50000000,1,7,-312586.8250000008,0.29861588036700726,0.2857142857142857
OFF|STAGED_CONDITIONAL|H52,50000000,2,7,-340758.62499999994,0.265373951574224,0.2857142857142857
OFF|DIRECT|H26,5000000,0,6,-47069.53999999992,0.5869098735516749,0.5
OFF|DIRECT|H26,5000000,1,6,-56260.33999999997,0.5237855451503132,0.5
OFF|DIRECT|H26,5000000,2,6,-65451.14000000025,0.46499119049157417,0.5
OFF|DIRECT|H26,10000000,0,7,-74406.88499999943,0.6954082498574016,0.42857142857142855
OFF|DIRECT|H26,10000000,1,7,-96384.88500000071,0.6206427390614798,0.42857142857142855
OFF|DIRECT|H26,10000000,2,7,-126866.28500000061,0.5191988967969063,0.42857142857142855
OFF|DIRECT|H26,20000000,0,8,-191357.84499999962,0.6611946279869905,0.375
OFF|DIRECT|H26,20000000,1,8,-244632.4400000003,0.5798139430644031,0.375
OFF|DIRECT|H26,20000000,2,8,-294286.22000000044,0.5078628733063326,0.375
OFF|DIRECT|H26,50000000,0,8,-518535.0799999987,0.6511821070854393,0.375
OFF|DIRECT|H26,50000000,1,8,-683018.2799999998,0.5565591809172593,0.375
OFF|DIRECT|H26,50000000,2,8,-793206.2450000029,0.49662661895030774,0.375
OFF|DIRECT|H52,5000000,0,6,-91972.7899999998,0.3729066955469479,0.3333333333333333
OFF|DIRECT|H52,5000000,1,6,-101163.59000000008,0.3338366696070931,0.3333333333333333
OFF|DIRECT|H52,5000000,2,6,-110354.39000000019,0.297351230945827,0.3333333333333333
OFF|DIRECT|H52,10000000,0,7,-170599.62499999983,0.4561247351650807,0.2857142857142857
OFF|DIRECT|H52,10000000,1,7,-192577.6250000004,0.4086582975133656,0.2857142857142857
OFF|DIRECT|H52,10000000,2,7,-223059.0250000003,0.3393783225493659,0.2857142857142857
OFF|DIRECT|H52,20000000,0,8,-456718.7699999999,0.4038050763173853,0.25
OFF|DIRECT|H52,20000000,1,8,-501062.50000000047,0.36527835564515376,0.25
OFF|DIRECT|H52,20000000,2,10,-495936.02500000026,0.39327090394783837,0.4
OFF|DIRECT|H52,50000000,0,8,-1300166.435000002,0.38636474822062455,0.25
OFF|DIRECT|H52,50000000,1,10,-1299868.1600000001,0.4017475961126567,0.4
OFF|DIRECT|H52,50000000,2,10,-1395867.4400000018,0.370185552609329,0.4
BALANCED|STAGED_FULL|H26,5000000,0,0,0.0,,
BALANCED|STAGED_FULL|H26,5000000,1,0,0.0,,
BALANCED|STAGED_FULL|H26,5000000,2,0,0.0,,
BALANCED|STAGED_FULL|H26,10000000,0,0,0.0,,
BALANCED|STAGED_FULL|H26,10000000,1,0,0.0,,
BALANCED|STAGED_FULL|H26,10000000,2,0,0.0,,
BALANCED|STAGED_FULL|H26,20000000,0,2,-8709.149999999907,0.726963639669693,0.5
BALANCED|STAGED_FULL|H26,20000000,1,2,-12206.225000000093,0.6451211969016256,0.5
BALANCED|STAGED_FULL|H26,20000000,2,2,-15203.224999999977,0.5822540991207905,0.5
BALANCED|STAGED_FULL|H26,50000000,0,2,-58024.84999999951,0.5452227297522707,0.5
BALANCED|STAGED_FULL|H26,50000000,1,2,-71014.15000000037,0.4838408976762192,0.5
BALANCED|STAGED_FULL|H26,50000000,2,2,-82003.1499999999,0.43669057434059294,0.5
