variant,status,5m_1t_pnl,5m_1t_pf,5m_1t_dd,5m_2t_pnl,20m_1t_pnl,train_pnl,train_trades,oos2026_pnl,oos2026_trades,jul2026_pnl,jul2026_trades,min_year_pnl,top1_positive_share,top3_positive_share,residual_after_top3,robust_score
BALANCED|STAGED_CONDITIONAL|H52,RESEARCH_ONLY,4216.115000000078,18.997588149922983,0.0013032358008517875,3116.3099999999977,13441.854999999749,4216.115000000078,2,0.0,0,0.0,0,4216.115000000078,1.0,1.0,-234.2599999999511,6441.477449148259
BALANCED|STAGED_CONDITIONAL|H26,RESEARCH_ONLY,4216.115000000078,18.997588149922983,0.0013032358008517875,3116.3099999999977,13441.854999999749,4216.115000000078,2,0.0,0,0.0,0,4216.115000000078,1.0,1.0,-234.2599999999511,6441.477449148259
STRICT|STAGED_CONDITIONAL|H26,RESEARCH_ONLY,4216.115000000078,18.997588149922983,0.0013032358008517875,3116.3099999999977,13441.854999999749,4216.115000000078,2,0.0,0,0.0,0,4216.115000000078,1.0,1.0,-234.2599999999511,6441.477449148259
STRICT|STAGED_CONDITIONAL|H52,RESEARCH_ONLY,4216.115000000078,18.997588149922983,0.0013032358008517875,3116.3099999999977,13441.854999999749,4216.115000000078,2,0.0,0,0.0,0,4216.115000000078,1.0,1.0,-234.2599999999511,6441.477449148259
BALANCED|STAGED_FULL|H26,RESEARCH_ONLY,4216.115000000078,18.997588149922983,0.0013032358008517875,3116.3099999999977,13441.854999999749,4216.115000000078,2,0.0,0,0.0,0,4216.115000000078,1.0,1.0,-234.2599999999511,6441.477449148259
BALANCED|STAGED_FULL|H52,RESEARCH_ONLY,4216.115000000078,18.997588149922983,0.0013032358008517875,3116.3099999999977,13441.854999999749,4216.115000000078,2,0.0,0,0.0,0,4216.115000000078,1.0,1.0,-234.2599999999511,6441.477449148259
STRICT|STAGED_FULL|H26,RESEARCH_ONLY,4216.115000000078,18.997588149922983,0.0013032358008517875,3116.3099999999977,13441.854999999749,4216.115000000078,2,0.0,0,0.0,0,4216.115000000078,1.0,1.0,-234.2599999999511,6441.477449148259
STRICT|STAGED_FULL|H52,RESEARCH_ONLY,4216.115000000078,18.997588149922983,0.0013032358008517875,3116.3099999999977,13441.854999999749,4216.115000000078,2,0.0,0,0.0,0,4216.115000000078,1.0,1.0,-234.2599999999511,6441.477449148259
STRICT|DIRECT|H26,RESEARCH_ONLY,-12151.505000000005,0.7221941339011613,0.009464302013363901,-17847.47000000009,-45133.539999999455,6555.695000000065,2,-18707.20000000007,2,0.0,0,-18707.20000000007,0.7024250787208001,1.0,-43740.99500000011,-48007.28301336391
BALANCED|DIRECT|H26,RESEARCH_ONLY,-12151.505000000005,0.7221941339011613,0.009464302013363901,-17847.47000000009,-45133.539999999455,6555.695000000065,2,-18707.20000000007,2,0.0,0,-18707.20000000007,0.7024250787208001,1.0,-43740.99500000011,-48007.28301336391
BALANCED|DIRECT|H52,RESEARCH_ONLY,-12151.505000000005,0.7221941339011613,0.009464302013363901,-17847.47000000009,-118974.43999999948,6555.695000000065,2,-18707.20000000007,2,0.0,0,-18707.20000000007,0.7024250787208001,1.0,-43740.99500000011,-59083.4180133639
STRICT|DIRECT|H52,RESEARCH_ONLY,-12151.505000000005,0.7221941339011613,0.009464302013363901,-17847.47000000009,-118974.43999999948,6555.695000000065,2,-18707.20000000007,2,0.0,0,-18707.20000000007,0.7024250787208001,1.0,-43740.99500000011,-59083.4180133639
OFF|STAGED_CONDITIONAL|H26,RESEARCH_ONLY,-18571.845000000016,0.4513843193919923,0.006395464999999878,-24567.52500000014,-145839.42500000057,-21526.934999999998,6,2955.089999999982,3,-6577.404999999999,1,-27040.530000000086,0.8221002414704237,1.0,-21292.675000000047,-64521.48975000006
OFF|STAGED_CONDITIONAL|H52,RESEARCH_ONLY,-37881.019999999975,0.22421204245256351,0.008616246999999855,-44076.50000000013,-205713.5350000005,-21526.934999999998,6,-16354.084999999977,3,-6577.404999999999,1,-27040.530000000086,,,-37881.019999999975,-111515.29199999997
OFF|STAGED_FULL|H26,RESEARCH_ONLY,-35574.99500000005,0.4069891279380084,0.009346357999999833,-44368.69500000014,-249319.27000000095,-32683.574999999953,6,-2891.4200000001,3,-17961.205000000075,1,-41794.995000000024,0.8234443940139397,1.0,-45015.93000000005,-117501.40425000014
OFF|STAGED_FULL|H52,RESEARCH_ONLY,-67434.48500000006,0.1774314171268786,0.014526939999999877,-76827.58500000011,-319166.74000000034,-32683.574999999953,6,-34750.910000000105,3,-17961.205000000075,1,-41794.995000000024,1.0,1.0,-69101.33500000006,-192308.95325000008
OFF|DIRECT|H26,RESEARCH_ONLY,-139959.47999999986,0.353692659722747,0.035211966000000205,-158843.06500000006,-582854.1300000002,-83699.1399999999,6,-56260.33999999997,6,-77244.31499999994,2,-95567.20499999984,0.46068203313083145,1.0,-201839.9049999999,-397897.60225000005
OFF|DIRECT|H52,RESEARCH_ONLY,-184862.72999999998,0.26135210844178625,0.04613006200000014,-203746.315,-839284.1900000004,-83699.1399999999,6,-101163.59000000008,6,-65270.11499999999,2,-101163.59000000008,0.5623115622494274,1.0,-235559.17999999993,-528756.7660000003
