variant,regime_mode,add_policy,max_hold,capital_krw,slippage_ticks,ending_equity,return_pct,trades,wins,losses,pf,max_dd_pct,commissions,taxes,pnl,resolved_tickers,candidates_v029,candidates_v030
OFF|STAGED_FULL|H26,OFF,STAGED_FULL,26,5000000,0,4972818.645000002,-0.0054362709999995484,9,5,4,0.4915710783458711,0.008287164999999819,1137.675,6743.68,-27181.354999999996,40,103,16
OFF|STAGED_FULL|H26,OFF,STAGED_FULL,26,5000000,1,4964425.005000001,-0.007114998999999789,9,4,5,0.4069891279380084,0.009346357999999833,1137.855,6737.14,-35574.99500000005,40,103,16
OFF|STAGED_FULL|H26,OFF,STAGED_FULL,26,5000000,2,4955631.305,-0.008873739000000103,9,4,5,0.34058902425186227,0.01040555100000018,1138.095,6730.6,-44368.69500000014,40,103,16
OFF|STAGED_FULL|H26,OFF,STAGED_FULL,26,10000000,0,9916635.550000003,-0.008336444999999748,10,5,5,0.3887571785669376,0.015214183712112583,3007.1699999999996,18157.280000000002,-83364.44999999917,40,103,16
OFF|STAGED_FULL|H26,OFF,STAGED_FULL,26,10000000,1,9899152.264999997,-0.010084773500000366,10,4,6,0.32335139604095803,0.014420074487870749,2954.9549999999995,17792.780000000002,-100847.73499999929,40,103,16
OFF|STAGED_FULL|H26,OFF,STAGED_FULL,26,10000000,2,9876468.519999998,-0.012353148000000203,10,4,6,0.26305755921001633,0.019413799839271384,2955.5999999999995,17775.879999999997,-123531.48000000059,40,103,16
OFF|STAGED_FULL|H26,OFF,STAGED_FULL,26,20000000,0,19808786.0,-0.009560699999999978,12,6,6,0.42236301059393744,0.015318136964180828,6736.080000000001,40877.920000000006,-191214.00000000058,40,103,16
OFF|STAGED_FULL|H26,OFF,STAGED_FULL,26,20000000,1,19750680.729999986,-0.012465963500000732,12,5,7,0.3223051759623771,0.015597267580010898,6646.98,40272.28999999999,-249319.27000000095,40,103,16
OFF|STAGED_FULL|H26,OFF,STAGED_FULL,26,20000000,2,19699917.05,-0.015004147500000009,12,5,7,0.2671328481074977,0.020343664244274473,6596.339999999998,39886.61000000001,-300082.9500000001,40,103,16
OFF|STAGED_FULL|H26,OFF,STAGED_FULL,26,50000000,0,49494205.18000001,-0.01011589639999988,13,7,6,0.43851745019992694,0.0163517219878484,18084.750000000004,110110.07,-505794.81999999867,40,103,16
OFF|STAGED_FULL|H26,OFF,STAGED_FULL,26,50000000,1,49372363.08499998,-0.012552738300000477,13,6,7,0.3657430631052927,0.016254533620818745,17961.734999999997,109175.18,-627636.9150000009,40,103,16
OFF|STAGED_FULL|H26,OFF,STAGED_FULL,26,50000000,2,49234295.16999999,-0.015314096600000271,13,6,7,0.30211533959172837,0.021361958498685274,17860.8,108444.03,-765704.83,40,103,16
OFF|STAGED_FULL|H52,OFF,STAGED_FULL,52,5000000,0,4941558.555000003,-0.011688288999999297,9,4,5,0.2139935149343597,0.012768291999999404,1227.7649999999996,7313.68,-58441.44500000005,40,103,16
OFF|STAGED_FULL|H52,OFF,STAGED_FULL,52,5000000,1,4932565.515000001,-0.013486896999999831,9,3,6,0.1774314171268786,0.014526939999999877,1227.945,7306.54,-67434.48500000006,40,103,16
OFF|STAGED_FULL|H52,OFF,STAGED_FULL,52,5000000,2,4923172.414999999,-0.015365517000000217,9,3,6,0.14895363590055208,0.016365600000000202,1228.185,7299.400000000001,-76827.58500000011,40,103,16
OFF|STAGED_FULL|H52,OFF,STAGED_FULL,52,10000000,0,9883717.085000003,-0.011628291499999777,10,5,5,0.30991806788074716,0.016214335499999843,3170.2349999999997,19212.68,-116282.9149999996,40,103,16
OFF|STAGED_FULL|H52,OFF,STAGED_FULL,52,10000000,1,9861234.979999999,-0.013876502000000124,10,4,6,0.25218442924419093,0.01828281799999998,3170.6399999999994,19194.38,-138765.01999999926,40,103,16
OFF|STAGED_FULL|H52,OFF,STAGED_FULL,52,10000000,2,9834158.304999998,-0.01658416950000019,10,4,6,0.18723689244201747,0.02038872650000023,3118.8149999999996,18822.88,-165841.6950000002,40,103,16
OFF|STAGED_FULL|H52,OFF,STAGED_FULL,52,20000000,0,19741735.729999997,-0.012913213500000187,12,6,6,0.33993161634901864,0.018466315500000108,7168.350000000001,43695.920000000006,-258264.27000000083,40,103,16
OFF|STAGED_FULL|H52,OFF,STAGED_FULL,52,20000000,1,19680833.259999987,-0.01595833700000071,12,5,7,0.25659928887895933,0.02079666250000034,7079.249999999999,43087.490000000005,-319166.74000000034,40,103,16
