variant,capital_krw,slippage_ticks,trades,pnl,pf,winrate
OFF|STAGED_FULL|H26,5000000,0,6,-26288.165000000008,0.2856297338995625,0.5
OFF|STAGED_FULL|H26,5000000,1,6,-32683.574999999953,0.22236130523845896,0.3333333333333333
OFF|STAGED_FULL|H26,5000000,2,6,-39179.000000000175,0.17734840950491157,0.3333333333333333
OFF|STAGED_FULL|H26,10000000,0,6,-53357.84499999962,0.32739178382689,0.5
OFF|STAGED_FULL|H26,10000000,1,6,-67547.67499999964,0.255175714562484,0.3333333333333333
OFF|STAGED_FULL|H26,10000000,2,6,-81937.53500000038,0.2027927901851235,0.3333333333333333
OFF|STAGED_FULL|H26,20000000,0,6,-127415.55500000075,0.28993569101818173,0.5
OFF|STAGED_FULL|H26,20000000,1,6,-157135.60000000044,0.22752768459712197,0.3333333333333333
OFF|STAGED_FULL|H26,20000000,2,6,-187514.29999999958,0.18187720909030455,0.3333333333333333
OFF|STAGED_FULL|H26,50000000,0,6,-302997.3549999995,0.3225559502962349,0.5
OFF|STAGED_FULL|H26,50000000,1,6,-379842.70999999926,0.25300584633210504,0.3333333333333333
OFF|STAGED_FULL|H26,50000000,2,6,-457657.840000001,0.2009366157953783,0.3333333333333333
OFF|STAGED_FULL|H52,5000000,0,6,-26288.165000000008,0.2856297338995625,0.5
OFF|STAGED_FULL|H52,5000000,1,6,-32683.574999999953,0.22236130523845896,0.3333333333333333
OFF|STAGED_FULL|H52,5000000,2,6,-39179.000000000175,0.17734840950491157,0.3333333333333333
OFF|STAGED_FULL|H52,10000000,0,6,-53357.84499999962,0.32739178382689,0.5
OFF|STAGED_FULL|H52,10000000,1,6,-67547.67499999964,0.255175714562484,0.3333333333333333
OFF|STAGED_FULL|H52,10000000,2,6,-81937.53500000038,0.2027927901851235,0.3333333333333333
OFF|STAGED_FULL|H52,20000000,0,6,-127415.55500000075,0.28993569101818173,0.5
OFF|STAGED_FULL|H52,20000000,1,6,-157135.60000000044,0.22752768459712197,0.3333333333333333
OFF|STAGED_FULL|H52,20000000,2,6,-187514.29999999958,0.18187720909030455,0.3333333333333333
OFF|STAGED_FULL|H52,50000000,0,6,-302997.3549999995,0.3225559502962349,0.5
OFF|STAGED_FULL|H52,50000000,1,6,-379842.70999999926,0.25300584633210504,0.3333333333333333
OFF|STAGED_FULL|H52,50000000,2,6,-457657.840000001,0.2009366157953783,0.3333333333333333
OFF|STAGED_CONDITIONAL|H26,5000000,0,6,-16630.729999999923,0.28451360461539643,0.5
OFF|STAGED_CONDITIONAL|H26,5000000,1,6,-21526.934999999998,0.21073874445962854,0.3333333333333333
OFF|STAGED_CONDITIONAL|H26,5000000,2,6,-26923.215000000142,0.15789966721929294,0.3333333333333333
OFF|STAGED_CONDITIONAL|H26,10000000,0,6,-31229.279999999853,0.3679026818910576,0.5
OFF|STAGED_CONDITIONAL|H26,10000000,1,6,-42120.8649999997,0.27461550847771576,0.3333333333333333
OFF|STAGED_CONDITIONAL|H26,10000000,2,6,-54112.61500000022,0.20609257458074032,0.3333333333333333
OFF|STAGED_CONDITIONAL|H26,20000000,0,6,-75736.59000000055,0.3248206446229453,0.5
OFF|STAGED_CONDITIONAL|H26,20000000,1,6,-98718.89000000048,0.2441766417024708,0.3333333333333333
OFF|STAGED_CONDITIONAL|H26,20000000,2,6,-123196.00999999954,0.18569891603893984,0.3333333333333333
OFF|STAGED_CONDITIONAL|H26,50000000,0,6,-178667.05000000168,0.35303751133569805,0.5
OFF|STAGED_CONDITIONAL|H26,50000000,1,6,-236622.4400000004,0.2653774881347681,0.3333333333333333
OFF|STAGED_CONDITIONAL|H26,50000000,2,6,-300578.72999999975,0.20029757101532802,0.3333333333333333
OFF|STAGED_CONDITIONAL|H52,5000000,0,6,-16630.729999999923,0.28451360461539643,0.5
OFF|STAGED_CONDITIONAL|H52,5000000,1,6,-21526.934999999998,0.21073874445962854,0.3333333333333333
OFF|STAGED_CONDITIONAL|H52,5000000,2,6,-26923.215000000142,0.15789966721929294,0.3333333333333333
OFF|STAGED_CONDITIONAL|H52,10000000,0,6,-31229.279999999853,0.3679026818910576,0.5
OFF|STAGED_CONDITIONAL|H52,10000000,1,6,-42120.8649999997,0.27461550847771576,0.3333333333333333
OFF|STAGED_CONDITIONAL|H52,10000000,2,6,-54112.61500000022,0.20609257458074032,0.3333333333333333
OFF|STAGED_CONDITIONAL|H52,20000000,0,6,-75736.59000000055,0.3248206446229453,0.5
OFF|STAGED_CONDITIONAL|H52,20000000,1,6,-98718.89000000048,0.2441766417024708,0.3333333333333333
OFF|STAGED_CONDITIONAL|H52,20000000,2,6,-123196.00999999954,0.18569891603893984,0.3333333333333333
OFF|STAGED_CONDITIONAL|H52,50000000,0,6,-178667.05000000168,0.35303751133569805,0.5
OFF|STAGED_CONDITIONAL|H52,50000000,1,6,-236622.4400000004,0.2653774881347681,0.3333333333333333
OFF|STAGED_CONDITIONAL|H52,50000000,2,6,-300578.72999999975,0.20029757101532802,0.3333333333333333
OFF|DIRECT|H26,5000000,0,6,-74006.3550000001,0.18778909550138032,0.3333333333333333
OFF|DIRECT|H26,5000000,1,6,-83699.1399999999,0.14950054236409782,0.3333333333333333
OFF|DIRECT|H26,5000000,2,6,-93391.92499999981,0.11649642379522523,0.3333333333333333
OFF|DIRECT|H26,10000000,0,6,-145140.50000000047,0.20355017630322333,0.3333333333333333
OFF|DIRECT|H26,10000000,1,6,-164925.7699999998,0.16206260939369546,0.3333333333333333
OFF|DIRECT|H26,10000000,2,6,-184711.03999999957,0.12630099227260203,0.3333333333333333
OFF|DIRECT|H26,20000000,0,6,-297851.81000000006,0.2055413957762001,0.3333333333333333
OFF|DIRECT|H26,20000000,1,6,-338221.68999999994,0.16383106060115402,0.3333333333333333
