time,ticker,setup_id,reason
2024-03-05 04:00:00+00:00,018260.KS,KRLEVEL_RR|018260|2T|822|825|826,MARKET_REGIME
2024-04-11 02:00:00+00:00,009150.KS,KRLEVEL_RR|009150|2T|979|980|981,MARKET_REGIME
2024-06-27 02:00:00+00:00,010130.KS,KRLEVEL_RR|010130|3T|1285|1286|1287,MARKET_REGIME
2025-09-30 01:00:00+00:00,018260.KS,KRLEVEL_RR|018260|2T|3122|3126|3127,MARKET_REGIME
2026-02-11 01:00:00+00:00,034730.KS,KRLEVEL_RR|034730|2T|3645|3651|3652,STARTER_LT_1_OR_CASH
2026-03-06 03:00:00+00:00,006400.KS,KRLEVEL_RR|006400|3T|3725|3729|3731,MARKET_REGIME
2026-05-11 02:00:00+00:00,051910.KS,KRLEVEL_RR|051910|2T|3984|3986|3988,STARTER_LT_1_OR_CASH
2026-06-10 02:00:00+00:00,010950.KS,KRLEVEL_RR|010950|3T|4103|4105|4107,MARKET_REGIME
2026-06-15 03:00:00+00:00,012330.KS,KRLEVEL_RR|012330|2T|4121|4125|4127,STARTER_LT_1_OR_CASH
2026-07-03 02:00:00+00:00,068270.KS,KRLEVEL_RR|068270|4T|4206|4209|4211,MARKET_REGIME
2026-07-06 02:00:00+00:00,086790.KS,KRLEVEL_RR|086790|5T|4213|4216|4217,MARKET_REGIME
2026-08-03 01:00:00+00:00,035420.KS,KRLEVEL_RR|035420|5T|4327|4328|4330,MARKET_REGIME
2026-08-03 01:00:00+00:00,042660.KS,KRLEVEL_RR|042660|4T|4325|4328|4330,MARKET_REGIME
2026-08-03 01:00:00+00:00,086790.KS,KRLEVEL_RR|086790|4T|4326|4329|4330,MARKET_REGIME
