capital_krw,slippage_ticks,ending_equity,return_pct,trades,wins,losses,pf,max_dd_pct,commissions,taxes,pnl,rejects
5000000,0,5074910.518499997,0.014982103699999527,54,33,21,1.348054827794748,0.02064556839516285,5907.781499999999,35371.700000000004,74910.5185000002,49
5000000,1,5058572.282000002,0.011714456400000461,52,31,21,1.2717997581767833,0.014258160858608648,5508.279,32719.439000000002,58572.28200000028,51
5000000,2,5017270.688999999,0.0034541377999999234,52,29,23,1.0710464614378743,0.015762849940323842,5459.178000000001,32370.132999999998,17270.688999999344,51
10000000,0,10284422.39149998,0.028442239149997883,70,41,29,1.4701399677497786,0.024828380936147143,16426.993499999997,96860.61500000002,284422.39149999944,33
10000000,1,10174884.227999998,0.017488422799999848,68,38,30,1.2670506192052562,0.02278572850679328,15850.872,93284.90000000001,174884.22800000047,35
10000000,2,10086994.063499993,0.008699406349999217,67,35,32,1.119543706427677,0.027673711600698758,15648.8865,91947.05,86994.06349999891,36
20000000,0,20875799.6885,0.04378998442499982,84,50,34,1.553125270551015,0.028057074108877256,39585.856499999994,234924.45500000002,875799.6884999995,19
20000000,1,20591424.243000004,0.029571212150000248,82,46,36,1.3497609681812806,0.026118980567889638,38020.59299999999,225095.16400000002,591424.2430000002,21
20000000,2,20370683.884999976,0.018534194249998803,81,42,39,1.1999621697959053,0.029526557425754385,37496.96699999999,221959.148,370683.8850000019,22
50000000,0,52564404.41500003,0.051288088300000645,91,52,39,1.5602233172219067,0.03321425371761999,110094.24,652601.345,2564404.4150000014,12
50000000,1,51730338.6565,0.034606773129999935,89,48,41,1.3549040553494394,0.03125123136727548,106198.1565,627533.1870000002,1730338.6565000028,14
50000000,2,51103267.356,0.02206534712000008,88,44,44,1.2080240112283325,0.03345789796269427,104630.904,618541.74,1103267.3560000006,15
