variant,capital_krw,slippage_ticks,ending_equity,return_pct,trades,wins,losses,pf,max_dd_pct,commissions,taxes,pnl,rejects
PB_WIDE|FAST|DIRECT|H26,5000000,0,5902407.2075000005,0.1804814415,28,16,12,5.062227422958181,0.024958024308723514,7895.7525,46847.04000000001,902407.2075,37
PB_WIDE|FAST|DIRECT|H26,5000000,1,5738194.586500001,0.14763891730000034,27,14,13,4.006902029256644,0.02833554624517176,7413.367499999999,43882.046,738194.5865000002,38
PB_WIDE|FAST|DIRECT|H26,5000000,2,5692584.908,0.13851698160000003,27,15,12,3.60540996917634,0.030132421954038868,7385.61,43709.481999999996,692584.9079999999,38
PB_WIDE|FAST|DIRECT|H26,5000000,3,5631888.979499999,0.12637779589999987,27,15,12,3.162784099729423,0.03225469243175538,7377.802499999999,43603.218,631888.9794999997,38
PB_WIDE|FAST|DIRECT|H26,10000000,0,11678862.4425,0.16788624424999998,33,17,16,3.7019292373702917,0.027757848131481966,18109.987499999996,106877.57,1678862.4425000001,32
PB_WIDE|FAST|DIRECT|H26,10000000,1,11401241.196500001,0.14012411965000005,32,15,17,3.0585254917190525,0.03004532030100293,17375.2875,102273.516,1401241.196500001,33
PB_WIDE|FAST|DIRECT|H26,10000000,2,11328691.451999992,0.13286914519999926,31,16,15,2.942590107463561,0.03137556484405424,17029.35,100099.19799999999,1328691.451999999,34
PB_WIDE|FAST|DIRECT|H26,10000000,3,11195409.513,0.11954095130000009,31,16,15,2.6103336226048657,0.03306308585327278,16994.745000000003,99775.742,1195409.5129999993,34
PB_WIDE|FAST|DIRECT|H26,20000000,0,23527383.302500006,0.17636916512500034,33,17,16,3.664657944795931,0.030148271835788387,37842.8325,223223.865,3527383.3025000007,32
PB_WIDE|FAST|DIRECT|H26,20000000,1,23034068.051,0.15170340254999992,32,15,17,3.1213369166795126,0.03147133621899345,36281.715,213510.234,3034068.051000001,33
PB_WIDE|FAST|DIRECT|H26,20000000,2,22847670.430999987,0.14238352154999934,32,16,16,2.916687675772668,0.031554466228018385,35851.545,210738.024,2847670.431,33
PB_WIDE|FAST|DIRECT|H26,20000000,3,22374631.27249999,0.11873156362499948,32,16,16,2.4754065262365113,0.03363434839879642,35350.6275,207268.1,2374631.272499998,33
PB_WIDE|FAST|DIRECT|H26,50000000,0,58872357.08749999,0.17744714174999987,33,17,16,3.5631104322037093,0.030321762372533034,97228.6125,572764.2999999999,8872357.087499995,32
PB_WIDE|FAST|DIRECT|H26,50000000,1,57453873.03199999,0.14907746063999983,32,15,17,2.984689239870836,0.03151775351984021,93612.0,549934.968,7453873.031999997,33
PB_WIDE|FAST|DIRECT|H26,50000000,2,56913657.449499995,0.13827314898999998,32,16,16,2.7401727584285394,0.0318586353711533,92877.60749999998,545234.943,6913657.449500003,33
PB_WIDE|FAST|DIRECT|H26,50000000,3,56118841.67100002,0.12237683342000039,32,16,16,2.4282608083035977,0.033813601527902026,91911.405,539006.924,6118841.670999999,33
PB_WIDE|STRUCTURAL|DIRECT|H26,5000000,0,5633118.037500001,0.1266236075,29,14,15,3.484296425291109,0.02680405974657163,8057.0475,46874.915,633118.0375000001,36
PB_WIDE|STRUCTURAL|DIRECT|H26,5000000,1,5560955.3975,0.11219107950000007,29,13,16,3.0601796861920576,0.02715973879562039,7839.322499999999,45555.280000000006,560955.3975000002,36
PB_WIDE|STRUCTURAL|DIRECT|H26,5000000,2,5514807.627499997,0.10296152549999937,29,13,16,2.7374812625732856,0.029932647199473195,7802.8724999999995,45339.5,514807.62750000006,36
PB_WIDE|STRUCTURAL|DIRECT|H26,5000000,3,5516489.397499998,0.10329787949999969,29,14,15,2.5211776126772856,0.029392406219897693,7952.9325,46107.670000000006,516489.39749999973,36
PB_WIDE|STRUCTURAL|DIRECT|H26,10000000,0,11137015.674999999,0.11370156749999993,33,15,18,2.694302439708978,0.03177033192362555,18482.924999999996,107001.4,1137015.6750000003,32
PB_WIDE|STRUCTURAL|DIRECT|H26,10000000,1,10985272.205000006,0.09852722050000051,33,14,19,2.3507042644998424,0.03355768778152857,18158.085,104969.71,985272.2050000012,32
PB_WIDE|STRUCTURAL|DIRECT|H26,10000000,2,10879982.512499996,0.08799825124999949,33,14,19,2.1193937880067972,0.03546757573291448,18097.567499999997,104569.92,879982.5124999995,32
PB_WIDE|STRUCTURAL|DIRECT|H26,10000000,3,10894451.597499998,0.08944515974999989,33,15,18,2.0296774717930806,0.03685843859679183,18261.712499999998,105436.69,894451.5974999996,32
PB_WIDE|STRUCTURAL|DIRECT|H26,20000000,0,22180198.01750001,0.10900990087500051,34,15,19,2.4738618489191864,0.03381694089027387,38367.72749999999,221884.255,2180198.0175,31
PB_WIDE|STRUCTURAL|DIRECT|H26,20000000,1,21915380.702499997,0.09576903512499979,34,14,20,2.2106503518479346,0.03364308059218157,37736.6775,217932.62,1915380.702500001,31
PB_WIDE|STRUCTURAL|DIRECT|H26,20000000,2,21656594.237499997,0.08282971187499988,34,14,20,1.972712174006706,0.035568694234660914,37494.292499999996,216261.47,1656594.2375,31
PB_WIDE|STRUCTURAL|DIRECT|H26,20000000,3,21728758.244999994,0.08643791224999964,34,15,19,1.9288199992283648,0.03695076992250079,37837.72499999999,218304.03000000003,1728758.245,31
PB_WIDE|STRUCTURAL|DIRECT|H26,50000000,0,55610751.26249997,0.11221502524999938,34,15,19,2.429669583666754,0.03482214635347669,99026.3325,571972.405,5610751.262499997,31
PB_WIDE|STRUCTURAL|DIRECT|H26,50000000,1,54696959.157499984,0.0939391831499996,34,14,20,2.0977851825412426,0.03654882218608724,98000.24250000001,564990.6,4696959.157499991,31
PB_WIDE|STRUCTURAL|DIRECT|H26,50000000,2,54135802.05000001,0.0827160410000003,34,14,20,1.9080521838787439,0.03775018022122545,97083.76499999998,559414.185,4135802.049999996,31
PB_WIDE|STRUCTURAL|DIRECT|H26,50000000,3,54217974.090000026,0.08435948180000041,34,15,19,1.85307336866323,0.039211506658095585,97441.11,561184.8,4217974.090000002,31
RISK_ONLY|FAST|DIRECT|H26,5000000,0,6098629.375,0.21972587499999996,48,26,22,3.24696278005471,0.03939995694980081,12528.554999999998,75242.07,1098629.3749999995,55
RISK_ONLY|FAST|DIRECT|H26,5000000,1,5962855.668499999,0.19257113369999979,46,24,22,2.9940305463737964,0.04133877521467688,11595.727499999999,69958.604,962855.6685000001,57
RISK_ONLY|FAST|DIRECT|H26,5000000,2,5861590.429499999,0.17231808589999975,46,24,22,2.633733971441842,0.043096053213793506,11503.3575,69276.213,861590.4294999994,57
RISK_ONLY|FAST|DIRECT|H26,5000000,3,5758904.757999997,0.15178095159999927,46,24,22,2.341597738080747,0.04490277973861423,11371.14,68504.102,758904.7579999994,57
RISK_ONLY|FAST|DIRECT|H26,10000000,0,12171114.272500008,0.21711142725000077,53,28,25,2.857962385764111,0.04712551515356089,27870.952499999996,166864.77500000002,2171114.272499999,50
RISK_ONLY|FAST|DIRECT|H26,10000000,1,11857960.642999995,0.18579606429999962,52,26,26,2.5446207767466014,0.046479148944677195,26564.714999999997,159054.642,1857960.6429999997,51
RISK_ONLY|FAST|DIRECT|H26,10000000,2,11673529.274999993,0.1673529274999992,52,26,26,2.3251468733032423,0.04847842575098105,26152.53,156418.195,1673529.2749999997,51
RISK_ONLY|FAST|DIRECT|H26,10000000,3,11512531.238499995,0.15125312384999945,51,26,25,2.1672149329176587,0.046762108753003795,25658.3775,153320.38400000002,1512531.2385,52
RISK_ONLY|FAST|DIRECT|H26,20000000,0,24339006.870000023,0.21695034350000109,55,29,26,2.691129324182625,0.05495334019976328,57630.51,344562.62000000005,4339006.869999998,48
RISK_ONLY|FAST|DIRECT|H26,20000000,1,23604412.80649999,0.18022064032499951,54,27,27,2.326860652149505,0.056922563044109586,55275.0075,330702.186,3604412.8064999986,49
RISK_ONLY|FAST|DIRECT|H26,20000000,2,23215053.828499995,0.1607526914249997,54,27,27,2.1269550151151906,0.05896176230613914,54628.987499999996,326527.184,3215053.8284999994,49
RISK_ONLY|FAST|DIRECT|H26,20000000,3,22861318.443499997,0.14306592217499992,55,27,28,1.9565990476440023,0.060166603320502166,54095.6925,323195.864,2861318.4434999996,48
RISK_ONLY|FAST|DIRECT|H26,50000000,0,61049024.78000003,0.22098049560000055,55,29,26,2.6440365436096482,0.057670023052925234,148784.77499999997,890290.4450000001,11049024.77999999,48
RISK_ONLY|FAST|DIRECT|H26,50000000,1,59205284.58399997,0.18410569167999946,54,27,27,2.2942153736201027,0.059173670295252334,143820.65999999997,859334.756,9205284.583999997,49
RISK_ONLY|FAST|DIRECT|H26,50000000,2,58349483.49399997,0.16698966987999952,55,28,27,2.1217714761691204,0.06070068536151385,142295.86499999996,850160.6410000001,8349483.493999987,48
