ticker,setup_id,entry_mode,legacy_entry_i,chosen_entry_i,decision,legacy_entry_time,chosen_entry_time
005930.KS,KRLEVEL_RR|005930|2T|712|715|717,PULLBACK,718,,NO_PULLBACK_HOLD,2024-02-05 09:00:00+09:00,
005930.KS,KRLEVEL_RR|005930|3T|2386|2391|2393,PULLBACK,2394,,NO_PULLBACK_HOLD,2025-04-02 13:00:00+09:00,
005930.KS,KRLEVEL_RR|005930|2T|3636|3640|3642,PULLBACK,3643,3645.0,PULLBACK_HOLD,2026-02-10 10:00:00+09:00,2026-02-10 12:00:00+09:00
005930.KS,KRLEVEL_RR|005930|2T|3912|3914|3916,PULLBACK,3917,3918.0,PULLBACK_HOLD,2026-04-21 14:00:00+09:00,2026-04-22 09:00:00+09:00
373220.KS,KRLEVEL_RR|373220|3T|1522|1525|1526,PULLBACK,1527,1529.0,PULLBACK_HOLD,2024-08-22 14:00:00+09:00,2024-08-23 10:00:00+09:00
373220.KS,KRLEVEL_RR|373220|4T|1865|1866|1868,PULLBACK,1869,1870.0,PULLBACK_HOLD,2024-11-20 09:00:00+09:00,2024-11-20 10:00:00+09:00
373220.KS,KRLEVEL_RR|373220|2T|2336|2338|2339,PULLBACK,2340,2341.0,PULLBACK_HOLD,2025-03-20 13:00:00+09:00,2025-03-20 14:00:00+09:00
373220.KS,KRLEVEL_RR|373220|2T|3416|3419|3420,PULLBACK,3421,3422.0,PULLBACK_HOLD,2025-12-15 09:00:00+09:00,2025-12-15 10:00:00+09:00
373220.KS,KRLEVEL_RR|373220|3T|3720|3723|3725,PULLBACK,3726,3727.0,PULLBACK_HOLD,2026-03-06 09:00:00+09:00,2026-03-06 10:00:00+09:00
373220.KS,KRLEVEL_RR|373220|2T|3750|3753|3755,PULLBACK,3756,,NO_PULLBACK_HOLD,2026-03-13 09:00:00+09:00,
373220.KS,KRLEVEL_RR|373220|3T|3902|3904|3905,PULLBACK,3906,3907.0,PULLBACK_HOLD,2026-04-17 09:00:00+09:00,2026-04-17 10:00:00+09:00
000660.KS,KRLEVEL_RR|000660|3T|2019|2021|2022,PULLBACK,2023,2025.0,PULLBACK_HOLD,2024-12-26 13:00:00+09:00,2024-12-27 09:00:00+09:00
000660.KS,KRLEVEL_RR|000660|2T|2121|2127|2128,PULLBACK,2129,2130.0,PULLBACK_HOLD,2025-01-23 12:00:00+09:00,2025-01-23 13:00:00+09:00
000660.KS,KRLEVEL_RR|000660|2T|3578|3579|3581,PULLBACK,3582,,NO_PULLBACK_HOLD,2026-01-26 09:00:00+09:00,
000660.KS,KRLEVEL_RR|000660|3T|3720|3723|3725,PULLBACK,3726,,NO_PULLBACK_HOLD,2026-03-06 09:00:00+09:00,
207940.KS,KRLEVEL_RR|207940|3T|1456|1459|1461,PULLBACK,1462,1463.0,PULLBACK_HOLD,2024-08-07 09:00:00+09:00,2024-08-07 10:00:00+09:00
207940.KS,KRLEVEL_RR|207940|2T|2303|2304|2305,PULLBACK,2306,,NO_PULLBACK_HOLD,2025-03-13 09:00:00+09:00,
207940.KS,KRLEVEL_RR|207940|3T|2327|2333|2334,PULLBACK,2335,2338.0,PULLBACK_HOLD,2025-03-19 14:00:00+09:00,2025-03-20 11:00:00+09:00
207940.KS,KRLEVEL_RR|207940|2T|2572|2578|2580,PULLBACK,2581,2583.0,PULLBACK_HOLD,2025-05-20 14:00:00+09:00,2025-05-21 10:00:00+09:00
207940.KS,KRLEVEL_RR|207940|3T|2864|2868|2869,PULLBACK,2870,2871.0,PULLBACK_HOLD,2025-07-30 09:00:00+09:00,2025-07-30 10:00:00+09:00
207940.KS,KRLEVEL_RR|207940|3T|3278|3280|3281,PULLBACK,3282,3283.0,PULLBACK_HOLD,2025-12-04 13:00:00+09:00,2025-12-04 14:00:00+09:00
207940.KS,KRLEVEL_RR|207940|3T|3535|3540|3542,PULLBACK,3543,3545.0,PULLBACK_HOLD,2026-02-10 11:00:00+09:00,2026-02-10 13:00:00+09:00
005490.KS,KRLEVEL_RR|005490|2T|3260|3263|3264,PULLBACK,3265,3266.0,PULLBACK_HOLD,2025-11-06 14:00:00+09:00,2025-11-07 09:00:00+09:00
005490.KS,KRLEVEL_RR|005490|2T|3415|3418|3420,PULLBACK,3421,3422.0,PULLBACK_HOLD,2025-12-15 09:00:00+09:00,2025-12-15 10:00:00+09:00
005490.KS,KRLEVEL_RR|005490|2T|3561|3562|3563,PULLBACK,3564,,NO_PULLBACK_HOLD,2026-01-21 09:00:00+09:00,
005490.KS,KRLEVEL_RR|005490|2T|3655|3658|3659,PULLBACK,3660,,NO_PULLBACK_HOLD,2026-02-13 09:00:00+09:00,
051910.KS,KRLEVEL_RR|051910|3T|491|494|496,PULLBACK,497,,NO_PULLBACK_HOLD,2023-12-11 09:00:00+09:00,
051910.KS,KRLEVEL_RR|051910|2T|1301|1304|1305,PULLBACK,1306,1308.0,PULLBACK_HOLD,2024-07-02 09:00:00+09:00,2024-07-02 11:00:00+09:00
051910.KS,KRLEVEL_RR|051910|2T|3978|3980|3982,PULLBACK,3983,3985.0,PULLBACK_HOLD,2026-05-11 09:00:00+09:00,2026-05-11 11:00:00+09:00
006400.KS,KRLEVEL_RR|006400|3T|1540|1543|1544,PULLBACK,1545,1546.0,PULLBACK_HOLD,2024-08-27 14:00:00+09:00,2024-08-28 09:00:00+09:00
006400.KS,KRLEVEL_RR|006400|5T|2616|2622|2623,PULLBACK,2624,,NO_PULLBACK_HOLD,2025-05-30 09:00:00+09:00,
006400.KS,KRLEVEL_RR|006400|2T|2936|2939|2941,PULLBACK,2942,,NO_PULLBACK_HOLD,2025-08-18 09:00:00+09:00,
006400.KS,KRLEVEL_RR|006400|2T|3619|3622|3623,PULLBACK,3624,3625.0,PULLBACK_HOLD,2026-02-05 09:00:00+09:00,2026-02-05 10:00:00+09:00
006400.KS,KRLEVEL_RR|006400|5T|3720|3724|3726,PULLBACK,3727,3729.0,PULLBACK_HOLD,2026-03-06 10:00:00+09:00,2026-03-06 12:00:00+09:00
006400.KS,KRLEVEL_RR|006400|4T|3894|3896|3897,PULLBACK,3898,3899.0,PULLBACK_HOLD,2026-04-15 13:00:00+09:00,2026-04-15 14:00:00+09:00
005380.KS,KRLEVEL_RR|005380|3T|1894|1896|1898,PULLBACK,1899,1900.0,PULLBACK_HOLD,2024-11-27 09:00:00+09:00,2024-11-27 10:00:00+09:00
005380.KS,KRLEVEL_RR|005380|3T|2858|2860|2862,PULLBACK,2863,2864.0,PULLBACK_HOLD,2025-07-28 14:00:00+09:00,2025-07-29 09:00:00+09:00
005380.KS,KRLEVEL_RR|005380|2T|3618|3621|3623,PULLBACK,3624,3625.0,PULLBACK_HOLD,2026-02-05 09:00:00+09:00,2026-02-05 10:00:00+09:00
035420.KS,KRLEVEL_RR|035420|2T|1412|1416|1418,PULLBACK,1419,,NO_PULLBACK_HOLD,2024-07-26 14:00:00+09:00,
035420.KS,KRLEVEL_RR|035420|3T|1638|1643|1644,PULLBACK,1645,1646.0,PULLBACK_HOLD,2024-09-24 12:00:00+09:00,2024-09-24 13:00:00+09:00
035420.KS,KRLEVEL_RR|035420|5T|1798|1801|1803,PULLBACK,1804,1805.0,PULLBACK_HOLD,2024-11-05 09:00:00+09:00,2024-11-05 10:00:00+09:00
035420.KS,KRLEVEL_RR|035420|2T|3585|3586|3587,PULLBACK,3588,3589.0,PULLBACK_HOLD,2026-01-27 09:00:00+09:00,2026-01-27 10:00:00+09:00
035420.KS,KRLEVEL_RR|035420|5T|4322|4323|4325,PULLBACK,4326,4327.0,PULLBACK_HOLD,2026-08-03 09:00:00+09:00,2026-08-03 10:00:00+09:00
003670.KS,KRLEVEL_RR|003670|2T|2936|2940|2941,PULLBACK,2942,,NO_PULLBACK_HOLD,2025-08-18 09:00:00+09:00,
