strategy,regime_mode,add_policy,max_hold,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,active_stop,raw_first_entry,first_entry,R,level,touches,shares,cash_out,cash_in,buy_notional,sell_notional,commissions,taxes,added20,added60,entry_i,bars_held,last_mark,mfe_R,mae_R,peak_price,trail_pct,trail_samples,trail_armed,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
V031|PB_WIDE|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,000810.KS,000810,KOSPI,삼성화재,KRLEVEL_RR|000810|3T|412|418|419,2023-11-22 02:00:00+00:00,5000000,1,1000000.0,24146.41265948991,244451.32362879778,259986.23173431732,250000.0,250500.0,6048.676371202222,249500.0,3,0,751612.725,775329.45,751500.0,777000.0,229.27499999999998,1554.0,False,False,421,35,261000.0,3.5544966668016174,-0.16532542636286593,272000.0,0.044168265682656825,39,True,2023-11-30 00:00:00+00:00,259986.23173431732,stop,BE_OR_WIN,23716.724999999977,1,"[{""time"": ""2023-11-22 02:00:00+00:00"", ""raw_price"": 250000.0, ""price"": 250500.0, ""shares"": 3, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2023-11-30 00:00:00+00:00"", ""raw_price"": 259986.23173431732, ""price"": 259000.0, ""shares"": 3, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 116.54999999999998, ""stt"": 388.5, ""rural_tax"": 1165.5}]"
V031|PB_WIDE|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|2T|462|464|465,2023-12-04 01:00:00+00:00,5000000,1,1004743.3450000002,18089.62392045492,35990.14520227086,36785.22675608093,36600.0,36650.0,659.8547977291382,36500.0,2,0,989698.4325,1017058.6125,989550.0,1019250.0,301.31999999999994,2038.5,False,False,468,52,37800.0,1.8185819124597535,-0.6819682171724075,37850.0,0.02813139349852239,44,True,2023-12-14 04:00:00+00:00,37800.0,time,TIME,27360.18000000005,1,"[{""time"": ""2023-12-04 01:00:00+00:00"", ""raw_price"": 36600.0, ""price"": 36650.0, ""shares"": 27, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-14 04:00:00+00:00"", ""raw_price"": 37800.0, ""price"": 37750.0, ""shares"": 27, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 152.8875, ""stt"": 509.625, ""rural_tax"": 1528.875}]"
V031|PB_WIDE|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,010130.KS,010130,KOSPI,고려아연,KRLEVEL_RR|010130|2T|539|542|544,2023-12-21 01:00:00+00:00,5000000,1,1010215.381,29811.976986269285,48475.94973460996,48475.94973460996,49900.0,49950.0,1474.0502653900403,49700.0,2,0,999149.85,966112.4,999000.0,968000.0,295.04999999999995,1742.4,False,False,546,35,48600.0,0.3052813126972492,-0.9836842298022472,50400.0,0.04422592683462248,50,False,2024-01-03 00:00:00+00:00,48475.94973460996,stop,LOSS,-33037.44999999995,1,"[{""time"": ""2023-12-21 01:00:00+00:00"", ""raw_price"": 49900.0, ""price"": 49950.0, ""shares"": 20, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-01-03 00:00:00+00:00"", ""raw_price"": 48475.94973460996, ""price"": 48400.0, ""shares"": 20, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 145.2, ""stt"": 290.4, ""rural_tax"": 1452.0}]"
V031|PB_WIDE|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,000810.KS,000810,KOSPI,삼성화재,KRLEVEL_RR|000810|2T|694|698|699,2024-01-31 01:00:00+00:00,5000000,1,750736.4291355694,50180.394550000005,239355.1396967701,293242.4,256000.0,256500.0,17144.860303229914,255000.0,2,0,513076.95,583859.25,513000.0,585000.0,164.7,1053.0,False,False,701,19,293500.0,2.8579993731864297,-0.08748977673019684,305500.0,0.04012307692307691,40,True,2024-02-05 01:00:00+00:00,293242.4,stop,BE_OR_WIN,70782.29999999999,1,"[{""time"": ""2024-01-31 01:00:00+00:00"", ""raw_price"": 256000.0, ""price"": 256500.0, ""shares"": 2, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-02-05 01:00:00+00:00"", ""raw_price"": 293242.4, ""price"": 292500.0, ""shares"": 2, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 87.74999999999999, ""stt"": 175.49999999999997, ""rural_tax"": 877.5}]"
V031|PB_WIDE|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,009540.KS,009540,KOSPI,HD한국조선해양,KRLEVEL_RR|009540|3T|703|704|705,2024-02-01 01:00:00+00:00,5000000,1,1013392.501,29943.707822696262,110146.30354524794,116687.07967590146,113400.0,113500.0,3353.696454752062,112400.0,3,0,908136.2,930182.6,908000.0,932000.0,276.0,1677.6,False,False,707,42,117400.0,3.0712380022960297,-0.2683606021423715,123800.0,0.05745492992002058,50,True,2024-02-14 00:00:00+00:00,116687.07967590146,stop,BE_OR_WIN,22046.400000000023,1,"[{""time"": ""2024-02-01 01:00:00+00:00"", ""raw_price"": 113400.0, ""price"": 113500.0, ""shares"": 8, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-02-14 00:00:00+00:00"", ""raw_price"": 116687.07967590146, ""price"": 116500.0, ""shares"": 8, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 139.79999999999998, ""stt"": 279.59999999999997, ""rural_tax"": 1398.0}]"
V031|PB_WIDE|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,068270.KS,068270,KOSPI,셀트리온,KRLEVEL_RR|068270|4T|895|899|900,2024-03-21 04:00:00+00:00,5000000,1,1022173.6309999999,27635.881907409857,157133.62349341734,161500.0,161346.609375,161500.0,4366.376506582659,160823.3125,4,0,969145.35,962918.64,969000.0,964800.0,290.07,1736.64,False,False,902,20,160910.53125,1.442951321422132,-0.05510504525600627,167800.46875,0.04831563872447357,52,True,2024-03-27 00:00:00+00:00,160910.53125,gap_stop,BE_OR_WIN,-6226.709999999963,1,"[{""time"": ""2024-03-21 04:00:00+00:00"", ""raw_price"": 161346.609375, ""price"": 161500.0, ""shares"": 6, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-03-27 00:00:00+00:00"", ""raw_price"": 160910.53125, ""price"": 160800.0, ""shares"": 6, ""reason"": ""gap_stop"", ""slippage_ticks"": 1, ""commission"": 144.72, ""stt"": 289.44, ""rural_tax"": 1447.2}]"
V031|PB_WIDE|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,086790.KS,086790,KOSPI,하나금융지주,KRLEVEL_RR|086790|2T|1517|1523|1525,2024-08-22 05:00:00+00:00,5000000,1,842551.3382626836,51046.41445,62095.296853836306,62095.296853836306,66000.0,66100.0,4004.7031461636943,65500.0,2,0,793318.98,741351.5399999999,793200.0,742800.0,230.39999999999998,1337.04,False,False,1527,38,62400.0,0.7990604754475847,-0.9988255943094809,69300.0,0.038392279839648255,47,False,2024-09-02 00:00:00+00:00,62095.296853836306,stop,LOSS,-51967.44000000006,1,"[{""time"": ""2024-08-22 05:00:00+00:00"", ""raw_price"": 66000.0, ""price"": 66100.0, ""shares"": 12, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-09-02 00:00:00+00:00"", ""raw_price"": 62095.296853836306, ""price"": 61900.0, ""shares"": 12, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 111.41999999999999, ""stt"": 222.83999999999997, ""rural_tax"": 1114.2}]"
V031|PB_WIDE|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,035420.KS,035420,KOSPI,NAVER,KRLEVEL_RR|035420|3T|1638|1643|1644,2024-09-24 04:00:00+00:00,5000000,1,1010534.801,43629.03608392381,159407.1775416454,168611.49721780317,166500.0,166600.0,7192.822458354611,165400.0,3,0,999749.94,1006633.23,999600.0,1008600.0,301.23,1815.48,False,False,1646,26,168200.0,1.4875940650490727,-0.06951374135743331,177300.0,0.049004527818368955,52,True,2024-10-02 00:00:00+00:00,168200.0,gap_stop,BE_OR_WIN,6883.290000000037,1,"[{""time"": ""2024-09-24 04:00:00+00:00"", ""raw_price"": 166500.0, ""price"": 166600.0, ""shares"": 6, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-10-02 00:00:00+00:00"", ""raw_price"": 168200.0, ""price"": 168100.0, ""shares"": 6, ""reason"": ""gap_stop"", ""slippage_ticks"": 1, ""commission"": 151.29, ""stt"": 302.58, ""rural_tax"": 1512.9}]"
V031|PB_WIDE|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,011200.KS,011200,KOSPI,HMM,KRLEVEL_RR|011200|2T|1738|1740|1741,2024-10-21 05:00:00+00:00,5000000,1,1011911.459,43451.33570781962,16805.97607009675,16805.97607009675,17550.0,17560.0,754.023929903251,17425.0,2,0,1001070.138,955163.7915,1000920.0,957030.0,293.6925,1722.654,False,False,1743,22,16840.0,0.0,-0.9814012137452317,17560.0,0.051902109303352456,59,False,2024-10-25 02:00:00+00:00,16805.97607009675,stop,LOSS,-45906.346499999985,1,"[{""time"": ""2024-10-21 05:00:00+00:00"", ""raw_price"": 17550.0, ""price"": 17560.0, ""shares"": 57, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-10-25 02:00:00+00:00"", ""raw_price"": 16805.97607009675, ""price"": 16790.0, ""shares"": 57, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 143.5545, ""stt"": 287.109, ""rural_tax"": 1435.545}]"
V031|PB_WIDE|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,005380.KS,005380,KOSPI,현대차,KRLEVEL_RR|005380|3T|1894|1896|1898,2024-11-27 01:00:00+00:00,5000000,1,1002730.1897,38907.25670768062,213866.7059131341,213866.7059131341,222000.0,222500.0,8633.294086865906,220500.0,3,0,890133.5,830377.6,890000.0,832000.0,258.29999999999995,1497.6,False,False,1900,29,208500.0,0.4054072483554866,-0.9845604602918959,226000.0,0.06,44,False,2024-12-04 00:00:00+00:00,208500.0,gap_stop,LOSS,-59755.90000000002,1,"[{""time"": ""2024-11-27 01:00:00+00:00"", ""raw_price"": 222000.0, ""price"": 222500.0, ""shares"": 4, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-12-04 00:00:00+00:00"", ""raw_price"": 208500.0, ""price"": 208000.0, ""shares"": 4, ""reason"": ""gap_stop"", ""slippage_ticks"": 1, ""commission"": 124.79999999999998, ""stt"": 249.59999999999997, ""rural_tax"": 1248.0}]"
