strategy,regime_mode,add_policy,max_hold,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,active_stop,raw_first_entry,first_entry,R,level,touches,shares,cash_out,cash_in,buy_notional,sell_notional,commissions,taxes,added20,added60,entry_i,bars_held,last_mark,mfe_R,mae_R,peak_price,trail_pct,trail_samples,trail_armed,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
V031|PB_WIDE|STRUCTURAL|DIRECT|H26|5M|1T,STRUCTURAL,DIRECT,26,000810.KS,000810,KOSPI,삼성화재,KRLEVEL_RR|000810|3T|412|418|419,2023-11-22 02:00:00+00:00,5000000,1,1000000.0,24146.41265948991,244451.32362879778,259986.23173431732,250000.0,250500.0,6048.676371202222,249500.0,3,0,751612.725,809755.275,751500.0,811500.0,234.45,1623.0,False,False,421,26,271000.0,3.5544966668016174,-0.16532542636286593,272000.0,0.044168265682656825,39,True,2023-11-28 03:00:00+00:00,271000.0,time,TIME,58142.55000000005,1,"[{""time"": ""2023-11-22 02:00:00+00:00"", ""raw_price"": 250000.0, ""price"": 250500.0, ""shares"": 3, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2023-11-28 03:00:00+00:00"", ""raw_price"": 271000.0, ""price"": 270500.0, ""shares"": 3, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 121.725, ""stt"": 405.75, ""rural_tax"": 1217.25}]"
V031|PB_WIDE|STRUCTURAL|DIRECT|H26|5M|1T,STRUCTURAL,DIRECT,26,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|2T|462|464|465,2023-12-04 01:00:00+00:00,5000000,1,1011628.5100000002,18213.58597116179,35990.14520227086,35990.14520227086,36600.0,36650.0,659.8547977291382,36500.0,2,0,989698.4325,987422.4675,989550.0,989550.0,296.86499999999995,1979.1000000000001,False,False,468,26,36700.0,0.5304197244674281,-0.6819682171724075,37000.0,0.02813139349852239,44,False,2023-12-08 02:00:00+00:00,36700.0,time,TIME,-2275.9649999999674,1,"[{""time"": ""2023-12-04 01:00:00+00:00"", ""raw_price"": 36600.0, ""price"": 36650.0, ""shares"": 27, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-08 02:00:00+00:00"", ""raw_price"": 36700.0, ""price"": 36650.0, ""shares"": 27, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 148.43249999999998, ""stt"": 494.77500000000003, ""rural_tax"": 1484.325}]"
V031|PB_WIDE|STRUCTURAL|DIRECT|H26|5M|1T,STRUCTURAL,DIRECT,26,010130.KS,010130,KOSPI,고려아연,KRLEVEL_RR|010130|2T|539|542|544,2023-12-21 01:00:00+00:00,5000000,1,1011173.3170000003,29840.24617175531,48475.94973460996,48475.94973460996,49900.0,49950.0,1474.0502653900403,49700.0,2,0,999149.85,990865.05,999000.0,993000.0,298.79999999999995,1986.0,False,False,546,26,49700.0,0.3052813126972492,-0.5427223336839985,50400.0,0.04422592683462248,50,False,2023-12-28 02:00:00+00:00,49700.0,time,TIME,-8284.79999999993,1,"[{""time"": ""2023-12-21 01:00:00+00:00"", ""raw_price"": 49900.0, ""price"": 49950.0, ""shares"": 20, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-28 02:00:00+00:00"", ""raw_price"": 49700.0, ""price"": 49650.0, ""shares"": 20, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 148.95, ""stt"": 496.5, ""rural_tax"": 1489.5}]"
V031|PB_WIDE|STRUCTURAL|DIRECT|H26|5M|1T,STRUCTURAL,DIRECT,26,018260.KS,018260,KOSPI,삼성에스디에스,KRLEVEL_RR|018260|2T|822|825|826,2024-03-05 04:00:00+00:00,5000000,1,1009516.3570000003,17303.65145212717,156372.94072360094,156372.94072360094,159000.0,159100.0,2727.059276399057,159000.0,2,0,954743.19,935372.4600000001,954600.0,937200.0,283.77,1686.96,False,False,830,3,157700.0,0.07333907323939427,-0.2200172197181828,159300.0,0.05430378476889631,50,False,2024-03-06 00:00:00+00:00,156372.94072360094,stop,LOSS,-19370.729999999865,1,"[{""time"": ""2024-03-05 04:00:00+00:00"", ""raw_price"": 159000.0, ""price"": 159100.0, ""shares"": 6, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-03-06 00:00:00+00:00"", ""raw_price"": 156372.94072360094, ""price"": 156200.0, ""shares"": 6, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 140.57999999999998, ""stt"": 281.15999999999997, ""rural_tax"": 1405.8}]"
V031|PB_WIDE|STRUCTURAL|DIRECT|H26|5M|1T,STRUCTURAL,DIRECT,26,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|2T|836|841|842,2024-03-08 00:00:00+00:00,5000000,1,1005642.2110000004,40109.64269473731,44021.29084535444,48240.35316136857,45800.0,45850.0,1828.709154645563,45425.0,2,0,962994.4275,1037472.975,962850.0,1039500.0,300.35249999999996,1871.1,False,False,844,26,49550.0,2.0779684896018957,-0.46480874109516085,49650.0,0.028391678522284677,42,True,2024-03-14 01:00:00+00:00,49550.0,time,TIME,74478.54749999999,1,"[{""time"": ""2024-03-08 00:00:00+00:00"", ""raw_price"": 45800.0, ""price"": 45850.0, ""shares"": 21, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-03-14 01:00:00+00:00"", ""raw_price"": 49550.0, ""price"": 49500.0, ""shares"": 21, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 155.92499999999998, ""stt"": 311.84999999999997, ""rural_tax"": 1559.25}]"
V031|PB_WIDE|STRUCTURAL|DIRECT|H26|5M|1T,STRUCTURAL,DIRECT,26,068270.KS,068270,KOSPI,셀트리온,KRLEVEL_RR|068270|4T|895|899|900,2024-03-21 04:00:00+00:00,5000000,1,1020537.9205000002,27591.658205250293,157133.62349341734,161500.0,161346.609375,161500.0,4366.376506582659,160823.3125,4,0,969145.35,962918.64,969000.0,964800.0,290.07,1736.64,False,False,902,20,160910.53125,1.442951321422132,-0.05510504525600627,167800.46875,0.04831563872447357,52,True,2024-03-27 00:00:00+00:00,160910.53125,gap_stop,BE_OR_WIN,-6226.709999999963,1,"[{""time"": ""2024-03-21 04:00:00+00:00"", ""raw_price"": 161346.609375, ""price"": 161500.0, ""shares"": 6, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-03-27 00:00:00+00:00"", ""raw_price"": 160910.53125, ""price"": 160800.0, ""shares"": 6, ""reason"": ""gap_stop"", ""slippage_ticks"": 1, ""commission"": 144.72, ""stt"": 289.44, ""rural_tax"": 1447.2}]"
V031|PB_WIDE|STRUCTURAL|DIRECT|H26|5M|1T,STRUCTURAL,DIRECT,26,010130.KS,010130,KOSPI,고려아연,KRLEVEL_RR|010130|3T|1285|1286|1287,2024-06-27 02:00:00+00:00,5000000,1,1019292.5785000003,26054.05507495902,50475.94439383738,50475.94439383738,51700.0,51800.0,1324.0556061626194,51700.0,3,0,984347.63,953836.385,984200.0,955700.0,290.985,1720.26,False,False,1290,11,51000.0,0.302102115755758,-0.9063063472672741,52200.0,0.034927999584113106,46,False,2024-07-01 00:00:00+00:00,50475.94439383738,stop,LOSS,-30511.244999999995,1,"[{""time"": ""2024-06-27 02:00:00+00:00"", ""raw_price"": 51700.0, ""price"": 51800.0, ""shares"": 19, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-07-01 00:00:00+00:00"", ""raw_price"": 50475.94439383738, ""price"": 50300.0, ""shares"": 19, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 143.355, ""stt"": 286.71, ""rural_tax"": 1433.55}]"
V031|PB_WIDE|STRUCTURAL|DIRECT|H26|5M|1T,STRUCTURAL,DIRECT,26,051910.KS,051910,KOSPI,LG화학,KRLEVEL_RR|051910|2T|1301|1304|1305,2024-07-02 02:00:00+00:00,5000000,1,884250.1638706087,50659.51647500001,335604.42802050867,335604.42802050867,355500.0,356000.0,20395.57197949133,354000.0,2,0,712106.8,721590.15,712000.0,723000.0,215.25,1301.4,False,False,1308,26,362000.0,0.6619083796019479,-0.1716058761930976,369500.0,0.06,48,False,2024-07-08 03:00:00+00:00,362000.0,time,TIME,9483.349999999977,1,"[{""time"": ""2024-07-02 02:00:00+00:00"", ""raw_price"": 355500.0, ""price"": 356000.0, ""shares"": 2, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-07-08 03:00:00+00:00"", ""raw_price"": 362000.0, ""price"": 361500.0, ""shares"": 2, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 108.44999999999999, ""stt"": 216.89999999999998, ""rural_tax"": 1084.5}]"
V031|PB_WIDE|STRUCTURAL|DIRECT|H26|5M|1T,STRUCTURAL,DIRECT,26,329180.KS,329180,KOSPI,HD현대중공업,KRLEVEL_RR|329180|2T|1336|1339|1340,2024-07-10 01:00:00+00:00,5000000,1,1015086.9995000004,43771.88847575909,146976.56568039162,153600.0,153500.0,153600.0,6623.434319608379,152500.0,2,0,921738.24,919204.0499999999,921600.0,921000.0,276.39,1657.8,False,False,1343,13,155300.0,1.0417556311493663,-0.030195815395633804,160500.0,0.05835365948389701,52,True,2024-07-12 01:00:00+00:00,153600.0,stop,BE_OR_WIN,-2534.1900000000605,1,"[{""time"": ""2024-07-10 01:00:00+00:00"", ""raw_price"": 153500.0, ""price"": 153600.0, ""shares"": 6, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-07-12 01:00:00+00:00"", ""raw_price"": 153600.0, ""price"": 153500.0, ""shares"": 6, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 138.14999999999998, ""stt"": 276.29999999999995, ""rural_tax"": 1381.5}]"
V031|PB_WIDE|STRUCTURAL|DIRECT|H26|5M|1T,STRUCTURAL,DIRECT,26,086790.KS,086790,KOSPI,하나금융지주,KRLEVEL_RR|086790|2T|1517|1523|1525,2024-08-22 05:00:00+00:00,5000000,1,837312.3578384798,50729.00807500001,62095.296853836306,62095.296853836306,66000.0,66100.0,4004.7031461636943,65500.0,2,0,793318.98,762909.4199999999,793200.0,764400.0,233.64,1375.92,False,False,1527,26,63800.0,0.7990604754475847,-0.9988255943094809,69300.0,0.038392279839648255,47,False,2024-08-29 00:00:00+00:00,63800.0,time,TIME,-30409.560000000056,1,"[{""time"": ""2024-08-22 05:00:00+00:00"", ""raw_price"": 66000.0, ""price"": 66100.0, ""shares"": 12, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-08-29 00:00:00+00:00"", ""raw_price"": 63800.0, ""price"": 63700.0, ""shares"": 12, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 114.66, ""stt"": 229.32, ""rural_tax"": 1146.6000000000001}]"
