strategy,regime_mode,add_policy,max_hold,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,active_stop,raw_first_entry,first_entry,R,level,touches,shares,cash_out,cash_in,buy_notional,sell_notional,commissions,taxes,added20,added60,entry_i,bars_held,last_mark,mfe_R,mae_R,peak_price,trail_pct,trail_samples,trail_armed,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,009150.KS,009150,KOSPI,삼성전기,KRLEVEL_RR|009150|3T|393|398|400,2023-11-17 01:00:00+00:00,5000000,1,1000000.0,37028.174355776646,133853.08376454705,133853.08376454705,138900.0,139000.0,5146.916235452954,137200.0,3,0,973145.95,966717.0800000001,973000.0,968800.0,291.27,1937.6000000000001,False,False,402,26,138500.0,0.21372020636803593,-0.4857277417455362,140100.0,0.04957700208995021,39,False,2023-11-23 02:00:00+00:00,138500.0,time,TIME,-6428.869999999879,1,"[{""time"": ""2023-11-17 01:00:00+00:00"", ""raw_price"": 138900.0, ""price"": 139000.0, ""shares"": 7, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2023-11-23 02:00:00+00:00"", ""raw_price"": 138500.0, ""price"": 138400.0, ""shares"": 7, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 145.32, ""stt"": 484.40000000000003, ""rural_tax"": 1453.2}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,000810.KS,000810,KOSPI,삼성화재,KRLEVEL_RR|000810|3T|412|418|419,2023-11-22 02:00:00+00:00,5000000,1,997170.81,24078.09787025781,244451.32362879778,259986.23173431732,250000.0,250500.0,6048.676371202222,249500.0,3,0,751612.725,809755.275,751500.0,811500.0,234.45,1623.0,False,False,421,26,271000.0,3.5544966668016174,-0.16532542636286593,272000.0,0.044168265682656825,39,True,2023-11-28 03:00:00+00:00,271000.0,time,TIME,58142.55000000005,1,"[{""time"": ""2023-11-22 02:00:00+00:00"", ""raw_price"": 250000.0, ""price"": 250500.0, ""shares"": 3, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2023-11-28 03:00:00+00:00"", ""raw_price"": 271000.0, ""price"": 270500.0, ""shares"": 3, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 121.725, ""stt"": 405.75, ""rural_tax"": 1217.25}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|2T|462|464|465,2023-12-04 01:00:00+00:00,5000000,1,1010342.736,18190.43660846887,35990.14520227086,35990.14520227086,36600.0,36650.0,659.8547977291382,36500.0,2,0,989698.4325,987422.4675,989550.0,989550.0,296.86499999999995,1979.1000000000001,False,False,468,26,36700.0,0.5304197244674281,-0.6819682171724075,37000.0,0.02813139349852239,44,False,2023-12-08 02:00:00+00:00,36700.0,time,TIME,-2275.9649999999674,1,"[{""time"": ""2023-12-04 01:00:00+00:00"", ""raw_price"": 36600.0, ""price"": 36650.0, ""shares"": 27, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-08 02:00:00+00:00"", ""raw_price"": 36700.0, ""price"": 36650.0, ""shares"": 27, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 148.43249999999998, ""stt"": 494.77500000000003, ""rural_tax"": 1484.325}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,003550.KS,003550,KOSPI,LG,KRLEVEL_RR|003550|2T|516|518|519,2023-12-15 00:00:00+00:00,5000000,1,1009887.5430000001,29084.08449116317,82746.29709434182,82746.29709434182,85100.0,85200.0,2453.7029056581814,84900.0,2,0,937340.58,948356.6399999999,937200.0,950400.0,283.14,1900.8000000000002,False,False,521,26,86500.0,0.8558493349612332,-0.2445283814174952,87300.0,0.027143273150844496,46,False,2023-12-21 01:00:00+00:00,86500.0,time,TIME,11016.05999999994,1,"[{""time"": ""2023-12-15 00:00:00+00:00"", ""raw_price"": 85100.0, ""price"": 85200.0, ""shares"": 11, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-21 01:00:00+00:00"", ""raw_price"": 86500.0, ""price"": 86400.0, ""shares"": 11, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 142.55999999999997, ""stt"": 475.2, ""rural_tax"": 1425.6000000000001}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,010130.KS,010130,KOSPI,고려아연,KRLEVEL_RR|010130|2T|539|542|544,2023-12-21 01:00:00+00:00,5000000,1,1012059.427,29866.395734931775,48475.94973460996,48475.94973460996,49900.0,49950.0,1474.0502653900403,49700.0,2,0,999149.85,990865.05,999000.0,993000.0,298.79999999999995,1986.0,False,False,546,26,49700.0,0.3052813126972492,-0.5427223336839985,50400.0,0.04422592683462248,50,False,2023-12-28 02:00:00+00:00,49700.0,time,TIME,-8284.79999999993,1,"[{""time"": ""2023-12-21 01:00:00+00:00"", ""raw_price"": 49900.0, ""price"": 49950.0, ""shares"": 20, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-28 02:00:00+00:00"", ""raw_price"": 49700.0, ""price"": 49650.0, ""shares"": 20, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 148.95, ""stt"": 496.5, ""rural_tax"": 1489.5}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,042660.KS,042660,KOSPI,한화오션,KRLEVEL_RR|042660|2T|569|574|576,2024-01-03 00:00:00+00:00,5000000,1,962585.7073386543,50521.68975,24019.495271539578,24019.495271539578,25300.0,25350.0,1330.5047284604225,25125.0,2,0,938090.6925,884422.0075000001,937950.0,886150.0,273.615,1595.0700000000002,False,False,580,26,24150.0,0.0,-0.9770728146936233,25350.0,0.06,53,False,2024-01-09 01:00:00+00:00,24019.495271539578,stop,LOSS,-53668.68499999994,1,"[{""time"": ""2024-01-03 00:00:00+00:00"", ""raw_price"": 25300.0, ""price"": 25350.0, ""shares"": 37, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-01-09 01:00:00+00:00"", ""raw_price"": 24019.495271539578, ""price"": 23950.0, ""shares"": 37, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 132.92249999999999, ""stt"": 265.84499999999997, ""rural_tax"": 1329.2250000000001}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,034730.KS,034730,KOSPI,SK,KRLEVEL_RR|034730|2T|820|823|825,2024-03-05 01:00:00+00:00,5000000,1,699346.1533450455,49985.0029,182919.6400463482,182919.6400463482,196900.0,197000.0,14080.359953651787,191000.0,2,0,591088.65,559307.22,591000.0,560400.0,172.70999999999998,1008.72,False,False,827,26,186900.0,0.1207355497725823,-0.7812300279402384,198700.0,0.04117850936711589,57,False,2024-03-11 02:00:00+00:00,186900.0,time,TIME,-31781.43000000005,1,"[{""time"": ""2024-03-05 01:00:00+00:00"", ""raw_price"": 196900.0, ""price"": 197000.0, ""shares"": 3, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-03-11 02:00:00+00:00"", ""raw_price"": 186900.0, ""price"": 186800.0, ""shares"": 3, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 84.05999999999999, ""stt"": 168.11999999999998, ""rural_tax"": 840.6}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,068270.KS,068270,KOSPI,셀트리온,KRLEVEL_RR|068270|4T|895|899|900,2024-03-21 04:00:00+00:00,5000000,1,993343.7719999999,26856.426681244586,157133.62349341734,161500.0,161346.609375,161500.0,4366.376506582659,160823.3125,4,0,969145.35,962918.64,969000.0,964800.0,290.07,1736.64,False,False,902,20,160910.53125,1.442951321422132,-0.05510504525600627,167800.46875,0.04831563872447357,52,True,2024-03-27 00:00:00+00:00,160910.53125,gap_stop,BE_OR_WIN,-6226.709999999963,1,"[{""time"": ""2024-03-21 04:00:00+00:00"", ""raw_price"": 161346.609375, ""price"": 161500.0, ""shares"": 6, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-03-27 00:00:00+00:00"", ""raw_price"": 160910.53125, ""price"": 160800.0, ""shares"": 6, ""reason"": ""gap_stop"", ""slippage_ticks"": 1, ""commission"": 144.72, ""stt"": 289.44, ""rural_tax"": 1447.2}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|2T|1096|1099|1100,2024-05-13 01:00:00+00:00,5000000,1,604359.3683358826,49604.9215,45207.632971584484,45207.632971584484,49200.0,49250.0,4042.367028415516,47775.0,2,0,591088.65,586254.5700000001,591000.0,587400.0,176.76,1057.32,False,False,1103,26,49000.0,0.23501082245180763,-0.47002164490361525,50200.0,0.045990566037735846,41,False,2024-05-20 02:00:00+00:00,49000.0,time,TIME,-4834.079999999958,1,"[{""time"": ""2024-05-13 01:00:00+00:00"", ""raw_price"": 49200.0, ""price"": 49250.0, ""shares"": 12, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-05-20 02:00:00+00:00"", ""raw_price"": 49000.0, ""price"": 48950.0, ""shares"": 12, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 88.10999999999999, ""stt"": 176.21999999999997, ""rural_tax"": 881.1}]"
V031|RISK_ONLY|COMBINED|DIRECT|H26|5M|1T,COMBINED,DIRECT,26,096770.KS,096770,KOSPI,SK이노베이션,KRLEVEL_RR|096770|3T|1288|1292|1293,2024-06-28 01:00:00+00:00,5000000,1,767924.4041006744,49556.58069999999,105614.2073735991,105614.2073735991,112800.0,112900.0,7285.7926264009,110200.0,3,0,677501.61,676079.0700000001,677400.0,677400.0,203.21999999999997,1219.32,False,False,1295,26,113000.0,0.9607739828655981,-0.219605481797851,119900.0,0.05377032439475136,60,False,2024-07-04 02:00:00+00:00,113000.0,time,TIME,-1422.5399999999208,1,"[{""time"": ""2024-06-28 01:00:00+00:00"", ""raw_price"": 112800.0, ""price"": 112900.0, ""shares"": 6, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-07-04 02:00:00+00:00"", ""raw_price"": 113000.0, ""price"": 112900.0, ""shares"": 6, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 101.60999999999999, ""stt"": 203.21999999999997, ""rural_tax"": 1016.1}]"
