strategy,regime_mode,add_policy,max_hold,ticker,symbol,market,name,setup_id,entry_time,starting_equity,slippage_ticks,planned_seed,reserved_risk,structural_stop,active_stop,raw_first_entry,first_entry,R,level,touches,shares,cash_out,cash_in,buy_notional,sell_notional,commissions,taxes,added20,added60,entry_i,bars_held,last_mark,mfe_R,mae_R,peak_price,trail_pct,trail_samples,trail_armed,exit_time,exit_raw_price,exit_reason,status,pnl,fill_count,fill_detail,event_detail
V031|RISK_ONLY|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,009150.KS,009150,KOSPI,삼성전기,KRLEVEL_RR|009150|3T|393|398|400,2023-11-17 01:00:00+00:00,5000000,1,1000000.0,37028.174355776646,133853.08376454705,139712.18069277733,138900.0,139000.0,5146.916235452954,137200.0,3,0,973145.95,1026089.155,973000.0,1028300.0,300.19499999999994,2056.6,False,False,402,52,147000.0,1.5543287735857159,-0.4857277417455362,147000.0,0.04957700208995021,39,True,2023-11-29 04:00:00+00:00,147000.0,time,TIME,52943.205000000075,1,"[{""time"": ""2023-11-17 01:00:00+00:00"", ""raw_price"": 138900.0, ""price"": 139000.0, ""shares"": 7, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2023-11-29 04:00:00+00:00"", ""raw_price"": 147000.0, ""price"": 146900.0, ""shares"": 7, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 154.24499999999998, ""stt"": 514.15, ""rural_tax"": 1542.45}]"
V031|RISK_ONLY|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,000810.KS,000810,KOSPI,삼성화재,KRLEVEL_RR|000810|3T|412|418|419,2023-11-22 02:00:00+00:00,5000000,1,997170.81,24078.09787025781,244451.32362879778,259986.23173431732,250000.0,250500.0,6048.676371202222,249500.0,3,0,751612.725,775329.45,751500.0,777000.0,229.27499999999998,1554.0,False,False,421,35,261000.0,3.5544966668016174,-0.16532542636286593,272000.0,0.044168265682656825,39,True,2023-11-30 00:00:00+00:00,259986.23173431732,stop,BE_OR_WIN,23716.724999999977,1,"[{""time"": ""2023-11-22 02:00:00+00:00"", ""raw_price"": 250000.0, ""price"": 250500.0, ""shares"": 3, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2023-11-30 00:00:00+00:00"", ""raw_price"": 259986.23173431732, ""price"": 259000.0, ""shares"": 3, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 116.54999999999998, ""stt"": 388.5, ""rural_tax"": 1165.5}]"
V031|RISK_ONLY|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,055550.KS,055550,KOSPI,신한지주,KRLEVEL_RR|055550|2T|462|464|465,2023-12-04 01:00:00+00:00,5000000,1,1015331.986,18280.26418144486,35990.14520227086,36785.22675608093,36600.0,36650.0,659.8547977291382,36500.0,2,0,989698.4325,1017058.6125,989550.0,1019250.0,301.31999999999994,2038.5,False,False,468,52,37800.0,1.8185819124597535,-0.6819682171724075,37850.0,0.02813139349852239,44,True,2023-12-14 04:00:00+00:00,37800.0,time,TIME,27360.18000000005,1,"[{""time"": ""2023-12-04 01:00:00+00:00"", ""raw_price"": 36600.0, ""price"": 36650.0, ""shares"": 27, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-14 04:00:00+00:00"", ""raw_price"": 37800.0, ""price"": 37750.0, ""shares"": 27, ""reason"": ""time"", ""slippage_ticks"": 1, ""commission"": 152.8875, ""stt"": 509.625, ""rural_tax"": 1528.875}]"
V031|RISK_ONLY|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,003550.KS,003550,KOSPI,LG,KRLEVEL_RR|003550|2T|516|518|519,2023-12-15 00:00:00+00:00,5000000,1,1020804.0219999999,29398.47177099716,82746.29709434182,86000.53465346535,85100.0,85200.0,2453.7029056581814,84900.0,2,0,937340.58,932989.75,937200.0,935000.0,280.83,1870.0,False,False,521,42,85100.0,1.3041513675599743,-0.2445283814174952,88400.0,0.027143273150844496,46,True,2023-12-27 00:00:00+00:00,85100.0,gap_stop,BE_OR_WIN,-4350.829999999958,1,"[{""time"": ""2023-12-15 00:00:00+00:00"", ""raw_price"": 85100.0, ""price"": 85200.0, ""shares"": 11, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2023-12-27 00:00:00+00:00"", ""raw_price"": 85100.0, ""price"": 85000.0, ""shares"": 11, ""reason"": ""gap_stop"", ""slippage_ticks"": 1, ""commission"": 140.25, ""stt"": 467.5, ""rural_tax"": 1402.5}]"
V031|RISK_ONLY|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,010130.KS,010130,KOSPI,고려아연,KRLEVEL_RR|010130|2T|539|542|544,2023-12-21 01:00:00+00:00,5000000,1,1022975.906,30188.546661199536,48475.94973460996,48475.94973460996,49900.0,49950.0,1474.0502653900403,49700.0,2,0,999149.85,966112.4,999000.0,968000.0,295.04999999999995,1742.4,False,False,546,35,48600.0,0.3052813126972492,-0.9836842298022472,50400.0,0.04422592683462248,50,False,2024-01-03 00:00:00+00:00,48475.94973460996,stop,LOSS,-33037.44999999995,1,"[{""time"": ""2023-12-21 01:00:00+00:00"", ""raw_price"": 49900.0, ""price"": 49950.0, ""shares"": 20, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-01-03 00:00:00+00:00"", ""raw_price"": 48475.94973460996, ""price"": 48400.0, ""shares"": 20, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 145.2, ""stt"": 290.4, ""rural_tax"": 1452.0}]"
V031|RISK_ONLY|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,042660.KS,042660,KOSPI,한화오션,KRLEVEL_RR|042660|2T|569|574|576,2024-01-03 00:00:00+00:00,5000000,1,966463.0632263477,50725.194299999996,24019.495271539578,24019.495271539578,25300.0,25350.0,1330.5047284604225,25125.0,2,0,963444.495,908325.3049999999,963300.0,910100.0,281.01,1638.18,False,False,580,26,24150.0,0.0,-0.9770728146936233,25350.0,0.06,53,False,2024-01-09 01:00:00+00:00,24019.495271539578,stop,LOSS,-55119.19000000006,1,"[{""time"": ""2024-01-03 00:00:00+00:00"", ""raw_price"": 25300.0, ""price"": 25350.0, ""shares"": 38, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-01-09 01:00:00+00:00"", ""raw_price"": 24019.495271539578, ""price"": 23950.0, ""shares"": 38, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 136.515, ""stt"": 273.03, ""rural_tax"": 1365.15}]"
V031|RISK_ONLY|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,000810.KS,000810,KOSPI,삼성화재,KRLEVEL_RR|000810|2T|694|698|699,2024-01-31 01:00:00+00:00,5000000,1,749759.9685416123,50115.12639999999,239355.1396967701,293242.4,256000.0,256500.0,17144.860303229914,255000.0,2,0,513076.95,583859.25,513000.0,585000.0,164.7,1053.0,False,False,701,19,293500.0,2.8579993731864297,-0.08748977673019684,305500.0,0.04012307692307691,40,True,2024-02-05 01:00:00+00:00,293242.4,stop,BE_OR_WIN,70782.29999999999,1,"[{""time"": ""2024-01-31 01:00:00+00:00"", ""raw_price"": 256000.0, ""price"": 256500.0, ""shares"": 2, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-02-05 01:00:00+00:00"", ""raw_price"": 293242.4, ""price"": 292500.0, ""shares"": 2, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 87.74999999999999, ""stt"": 175.49999999999997, ""rural_tax"": 877.5}]"
V031|RISK_ONLY|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,009540.KS,009540,KOSPI,HD한국조선해양,KRLEVEL_RR|009540|3T|703|704|705,2024-02-01 01:00:00+00:00,5000000,1,1012087.1379999998,29905.136974544144,110146.30354524794,116687.07967590146,113400.0,113500.0,3353.696454752062,112400.0,3,0,908136.2,930182.6,908000.0,932000.0,276.0,1677.6,False,False,707,42,117400.0,3.0712380022960297,-0.2683606021423715,123800.0,0.05745492992002058,50,True,2024-02-14 00:00:00+00:00,116687.07967590146,stop,BE_OR_WIN,22046.400000000023,1,"[{""time"": ""2024-02-01 01:00:00+00:00"", ""raw_price"": 113400.0, ""price"": 113500.0, ""shares"": 8, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-02-14 00:00:00+00:00"", ""raw_price"": 116687.07967590146, ""price"": 116500.0, ""shares"": 8, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 139.79999999999998, ""stt"": 279.59999999999997, ""rural_tax"": 1398.0}]"
V031|RISK_ONLY|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,034730.KS,034730,KOSPI,SK,KRLEVEL_RR|034730|2T|820|823|825,2024-03-05 01:00:00+00:00,5000000,1,714154.5012272259,51043.41339999998,182919.6400463482,182919.6400463482,196900.0,197000.0,14080.359953651787,191000.0,2,0,591088.65,547330.62,591000.0,548400.0,170.90999999999997,987.12,False,False,827,31,183700.0,0.1207355497725823,-0.9800885805068446,198700.0,0.04117850936711589,57,False,2024-03-12 01:00:00+00:00,182919.6400463482,stop,LOSS,-43758.03000000003,1,"[{""time"": ""2024-03-05 01:00:00+00:00"", ""raw_price"": 196900.0, ""price"": 197000.0, ""shares"": 3, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-03-12 01:00:00+00:00"", ""raw_price"": 182919.6400463482, ""price"": 182800.0, ""shares"": 3, ""reason"": ""stop"", ""slippage_ticks"": 1, ""commission"": 82.25999999999999, ""stt"": 164.51999999999998, ""rural_tax"": 822.6}]"
V031|RISK_ONLY|FAST|DIRECT|H52|5M|1T,FAST,DIRECT,52,068270.KS,068270,KOSPI,셀트리온,KRLEVEL_RR|068270|4T|895|899|900,2024-03-21 04:00:00+00:00,5000000,1,1012116.6619999995,27363.97780110006,157133.62349341734,161500.0,161346.609375,161500.0,4366.376506582659,160823.3125,4,0,969145.35,962918.64,969000.0,964800.0,290.07,1736.64,False,False,902,20,160910.53125,1.442951321422132,-0.05510504525600627,167800.46875,0.04831563872447357,52,True,2024-03-27 00:00:00+00:00,160910.53125,gap_stop,BE_OR_WIN,-6226.709999999963,1,"[{""time"": ""2024-03-21 04:00:00+00:00"", ""raw_price"": 161346.609375, ""price"": 161500.0, ""shares"": 6, ""fraction"": 1.0, ""reason"": ""starter"", ""slippage_ticks"": 1}]","[{""time"": ""2024-03-27 00:00:00+00:00"", ""raw_price"": 160910.53125, ""price"": 160800.0, ""shares"": 6, ""reason"": ""gap_stop"", ""slippage_ticks"": 1, ""commission"": 144.72, ""stt"": 289.44, ""rural_tax"": 1447.2}]"
