label,period_type,period,trades,pnl,pf,winrate
BASELINE,year,2023,3,47581.78500000015,5.505524457745306,0.3333333333333333
BASELINE,year,2024,8,15553.003999999899,1.1102675832616098,0.375
BASELINE,year,2025,10,223304.20250000013,5.653928713074326,0.6
BASELINE,year,2026,6,475133.43500000006,11.349332029320667,0.6666666666666666
BASELINE,quarter,2023Q4,3,47581.78500000015,5.505524457745306,0.3333333333333333
BASELINE,quarter,2024Q1,3,127322.43,21.447785427617596,0.6666666666666666
BASELINE,quarter,2024Q3,2,-7357.859999999986,0.7580412212475296,0.5
BASELINE,quarter,2024Q4,3,-104411.56600000011,0.0,0.0
BASELINE,quarter,2025Q1,2,36927.92000000004,2.0186429328528117,0.5
BASELINE,quarter,2025Q2,3,74782.1000000001,34.025565609860685,0.6666666666666666
BASELINE,quarter,2025Q3,4,114438.72750000004,18.284519202885107,0.75
BASELINE,quarter,2025Q4,1,-2844.545000000042,0.0,0.0
BASELINE,quarter,2026Q1,2,167037.44999999995,inf,1.0
BASELINE,quarter,2026Q2,3,289183.32500000007,7.29897630287363,0.3333333333333333
BASELINE,quarter,2026Q3,1,18912.660000000033,inf,1.0
