ticker,rows,start,end,sha256
000270.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,df764b5b03f5f64ce4ee3bac8a05658df03db9ce265a33b7a4e7ffaacd37deaa
000660.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,e4534bf77a76e737d2c06b40dac4ed10736a78fae7380188412f938f0d3ebe6a
000810.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,704fa6e042ee193b858811f58a5d6d07b655c001b5ccdbbedb2ffc23a02aee60
003490.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,073996450c49db455268d63a697331183f66fbc9d0b7d5a9009aca50fd7a6fd8
003550.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,0238b22dce83730125d5d1f774d117796e0ffd999a5d852a5ec9a4d6eafadb76
003670.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,c0547a0c28bc65579d21dddee674631a6aa598d182942864cf9c7f32014f1b50
005380.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,53c8931eaa3c33b7a03a8047b007d3423adb76ebfd542283aa72326b1a9618e3
005490.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,b649a86e4280bf15be9c001bbb81a63271f95f3f6e9521c1e70cf9a59f000db9
005930.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,271f2d9079eb2b4e9ea9172c830a8989d46cc95a10babd0c791d56dab4f88f79
006400.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,b7e5bf85fefdc76235e74ea50f1d4e6de6967c139b377144894ad3807798679f
009150.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,07bc08fdbbc173cfa4206ba98ed39475f2dc98b78ae18ac7dde3cc40d55f17a8
009540.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,04253fc2a9b16d71e18a2ceb24a5f001558e88d663cef7890471f17fa0eedd27
010130.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,43829e176bf07afd4921dc1cd78462c5ddf5a720def96a11b6fd198bb23ed3e3
010950.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,ab60683603f50195cb6ba5c21f55ff14aea54296a3644b61d8880764cf5afd5b
011200.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,5e394a2054f27d2cd81ca3ea5b067433ec341f786782e5b72c05c736b79cc5a0
012330.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,6addf26bc24c068fc718b73d6f899b1c8abcf4848c479a090f56f2d5dc1a18ac
015760.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,820ba2224afe483d505e21c090cdd037bdb29d5b8cc7dc97a81839c4c61da748
017670.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,777936a128bc2227eda1c5d2cc6d2fb65c53d73a303055c670cec846583d199f
018260.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,c479fda5fb92180077c874a5c43929704c3ea587c2c7f9c5a37d7b1801831ac9
024110.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,29db3b3d1b84cee71cb5608af60fe093ce945fa01337ba66d4e9d74c73826a95
028260.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,c12fd95e3bf9ddfa57918e14a74585bf01cc5626a86d8c653e3de331e86f2dfd
032830.KS,4361,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,3e06c5e004775a1167d5a4393a0a735823e58541f65165182f6088fdbdf6e043
033780.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,134e8766e9826c956e33ae6de929ad0946a45c63d6f847136309b5a22f6e987e
034020.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,eb9d2ef5dc23bb719cb288b0d40530b5efbcd7479a7d85991f6d2b4079a3d4aa
034730.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,6c694324980121ae3e11deafee75ea6c78e94df7ca222c732a71144b4c12b154
035420.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,0bf3457fa18080b6563cfbf348acb6916d74b0f63b3fdb7e17491523b2910215
035720.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,0f60eb64b3c014d6a9259c2258efcb222ed834e2bb44bcbed2c68ba42a1ba007
042660.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,7f8a15c173eee00f676c713e92bbe05828ef72796f89e72a165c88669691970e
047050.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,a75c68a5d4bcd77f3e3c3a4604595f8fd2faa0c7b1d7c2cf9561d8d2975179ae
051910.KS,4361,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,91ff041579a4cee0d7d7da7c3aeb19f8fba1ec959143b26998a7d79e5bcdde32
055550.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,ff0ed36677385a7c8628f0d364bb03f31010a8f65b123c445b83f0a70edcddb2
066570.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,857f60ca87a8c306605cd208b807d59d13554783076830c2279c3e9898d3f097
068270.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,c00e7bb2f9eef4e174496bc3d5caaa868e697c33f6b471a8ec6ca9b49434cc36
086790.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,147915304a5119470ef848f88759a80c3b0c45ac1f6dc9380586193448bc7f38
096770.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,038f082a6e0d0ee8dd417ac0d6649ae1fa08d79edd038eddc6468caba51bf405
105560.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,13b48559c5a77ef8ff679d6f137ebef0829b8d9cb9a70519ef74ea6f67b1ff96
207940.KS,4261,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,f400a6896ccb0111b859c99df74d29dcebbf505fce8b1b9826e13226bc6fc552
259960.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,1bca4ca2db75ccf612472fc6d8bdc7fd052bf9e7f6ee20441ec3386363b136fb
316140.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,b5479169c8cb379cb0e492f4310900dabb662a922a8c34bcadaacbc2524e837e
323410.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,41654284ca2d00302bb1818e92773371a342974552b39f8aad22e9d352de1b33
329180.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,ebe2063224e81fdb7fee8da664c23b655c1588984047f430ab80ef95619b7000
352820.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,3be4ad7c6154d7bbe9a32d5852d7d2f1cb7a772be63a2f8789995e579d7e445f
373220.KS,4362,2023-08-08 09:00:00+09:00,2026-08-10 14:00:00+09:00,cec10d8fda34bf0b7ceba685d21293ddf0f588e9c05723a2af1bc9dbbf261956
