ticker,setup_id,entry_time,decision
000270.KS,KRLEVEL_RR|000270|3T|4255|4257|4259,2026-07-16 10:00:00+09:00,KEEP
000810.KS,KRLEVEL_RR|000810|3T|412|418|419,2023-11-22 11:00:00+09:00,KEEP
000810.KS,KRLEVEL_RR|000810|2T|694|698|699,2024-01-31 10:00:00+09:00,KEEP
000810.KS,KRLEVEL_RR|000810|2T|2895|2897|2898,2025-08-06 11:00:00+09:00,KEEP
003490.KS,KRLEVEL_RR|003490|2T|2778|2782|2784,2025-07-10 09:00:00+09:00,NOT_ACTIVE_TOP40
003490.KS,KRLEVEL_RR|003490|5T|4321|4324|4325,2026-08-03 10:00:00+09:00,NOT_ACTIVE_TOP40
003550.KS,KRLEVEL_RR|003550|3T|1162|1165|1167,2024-05-29 10:00:00+09:00,KEEP
003550.KS,KRLEVEL_RR|003550|2T|2508|2511|2512,2025-04-30 14:00:00+09:00,KEEP
003550.KS,KRLEVEL_RR|003550|3T|3016|3017|3019,2025-09-04 10:00:00+09:00,KEEP
005380.KS,KRLEVEL_RR|005380|3T|1894|1896|1898,2024-11-27 10:00:00+09:00,KEEP
005380.KS,KRLEVEL_RR|005380|2T|3618|3621|3623,2026-02-05 10:00:00+09:00,KEEP
005490.KS,KRLEVEL_RR|005490|2T|3415|3418|3420,2025-12-15 10:00:00+09:00,KEEP
005930.KS,KRLEVEL_RR|005930|2T|3636|3640|3642,2026-02-10 12:00:00+09:00,KEEP
005930.KS,KRLEVEL_RR|005930|2T|3912|3914|3916,2026-04-22 09:00:00+09:00,KEEP
006400.KS,KRLEVEL_RR|006400|2T|3619|3622|3623,2026-02-05 10:00:00+09:00,KEEP
006400.KS,KRLEVEL_RR|006400|5T|3720|3724|3726,2026-03-06 12:00:00+09:00,KEEP
006400.KS,KRLEVEL_RR|006400|4T|3894|3896|3897,2026-04-15 14:00:00+09:00,KEEP
009150.KS,KRLEVEL_RR|009150|2T|979|980|981,2024-04-11 11:00:00+09:00,KEEP
009150.KS,KRLEVEL_RR|009150|4T|2613|2619|2620,2025-05-29 13:00:00+09:00,KEEP
009540.KS,KRLEVEL_RR|009540|3T|703|704|705,2024-02-01 10:00:00+09:00,NOT_ACTIVE_TOP40
009540.KS,KRLEVEL_RR|009540|2T|1592|1597|1598,2024-09-10 09:00:00+09:00,NOT_ACTIVE_TOP40
009540.KS,KRLEVEL_RR|009540|2T|2704|2710|2711,2025-06-23 14:00:00+09:00,NOT_ACTIVE_TOP40
009540.KS,KRLEVEL_RR|009540|2T|3339|3341|3343,2025-11-26 11:00:00+09:00,NOT_ACTIVE_TOP40
010130.KS,KRLEVEL_RR|010130|2T|539|542|544,2023-12-21 10:00:00+09:00,KEEP
010130.KS,KRLEVEL_RR|010130|2T|1155|1157|1159,2024-05-27 14:00:00+09:00,KEEP
010130.KS,KRLEVEL_RR|010130|3T|1285|1286|1287,2024-06-27 11:00:00+09:00,KEEP
010950.KS,KRLEVEL_RR|010950|3T|2780|2782|2783,2025-07-09 14:00:00+09:00,NOT_ACTIVE_TOP40
010950.KS,KRLEVEL_RR|010950|3T|4098|4100|4102,2026-06-10 11:00:00+09:00,NOT_ACTIVE_TOP40
011200.KS,KRLEVEL_RR|011200|2T|1738|1740|1741,2024-10-21 14:00:00+09:00,KEEP
