label,period_type,period,trades,pnl,pf,winrate
DYNAMIC,year,2023,3,47581.78500000015,5.505524457745306,0.3333333333333333
DYNAMIC,year,2024,9,-24186.651999999944,0.8285216371557808,0.4444444444444444
DYNAMIC,year,2025,10,23263.675000000047,1.2896774566302693,0.4
DYNAMIC,year,2026,8,447020.2250000001,5.4879036640268355,0.625
DYNAMIC,quarter,2023Q4,3,47581.78500000015,5.505524457745306,0.3333333333333333
DYNAMIC,quarter,2024Q1,3,78212.7900000001,13.560853163227542,0.6666666666666666
DYNAMIC,quarter,2024Q3,3,2012.124000000069,1.0661674815419908,0.6666666666666666
DYNAMIC,quarter,2024Q4,3,-104411.56600000011,0.0,0.0
DYNAMIC,quarter,2025Q1,3,34502.17000000004,1.892040077227716,0.3333333333333333
DYNAMIC,quarter,2025Q2,2,-626.5200000000186,0.7233137693928025,0.5
DYNAMIC,quarter,2025Q3,3,-1986.6300000000047,0.9353759675485948,0.6666666666666666
DYNAMIC,quarter,2025Q4,2,-8625.344999999972,0.0,0.0
DYNAMIC,quarter,2026Q1,3,70197.34999999998,2.307310600417163,0.6666666666666666
DYNAMIC,quarter,2026Q2,4,330830.4750000001,8.206132380881321,0.5
DYNAMIC,quarter,2026Q3,1,45992.40000000002,inf,1.0
