symbol,name,marcap,yf_ticker,market,effective_date,source_date,rank
005930,삼성전자,403557300380000.0,005930.KS,KOSPI,2023-08-08,2023-08-08,1
373220,LG에너지솔루션,122850000000000.0,373220.KS,KOSPI,2023-08-08,2023-08-08,2
000660,SK하이닉스,86341080489000.0,000660.KS,KOSPI,2023-08-08,2023-08-08,3
207940,삼성바이오로직스,56227460000000.0,207940.KS,KOSPI,2023-08-08,2023-08-08,4
005490,POSCO홀딩스,50489024310000.0,005490.KS,KOSPI,2023-08-08,2023-08-08,5
051910,LG화학,43414290945000.0,051910.KS,KOSPI,2023-08-08,2023-08-08,6
006400,삼성SDI,42221421420000.0,006400.KS,KOSPI,2023-08-08,2023-08-08,7
005380,현대차,39852535730400.0,005380.KS,KOSPI,2023-08-08,2023-08-08,8
035420,NAVER,36582945955000.0,035420.KS,KOSPI,2023-08-08,2023-08-08,9
003670,포스코퓨처엠,34626059340000.0,003670.KS,KOSPI,2023-08-08,2023-08-08,10
000270,기아,31480061094900.0,000270.KS,KOSPI,2023-08-08,2023-08-08,11
035720,카카오,23012838422000.0,035720.KS,KOSPI,2023-08-08,2023-08-08,12
068270,셀트리온,21665847576000.0,068270.KS,KOSPI,2023-08-08,2023-08-08,13
012330,현대모비스,21449858885000.0,012330.KS,KOSPI,2023-08-08,2023-08-08,14
105560,KB금융,20901873529600.0,105560.KS,KOSPI,2023-08-08,2023-08-08,15
028260,삼성물산,19245856179000.0,028260.KS,KOSPI,2023-08-08,2023-08-08,16
055550,신한지주,18479074756700.0,055550.KS,KOSPI,2023-08-08,2023-08-08,17
096770,SK이노베이션,17688662393200.0,096770.KS,KOSPI,2023-08-08,2023-08-08,18
066570,LG전자,16757536153600.0,066570.KS,KOSPI,2023-08-08,2023-08-08,19
047050,포스코인터내셔널,15305282556000.0,047050.KS,KOSPI,2023-08-08,2023-08-08,20
032830,삼성생명,14240000000000.0,032830.KS,KOSPI,2023-08-08,2023-08-08,21
323410,카카오뱅크,13492509977100.0,323410.KS,KOSPI,2023-08-08,2023-08-08,22
003550,LG,13055982419000.0,003550.KS,KOSPI,2023-08-08,2023-08-08,23
015760,한국전력,12492620938420.0,015760.KS,KOSPI,2023-08-08,2023-08-08,24
329180,HD현대중공업,12028757218000.0,329180.KS,KOSPI,2023-08-08,2023-08-08,25
000810,삼성화재,11985833761000.0,000810.KS,KOSPI,2023-08-08,2023-08-08,26
033780,KT&G,11546298997700.0,033780.KS,KOSPI,2023-08-08,2023-08-08,27
086790,하나금융지주,11377488652200.0,086790.KS,KOSPI,2023-08-08,2023-08-08,28
352820,하이브,11329370384000.0,352820.KS,KOSPI,2023-08-08,2023-08-08,29
009150,삼성전기,11301156204800.0,009150.KS,KOSPI,2023-08-08,2023-08-08,30
034730,SK,11206664169900.0,034730.KS,KOSPI,2023-08-08,2023-08-08,31
034020,두산에너빌리티,10735804806960.0,034020.KS,KOSPI,2023-08-08,2023-08-08,32
018260,삼성에스디에스,10546594140000.0,018260.KS,KOSPI,2023-08-08,2023-08-08,33
017670,SK텔레콤,10175741196000.0,017670.KS,KOSPI,2023-08-08,2023-08-08,34
042660,한화오션,10084613053500.0,042660.KS,KOSPI,2023-08-08,2023-08-08,35
010130,고려아연,10030894790000.0,010130.KS,KOSPI,2023-08-08,2023-08-08,36
003490,대한항공,9039817227550.0,003490.KS,KOSPI,2023-08-08,2023-08-08,37
010950,S-Oil,8747682938400.0,010950.KS,KOSPI,2023-08-08,2023-08-08,38
009540,HD한국조선해양,8698015956400.0,009540.KS,KOSPI,2023-08-08,2023-08-08,39
011200,HMM,8460383280800.0,011200.KS,KOSPI,2023-08-08,2023-08-08,40
005930,삼성전자,468627930175000.0,005930.KS,KOSPI,2024-01-01,2023-12-28,1
000660,SK하이닉스,103012334647500.0,000660.KS,KOSPI,2024-01-01,2023-12-28,2
