regime,capital_krw,slippage_ticks,ending_equity,return_pct,trades,wins,losses,pf,max_dd_pct,commissions,taxes,pnl,trade_trades,trade_pnl,trade_pf,trade_winrate,trade_top1_share,trade_top3_share,trade_residual_top1,trade_residual_top3,rejects
FAST,5000000,0,5721343.687500001,0.14426873750000024,30,16,14,3.8655519220574166,0.023502622855444022,8050.7625,48055.55,721343.6874999999,30,721343.6874999999,3.8655519220574166,0.5333333333333333,0.35876043857434636,0.6604884634439679,383254.9374999999,98912.40749999986,34
FAST,5000000,1,5567141.293,0.11342825859999994,29,14,15,3.0413464431863537,0.02725979372595566,7685.499000000001,45733.208,567141.2930000003,29,567141.2930000003,3.0413464431863537,0.4827586206896552,0.39894137977357974,0.6562109237359667,232048.39300000016,15953.493000000017,35
FAST,5000000,2,5512119.579000002,0.10242391580000043,29,14,15,2.7052865812176585,0.03130214896646233,7624.388999999999,45276.032,512119.5789999999,29,512119.5789999999,2.7052865812176585,0.4827586206896552,0.40876879455083226,0.6636862212838308,180022.52899999998,-27080.67100000009,35
FAST,5000000,3,5463742.9615,0.09274859229999999,29,14,15,2.469764177583809,0.03271075547958846,7384.900499999999,44022.138,463742.9615,29,463742.9615,2.469764177583809,0.4827586206896552,0.42232258349101925,0.6749960704316571,134641.76150000002,-62257.83849999984,35
FAST,20000000,0,22866673.929000013,0.1433336964500007,35,17,18,3.0189866542902126,0.030467170863780257,38725.953,229500.11800000002,2866673.928999998,35,2866673.928999998,3.0189866542902126,0.4857142857142857,0.37863453757058857,0.6616947362990158,1345274.5539999981,207904.43399999803,29
FAST,20000000,1,22238315.011499994,0.1119157505749997,34,15,19,2.479210554923591,0.036002768986234335,37291.2015,220063.787,2238315.0115,34,2238315.0115,2.479210554923591,0.4411764705882353,0.3673264161899317,0.6495361586057476,897943.4114999995,-131838.02350000106,30
FAST,20000000,2,21927017.226,0.09635086129999992,34,15,19,2.1862373351682796,0.042731163666394845,36836.35799999999,216866.416,1927017.226,34,1927017.226,2.1862373351682796,0.4411764705882353,0.38270583778145223,0.6678124032622204,598629.0260000003,-390987.9589999991,30
FAST,20000000,3,21611572.768499993,0.08057863842499957,34,15,19,1.9139155688477034,0.05044549832634426,35914.05449999999,210863.17700000003,1611572.7684999993,34,1611572.7684999993,1.9139155688477034,0.4411764705882353,0.39740229188208653,0.6836615045533903,295167.9684999995,-653072.6665000003,30
STRUCTURAL,5000000,0,5462467.015,0.09249340299999997,28,11,17,2.6205561553209002,0.03821280491906054,7546.245,44486.740000000005,462467.0149999996,28,462467.0149999996,2.6205561553209002,0.39285714285714285,0.4607066494036962,0.6960222741430411,124378.2649999996,-48307.68500000035,36
STRUCTURAL,5000000,1,5397103.7925,0.07942075850000019,28,10,18,2.303639265810905,0.04197836441738323,7336.177500000001,43210.03,397103.79250000033,28,397103.79250000033,2.303639265810905,0.35714285714285715,0.4892273765512635,0.7125332829213575,62010.89250000019,-90940.93999999983,36
STRUCTURAL,5000000,2,5353836.6324999975,0.0707673264999995,28,10,18,2.0701353543268537,0.04859152854434956,7237.867499999999,42575.5,353836.63249999995,28,353836.63249999995,2.0701353543268537,0.35714285714285715,0.4941737774251071,0.7129538029385245,21739.58250000002,-125286.02750000008,36
STRUCTURAL,5000000,3,5360126.342499998,0.07202526849999957,28,11,17,1.959163600472994,0.049825262753501076,7252.8375,42670.82,360126.3424999998,28,360126.3424999998,1.959163600472994,0.39285714285714285,0.4555490704377585,0.6643821630820206,31025.14249999984,-119841.63750000019,36
STRUCTURAL,20000000,0,21549888.589999996,0.07749442949999974,34,13,21,1.9863258962292307,0.0531380961347796,35886.77999999999,209424.63,1549888.5900000003,34,1549888.5900000003,1.9863258962292307,0.38235294117647056,0.45208313638238085,0.6801980297000391,197533.59000000032,-484846.0249999999,30
STRUCTURAL,20000000,1,21274664.472499993,0.06373322362499967,35,12,23,1.7620630349515736,0.05921511888058295,34988.6325,203596.89500000002,1274664.472500002,35,1274664.472500002,1.7620630349515736,0.34285714285714286,0.4609092578061853,0.6861555149187106,14836.872500001453,-600840.6099999989,29
STRUCTURAL,20000000,2,20984601.367500007,0.049230068375000435,35,12,23,1.5622916421034432,0.06429719150278612,33928.462499999994,197220.16999999998,984601.3674999999,35,984601.3674999999,1.5622916421034432,0.34285714285714286,0.4909193542472474,0.7160231201510866,-260245.8324999998,-831051.9950000003,29
STRUCTURAL,20000000,3,20949900.122500002,0.04749500612500013,35,13,22,1.48296410806604,0.06668075540688734,34386.472499999996,199263.40500000003,949900.1225000008,35,949900.1225000008,1.48296410806604,0.37142857142857144,0.45352189219345534,0.671230327932698,-279966.67749999906,-870351.3574999997,29
