label,period_type,period,trades,pnl,pf,winrate
FAST,year,2023,3,47581.78500000015,5.505524457745306,0.3333333333333333
FAST,year,2024,9,-24186.651999999944,0.8285216371557808,0.4444444444444444
FAST,year,2025,10,23263.675000000047,1.2896774566302693,0.4
FAST,year,2026,7,520482.4850000001,12.337122702617032,0.7142857142857143
FAST,quarter,2023Q4,3,47581.78500000015,5.505524457745306,0.3333333333333333
FAST,quarter,2024Q1,3,78212.7900000001,13.560853163227542,0.6666666666666666
FAST,quarter,2024Q3,3,2012.124000000069,1.0661674815419908,0.6666666666666666
FAST,quarter,2024Q4,3,-104411.56600000011,0.0,0.0
FAST,quarter,2025Q1,3,34502.17000000004,1.892040077227716,0.3333333333333333
FAST,quarter,2025Q2,2,-626.5200000000186,0.7233137693928025,0.5
FAST,quarter,2025Q3,3,-1986.6300000000047,0.9353759675485948,0.6666666666666666
FAST,quarter,2025Q4,2,-8625.344999999972,0.0,0.0
FAST,quarter,2026Q1,2,143659.61,inf,1.0
FAST,quarter,2026Q2,4,330830.4750000001,8.206132380881321,0.5
FAST,quarter,2026Q3,1,45992.40000000002,inf,1.0
STRUCTURAL,year,2023,3,47581.78500000015,5.505524457745306,0.3333333333333333
STRUCTURAL,year,2024,7,-5090.537499999977,0.9428366276565039,0.2857142857142857
STRUCTURAL,year,2025,11,-87794.18999999994,0.30873759178631455,0.2727272727272727
STRUCTURAL,year,2026,7,442406.7350000001,6.672395733330938,0.5714285714285714
STRUCTURAL,quarter,2023Q4,3,47581.78500000015,5.505524457745306,0.3333333333333333
STRUCTURAL,quarter,2024Q1,3,48881.10750000016,2.9096092226410333,0.3333333333333333
STRUCTURAL,quarter,2024Q2,1,-30511.244999999995,0.0,0.0
STRUCTURAL,quarter,2024Q3,3,-23460.40000000014,0.28786492126731,0.3333333333333333
STRUCTURAL,quarter,2025Q1,3,-49203.45000000007,0.0,0.0
STRUCTURAL,quarter,2025Q2,3,30526.22999999998,14.481113952225142,0.6666666666666666
STRUCTURAL,quarter,2025Q3,2,-24320.54999999993,0.20886525803193587,0.5
STRUCTURAL,quarter,2025Q4,3,-44796.419999999925,0.0,0.0
STRUCTURAL,quarter,2026Q1,3,111576.26000000001,4.477699803792312,0.6666666666666666
STRUCTURAL,quarter,2026Q2,4,330830.4750000001,8.206132380881321,0.5
