yf_ticker,symbol,name,bars,first,last,setups,status
000270.KS,000270,기아,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,87,OK
000660.KS,000660,SK하이닉스,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,63,OK
000810.KS,000810,삼성화재,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,79,OK
003490.KS,003490,대한항공,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,70,OK
003550.KS,003550,LG,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,73,OK
003670.KS,003670,포스코퓨처엠,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,62,OK
005380.KS,005380,현대차,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,62,OK
005490.KS,005490,POSCO홀딩스,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,64,OK
005930.KS,005930,삼성전자,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,66,OK
006400.KS,006400,삼성SDI,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,70,OK
009150.KS,009150,삼성전기,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,76,OK
009540.KS,009540,HD한국조선해양,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,86,OK
010130.KS,010130,고려아연,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,68,OK
010140.KS,010140,삼성중공업,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,65,OK
010950.KS,010950,S-Oil,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,64,OK
011200.KS,011200,HMM,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,82,OK
012330.KS,012330,현대모비스,4367,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,71,OK
012450.KS,012450,한화에어로스페이스,4259,2023-08-10 09:00:00+09:00,2026-08-12 14:00:00+09:00,77,OK
