ticker,rows,start,end,sha256
000270.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,be2a1038db3483175b1148173e44c261a6f435e07df1053b2a3c475f3fcd440a
000660.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,2191ae20bc85fec1fbe9fe05cf72f5a4fda219e753605c2409fa2e83d52c9a19
000810.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,8b905d8cd78166c0f89c03a1d328a83e675ec5565feaaeb69574366330a16921
003490.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,536f4c0ad6df91839d2346cb4b4dee1b86b268c1367a48ec8a0e139ff4197d11
003550.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,82c7becf4337d4da41d816cd382894f86ed2c3ce180c846738cef5f503e1262d
003670.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,b8c4f45b1a4b00fcc68c11a998a552f96966b65d5222c8f081c6ca1a149d6e73
005380.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,c5c3dae409e256de7001d816249104e195d6a2da1ec1621d2dd88c0ab03640f3
005490.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,2d5cfc015b2e207c4611cff6cbe70d142d23ab864b4c8bc0709ec4677b6dc059
005930.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,3b61b3ab5cb72c18a789574ae96fe4136f2aafea92c088ed983c9ff6130e426a
006400.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,e5c000871722bd498b202a6fcd5d6f13cbeb632a6170b4af4d2d7e82297440d1
009150.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,6965b4646408275eabf138db5f43ce1fb493d7c8eba2b60366f193b2c39b486f
009540.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,4383cfd74361b09f30243fce19dfc052bdd01e32e90966960ead07b0deeee59f
010130.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,d1ffea2d8aef81b799207c7bd36e8ba6922564c4d947411c87e6559c15aa1e39
010140.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,78965c78f199cbf8056a520abfccbf925607a62190f4d15ef037cda58488e048
010950.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,b2a14d8911dc9bbd8f097a8cd3f39fdf03a4a3911a7c9673dcafde817b303bdb
011200.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,9d53049f3ec14e8148478c543475b08b530e31759dd632b704d32a8db7aa8be4
012330.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,3abf672a2dfcf6f552c79fb44b69d3c8d61e13d70225a3143b9f23ba0f16951b
012450.KS,4259,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,541ab1149d6555aefe48dd3bdab9bddc564121ac1e97418738a95c074f02435e
0126Z0.KS,1036,2025-11-25 09:00:00+09:00,2026-08-11 14:00:00+09:00,a808f5fc983210de28f0ecf424d163dcd444e5e0214a5f675a098ec5178314a0
015760.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,c5f17b11b47ecf7febd0d60a24d39f8659c2dbb8c3445deb93d1dab9a2550e20
017670.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,3cce28d9a7a9bf67a493dfcd0daea8adaa0be56b991309a077873882ce3f63e7
018260.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,998a3e2704f5ed6df1e07cbc77f40bfb1c40ed30ad82da6656cb7ae9a38f80b9
024110.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,3de623193d316a5a9b6b2c7bf5bee23ab8f751c862c30c27bf59055a83044f29
028260.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,59e7641fb4bcfa5ed6995bfd965ae6f75861554f2e769f38ca90d013c29a791e
030200.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,307fd2c4908a822d24e85489b1a50f856d437d2e092f6fbc9610da0e5fb65181
032830.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,4f6e2e9aad4a4291d688af22e0cd4abdf9131011ee39ab40d09259336a884b4f
033780.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,41d4fda56768194efb2af787d8d6b09a976d2af12862ee3aa8798e6b069161d9
034020.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,e57d7b8e3fafca9428953d62d90833939461553df5fb6b884eb494e0f70b6a61
034730.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,d42125a3b81f9f58fd45b31bec0a8c60988ed9f2f76cc93b8e9927f15783cbb1
035420.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,2d5729ce06a157bdf24eda9c07257bc08d3c27470a71f6f770b5eca33e39857a
035720.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,104d4a39dcea14c0b5f7104fc7fd75e0793ff4791a2f9c1a9ccd80887c70ddb9
042660.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,9682b65f8b56af9ef52ce879671ed2c1a3f81c987a6cce97bc1716bf936dc59b
047050.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,10c1127e3d8fe90e25d3ece7a05137cf27a8c77cf33192015f77a83dd34a3682
051910.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,8945490ace901d2a81786fe95a4f12b7a7b1cdff03a634957252a35887d73d2d
055550.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,d6ef0997ec448d8cf40f7d93aecb1efff674e266d7588e789d58aedf19e69711
064350.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,49d531d5d24b10c6531f624b6d201b3c28cdddaec71a31b10c7c8116cf129cf3
066570.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,9315766dccf319ea12fd3dfe81992a9eb5c007dcd55eb5cea67b75e1660b97aa
068270.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,2e6484b27bc63eaf145908b5c265d1e29d612eaddae0831c6929b2436035bce1
086790.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,67a8a4e24c5e926035b263133f1f0dd841cd330a1057283594179e441e949222
096770.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,aff994cd6c8920c07fafd43e8db118fe34d6434e371e566ef2bcc464b1b4d640
105560.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,d98eda99afeb3f278f015f660aa53e576f601ffc63925875fb018d9303dd4d61
207940.KS,4266,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,348da959c08736d668fafec632f97526f8e4621be5d363f375cc3a78d201e9ee
259960.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,7ce8c221c5fc4dd2d5e0f2b08bbba2fef4fa073b43607f540242562fac9fe8c4
267260.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,220bc8da6a514a97aa211da55faf9f99e3b09828c223577d2de3d1c912982b60
298040.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,0d11ce16a08dae93f635a9d81a7b5be5f67f3c3b80f32893cbd5222730c33f12
316140.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,2b2996a05b69e28dc5dc5ac78253adf12ae84b3e58065f30dfa759a799e3e970
323410.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,054b62de1030b114f5deda704afafe846f7c30f7bb1d2127c64d91df86e6a997
329180.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,8e2eae558143071e7665098e2f4b71d75dc760a6c4ab39a261dfe1c2b3f06b42
352820.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,4ccc3894da3a68a7a5d2e7fdd712c6b64975f05fe9eaadcba853dad553b0fa72
373220.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,5f47253e9ae69878bcdd4bb2d3850a95375e9560b89d52f3757d31ca433c984b
402340.KS,4367,2023-08-09 09:00:00+09:00,2026-08-11 14:00:00+09:00,90b11024d301c1965fd479de784efae1d790ef86964a5dce2cb91cdf0a287f17
