ticker,setup_id,entry_time,decision
000270.KS,KRLEVEL_RR|000270|3T|4219|4221|4223,2026-07-16 10:00:00+09:00,KEEP
000810.KS,KRLEVEL_RR|000810|3T|376|382|383,2023-11-22 11:00:00+09:00,KEEP
000810.KS,KRLEVEL_RR|000810|2T|658|662|663,2024-01-31 10:00:00+09:00,KEEP
000810.KS,KRLEVEL_RR|000810|2T|2859|2861|2862,2025-08-06 11:00:00+09:00,KEEP
003490.KS,KRLEVEL_RR|003490|2T|2742|2746|2748,2025-07-10 09:00:00+09:00,NOT_ACTIVE_TOP40
003490.KS,KRLEVEL_RR|003490|5T|4285|4288|4289,2026-08-03 10:00:00+09:00,NOT_ACTIVE_TOP40
003550.KS,KRLEVEL_RR|003550|3T|1126|1129|1131,2024-05-29 10:00:00+09:00,KEEP
003550.KS,KRLEVEL_RR|003550|2T|2472|2475|2476,2025-04-30 14:00:00+09:00,KEEP
003550.KS,KRLEVEL_RR|003550|3T|2980|2981|2983,2025-09-04 10:00:00+09:00,KEEP
003550.KS,KRLEVEL_RR|003550|4T|4285|4288|4289,2026-08-03 10:00:00+09:00,NOT_ACTIVE_TOP40
003670.KS,KRLEVEL_RR|003670|3T|4332|4334|4336,2026-08-13 09:00:00+09:00,KEEP
005380.KS,KRLEVEL_RR|005380|3T|1858|1860|1862,2024-11-27 10:00:00+09:00,KEEP
005380.KS,KRLEVEL_RR|005380|2T|3582|3585|3587,2026-02-05 10:00:00+09:00,KEEP
005490.KS,KRLEVEL_RR|005490|2T|3379|3382|3384,2025-12-15 10:00:00+09:00,KEEP
005930.KS,KRLEVEL_RR|005930|2T|3600|3604|3606,2026-02-10 12:00:00+09:00,KEEP
005930.KS,KRLEVEL_RR|005930|2T|3876|3878|3880,2026-04-22 09:00:00+09:00,KEEP
006400.KS,KRLEVEL_RR|006400|2T|3583|3586|3587,2026-02-05 10:00:00+09:00,KEEP
006400.KS,KRLEVEL_RR|006400|5T|3684|3688|3690,2026-03-06 12:00:00+09:00,KEEP
006400.KS,KRLEVEL_RR|006400|4T|3858|3860|3861,2026-04-15 14:00:00+09:00,KEEP
009150.KS,KRLEVEL_RR|009150|2T|943|944|945,2024-04-11 11:00:00+09:00,KEEP
009150.KS,KRLEVEL_RR|009150|4T|2577|2583|2584,2025-05-29 13:00:00+09:00,NOT_ACTIVE_TOP40
009540.KS,KRLEVEL_RR|009540|3T|667|668|669,2024-02-01 10:00:00+09:00,NOT_ACTIVE_TOP40
009540.KS,KRLEVEL_RR|009540|2T|1556|1561|1562,2024-09-10 09:00:00+09:00,NOT_ACTIVE_TOP40
009540.KS,KRLEVEL_RR|009540|2T|2668|2674|2675,2025-06-23 14:00:00+09:00,KEEP
009540.KS,KRLEVEL_RR|009540|2T|3303|3305|3307,2025-11-26 11:00:00+09:00,KEEP
010130.KS,KRLEVEL_RR|010130|2T|503|506|508,2023-12-21 10:00:00+09:00,KEEP
010130.KS,KRLEVEL_RR|010130|2T|1119|1121|1123,2024-05-27 14:00:00+09:00,KEEP
010130.KS,KRLEVEL_RR|010130|3T|1249|1250|1251,2024-06-27 11:00:00+09:00,KEEP
010950.KS,KRLEVEL_RR|010950|3T|2744|2746|2747,2025-07-09 14:00:00+09:00,NOT_ACTIVE_TOP40
010950.KS,KRLEVEL_RR|010950|3T|4062|4064|4066,2026-06-10 11:00:00+09:00,NOT_ACTIVE_TOP40
011200.KS,KRLEVEL_RR|011200|2T|1702|1704|1705,2024-10-21 14:00:00+09:00,KEEP
012330.KS,KRLEVEL_RR|012330|5T|3642|3646|3648,2026-02-24 11:00:00+09:00,KEEP
012330.KS,KRLEVEL_RR|012330|2T|4080|4084|4086,2026-06-15 12:00:00+09:00,KEEP
0126Z0.KS,KRLEVEL_RR|0126Z0|4T|540|542|544,2026-04-13 11:00:00+09:00,KEEP
0126Z0.KS,KRLEVEL_RR|0126Z0|2T|985|987|988,2026-08-03 11:00:00+09:00,KEEP
018260.KS,KRLEVEL_RR|018260|2T|786|789|790,2024-03-05 13:00:00+09:00,KEEP
018260.KS,KRLEVEL_RR|018260|3T|1868|1870|1872,2024-11-28 14:00:00+09:00,KEEP
018260.KS,KRLEVEL_RR|018260|7T|1929|1932|1934,2024-12-13 10:00:00+09:00,KEEP
018260.KS,KRLEVEL_RR|018260|2T|2505|2507|2509,2025-05-13 10:00:00+09:00,NOT_ACTIVE_TOP40
018260.KS,KRLEVEL_RR|018260|2T|3086|3090|3091,2025-09-30 10:00:00+09:00,NOT_ACTIVE_TOP40
030200.KS,KRLEVEL_RR|030200|3T|3249|3252|3253,2025-11-13 11:00:00+09:00,KEEP
030200.KS,KRLEVEL_RR|030200|4T|4149|4150|4151,2026-06-30 10:00:00+09:00,NOT_ACTIVE_TOP40
034730.KS,KRLEVEL_RR|034730|2T|3604|3610|3611,2026-02-11 10:00:00+09:00,KEEP
035420.KS,KRLEVEL_RR|035420|3T|1602|1607|1608,2024-09-24 13:00:00+09:00,KEEP
035420.KS,KRLEVEL_RR|035420|5T|1762|1765|1767,2024-11-05 10:00:00+09:00,KEEP
035420.KS,KRLEVEL_RR|035420|5T|4286|4287|4289,2026-08-03 10:00:00+09:00,KEEP
042660.KS,KRLEVEL_RR|042660|4T|4284|4287|4289,2026-08-03 10:00:00+09:00,KEEP
051910.KS,KRLEVEL_RR|051910|2T|1265|1268|1269,2024-07-02 11:00:00+09:00,KEEP
051910.KS,KRLEVEL_RR|051910|2T|3942|3944|3946,2026-05-11 11:00:00+09:00,KEEP
055550.KS,KRLEVEL_RR|055550|2T|426|428|429,2023-12-04 10:00:00+09:00,KEEP
055550.KS,KRLEVEL_RR|055550|2T|800|805|806,2024-03-08 09:00:00+09:00,KEEP
064350.KS,KRLEVEL_RR|064350|2T|2230|2232|2233,2025-03-05 10:00:00+09:00,NOT_ACTIVE_TOP40
068270.KS,KRLEVEL_RR|068270|3T|622|624|625,2024-01-22 14:00:00+09:00,KEEP
068270.KS,KRLEVEL_RR|068270|4T|859|863|864,2024-03-21 13:00:00+09:00,KEEP
068270.KS,KRLEVEL_RR|068270|2T|2621|2627|2629,2025-06-12 10:00:00+09:00,KEEP
068270.KS,KRLEVEL_RR|068270|2T|2644|2646|2647,2025-06-17 10:00:00+09:00,KEEP
068270.KS,KRLEVEL_RR|068270|4T|4165|4168|4170,2026-07-03 11:00:00+09:00,KEEP
086790.KS,KRLEVEL_RR|086790|2T|1481|1487|1489,2024-08-22 14:00:00+09:00,KEEP
086790.KS,KRLEVEL_RR|086790|2T|3165|3169|3170,2025-10-24 12:00:00+09:00,KEEP
086790.KS,KRLEVEL_RR|086790|5T|4172|4175|4176,2026-07-06 11:00:00+09:00,KEEP
086790.KS,KRLEVEL_RR|086790|4T|4285|4288|4289,2026-08-03 10:00:00+09:00,KEEP
096770.KS,KRLEVEL_RR|096770|3T|2207|2211|2213,2025-02-26 14:00:00+09:00,KEEP
096770.KS,KRLEVEL_RR|096770|2T|2243|2247|2248,2025-03-07 13:00:00+09:00,KEEP
207940.KS,KRLEVEL_RR|207940|3T|2291|2297|2298,2025-03-20 11:00:00+09:00,KEEP
207940.KS,KRLEVEL_RR|207940|3T|2828|2832|2833,2025-07-30 10:00:00+09:00,KEEP
207940.KS,KRLEVEL_RR|207940|3T|3242|3244|3245,2025-12-04 14:00:00+09:00,KEEP
207940.KS,KRLEVEL_RR|207940|3T|3499|3504|3506,2026-02-10 13:00:00+09:00,KEEP
259960.KS,KRLEVEL_RR|259960|3T|491|497|498,2023-12-19 12:00:00+09:00,NOT_ACTIVE_TOP40
259960.KS,KRLEVEL_RR|259960|2T|643|644|645,2024-01-26 10:00:00+09:00,KEEP
259960.KS,KRLEVEL_RR|259960|2T|3981|3982|3983,2026-05-19 10:00:00+09:00,NOT_ACTIVE_TOP40
267260.KS,KRLEVEL_RR|267260|3T|1918|1921|1922,2024-12-11 10:00:00+09:00,NOT_ACTIVE_TOP40
267260.KS,KRLEVEL_RR|267260|5T|2010|2016|2018,2025-01-07 11:00:00+09:00,KEEP
267260.KS,KRLEVEL_RR|267260|3T|2830|2836|2837,2025-07-30 14:00:00+09:00,KEEP
298040.KS,KRLEVEL_RR|298040|2T|736|738|739,2024-02-20 14:00:00+09:00,NOT_ACTIVE_TOP40
298040.KS,KRLEVEL_RR|298040|3T|1888|1890|1892,2024-12-04 10:00:00+09:00,NOT_ACTIVE_TOP40
298040.KS,KRLEVEL_RR|298040|3T|2390|2393|2395,2025-04-11 11:00:00+09:00,NOT_ACTIVE_TOP40
298040.KS,KRLEVEL_RR|298040|2T|3353|3357|3358,2025-12-08 14:00:00+09:00,NOT_ACTIVE_TOP40
316140.KS,KRLEVEL_RR|316140|2T|1590|1593|1594,2024-09-20 11:00:00+09:00,KEEP
329180.KS,KRLEVEL_RR|329180|2T|1300|1303|1304,2024-07-10 10:00:00+09:00,KEEP
329180.KS,KRLEVEL_RR|329180|2T|1429|1430|1432,2024-08-08 11:00:00+09:00,KEEP
373220.KS,KRLEVEL_RR|373220|3T|1486|1489|1490,2024-08-23 10:00:00+09:00,KEEP
373220.KS,KRLEVEL_RR|373220|2T|2300|2302|2303,2025-03-20 14:00:00+09:00,KEEP
373220.KS,KRLEVEL_RR|373220|3T|3684|3687|3689,2026-03-06 10:00:00+09:00,KEEP
402340.KS,KRLEVEL_RR|402340|3T|503|505|506,2023-12-21 10:00:00+09:00,NOT_ACTIVE_TOP40
402340.KS,KRLEVEL_RR|402340|2T|4065|4066|4067,2026-06-10 10:00:00+09:00,KEEP
