ticker,setup_id,entry_time,decision
000810.KS,KRLEVEL_RR|000810|3T|406|412|413,2023-11-22 11:00:00+09:00,OUTSIDE_REPLAY
000810.KS,KRLEVEL_RR|000810|2T|688|692|693,2024-01-31 10:00:00+09:00,OUTSIDE_REPLAY
000810.KS,KRLEVEL_RR|000810|2T|2889|2891|2892,2025-08-06 11:00:00+09:00,OUTSIDE_REPLAY
003550.KS,KRLEVEL_RR|003550|3T|1156|1159|1161,2024-05-29 10:00:00+09:00,OUTSIDE_REPLAY
003550.KS,KRLEVEL_RR|003550|2T|2502|2505|2506,2025-04-30 14:00:00+09:00,OUTSIDE_REPLAY
003550.KS,KRLEVEL_RR|003550|3T|3010|3011|3013,2025-09-04 10:00:00+09:00,OUTSIDE_REPLAY
005380.KS,KRLEVEL_RR|005380|3T|1888|1890|1892,2024-11-27 10:00:00+09:00,OUTSIDE_REPLAY
005380.KS,KRLEVEL_RR|005380|2T|3612|3615|3617,2026-02-05 10:00:00+09:00,KEEP_REPLAY
005490.KS,KRLEVEL_RR|005490|2T|3409|3412|3414,2025-12-15 10:00:00+09:00,OUTSIDE_REPLAY
005930.KS,KRLEVEL_RR|005930|2T|3630|3634|3636,2026-02-10 12:00:00+09:00,KEEP_REPLAY
005930.KS,KRLEVEL_RR|005930|2T|3906|3908|3910,2026-04-22 09:00:00+09:00,KEEP_REPLAY
006400.KS,KRLEVEL_RR|006400|2T|3613|3616|3617,2026-02-05 10:00:00+09:00,KEEP_REPLAY
006400.KS,KRLEVEL_RR|006400|5T|3714|3718|3720,2026-03-06 12:00:00+09:00,KEEP_REPLAY
006400.KS,KRLEVEL_RR|006400|4T|3888|3890|3891,2026-04-15 14:00:00+09:00,KEEP_REPLAY
009150.KS,KRLEVEL_RR|009150|2T|973|974|975,2024-04-11 11:00:00+09:00,OUTSIDE_REPLAY
009540.KS,KRLEVEL_RR|009540|2T|2698|2704|2705,2025-06-23 14:00:00+09:00,OUTSIDE_REPLAY
009540.KS,KRLEVEL_RR|009540|2T|3333|3335|3337,2025-11-26 11:00:00+09:00,OUTSIDE_REPLAY
010130.KS,KRLEVEL_RR|010130|2T|533|536|538,2023-12-21 10:00:00+09:00,OUTSIDE_REPLAY
010130.KS,KRLEVEL_RR|010130|2T|1149|1151|1153,2024-05-27 14:00:00+09:00,OUTSIDE_REPLAY
010130.KS,KRLEVEL_RR|010130|3T|1279|1280|1281,2024-06-27 11:00:00+09:00,OUTSIDE_REPLAY
011200.KS,KRLEVEL_RR|011200|2T|1732|1734|1735,2024-10-21 14:00:00+09:00,OUTSIDE_REPLAY
012330.KS,KRLEVEL_RR|012330|5T|3672|3676|3678,2026-02-24 11:00:00+09:00,KEEP_REPLAY
012330.KS,KRLEVEL_RR|012330|2T|4110|4114|4116,2026-06-15 12:00:00+09:00,KEEP_REPLAY
0126Z0.KS,KRLEVEL_RR|0126Z0|4T|540|542|544,2026-04-13 11:00:00+09:00,KEEP_REPLAY
018260.KS,KRLEVEL_RR|018260|2T|816|819|820,2024-03-05 13:00:00+09:00,OUTSIDE_REPLAY
018260.KS,KRLEVEL_RR|018260|3T|1898|1900|1902,2024-11-28 14:00:00+09:00,OUTSIDE_REPLAY
018260.KS,KRLEVEL_RR|018260|7T|1959|1962|1964,2024-12-13 10:00:00+09:00,OUTSIDE_REPLAY
030200.KS,KRLEVEL_RR|030200|3T|3279|3282|3283,2025-11-13 11:00:00+09:00,OUTSIDE_REPLAY
034730.KS,KRLEVEL_RR|034730|2T|3634|3640|3641,2026-02-11 10:00:00+09:00,KEEP_REPLAY
035420.KS,KRLEVEL_RR|035420|3T|1632|1637|1638,2024-09-24 13:00:00+09:00,OUTSIDE_REPLAY
035420.KS,KRLEVEL_RR|035420|5T|1792|1795|1797,2024-11-05 10:00:00+09:00,OUTSIDE_REPLAY
051910.KS,KRLEVEL_RR|051910|2T|1295|1298|1299,2024-07-02 11:00:00+09:00,OUTSIDE_REPLAY
051910.KS,KRLEVEL_RR|051910|2T|3972|3974|3976,2026-05-11 11:00:00+09:00,KEEP_REPLAY
055550.KS,KRLEVEL_RR|055550|2T|456|458|459,2023-12-04 10:00:00+09:00,OUTSIDE_REPLAY
055550.KS,KRLEVEL_RR|055550|2T|830|835|836,2024-03-08 09:00:00+09:00,OUTSIDE_REPLAY
068270.KS,KRLEVEL_RR|068270|3T|652|654|655,2024-01-22 14:00:00+09:00,OUTSIDE_REPLAY
068270.KS,KRLEVEL_RR|068270|4T|889|893|894,2024-03-21 13:00:00+09:00,OUTSIDE_REPLAY
068270.KS,KRLEVEL_RR|068270|2T|2651|2657|2659,2025-06-12 10:00:00+09:00,OUTSIDE_REPLAY
068270.KS,KRLEVEL_RR|068270|2T|2674|2676|2677,2025-06-17 10:00:00+09:00,OUTSIDE_REPLAY
086790.KS,KRLEVEL_RR|086790|2T|1511|1517|1519,2024-08-22 14:00:00+09:00,OUTSIDE_REPLAY
086790.KS,KRLEVEL_RR|086790|2T|3195|3199|3200,2025-10-24 12:00:00+09:00,OUTSIDE_REPLAY
096770.KS,KRLEVEL_RR|096770|3T|2237|2241|2243,2025-02-26 14:00:00+09:00,OUTSIDE_REPLAY
096770.KS,KRLEVEL_RR|096770|2T|2273|2277|2278,2025-03-07 13:00:00+09:00,OUTSIDE_REPLAY
207940.KS,KRLEVEL_RR|207940|3T|2321|2327|2328,2025-03-20 11:00:00+09:00,OUTSIDE_REPLAY
207940.KS,KRLEVEL_RR|207940|3T|2858|2862|2863,2025-07-30 10:00:00+09:00,OUTSIDE_REPLAY
207940.KS,KRLEVEL_RR|207940|3T|3272|3274|3275,2025-12-04 14:00:00+09:00,OUTSIDE_REPLAY
