ticker,setup_id,event,model_time,model_price,intraday_interval
008|005930.KS,KRLEVEL_RR|005930|2T|3630|3634|3636,ENTRY,2026-02-10 03:00:00+00:00,166800.0,NONE
008|005930.KS,KRLEVEL_RR|005930|2T|3630|3634|3636,EXIT,2026-02-19 04:00:00+00:00,188400.0,NONE
008|005930.KS,KRLEVEL_RR|005930|2T|3906|3908|3910,ENTRY,2026-04-22 00:00:00+00:00,218500.0,NONE
008|005930.KS,KRLEVEL_RR|005930|2T|3906|3908|3910,EXIT,2026-04-23 03:00:00+00:00,219000.0,NONE
009|006400.KS,KRLEVEL_RR|006400|4T|3888|3890|3891,ENTRY,2026-04-15 05:00:00+00:00,473500.0,NONE
009|006400.KS,KRLEVEL_RR|006400|4T|3888|3890|3891,EXIT,2026-04-23 00:00:00+00:00,644840.0,NONE
016|012330.KS,KRLEVEL_RR|012330|5T|3672|3676|3678,ENTRY,2026-02-24 02:00:00+00:00,450000.0,NONE
016|012330.KS,KRLEVEL_RR|012330|5T|3672|3676|3678,EXIT,2026-02-27 01:00:00+00:00,492560.0,NONE
018|0126Z0.KS,KRLEVEL_RR|0126Z0|4T|540|542|544,ENTRY,2026-04-13 02:00:00+00:00,547000.0,NONE
018|0126Z0.KS,KRLEVEL_RR|0126Z0|4T|540|542|544,EXIT,2026-04-17 00:00:00+00:00,592200.0,NONE
033|051910.KS,KRLEVEL_RR|051910|2T|3972|3974|3976,ENTRY,2026-05-11 02:00:00+00:00,430000.0,NONE
033|051910.KS,KRLEVEL_RR|051910|2T|3972|3974|3976,EXIT,2026-05-12 00:00:00+00:00,411825.34046633804,NONE
