ticker,closed_bars,setups_in_window,new_signals,latest_setup_confirm_utc
NVDA,872,17,0,2026-08-13 13:30:00+00:00
AAPL,872,22,0,2026-08-07 18:30:00+00:00
MSFT,872,11,0,2026-08-07 18:30:00+00:00
AMZN,872,9,0,2026-07-31 13:30:00+00:00
GOOGL,872,11,0,2026-08-04 16:30:00+00:00
AVGO,872,15,0,2026-07-30 18:30:00+00:00
META,872,12,0,2026-07-24 14:30:00+00:00
TSLA,872,12,0,2026-08-13 18:30:00+00:00
MU,872,12,0,2026-08-05 15:30:00+00:00
NFLX,872,8,0,2026-08-13 13:30:00+00:00
COST,872,13,0,2026-08-13 13:30:00+00:00
PLTR,872,13,0,2026-08-03 18:30:00+00:00
AMD,872,12,0,2026-07-30 16:30:00+00:00
CSCO,872,13,0,2026-08-12 17:30:00+00:00
TMUS,872,13,0,2026-08-10 18:30:00+00:00
INTU,872,13,0,2026-08-13 16:30:00+00:00
AMAT,872,12,0,2026-08-12 16:30:00+00:00
QCOM,872,12,0,2026-08-12 16:30:00+00:00
ISRG,872,6,0,2026-08-07 17:30:00+00:00
JPM,872,16,0,2026-08-13 17:30:00+00:00
LLY,872,16,0,2026-08-13 13:30:00+00:00
WMT,872,15,0,2026-08-10 19:30:00+00:00
V,872,17,0,2026-08-13 13:30:00+00:00
MA,872,14,0,2026-08-06 19:30:00+00:00
XOM,872,14,1,2026-08-14 13:30:00+00:00
JNJ,872,16,0,2026-08-12 18:30:00+00:00
ORCL,872,8,0,2026-08-13 13:30:00+00:00
UNH,872,12,0,2026-08-05 15:30:00+00:00
HD,872,12,0,2026-08-07 18:30:00+00:00
PG,872,19,0,2026-08-13 13:30:00+00:00
ABBV,872,13,1,2026-08-13 19:30:00+00:00
KO,872,16,0,2026-07-27 17:30:00+00:00
PEP,872,12,1,2026-08-13 19:30:00+00:00
MCD,872,10,0,2026-08-11 18:30:00+00:00
CRM,872,14,0,2026-08-10 16:30:00+00:00
ADBE,872,11,0,2026-07-28 13:30:00+00:00
ACN,872,8,0,2026-08-10 15:30:00+00:00
BAC,872,16,1,2026-08-14 13:30:00+00:00
WFC,872,17,0,2026-08-12 15:30:00+00:00
GS,872,13,0,2026-08-05 13:30:00+00:00
MS,872,18,0,2026-08-10 14:30:00+00:00
CVX,872,15,1,2026-08-13 19:30:00+00:00
MRK,872,19,0,2026-08-12 18:30:00+00:00
PFE,872,14,0,2026-08-05 13:30:00+00:00
TMO,872,9,0,2026-08-07 15:30:00+00:00
ABT,872,11,0,2026-08-11 17:30:00+00:00
DHR,872,17,0,2026-08-11 18:30:00+00:00
CAT,872,16,0,2026-08-12 13:30:00+00:00
GE,872,19,1,2026-08-14 15:30:00+00:00
HON,872,17,0,2026-08-05 17:30:00+00:00
IBM,872,11,0,2026-07-31 18:30:00+00:00
TXN,872,15,0,2026-08-06 17:30:00+00:00
ADP,872,12,0,2026-08-13 16:30:00+00:00
AMGN,872,12,0,2026-07-27 13:30:00+00:00
BKNG,872,11,0,2026-08-13 17:30:00+00:00
