period,strategy,config,entry_time,ticker,reason,universe,cost_bps_side
P1_2023_08_08_2024_08_07,SOR_E1_BE,P8_R8,2024-05-17,009540.KS,ticker_already_active,KOSPI40_PIT,5.0
P2_2024_08_08_2025_08_07,SOR_E1_BE,P8_R8,2024-09-02,042660.KS,ticker_already_active,KOSPI40_PIT,5.0
P2_2024_08_08_2025_08_07,SOR_E1_BE,P8_R8,2025-05-08,086790.KS,ticker_already_active,KOSPI40_PIT,5.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,2025-09-12,010130.KS,ticker_already_active,KOSPI40_PIT,5.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-02-27,012330.KS,position_limit,KOSPI40_PIT,5.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-02-27,005930.KS,position_limit,KOSPI40_PIT,5.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-04-22,005490.KS,ticker_already_active,KOSPI40_PIT,5.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-04-22,003670.KS,ticker_already_active,KOSPI40_PIT,5.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-04-24,005930.KS,position_limit,KOSPI40_PIT,5.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-04-28,000660.KS,position_limit,KOSPI40_PIT,5.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-04-29,005380.KS,position_limit,KOSPI40_PIT,5.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-04-30,010950.KS,position_limit,KOSPI40_PIT,5.0
P3_2025_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-05-08,034020.KS,open_risk_limit,KOSPI40_PIT,5.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,2024-05-17,009540.KS,ticker_already_active,KOSPI40_PIT,5.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,2024-09-02,042660.KS,ticker_already_active,KOSPI40_PIT,5.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,2025-05-08,086790.KS,ticker_already_active,KOSPI40_PIT,5.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,2025-09-12,010130.KS,ticker_already_active,KOSPI40_PIT,5.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-02-27,012330.KS,position_limit,KOSPI40_PIT,5.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-02-27,005930.KS,position_limit,KOSPI40_PIT,5.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-04-22,005490.KS,ticker_already_active,KOSPI40_PIT,5.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-04-22,003670.KS,ticker_already_active,KOSPI40_PIT,5.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-04-24,005930.KS,position_limit,KOSPI40_PIT,5.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-04-28,000660.KS,position_limit,KOSPI40_PIT,5.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-04-29,005380.KS,position_limit,KOSPI40_PIT,5.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-04-30,010950.KS,position_limit,KOSPI40_PIT,5.0
FULL_2023_08_08_2026_08_17,SOR_E1_BE,P8_R8,2026-05-08,034020.KS,open_risk_limit,KOSPI40_PIT,5.0
P1_2023_08_08_2024_08_07,SOR_E1_BE,P8_R8,2023-12-27,357780.KQ,ticker_already_active,KOSDAQ40_PIT,5.0
P1_2023_08_08_2024_08_07,SOR_E1_BE,P8_R8,2024-03-11,028300.KQ,ticker_already_active,KOSDAQ40_PIT,5.0
P1_2023_08_08_2024_08_07,SOR_E1_BE,P8_R8,2024-07-04,140860.KQ,ticker_already_active,KOSDAQ40_PIT,5.0
